Date,Open,High,Low,Close,Volume
2023-10-05,438.95,441.7,435.0,437.1,57160
2023-10-06,437.2,437.7,429.0,433.9,133711
2023-10-09,423.05,434.55,423.0,432.9,158192
2023-10-10,432.9,436.0,430.0,434.45,77961
2023-10-11,434.45,442.05,430.75,431.8,89910
2023-10-12,434.0,448.75,432.1,443.75,238469
2023-10-13,443.7,460.0,443.05,458.55,348019
2023-10-16,460.0,460.1,449.0,449.75,80001
2023-10-17,454.15,454.7,445.6,446.95,62048
2023-10-18,448.5,449.0,437.0,438.75,86890
2023-10-19,442.0,444.9,433.05,442.6,68178
2023-10-20,437.0,445.95,436.3,445.1,83348
2023-10-23,445.0,445.0,433.0,434.8,138318
2023-10-25,435.2,443.75,427.35,441.75,173913
2023-10-26,443.1,449.0,426.0,444.3,155473
2023-10-27,437.15,443.0,423.0,438.45,498807
2023-10-30,444.6,444.6,435.05,440.2,47032
2023-10-31,443.0,447.0,436.6,445.4,84887
2023-11-01,445.4,446.8,435.1,445.4,62193
2023-11-02,447.2,449.95,436.5,438.95,48586
2023-11-03,442.0,447.8,435.75,445.65,70422
2023-11-06,449.0,450.0,444.25,445.45,43068
2023-11-07,445.45,455.0,439.1,452.35,88421
2023-11-08,452.35,454.45,444.5,445.55,35997
2023-11-09,446.0,459.0,444.4,455.85,139171
2023-11-10,458.95,458.95,452.0,454.95,47985
2023-11-12,457.85,469.0,455.65,459.6,52314
2023-11-13,461.45,461.45,445.5,447.45,70529
2023-11-15,454.9,459.9,445.2,453.95,151862
2023-11-16,457.0,459.5,451.8,454.35,80304
2023-11-17,454.75,461.75,449.6,459.5,151057
2023-11-20,459.5,459.7,450.0,451.65,60661
2023-11-21,451.65,454.0,447.5,448.8,55176
2023-11-22,446.0,448.8,443.75,444.3,32960
2023-11-23,446.0,455.25,442.0,452.0,85114
2023-11-24,452.0,461.0,444.3,457.15,102253
2023-11-28,455.3,461.3,453.3,456.65,75627
2023-11-29,454.0,458.3,449.75,451.0,54944
2023-11-30,451.0,454.75,448.3,448.85,54545
2023-12-01,448.85,453.35,446.1,448.2,74271
2023-12-04,452.95,455.2,447.5,452.25,101227
2023-12-05,451.6,465.0,451.6,462.1,154811
2023-12-06,469.05,469.05,460.35,464.35,142978
2023-12-07,464.35,467.25,458.0,466.75,90166
2023-12-08,470.0,470.0,456.0,459.65,80063
2023-12-11,460.0,467.2,456.0,465.7,84370
2023-12-12,465.7,466.9,461.25,463.75,76577
2023-12-13,463.75,464.45,460.05,461.9,61973
2023-12-14,461.95,466.8,460.0,461.6,86718
2023-12-15,463.85,465.55,457.0,460.9,91728
2023-12-18,460.0,479.2,455.45,475.5,278515
2023-12-19,477.6,477.6,465.8,469.15,137010
2023-12-20,471.55,494.65,470.05,472.7,670567
2023-12-21,472.0,486.6,460.0,468.25,155716
2023-12-22,470.55,480.15,470.55,475.4,89798
2023-12-26,477.8,479.4,470.85,471.75,52595
2023-12-27,471.7,475.0,461.45,465.6,84746
2023-12-28,465.0,474.55,465.0,472.3,88245
2023-12-29,474.25,475.7,468.0,469.35,77555
2024-01-01,472.0,477.0,468.35,474.45,76563
