Date,Open,High,Low,Close,Volume
2023-10-05,703.0,713.4,685.0,690.0,318506
2023-10-06,694.95,723.0,687.0,711.9,373799
2023-10-09,717.5,727.45,685.5,693.05,406342
2023-10-10,699.0,708.95,692.2,698.9,162712
2023-10-11,701.0,726.95,701.0,713.3,225134
2023-10-12,713.25,720.85,696.4,703.15,171173
2023-10-13,703.0,718.0,697.05,712.35,207346
2023-10-16,703.1,715.75,702.0,704.2,103328
2023-10-17,711.85,715.0,701.05,704.8,105192
2023-10-18,709.0,710.0,693.0,700.1,160495
2023-10-19,700.0,722.45,699.85,714.45,249268
2023-10-20,711.95,756.6,708.55,739.1,682463
2023-10-23,746.5,762.0,705.0,714.15,476904
2023-10-25,719.0,732.95,697.0,702.9,248655
2023-10-26,700.05,719.45,657.3,715.75,328999
2023-10-27,719.0,755.0,719.0,750.65,385796
2023-10-30,755.0,785.5,742.05,768.55,558853
2023-10-31,774.7,842.0,774.65,833.1,1147948
2023-11-01,841.95,864.35,826.3,843.4,509361
2023-11-02,856.0,859.55,830.15,846.2,225676
2023-11-03,847.95,863.0,822.0,839.85,240297
2023-11-06,865.0,879.7,842.0,859.35,376514
2023-11-07,867.0,877.9,829.0,834.5,214473
2023-11-08,841.7,850.75,836.4,846.55,98766
2023-11-09,854.0,867.95,800.0,807.25,285393
2023-11-10,850.0,894.7,843.7,854.45,914003
2023-11-12,869.95,878.85,865.35,873.25,93438
2023-11-13,872.95,872.95,845.25,858.1,198808
2023-11-15,870.05,873.55,862.1,869.8,161436
2023-11-16,875.8,895.0,869.8,872.35,247845
2023-11-17,871.9,884.0,858.35,863.4,444212
2023-11-20,870.0,879.95,845.15,849.3,164132
2023-11-21,856.0,865.75,830.1,833.8,191690
2023-11-22,838.0,844.9,822.3,833.3,119795
2023-11-23,838.0,842.3,814.35,821.8,175434
2023-11-24,823.0,847.05,810.0,813.2,263140
2023-11-28,813.2,839.0,809.95,815.5,402136
2023-11-29,821.9,833.7,818.0,830.75,126348
2023-11-30,835.7,849.0,815.1,838.25,399865
2023-12-01,844.95,854.35,819.15,822.7,214799
2023-12-04,840.0,843.7,815.05,819.9,174290
2023-12-05,825.0,826.0,805.55,810.95,183225
2023-12-06,810.95,828.45,790.0,798.7,287130
2023-12-07,798.95,842.0,798.7,835.85,327255
2023-12-08,839.0,846.8,810.1,815.05,181273
2023-12-11,819.9,821.4,805.25,812.05,130656
2023-12-12,817.4,820.0,800.0,801.8,183353
2023-12-13,807.7,825.0,796.2,815.65,233285
2023-12-14,825.0,828.55,814.0,817.55,126108
2023-12-15,826.8,860.0,820.0,853.9,675516
2023-12-18,860.0,872.0,840.0,842.35,297595
2023-12-19,848.0,850.0,826.0,836.25,173400
2023-12-20,842.95,881.0,806.05,812.4,481623
2023-12-21,796.05,885.0,780.0,859.85,313418
2023-12-22,869.05,881.95,844.0,851.1,174188
2023-12-26,855.0,865.0,842.05,847.05,142478
2023-12-27,851.05,857.1,833.0,840.5,113159
2023-12-28,846.0,849.7,816.6,826.0,139546
2023-12-29,821.15,839.95,821.0,829.15,100049
2024-01-01,834.0,852.0,834.0,845.9,147904
2024-01-02,851.0,880.0,837.0,869.7,595007
2024-01-03,875.9,928.0,867.0,925.5,1395777
2024-01-04,931.1,937.0,895.0,899.8,455671
2024-01-05,906.95,921.25,896.05,911.4,245802
2024-01-08,913.75,916.45,899.1,907.05,134704
2024-01-09,923.0,927.95,895.0,902.9,194844
2024-01-10,896.0,908.05,882.25,894.05,215825
2024-01-11,902.0,910.9,896.9,901.9,122250
