Date,Open,High,Low,Close,Volume
2023-10-05,1100.0,1115.0,1088.1,1090.9,87068
2023-10-06,1070.0,1099.0,1070.0,1092.95,212894
2023-10-09,1073.0,1082.85,1063.2,1067.0,120096
2023-10-10,1069.1,1077.35,1053.15,1057.25,171194
2023-10-11,1065.0,1081.75,1065.0,1075.8,183760
2023-10-12,1084.95,1094.0,1075.25,1080.6,137614
2023-10-13,1070.3,1085.95,1070.0,1077.3,91964
2023-10-16,1071.0,1076.9,1058.0,1060.85,109831
2023-10-17,1064.25,1077.3,1058.0,1072.3,157828
2023-10-18,1071.05,1077.0,1060.05,1064.55,162012
2023-10-19,1060.0,1073.0,1056.95,1071.2,90937
2023-10-20,1070.0,1085.0,1066.6,1072.2,174537
2023-10-23,1080.0,1086.8,1030.0,1036.0,139580
2023-10-25,1045.0,1045.0,1007.05,1025.0,267884
2023-10-26,1022.0,1025.0,988.15,1016.25,196381
2023-10-27,1023.0,1054.9,1020.0,1043.3,80936
2023-10-30,1043.3,1069.2,1031.05,1062.8,112476
2023-10-31,1062.8,1066.6,1048.0,1051.35,64335
2023-11-01,1051.35,1062.75,1035.05,1041.15,101331
2023-11-02,1046.55,1071.6,1045.05,1068.35,101256
2023-11-03,1077.9,1077.9,1058.95,1062.9,78664
2023-11-06,1073.0,1084.95,1060.0,1074.7,251898
2023-11-07,1074.7,1074.7,1055.0,1068.25,166239
2023-11-08,1067.9,1073.0,1041.0,1045.25,241286
2023-11-09,1054.9,1057.45,1023.05,1025.75,210471
2023-11-10,1025.7,1038.3,1015.8,1017.6,109766
2023-11-12,1028.95,1036.6,1025.1,1033.85,32568
2023-11-13,1025.05,1032.45,1017.3,1018.8,179655
2023-11-15,1030.0,1038.8,1020.2,1026.05,190267
2023-11-16,1026.05,1031.85,1020.0,1025.45,127401
2023-11-17,1032.95,1057.0,1023.45,1035.8,288011
2023-11-20,1039.85,1056.0,1037.25,1041.2,134985
2023-11-21,1049.9,1066.0,1042.0,1055.35,210837
2023-11-22,1058.5,1069.0,1055.5,1067.4,150018
2023-11-23,1051.0,1117.0,1051.0,1084.6,732498
2023-11-24,1108.0,1135.9,1090.2,1096.4,934122
2023-11-28,1118.0,1128.0,1097.1,1112.55,349704
2023-11-29,1124.25,1142.0,1107.1,1122.05,427966
2023-11-30,1122.0,1139.75,1111.1,1115.2,273564
2023-12-01,1129.2,1139.5,1120.85,1135.4,313221
2023-12-04,1154.95,1160.0,1125.0,1133.05,254179
2023-12-05,1134.0,1137.9,1117.35,1126.05,200826
2023-12-06,1126.05,1138.9,1110.15,1129.55,362172
2023-12-07,1135.0,1150.0,1129.0,1139.5,273908
2023-12-08,1144.8,1158.0,1120.05,1127.6,280055
2023-12-11,1127.0,1198.0,1125.05,1187.45,841418
2023-12-12,1202.0,1242.0,1184.6,1197.65,1458067
2023-12-13,1210.0,1224.8,1191.15,1194.95,466255
2023-12-14,1214.95,1217.35,1198.2,1204.1,298876
2023-12-15,1215.0,1244.85,1203.15,1213.2,748011
2023-12-18,1231.95,1266.5,1220.0,1245.8,755918
2023-12-19,1248.0,1264.95,1230.2,1254.2,489481
2023-12-20,1262.0,1271.1,1125.65,1190.0,599297
2023-12-21,1165.0,1231.95,1163.5,1220.3,316817
2023-12-22,1219.9,1244.0,1209.3,1216.95,227568
2023-12-26,1228.0,1235.6,1216.1,1225.1,183685
2023-12-27,1237.0,1238.1,1210.0,1217.7,130269
2023-12-28,1221.95,1265.0,1203.85,1252.45,463982
2023-12-29,1245.0,1327.0,1235.0,1306.1,1052833
2024-01-01,1318.0,1336.9,1310.0,1320.1,460112
2024-01-02,1325.0,1334.95,1285.1,1309.6,377951
2024-01-03,1314.95,1325.9,1302.0,1309.5,289884
2024-01-04,1312.0,1328.95,1306.5,1312.95,197981
2024-01-05,1306.55,1323.0,1295.9,1306.35,193273
2024-01-08,1306.0,1313.1,1268.0,1273.55,186922
2024-01-09,1282.0,1307.85,1250.0,1269.55,278700
2024-01-10,1267.0,1282.3,1257.0,1271.65,151708
2024-01-11,1272.95,1295.0,1272.95,1282.55,137573
2024-01-12,1290.25,1315.0,1288.05,1293.9,187035
2024-01-15,1299.95,1324.0,1296.55,1304.2,197525
2024-01-16,1305.0,1324.0,1275.0,1290.05,163618
2024-01-17,1289.0,1314.75,1270.0,1285.7,186814
2024-01-18,1272.9,1292.7,1205.05,1255.7,312568
2024-01-19,1272.0,1283.1,1257.6,1265.25,140672
2024-01-20,1266.0,1285.0,1220.0,1234.3,145021
2024-01-23,1237.05,1249.45,1175.65,1187.2,250096
2024-01-24,1193.0,1232.8,1171.05,1224.8,192595
2024-01-25,1230.0,1242.5,1215.0,1219.65,111560
2024-01-29,1230.0,1240.15,1197.55,1199.75,295763
2024-01-30,1200.0,1216.65,1190.0,1191.65,108305
2024-01-31,1200.0,1246.75,1192.5,1241.0,206514
2024-02-01,1241.0,1241.0,1210.2,1214.2,115056
2024-02-02,1229.95,1248.1,1216.6,1230.6,155999
2024-02-05,1267.0,1270.0,1185.0,1195.0,624456
2024-02-06,1200.4,1236.95,1178.0,1184.25,260516
2024-02-07,1190.0,1194.9,1181.65,1183.5,147771
2024-02-08,1185.2,1194.45,1150.0,1156.45,177730
2024-02-09,1157.0,1165.55,1108.0,1114.25,251374
2024-02-12,1128.9,1144.9,1102.5,1115.95,200241
2024-02-13,1118.95,1139.9,1085.0,1136.0,149988
2024-02-14,1127.8,1140.75,1118.05,1137.9,191204
2024-02-15,1141.2,1190.0,1137.55,1183.2,164538
2024-02-16,1187.0,1198.0,1150.0,1161.9,202819
2024-02-19,1171.95,1187.35,1150.0,1160.05,106795
2024-02-20,1166.4,1172.8,1134.6,1145.85,81169
2024-02-21,1150.0,1163.55,1110.0,1126.7,118684
2024-02-22,1132.05,1141.7,1122.2,1138.35,66548
2024-02-23,1140.95,1150.0,1127.3,1136.65,111395
2024-02-26,1122.05,1145.0,1122.05,1129.3,72683
2024-02-27,1134.0,1139.95,1113.1,1120.25,133715
2024-02-28,1125.0,1142.0,1101.0,1104.45,145666
2024-02-29,1101.05,1129.85,1089.65,1118.15,168683
2024-03-01,1130.0,1133.6,1102.0,1115.3,183112
2024-03-02,1132.95,1132.95,1115.3,1125.1,14781
2024-03-04,1125.1,1128.1,1109.0,1117.55,171957
2024-03-05,1120.0,1124.0,1080.05,1089.95,251790
2024-03-06,1079.05,1088.0,1051.15,1077.6,219740
2024-03-07,1084.0,1105.95,1074.0,1095.1,166485
2024-03-11,1100.6,1108.25,1052.5,1057.95,171733
2024-03-12,1066.6,1071.7,1035.05,1048.1,245469
2024-03-13,1049.0,1058.0,1013.0,1022.0,279518
2024-03-14,1020.0,1045.0,1004.0,1033.65,193058
2024-03-15,1043.65,1046.2,1012.55,1022.7,281334
