Date,Open,High,Low,Close,Volume
2024-04-23,171.0,190.65,155.0,185.25,212645
2024-04-24,190.0,193.65,178.2,181.65,35784
2024-04-25,183.25,183.25,174.05,177.2,13788
2024-04-26,178.85,178.85,165.6,170.8,15124
2024-04-29,170.8,170.8,166.8,168.15,6264
2024-04-30,173.8,173.8,164.3,166.6,7376
2024-05-02,169.8,169.8,164.3,165.2,5691
2024-05-03,168.9,172.4,164.45,166.1,3538
2024-05-06,166.2,168.5,161.2,162.85,10524
2024-05-07,165.3,165.3,153.85,156.85,13783
2024-05-08,156.05,159.6,153.45,157.05,5224
2024-05-09,156.75,160.2,150.65,155.65,11761
2024-05-10,155.7,167.05,146.45,152.9,33011
2024-05-13,147.2,157.25,147.2,152.5,19741
2024-05-14,153.7,166.45,153.7,164.6,16864
2024-05-15,166.55,169.6,160.85,166.0,15961
2024-05-16,166.8,172.9,164.5,171.1,16161
2024-05-17,172.4,184.0,170.2,178.25,34119
2024-05-18,176.2,182.65,174.0,175.45,4040
2024-05-21,175.45,177.6,166.25,168.35,13616
2024-05-22,170.85,173.0,166.15,170.25,12935
2024-05-23,167.7,171.0,167.25,167.65,6763
2024-05-24,168.0,180.0,167.65,173.5,159652
2024-05-27,176.1,179.6,166.5,168.05,16184
2024-05-28,168.05,168.85,162.05,163.15,12829
2024-05-29,163.2,170.0,160.0,162.7,21694
2024-05-30,168.0,168.3,161.4,162.55,14460
2024-05-31,178.65,178.65,163.55,165.1,90501
2024-06-03,177.95,189.4,163.0,184.8,193245
2024-06-04,180.05,184.05,156.65,164.65,93025
2024-06-05,164.65,174.0,159.0,170.95,52379
2024-06-06,175.6,198.0,168.1,194.05,639912
2024-06-07,195.4,216.9,195.0,211.45,222656
2024-06-10,213.6,213.6,200.0,207.4,214117
2024-06-11,208.2,225.6,206.4,209.25,156421
2024-06-12,210.3,219.0,206.4,217.1,74805
2024-06-13,220.35,228.6,218.4,221.6,114108
2024-06-14,223.0,230.0,222.2,224.15,54532
