Date,Open,High,Low,Close,Volume
2023-10-05,445.95,446.4,440.5,443.75,87595
2023-10-06,451.75,458.7,442.75,454.9,110414
2023-10-09,454.5,493.0,441.1,472.5,423055
2023-10-10,477.5,484.1,466.5,474.8,144678
2023-10-11,471.25,479.7,468.4,477.25,81192
2023-10-12,481.0,481.45,461.35,478.8,128400
2023-10-13,472.5,482.5,450.75,471.0,288361
2023-10-16,471.25,475.0,450.3,453.9,76748
2023-10-17,463.75,465.5,442.55,446.4,79574
2023-10-18,454.5,477.5,446.25,471.0,116472
2023-10-19,480.0,481.75,461.75,473.1,71187
2023-10-20,467.5,477.25,465.0,472.7,44587
2023-10-23,472.15,475.0,461.2,468.5,67437
2023-10-25,468.5,480.15,453.5,457.65,44394
2023-10-26,455.0,463.75,435.0,455.5,67002
2023-10-27,459.75,470.0,457.55,463.1,35137
2023-10-30,485.0,486.55,467.75,475.1,44656
2023-10-31,475.1,481.2,473.5,477.25,39492
2023-11-01,477.25,519.25,477.25,506.1,215393
2023-11-02,525.0,525.0,494.25,497.4,74725
2023-11-03,507.2,512.0,491.3,506.15,64022
2023-11-06,512.45,525.0,507.8,512.1,56815
2023-11-07,519.75,519.75,507.75,512.0,26393
2023-11-08,511.25,515.0,501.25,503.55,23398
2023-11-09,504.25,512.05,495.85,502.5,28392
2023-11-10,500.0,525.0,500.0,517.3,49910
2023-11-12,542.5,542.5,522.5,526.95,19400
2023-11-13,527.95,527.95,519.15,522.05,32402
2023-11-15,526.5,536.25,526.5,533.15,23516
2023-11-16,533.15,537.4,525.0,526.9,29463
2023-11-17,526.9,546.4,522.85,543.7,47331
2023-11-20,551.2,598.1,549.0,586.6,153974
2023-11-21,594.0,594.2,550.3,571.5,101153
2023-11-22,574.75,616.0,555.25,607.75,123322
2023-11-23,614.5,635.0,602.7,626.85,87070
2023-11-24,622.5,637.25,618.0,628.7,64288
2023-11-28,628.9,637.0,628.7,632.85,53787
2023-11-29,633.0,636.25,615.0,621.4,41578
2023-11-30,623.75,661.15,620.8,648.9,161506
2023-12-01,675.0,675.0,631.3,649.25,60498
2023-12-04,671.2,678.0,654.0,666.9,51923
2023-12-05,673.2,673.2,651.25,656.55,48397
2023-12-06,657.5,662.1,640.0,649.45,43790
2023-12-07,655.0,655.0,641.25,645.35,26688
2023-12-08,645.35,645.35,617.5,623.85,48713
2023-12-11,637.5,641.35,610.9,624.0,60109
2023-12-12,624.0,632.5,618.75,625.1,26419
2023-12-13,625.0,644.3,620.25,628.3,47239
2023-12-14,648.5,675.0,633.0,648.0,86334
2023-12-15,650.0,662.0,627.75,639.3,39632
2023-12-18,647.5,649.75,614.3,635.2,63821
2023-12-19,636.25,642.2,625.0,636.0,42658
2023-12-20,637.1,644.95,616.0,618.3,67176
2023-12-21,612.5,637.75,597.5,637.05,57284
2023-12-22,637.5,649.4,637.05,645.2,62718
2023-12-26,645.2,648.7,641.9,646.95,20066
2023-12-27,652.0,652.5,637.5,642.75,97523
2023-12-28,648.1,667.45,625.05,628.3,203895
2023-12-29,632.65,650.2,631.2,648.4,106496
2024-01-01,653.5,659.5,636.5,641.85,65516
2024-01-02,643.75,657.75,627.5,644.65,65002
2024-01-03,642.5,656.25,640.9,649.6,43384
2024-01-04,646.25,699.5,646.25,666.85,190778
2024-01-05,669.1,691.7,669.1,675.2,85900
2024-01-08,679.75,699.5,677.5,689.9,98596
2024-01-09,694.75,706.7,691.4,695.65,74469
2024-01-10,699.75,699.75,691.4,695.3,69120
2024-01-11,702.5,708.15,695.0,700.65,80226
2024-01-12,704.9,711.75,700.0,703.8,111981
2024-01-15,680.5,696.2,669.55,671.9,147261
2024-01-16,672.35,680.05,643.15,660.7,98203
2024-01-17,649.9,682.75,649.9,676.2,198536
2024-01-18,676.2,687.15,659.8,679.2,43267
2024-01-19,679.2,700.0,679.2,694.6,49573
2024-01-20,700.0,701.65,669.0,675.7,25220
2024-01-23,682.5,711.25,675.7,700.6,94353
2024-01-24,702.5,750.0,700.6,737.5,118520
2024-01-25,744.9,767.5,744.0,760.55,107980
