Date,Open,High,Low,Close,Volume
2023-10-05,892.2,901.75,881.5,898.65,229542
2023-10-06,903.25,904.7,887.0,891.05,111019
2023-10-09,885.4,887.1,877.45,882.6,75559
2023-10-10,882.0,889.75,873.55,878.45,93947
2023-10-11,880.0,886.7,880.0,883.25,27301
2023-10-12,883.25,893.45,875.25,880.9,116068
2023-10-13,882.3,888.9,878.0,884.15,294812
2023-10-16,888.8,889.05,873.05,881.55,120869
2023-10-17,889.75,891.35,847.25,850.1,528815
2023-10-18,857.95,864.0,847.8,851.3,280041
2023-10-19,852.35,861.0,846.55,849.5,223466
2023-10-20,853.7,855.0,847.0,851.25,64038
2023-10-23,858.95,858.95,846.0,849.15,116818
2023-10-25,847.0,857.0,845.55,851.35,114702
2023-10-26,845.0,854.45,840.0,842.0,101198
2023-10-27,842.45,855.0,842.1,851.8,231875
2023-10-30,851.8,884.0,849.55,878.35,184163
2023-10-31,884.7,886.7,873.65,883.55,74770
2023-11-01,880.0,895.0,875.65,888.15,142576
2023-11-02,896.0,916.0,886.0,906.95,414570
2023-11-03,914.75,917.95,898.65,905.95,292620
2023-11-06,905.0,914.3,902.1,906.7,81985
2023-11-07,909.3,927.0,889.35,922.65,638447
2023-11-08,925.0,931.8,914.0,916.55,332638
2023-11-09,923.55,923.55,901.0,905.1,261496
2023-11-10,904.0,910.0,896.1,906.3,114175
2023-11-12,918.0,930.0,918.0,924.6,105184
2023-11-13,923.9,928.4,910.05,918.7,259273
2023-11-15,924.7,928.0,915.15,924.1,150948
2023-11-16,925.0,935.45,921.85,932.4,263085
2023-11-17,932.5,944.75,924.0,931.6,321970
2023-11-20,931.15,935.35,924.0,932.25,72069
2023-11-21,933.1,939.0,928.45,935.8,221812
2023-11-22,939.0,940.7,932.4,938.25,146759
2023-11-23,939.1,946.05,934.9,943.2,195759
2023-11-24,945.9,952.0,940.25,949.95,284599
2023-11-28,954.0,957.9,946.55,955.5,766406
2023-11-29,962.0,968.0,948.0,964.15,1117944
2023-11-30,972.0,993.0,957.1,986.6,820427
2023-12-01,989.0,1019.65,988.95,1013.8,318304
2023-12-04,1020.5,1053.0,1005.45,1047.75,412965
2023-12-05,1052.0,1059.45,1025.2,1051.05,446645
2023-12-06,1050.75,1059.45,1033.0,1046.15,355188
2023-12-07,1046.15,1050.0,1033.0,1046.55,95298
2023-12-08,1046.55,1059.0,1033.0,1036.1,90379
2023-12-11,1039.3,1079.95,1027.0,1062.7,515782
2023-12-12,1062.6,1066.0,1052.3,1057.55,486522
2023-12-13,1058.0,1059.4,1031.05,1042.2,156383
2023-12-14,1042.2,1050.95,1030.0,1033.05,103295
2023-12-15,1041.0,1043.35,1028.55,1040.65,51881
2023-12-18,1049.0,1049.0,1027.05,1031.5,74451
2023-12-19,1031.5,1040.0,1020.6,1031.65,57606
2023-12-20,1050.0,1050.0,1012.0,1021.55,231412
2023-12-21,1027.0,1029.9,1016.0,1022.6,53011
2023-12-22,1024.5,1035.8,1001.5,1008.5,497437
2023-12-26,1022.05,1036.35,990.05,995.95,507466
2023-12-27,997.0,1016.45,992.0,1011.6,311500
2023-12-28,1021.0,1027.45,1010.0,1021.9,95268
2023-12-29,1021.9,1055.0,1005.0,1052.05,259259
2024-01-01,1050.0,1080.0,1044.75,1072.5,427842
2024-01-02,1075.0,1099.8,1061.05,1095.65,415086
2024-01-03,1097.1,1104.4,1069.1,1091.05,338019
2024-01-04,1100.0,1106.3,1062.0,1068.35,257975
2024-01-05,1072.95,1079.6,1052.0,1070.8,108094
2024-01-08,1070.05,1076.9,1048.05,1053.85,74652
2024-01-09,1052.0,1057.0,1000.0,1018.35,158926
2024-01-10,1018.35,1019.3,952.0,958.9,469567
2024-01-11,958.05,965.95,945.0,953.5,199954
2024-01-12,953.5,969.1,947.7,959.65,157625
2024-01-15,960.5,965.9,950.1,952.75,52928
2024-01-16,956.05,961.95,928.15,934.85,112668
2024-01-17,930.0,948.15,925.2,941.15,53275
2024-01-18,941.15,945.4,913.05,940.75,56131
2024-01-19,943.55,951.9,940.0,942.75,27291
2024-01-20,942.75,947.9,929.0,932.8,30730
2024-01-23,941.9,954.0,927.7,948.7,91904
2024-01-24,949.0,965.0,934.15,962.0,64107
2024-01-25,969.0,970.0,946.8,964.5,67276
2024-01-29,967.5,967.5,925.0,930.0,562016
2024-01-30,953.8,953.8,919.9,921.25,60249
2024-01-31,918.1,953.5,918.1,949.3,628253
