Date,Open,High,Low,Close,Volume
2023-10-05,791.5,791.5,782.7,785.1,795061
2023-10-06,785.0,819.2,784.5,816.85,2145034
2023-10-09,810.2,813.5,801.8,802.75,747800
2023-10-10,805.5,813.5,802.1,808.35,965024
2023-10-11,814.0,817.3,809.55,810.2,712372
2023-10-12,812.5,812.7,800.3,801.4,764092
2023-10-13,799.95,808.3,795.6,805.15,662282
2023-10-16,804.4,806.9,798.25,803.6,438246
2023-10-17,808.0,815.9,805.75,809.3,838283
2023-10-18,805.0,808.45,785.0,786.65,1544642
2023-10-19,784.3,792.3,773.1,784.15,1061453
2023-10-20,781.0,783.2,772.25,776.9,771153
2023-10-23,780.0,788.5,776.1,779.9,882230
2023-10-25,779.9,785.7,767.6,769.45,708774
2023-10-26,762.5,765.6,740.1,742.15,1324630
2023-10-27,751.0,754.9,741.65,750.7,911944
2023-10-30,750.6,752.65,735.25,750.3,799276
2023-10-31,757.0,758.0,746.05,749.25,749410
2023-11-01,752.0,754.9,745.75,747.2,462778
2023-11-02,753.0,761.5,741.1,744.9,855030
2023-11-03,752.8,753.8,737.25,741.15,1138755
2023-11-06,745.6,757.2,744.25,756.2,634043
2023-11-07,764.0,764.0,744.6,749.55,1563007
2023-11-08,752.7,753.6,740.65,746.0,916717
2023-11-09,748.5,748.5,736.65,738.65,771791
2023-11-10,737.0,745.4,734.65,744.5,496261
2023-11-12,747.0,749.8,744.7,745.7,79745
2023-11-13,744.75,745.0,731.9,736.1,732240
2023-11-15,743.95,747.6,711.9,722.4,1923440
2023-11-16,694.45,738.1,693.1,736.25,4557043
2023-11-17,714.05,726.0,710.8,722.1,2080034
2023-11-20,715.1,723.9,705.0,706.85,1902940
2023-11-21,708.5,712.9,703.0,710.3,1666225
2023-11-22,708.65,717.75,706.55,712.8,1041404
2023-11-23,713.5,716.0,705.6,707.4,606158
2023-11-24,710.8,711.65,701.1,702.1,726499
2023-11-28,703.5,713.5,703.0,712.75,728158
2023-11-29,713.4,716.85,711.4,713.0,682430
2023-11-30,713.2,716.35,708.6,712.2,1271934
2023-12-01,716.0,728.0,714.2,725.9,900477
2023-12-04,734.0,742.0,731.5,740.75,1101426
2023-12-05,743.0,744.0,732.0,735.0,1522242
2023-12-06,739.0,745.9,736.5,742.7,701800
2023-12-07,739.0,744.0,732.6,739.1,668862
2023-12-08,739.05,739.8,727.4,730.75,1144388
2023-12-11,732.5,735.25,727.0,729.25,590055
2023-12-12,728.0,735.4,728.0,731.45,633312
2023-12-13,730.0,730.45,720.7,725.8,682955
2023-12-14,736.85,751.1,730.0,747.4,1729567
2023-12-15,752.9,752.9,744.5,751.5,1173938
2023-12-18,754.8,761.0,752.6,758.75,1082798
2023-12-19,764.1,764.15,753.5,763.25,791408
2023-12-20,765.0,769.5,746.0,749.4,874546
2023-12-21,742.65,747.7,730.55,736.7,913082
2023-12-22,741.9,744.0,724.3,729.5,1129485
2023-12-26,732.5,734.4,714.5,716.2,1225844
2023-12-27,722.0,732.35,719.1,723.25,1605279
2023-12-28,727.5,729.0,720.0,725.9,1856064
2023-12-29,723.15,734.3,720.5,732.75,912802
2024-01-01,733.7,733.7,727.3,729.9,331489
2024-01-02,732.4,744.5,728.0,743.0,1112990
2024-01-03,744.5,748.6,736.8,738.5,553405
2024-01-04,756.0,773.4,756.0,770.55,2911879
2024-01-05,773.5,778.9,767.3,771.1,1052601
2024-01-08,767.7,783.0,763.1,773.6,1121209
2024-01-09,777.4,781.0,769.8,772.55,1247083
2024-01-10,771.6,773.5,766.0,768.05,559072
2024-01-11,768.0,779.3,765.1,767.0,651741
2024-01-12,768.4,771.9,761.7,766.1,808638
2024-01-15,769.8,769.8,745.4,747.8,997220
2024-01-16,747.5,761.45,742.8,745.65,1194723
2024-01-17,730.3,747.8,730.2,735.9,1380271
2024-01-18,729.6,735.15,723.4,726.55,1686996
2024-01-19,736.0,738.9,726.1,731.9,830810
2024-01-20,732.75,738.6,729.1,730.1,219358
2024-01-23,735.3,735.5,704.25,707.1,2533297
2024-01-24,710.4,710.4,699.65,705.5,2063675
2024-01-25,705.5,712.6,703.6,708.55,1168349
2024-01-29,708.55,722.5,708.5,719.15,1860361
2024-01-30,698.85,698.85,680.5,681.7,4153147
2024-01-31,682.0,692.1,681.2,686.3,1810512
2024-02-01,686.6,688.0,673.3,674.3,1911137
2024-02-02,675.5,691.0,675.3,684.8,1367508
2024-02-05,689.4,689.5,660.0,660.8,1771222
2024-02-06,664.8,669.9,653.5,659.8,2439533
2024-02-07,664.1,673.75,662.5,670.9,1538237
2024-02-08,673.15,673.75,653.65,657.6,2193209
2024-02-09,658.0,667.75,657.2,665.45,1209874
2024-02-12,666.95,667.15,655.15,656.9,544784
2024-02-13,660.0,663.9,655.3,660.4,948014
2024-02-14,656.4,665.6,655.0,664.65,636126
2024-02-15,664.6,667.75,658.6,661.95,880859
2024-02-16,665.0,666.0,660.2,661.9,1029431
2024-02-19,664.9,680.7,662.5,671.25,1315881
2024-02-20,671.2,679.2,668.1,676.35,1106709
2024-02-21,679.0,679.0,666.5,668.9,854944
2024-02-22,669.1,670.65,656.1,667.5,1022374
2024-02-23,667.4,671.9,663.25,669.75,1280311
2024-02-26,669.0,670.8,662.4,664.3,892056
2024-02-27,663.1,664.2,649.1,655.6,1150306
2024-02-28,657.2,659.65,647.5,649.9,535321
2024-02-29,649.9,653.9,636.6,649.5,1699098
2024-03-01,651.15,660.9,650.2,657.15,919080
2024-03-02,656.5,660.5,656.5,658.4,49760
2024-03-04,658.8,664.0,655.75,660.25,397118
2024-03-05,660.25,663.6,627.2,632.4,1717558
2024-03-06,633.25,634.6,618.75,631.1,2104792
2024-03-07,635.0,646.85,632.55,642.1,1469421
2024-03-11,655.0,655.2,640.4,643.4,1203971
2024-03-12,640.5,648.5,634.1,643.6,1094677
2024-03-13,643.9,651.5,639.15,645.6,1132183
2024-03-14,645.6,647.0,629.75,639.75,1219865
2024-03-15,637.5,657.8,636.0,651.4,1970500
2024-03-18,651.4,655.5,645.6,650.5,676425
2024-03-19,651.0,666.7,650.5,659.6,1408087
2024-03-20,661.0,673.1,660.6,664.95,1490831
2024-03-21,670.75,677.15,665.7,671.6,1806092
2024-03-22,670.5,680.3,668.6,676.1,1125238
2024-03-26,675.45,694.5,674.5,691.0,1850321
2024-03-27,694.6,704.9,690.5,702.25,1551275
2024-03-28,703.2,734.9,703.2,724.5,3574518
2024-04-01,726.1,734.35,722.0,725.1,1125238
2024-04-02,725.1,725.5,713.5,720.75,967615
2024-04-03,719.7,732.3,718.6,730.9,958943
2024-04-04,734.5,735.0,725.5,728.35,1040589
2024-04-05,723.5,725.9,715.6,717.6,1200494
2024-04-08,721.5,722.7,714.25,717.85,518210
2024-04-09,722.0,723.5,712.45,719.35,710281
2024-04-10,723.6,725.4,716.0,723.0,567986
2024-04-12,722.4,726.4,715.6,722.95,1092588
2024-04-15,714.5,719.9,706.35,707.6,758448
2024-04-16,701.0,703.4,693.1,695.4,963293
2024-04-18,692.8,699.5,686.6,689.3,1385133
2024-04-19,684.0,715.0,681.0,711.95,1218375
2024-04-22,716.7,730.6,716.7,729.2,1165272
2024-04-23,730.9,734.0,723.65,726.0,1081567
2024-04-24,728.3,741.95,725.0,732.9,886929
2024-04-25,733.0,736.5,712.5,729.5,1173354
2024-04-26,700.0,700.0,669.15,673.1,5814723
2024-04-29,679.0,683.95,671.3,682.65,1681030
2024-04-30,683.0,697.5,682.2,692.35,1798675
2024-05-02,693.75,697.0,686.5,688.25,1139572
2024-05-03,732.9,740.0,690.7,693.15,6818601
2024-05-06,700.8,702.0,684.5,686.0,1229988
2024-05-07,689.0,694.3,678.8,687.25,1298126
2024-05-08,687.15,687.95,678.5,679.95,725925
2024-05-09,680.0,683.25,658.5,660.5,1381115
2024-05-10,663.9,669.8,660.1,668.4,824908
2024-05-13,668.4,674.4,662.0,671.9,512256
2024-05-14,671.0,674.15,665.75,667.6,755840
2024-05-15,669.2,673.2,664.5,668.0,595059
2024-05-16,670.0,676.2,662.3,674.7,1059851
2024-05-17,674.7,678.0,670.1,672.75,480158
2024-05-18,672.5,675.8,672.5,673.8,49892
2024-05-21,670.5,678.5,670.5,674.25,761624
2024-05-22,677.75,677.75,672.7,674.45,416046
2024-05-23,675.95,685.35,673.0,682.65,709317
2024-05-24,682.0,691.0,679.3,683.7,742043
2024-05-27,685.9,695.95,681.0,689.55,655471
2024-05-28,691.4,694.5,685.7,687.3,752867
2024-05-29,687.8,690.8,678.5,680.65,721331
2024-05-30,678.0,679.9,659.4,661.65,1155575
2024-05-31,666.5,677.2,664.25,669.75,2841733
2024-06-03,694.9,698.9,683.3,691.55,1148212
2024-06-04,691.6,691.6,637.6,650.95,3299387
2024-06-05,660.4,686.2,653.55,683.65,1218517
2024-06-06,685.0,701.3,682.2,692.6,1465716
2024-06-07,699.5,729.9,694.1,719.15,2984052
2024-06-10,725.0,725.0,707.5,708.9,872318
2024-06-11,708.3,716.9,705.1,713.8,1205213
2024-06-12,714.8,727.7,711.5,721.75,1268508
2024-06-13,725.2,732.5,723.2,729.5,1345495
2024-06-14,729.6,737.0,724.7,734.15,1187488
2024-06-18,736.5,742.95,730.0,733.5,946904
2024-06-19,733.5,734.9,717.8,723.4,520400
2024-06-20,722.0,726.5,711.1,720.7,900158
2024-06-21,723.9,726.5,707.5,713.4,1499818
2024-06-24,707.6,710.7,702.05,708.15,635654
2024-06-25,710.1,714.0,699.8,707.45,1560811
2024-06-26,707.0,717.9,703.5,715.8,912552
2024-06-27,715.0,723.9,708.3,716.65,1137606
2024-06-28,716.5,722.6,710.5,711.55,829584
2024-07-01,707.5,730.4,707.5,727.65,772745
2024-07-02,727.5,727.6,712.2,716.55,1281027
2024-07-03,719.0,728.5,717.0,725.9,836393
2024-07-04,730.1,732.5,710.0,710.7,1897977
2024-07-05,713.4,715.0,707.7,713.8,931079
2024-07-08,714.5,714.75,704.7,709.8,677705
2024-07-09,711.0,714.25,704.2,706.8,973503
2024-07-10,706.8,712.9,702.1,705.5,809714
2024-07-11,708.8,708.8,693.0,695.0,971801
2024-07-12,699.7,704.5,691.5,700.4,1068833
2024-07-15,702.0,708.5,699.5,706.4,533373
2024-07-16,708.0,709.0,700.5,705.9,558200
2024-07-18,704.7,711.8,697.1,711.0,864605
2024-07-19,711.0,711.0,691.0,693.2,938598
2024-07-22,693.2,695.85,684.95,688.4,575193
2024-07-23,693.4,694.5,662.0,672.7,1932212
2024-07-24,663.0,665.5,654.1,660.7,3100626
2024-07-25,656.0,666.6,655.15,664.75,950965
2024-07-26,667.5,680.85,666.7,679.0,1110184
2024-07-29,682.4,685.5,676.6,681.25,748565
2024-07-30,681.25,689.9,678.3,682.35,1179413
2024-07-31,682.7,685.5,679.3,680.7,889659
2024-08-01,683.15,684.4,675.0,677.15,839523
2024-08-02,672.5,675.0,667.3,672.5,622218
2024-08-05,665.0,665.0,653.25,659.65,944041
2024-08-06,662.6,669.7,651.15,653.8,891828
2024-08-07,660.0,665.9,658.1,663.7,464284
2024-08-08,662.5,667.8,657.1,658.2,690389
2024-08-09,670.0,670.0,659.1,661.8,699490
2024-08-12,661.9,664.5,656.4,660.8,674887
2024-08-13,664.5,664.5,645.2,646.5,1072327
2024-08-14,648.25,649.0,643.1,645.85,774276
2024-08-16,650.5,660.0,642.5,659.1,753419
2024-08-19,663.8,665.6,659.35,661.6,528730
2024-08-20,664.7,677.4,661.6,672.2,957159
2024-08-21,672.2,674.7,669.5,673.5,633111
2024-08-22,675.0,676.5,672.4,674.35,728260
2024-08-23,675.5,676.2,670.5,673.6,618045
2024-08-26,677.6,681.9,675.6,677.8,898343
2024-08-27,677.8,687.3,673.0,686.35,2035902
2024-08-28,687.6,691.7,685.2,690.0,848986
2024-08-29,688.9,715.8,688.15,706.35,2639159
2024-08-30,707.1,721.5,707.1,720.0,2044367
2024-09-02,727.4,745.0,722.9,744.0,2296378
2024-09-03,746.0,746.0,720.6,735.4,1898656
2024-09-04,725.5,737.7,724.5,729.95,886746
2024-09-05,732.0,732.65,719.3,724.5,673447
2024-09-06,725.55,739.5,725.55,731.7,1842827
2024-09-09,732.4,737.8,726.25,734.75,878938
2024-09-10,737.0,737.0,719.3,724.15,1308932
2024-09-11,725.0,743.2,720.6,734.55,1104890
2024-09-12,742.0,744.0,729.65,742.8,1446764
2024-09-13,742.8,766.0,735.2,759.85,2208438
2024-09-16,768.0,768.0,732.2,734.6,2679555
2024-09-17,733.75,745.5,728.6,736.55,1567786
2024-09-18,738.7,767.25,737.85,763.1,2974993
2024-09-19,767.5,774.8,756.0,759.0,1720644
2024-09-20,763.5,765.5,748.7,758.25,1645004
2024-09-23,762.6,763.6,753.15,759.5,573497
2024-09-24,759.7,760.35,748.4,755.4,1069540
2024-09-25,754.5,764.0,749.8,762.4,1272038
2024-09-26,764.0,777.95,758.75,776.85,1668165
2024-09-27,778.0,781.0,771.1,775.6,1178131
2024-09-30,774.6,782.4,767.6,770.3,961952
2024-10-01,766.0,781.5,765.1,770.3,788288
2024-10-03,761.0,770.0,738.1,743.4,1040662
2024-10-04,742.0,743.0,715.5,721.1,1768111
2024-10-07,721.1,732.4,719.0,726.95,936227
2024-10-08,726.5,729.55,716.0,718.7,903805
2024-10-09,721.6,742.65,720.6,730.05,1054375
2024-10-10,732.0,736.8,727.3,732.0,559427
2024-10-11,732.5,733.0,722.6,730.2,361587
2024-10-14,729.25,731.4,720.0,720.9,445181
2024-10-15,724.5,725.6,697.9,701.7,1485567
2024-10-16,701.0,705.9,692.0,695.6,1125698
2024-10-17,698.1,699.9,687.1,689.95,689755
2024-10-18,689.3,693.9,682.1,689.95,744929
2024-10-21,690.9,695.1,671.7,678.1,2209966
2024-10-22,680.0,683.3,664.4,667.8,1700619
2024-10-23,660.6,709.9,660.1,699.6,2637391
2024-10-24,701.25,712.25,699.05,704.1,895125
2024-10-25,704.1,706.0,689.3,691.0,1022324
2024-10-28,692.0,704.5,687.5,691.1,714981
2024-10-29,690.9,706.0,680.2,702.25,1409750
2024-10-30,699.9,702.05,693.2,695.5,566044
2024-10-31,694.9,697.1,688.0,689.0,730153
2024-11-01,693.0,694.45,690.2,692.35,45011
2024-11-04,697.5,697.5,675.3,684.4,716239
2024-11-05,684.5,701.5,671.2,693.0,1223430
2024-11-06,693.5,702.4,689.2,700.6,696262
2024-11-07,700.6,703.9,687.0,690.45,459047
2024-11-08,690.45,695.15,684.1,689.6,424840
2024-11-11,686.0,690.4,675.2,677.9,762316
2024-11-12,681.9,683.65,661.5,663.8,1057233
2024-11-13,663.5,670.2,652.65,656.6,867347
2024-11-14,657.2,663.95,653.0,654.9,527703
2024-11-18,663.3,665.7,655.5,656.8,596535
2024-11-19,659.4,664.5,656.1,659.5,804046
2024-11-21,661.4,661.4,645.1,646.6,1101080
2024-11-22,647.0,672.25,645.6,668.4,969855
2024-11-25,679.0,686.3,666.7,668.55,1132751
2024-11-26,672.2,674.0,660.85,661.8,663278
2024-11-27,665.0,673.3,661.2,670.5,642010
2024-11-28,671.4,672.6,649.5,650.95,1576882
2024-11-29,651.9,660.9,651.0,657.6,709643
2024-12-02,659.5,666.5,649.1,665.1,920249
2024-12-03,669.6,672.25,663.1,667.55,1313666
2024-12-04,670.15,676.45,666.65,674.0,1130441
2024-12-05,676.0,689.0,668.55,685.05,1348243
