Date,Open,High,Low,Close,Volume
2023-10-05,242.1,249.95,242.1,243.5,2929120
2023-10-06,244.5,247.8,242.7,243.55,1412449
2023-10-09,239.8,241.8,236.3,241.0,2148049
2023-10-10,243.75,247.5,242.1,245.25,2889245
2023-10-11,247.6,253.7,247.45,250.0,7509376
2023-10-12,251.95,253.0,248.0,249.55,2145930
2023-10-13,247.0,253.9,244.75,250.1,3865281
2023-10-16,251.0,270.5,251.0,261.55,13432946
2023-10-17,263.7,266.2,255.0,256.1,2774865
2023-10-18,256.0,260.5,251.45,254.4,2255431
2023-10-19,252.2,262.0,252.0,257.35,1982684
2023-10-20,256.8,260.5,252.1,253.95,1081977
2023-10-23,254.8,256.2,243.0,245.85,2509868
2023-10-25,246.1,249.7,234.0,235.65,2326779
2023-10-26,236.3,239.55,230.0,234.15,2234238
2023-10-27,239.5,252.4,237.0,246.45,5223659
2023-10-30,245.0,258.4,244.95,255.4,3683859
2023-10-31,257.5,263.75,255.6,261.75,2646479
2023-11-01,260.0,264.5,254.7,255.75,1712365
2023-11-02,259.05,266.0,257.75,263.95,3311101
2023-11-03,265.0,279.5,262.75,277.55,6501737
2023-11-06,280.15,289.7,275.1,279.15,5616910
2023-11-07,280.0,280.0,271.4,276.2,1477120
2023-11-08,278.4,278.8,272.0,273.25,1620117
2023-11-09,273.8,274.65,266.85,267.4,1651186
2023-11-10,265.05,278.0,261.3,274.45,3068143
2023-11-12,277.0,280.5,275.3,278.85,1326628
2023-11-13,276.5,276.7,271.1,271.95,788838
2023-11-15,274.9,277.5,271.6,272.9,1205140
2023-11-16,274.0,275.95,267.95,269.45,849130
2023-11-17,270.4,271.7,263.65,268.25,1215738
2023-11-20,263.35,273.3,258.2,268.75,2272734
2023-11-21,269.0,274.1,263.25,264.8,945259
2023-11-22,265.5,267.2,261.0,265.7,2161998
2023-11-23,267.4,269.7,262.55,263.15,868486
2023-11-24,263.15,265.85,260.1,260.6,587756
2023-11-28,265.95,268.5,258.25,261.05,1754375
2023-11-29,262.5,263.6,258.75,259.85,891114
2023-11-30,260.0,266.9,257.7,264.95,2014145
2023-12-01,267.3,267.3,262.0,262.8,721636
2023-12-04,269.0,285.65,267.3,282.15,12353280
2023-12-05,283.35,287.0,278.55,282.35,2654910
2023-12-06,285.0,289.6,281.2,282.05,3824662
2023-12-07,281.6,285.95,279.1,281.05,2599183
2023-12-08,282.1,288.0,280.5,282.95,2681369
2023-12-11,286.5,299.25,286.5,296.3,20245763
2023-12-12,307.25,319.45,305.1,317.1,26014493
2023-12-13,320.0,324.45,308.0,314.35,9484323
2023-12-14,316.25,319.65,306.0,308.7,6430928
2023-12-15,311.5,315.65,305.0,305.4,3126268
2023-12-18,304.0,313.9,303.1,306.2,2971437
