Date,Open,High,Low,Close,Volume
2023-10-05,428.9,443.25,428.9,442.05,823162
2023-10-06,444.4,473.0,444.0,467.15,3027641
2023-10-09,454.65,480.0,453.35,461.3,2514250
2023-10-10,469.3,490.65,468.35,478.15,2682471
2023-10-11,483.0,502.0,483.0,493.9,2246098
2023-10-12,498.4,504.9,479.0,491.5,1361659
2023-10-13,491.35,497.55,486.0,494.45,686369
2023-10-16,494.5,506.35,490.05,493.65,957247
2023-10-17,496.9,502.05,488.35,493.4,848319
2023-10-18,492.65,498.35,488.65,495.9,624365
2023-10-19,495.0,516.0,491.0,512.55,1422722
2023-10-20,516.65,531.35,512.6,529.25,1817548
2023-10-23,546.65,599.35,544.25,569.05,7114067
2023-10-25,583.35,609.35,565.05,596.25,4826023
2023-10-26,590.0,609.9,528.7,599.75,6510271
2023-10-27,616.35,637.6,613.7,621.0,2991288
2023-10-30,620.35,637.65,592.35,632.55,2171548
2023-10-31,633.35,648.65,616.7,621.0,2092710
2023-11-01,626.0,630.0,593.9,598.2,1772346
2023-11-02,606.25,620.0,583.5,590.35,1559350
2023-11-03,598.35,607.8,594.2,599.85,937351
2023-11-06,606.0,626.45,591.5,621.1,1216474
2023-11-07,622.65,677.1,616.65,672.0,4041344
2023-11-08,676.75,694.8,671.65,690.25,2310619
2023-11-09,690.0,690.65,650.35,654.5,1689896
2023-11-10,656.65,685.0,655.05,670.25,1693527
2023-11-12,700.65,722.85,700.0,708.7,1567608
2023-11-13,711.6,783.35,703.35,773.95,4779549
2023-11-15,793.0,794.35,748.5,767.45,3193144
2023-11-16,767.0,782.0,753.8,775.4,1882695
2023-11-17,779.9,815.0,776.0,803.75,2453846
2023-11-20,816.35,825.0,750.0,754.35,2461774
2023-11-21,766.65,781.65,712.65,716.5,2868177
2023-11-22,720.1,741.3,691.85,696.25,2660338
2023-11-23,699.75,717.25,697.1,707.45,1569213
2023-11-24,710.15,728.95,690.45,723.55,1464925
2023-11-28,748.35,789.95,748.35,782.9,2953417
2023-11-29,789.0,814.0,773.35,809.2,2029006
2023-11-30,808.25,848.1,800.0,825.65,2869864
2023-12-01,833.35,858.35,825.05,832.9,1869971
2023-12-04,857.35,865.0,827.5,837.3,1313588
2023-12-05,840.65,841.4,809.0,814.7,1205986
2023-12-06,815.65,839.8,798.35,828.7,1274800
2023-12-07,831.0,839.65,818.3,821.35,816127
2023-12-08,823.55,828.35,803.35,805.9,623727
2023-12-11,808.45,819.6,762.7,784.45,926748
2023-12-12,788.85,794.35,766.65,768.75,814780
2023-12-13,772.3,808.35,772.3,788.25,1417126
2023-12-14,795.35,806.0,780.05,783.6,678157
2023-12-15,787.95,790.65,770.0,771.25,595661
2023-12-18,775.9,797.55,758.35,790.6,981278
2023-12-19,793.35,806.65,778.1,800.1,807219
2023-12-20,803.65,822.65,758.35,770.6,1569876
