Date,Open,High,Low,Close,Volume
2023-10-05,491.8,499.6,490.6,494.7,60525
2023-10-06,496.0,499.6,489.2,497.9,120412
2023-10-09,490.2,492.0,481.4,482.45,76265
2023-10-10,486.4,491.2,481.8,482.7,45033
2023-10-11,484.7,490.0,482.0,483.0,53171
2023-10-12,487.6,519.8,485.35,512.6,837436
2023-10-13,509.7,515.0,501.0,504.15,100294
2023-10-16,505.0,506.6,497.05,499.15,85054
2023-10-17,502.4,515.75,500.1,514.0,129503
2023-10-18,517.5,527.8,514.0,519.25,263170
2023-10-19,518.75,518.75,505.6,507.8,83892
2023-10-20,508.25,511.0,498.35,500.2,73580
2023-10-23,501.2,503.4,480.2,482.95,89774
2023-10-25,482.95,485.5,473.3,480.55,124291
2023-10-26,479.75,479.75,459.2,460.3,168620
2023-10-27,466.8,468.9,460.0,460.75,97364
2023-10-30,462.4,467.7,455.0,456.1,86508
2023-10-31,458.2,458.8,448.0,449.4,139337
2023-11-01,451.8,458.6,446.0,447.5,161510
2023-11-02,451.7,461.0,450.8,452.7,91735
2023-11-03,456.0,481.5,453.35,478.15,530523
2023-11-06,485.3,488.8,480.4,483.1,322959
2023-11-07,484.4,484.95,478.8,481.4,83815
2023-11-08,488.8,490.8,481.7,485.75,248428
2023-11-09,488.6,488.6,470.2,475.25,312754
2023-11-10,477.75,493.0,477.6,485.1,279541
2023-11-12,499.0,499.0,492.65,497.15,66509
2023-11-13,499.6,545.65,494.75,536.6,1047730
2023-11-15,560.0,572.65,555.0,560.9,1308922
2023-11-16,562.8,578.0,560.45,567.95,713903
2023-11-17,570.0,576.2,556.95,566.6,566692
2023-11-20,573.95,587.0,567.75,570.95,491800
2023-11-21,572.95,579.0,563.45,568.9,247138
2023-11-22,570.0,572.75,548.2,550.7,300305
2023-11-23,551.8,565.45,551.45,558.25,229826
2023-11-24,563.0,565.7,555.0,557.2,122029
2023-11-28,559.6,559.6,544.35,552.15,229410
2023-11-29,557.5,562.4,550.0,556.8,249331
2023-11-30,558.0,565.6,545.55,560.25,355241
2023-12-01,564.0,567.0,555.85,558.7,166019
2023-12-04,570.1,587.7,558.75,578.8,1077444
2023-12-05,593.0,597.6,572.4,574.85,973503
2023-12-06,574.0,574.0,548.6,551.15,960783
2023-12-07,555.0,566.3,550.8,562.2,645099
2023-12-08,564.0,565.0,547.0,548.95,380674
2023-12-11,548.05,550.4,540.0,541.2,348104
2023-12-12,544.0,552.35,538.0,541.65,538563
2023-12-13,541.8,545.1,537.0,541.0,305404
2023-12-14,546.8,551.7,544.0,549.05,335258
2023-12-15,553.65,554.75,541.6,544.4,340402
2023-12-18,544.4,544.4,534.75,538.1,455444
2023-12-19,540.0,549.95,534.45,535.45,447576
2023-12-20,540.2,554.5,529.0,531.05,913662
2023-12-21,528.4,544.6,523.6,542.4,371564
2023-12-22,543.0,546.9,534.2,535.7,291298
2023-12-26,539.05,541.9,530.0,531.45,154057
2023-12-27,537.65,538.75,529.45,531.8,393234
2023-12-28,537.25,537.25,530.0,532.7,207452
2023-12-29,533.0,535.55,529.15,530.3,226597
2024-01-01,531.8,535.4,528.65,529.7,66066
2024-01-02,531.0,539.0,530.1,533.95,143141
2024-01-03,534.15,537.15,529.9,530.4,112428
2024-01-04,535.0,548.95,534.2,541.65,268532
2024-01-05,545.05,553.6,542.45,549.65,354882
2024-01-08,553.8,557.7,550.8,552.9,259268
2024-01-09,556.8,558.0,551.1,553.3,183656
2024-01-10,553.3,556.0,549.8,552.25,135336
2024-01-11,554.4,561.25,553.0,558.75,320624
2024-01-12,562.0,571.5,558.4,567.85,420064
2024-01-15,570.2,572.0,566.75,570.0,322982
2024-01-16,570.0,573.35,564.0,569.55,295251
2024-01-17,567.8,574.4,559.8,564.8,263893
2024-01-18,561.0,563.3,543.25,560.65,284083
2024-01-19,563.2,565.6,555.4,560.95,172854
2024-01-20,557.6,567.75,551.3,553.15,60975
2024-01-23,556.2,556.95,540.6,548.0,208855
2024-01-24,540.2,555.9,532.1,546.6,822067
2024-01-25,547.0,553.0,541.4,549.45,74779
2024-01-29,543.0,549.5,541.55,548.45,131601
2024-01-30,548.6,567.0,548.6,554.3,295643
2024-01-31,559.6,586.95,557.0,579.4,686982
2024-02-01,586.75,586.75,571.2,576.0,186804
2024-02-02,576.1,585.5,574.2,577.05,283198
2024-02-05,580.0,592.0,578.2,579.65,336280
2024-02-06,579.65,597.0,578.4,588.45,647373
2024-02-07,592.0,595.75,565.6,570.4,456899
2024-02-08,571.0,605.0,571.0,587.6,591677
2024-02-09,589.2,596.4,574.0,581.05,181926
2024-02-12,585.8,592.65,562.95,571.4,230380
2024-02-13,569.05,573.4,555.35,565.15,264787
2024-02-14,558.0,570.25,557.7,568.05,111100
2024-02-15,569.6,584.0,569.6,581.9,171850
