Date,Open,High,Low,Close,Volume
2023-10-05,2121.7,2215.35,2100.0,2110.6,225385
2023-10-06,2120.6,2150.0,2117.4,2125.25,48312
2023-10-09,2080.15,2097.55,2056.35,2071.85,61633
2023-10-10,2081.7,2114.1,2077.0,2085.95,54999
2023-10-11,2090.0,2185.0,2085.0,2148.55,426552
2023-10-12,2165.7,2178.0,2129.75,2143.05,99070
2023-10-13,2135.0,2154.9,2128.0,2136.75,68994
2023-10-16,2159.7,2162.95,2091.0,2101.95,145314
2023-10-17,2320.0,2337.0,2169.0,2194.75,2766126
2023-10-18,2230.0,2240.0,2162.0,2195.5,560987
2023-10-19,2195.5,2210.2,2176.55,2184.15,276788
2023-10-20,2192.0,2283.85,2184.15,2203.05,804702
2023-10-23,2210.0,2215.45,2060.0,2083.35,297527
2023-10-25,2126.05,2159.5,2086.35,2100.6,318924
2023-10-26,2100.6,2128.9,2081.05,2114.25,303772
2023-10-27,2140.0,2140.0,2102.05,2111.35,183271
2023-10-30,2123.7,2125.0,2091.5,2102.85,108005
2023-10-31,2129.0,2129.0,2100.0,2108.6,143522
2023-11-01,2125.0,2135.0,2105.55,2111.4,160628
2023-11-02,2140.0,2149.9,2121.05,2130.5,189390
2023-11-03,2145.0,2213.6,2121.4,2128.25,269192
2023-11-06,2124.95,2142.2,2090.7,2093.75,192545
2023-11-07,2124.85,2124.85,2095.35,2099.6,149828
2023-11-08,2115.35,2230.0,2110.35,2123.2,748248
2023-11-09,2140.25,2239.9,2132.45,2150.5,731863
2023-11-10,2150.0,2152.0,2101.1,2107.1,304330
2023-11-12,2133.6,2149.9,2120.5,2134.45,36822
2023-11-13,2133.0,2134.95,2101.5,2110.2,161739
2023-11-15,2146.6,2153.9,2105.05,2114.25,229063
2023-11-16,2128.1,2128.95,2109.0,2118.95,209103
2023-11-17,2132.45,2138.0,2104.95,2113.2,186065
2023-11-20,2120.95,2125.0,2095.05,2098.95,115093
2023-11-21,2110.0,2125.7,2106.55,2119.45,192099
2023-11-22,2124.95,2131.0,2091.05,2098.15,164523
2023-11-23,2099.95,2121.0,2061.0,2092.7,293879
2023-11-24,2101.95,2108.9,2093.1,2098.95,86411
2023-11-28,2118.0,2129.0,2081.55,2091.0,186534
2023-11-29,2120.0,2120.0,2097.65,2099.6,99605
2023-11-30,2117.3,2117.3,2095.0,2099.9,152367
2023-12-01,2100.0,2189.3,2092.35,2171.9,1421153
2023-12-04,2210.0,2219.0,2155.0,2193.2,519074
2023-12-05,2201.95,2254.0,2180.0,2244.65,817181
2023-12-06,2259.7,2260.0,2214.0,2225.15,296374
2023-12-07,2247.9,2295.0,2236.6,2288.85,850200
2023-12-08,2294.0,2334.8,2260.05,2322.85,512177
2023-12-11,2336.0,2344.0,2282.5,2286.6,221499
2023-12-12,2294.95,2362.05,2291.0,2328.9,534628
2023-12-13,2347.9,2400.0,2331.1,2375.85,378055
2023-12-14,2378.95,2410.0,2371.0,2391.2,230642
2023-12-15,2413.95,2413.95,2351.0,2365.25,188744
2023-12-18,2365.25,2434.0,2352.0,2427.0,325061
2023-12-19,2453.95,2456.0,2396.0,2439.95,327889
2023-12-20,2454.95,2455.0,2311.0,2319.4,281108
2023-12-21,2273.5,2424.85,2261.35,2414.85,219741
2023-12-22,2427.0,2435.15,2385.0,2399.9,109509
