Date,Open,High,Low,Close,Volume
2023-10-05,199.5,200.95,194.6,196.3,240109
2023-10-06,198.1,199.95,195.5,196.1,189253
2023-10-09,198.5,200.5,192.0,193.85,255775
2023-10-10,194.75,195.95,190.45,192.6,201777
2023-10-11,193.45,195.95,191.0,193.35,167888
2023-10-12,194.35,195.0,191.2,192.1,164822
2023-10-13,191.25,193.7,188.65,190.25,190587
2023-10-16,191.75,191.75,188.25,189.2,224424
2023-10-17,191.1,192.25,188.4,190.5,160841
2023-10-18,191.4,191.4,187.5,188.8,131662
2023-10-19,187.5,189.85,186.1,187.4,151491
2023-10-20,186.7,190.0,185.95,188.75,123285
2023-10-23,188.75,189.95,183.6,184.75,82304
2023-10-25,185.6,189.75,183.0,188.0,130229
2023-10-26,186.3,191.95,183.9,190.9,123173
2023-10-27,191.85,194.25,190.4,191.7,100388
2023-10-30,191.25,192.0,188.95,189.5,163012
2023-10-31,190.5,192.5,189.5,190.25,114688
2023-11-01,191.2,192.5,187.6,191.2,184257
2023-11-02,192.45,194.5,189.4,191.5,229302
2023-11-03,191.5,193.7,188.75,189.75,107664
2023-11-06,189.25,190.7,185.6,187.2,126882
2023-11-07,187.5,192.5,186.3,190.45,204320
2023-11-08,190.5,195.9,188.85,190.75,236567
2023-11-09,190.5,191.4,187.8,188.55,88264
2023-11-10,188.55,191.25,186.25,190.5,118267
2023-11-12,190.75,191.5,190.45,191.0,31068
2023-11-13,191.4,192.5,188.35,188.9,86749
2023-11-15,189.85,192.1,186.75,188.0,90530
2023-11-16,188.9,193.5,187.9,192.85,142335
2023-11-17,190.0,196.25,189.05,189.85,117766
2023-11-20,190.85,190.85,187.5,187.75,83036
2023-11-21,188.7,190.2,187.8,187.95,111839
2023-11-22,187.5,191.2,187.15,189.3,145053
2023-11-23,189.75,189.75,187.4,187.6,132133
2023-11-24,188.45,188.45,186.0,186.5,120652
2023-11-28,186.5,188.85,184.5,187.75,149228
2023-11-29,187.5,188.75,184.05,184.85,1104833
2023-11-30,185.7,187.25,183.25,186.7,80833
2023-12-01,187.65,187.65,183.8,185.6,104115
2023-12-04,186.5,205.2,186.25,188.6,364951
2023-12-05,188.6,189.35,187.0,188.4,101231
2023-12-06,189.45,189.45,185.3,187.05,96237
2023-12-07,187.95,197.1,185.6,194.5,183627
2023-12-08,193.4,193.4,190.0,190.9,108991
2023-12-11,191.9,192.7,190.05,191.0,137220
2023-12-12,195.0,199.5,189.3,190.0,243152
2023-12-13,190.95,192.4,189.45,190.9,142546
2023-12-14,191.8,191.9,189.75,190.5,139338
2023-12-15,191.2,191.55,190.1,190.5,144544
2023-12-18,191.2,192.2,189.55,190.95,45670
2023-12-19,191.7,197.75,190.4,196.15,159650
2023-12-20,196.15,196.15,190.0,193.5,59087
2023-12-21,191.4,194.1,191.3,193.8,66354
2023-12-22,193.25,193.9,191.5,192.55,110590
2023-12-26,193.5,193.5,190.95,191.7,51902
2023-12-27,192.0,198.6,191.25,194.3,161060
2023-12-28,193.3,195.0,191.95,192.9,50213
2023-12-29,191.6,193.95,191.3,192.4,39669
2024-01-01,191.2,196.25,191.2,193.7,39942
2024-01-02,194.7,195.3,192.05,192.9,49002
2024-01-03,192.9,195.1,192.3,193.85,35015
2024-01-04,193.85,193.85,191.4,193.2,35298
2024-01-05,193.2,198.35,192.5,194.1,124694
2024-01-08,195.0,230.0,193.0,222.45,4139420
2024-01-09,221.7,235.0,211.15,213.25,1774090
2024-01-10,213.45,217.7,208.2,210.35,304467
2024-01-11,211.4,217.1,209.5,211.8,171144
2024-01-12,212.55,217.0,210.25,211.55,135991
2024-01-15,211.75,221.2,200.8,203.3,568352
2024-01-16,235.0,243.95,218.1,239.5,4308867
2024-01-17,252.75,262.25,245.5,247.1,5063610
2024-01-18,246.75,254.05,236.3,238.5,1717850
2024-01-19,240.9,248.7,238.75,245.5,574382
2024-01-20,245.5,248.5,241.3,244.2,201050
2024-01-23,247.4,247.4,236.25,238.9,198104
2024-01-24,239.75,242.75,235.0,238.7,341574
2024-01-25,238.7,248.0,232.5,235.1,711214
2024-01-29,245.0,256.2,240.4,249.0,751197
2024-01-30,247.5,251.4,235.7,237.0,562517
2024-01-31,236.75,239.0,235.7,236.9,110109
2024-02-01,237.9,242.5,237.55,241.7,157759
2024-02-02,244.7,244.9,239.05,241.55,205204
2024-02-05,243.5,244.75,231.75,232.45,369334
2024-02-06,234.35,237.15,230.6,231.25,120266
2024-02-07,236.2,236.9,229.75,230.1,427063
2024-02-08,231.3,233.75,226.5,230.55,390903
2024-02-09,232.5,234.8,229.0,231.2,153514
2024-02-12,233.0,233.0,223.0,225.0,102715
2024-02-13,226.1,232.5,223.75,231.7,139557
2024-02-14,230.25,234.4,228.55,232.35,55292
2024-02-15,235.0,237.5,233.0,236.8,66629
2024-02-16,238.75,241.0,236.85,238.1,96649
2024-02-19,241.65,241.65,237.9,238.4,67712
2024-02-20,239.5,239.6,236.5,237.4,34495
2024-02-21,238.55,241.95,237.75,239.5,806168
2024-02-22,240.75,241.6,238.0,239.2,73691
2024-02-23,239.6,242.7,239.25,240.75,86933
2024-02-26,243.05,257.5,242.5,249.8,1133154
2024-02-27,248.0,252.5,243.75,244.5,224572
2024-02-28,247.1,248.25,241.25,242.9,106533
2024-02-29,243.0,244.15,238.0,241.2,98233
2024-03-01,243.2,248.6,241.9,247.4,180881
