Date,Open,High,Low,Close,Volume
2023-10-05,570.3,580.55,566.2,567.5,805424
2023-10-06,570.55,573.7,566.85,572.25,445913
2023-10-09,563.45,570.4,559.5,567.85,694946
2023-10-10,572.15,574.1,563.1,563.85,656117
2023-10-11,564.8,566.95,556.85,558.75,474477
2023-10-12,560.8,563.25,556.3,560.85,1786426
2023-10-13,561.7,572.3,556.75,570.5,1154348
2023-10-16,572.5,574.65,564.35,573.3,1370256
2023-10-17,576.0,578.65,573.65,578.0,802524
2023-10-18,578.0,579.75,569.9,575.5,1200250
2023-10-19,571.05,571.95,565.1,570.75,1651315
2023-10-20,568.0,571.9,563.0,566.35,1364869
2023-10-23,566.6,570.25,555.95,560.55,1288944
2023-10-25,559.2,569.6,552.7,555.25,674117
2023-10-26,551.25,563.95,540.0,553.0,810939
2023-10-27,553.5,562.8,549.05,551.35,891975
2023-10-30,552.1,558.8,547.2,551.05,986581
2023-10-31,554.9,555.7,546.7,550.55,568594
2023-11-01,550.55,551.9,537.75,540.4,284653
2023-11-02,543.25,548.8,542.85,546.0,936398
2023-11-03,561.5,575.85,560.9,571.0,4841128
2023-11-06,576.0,593.6,574.4,587.8,2593068
2023-11-07,590.35,596.8,581.65,594.4,702505
2023-11-08,594.45,596.5,589.9,593.4,409412
2023-11-09,591.3,593.55,584.2,588.3,399667
2023-11-10,588.3,591.2,580.8,589.5,488913
2023-11-12,589.6,595.2,588.1,592.2,85142
2023-11-13,591.95,594.15,584.5,590.05,679954
2023-11-15,592.0,609.0,590.3,604.45,1248206
2023-11-16,604.65,606.85,600.15,601.35,1304037
2023-11-17,601.35,604.0,596.15,600.55,563879
2023-11-20,600.55,606.5,596.4,600.75,887881
2023-11-21,604.8,613.5,598.3,599.5,1006393
2023-11-22,601.6,605.95,593.15,599.35,430759
2023-11-23,599.7,602.9,590.65,601.25,295661
2023-11-24,603.75,603.75,593.6,598.9,749709
2023-11-28,600.8,615.2,598.4,613.5,845708
2023-11-29,616.8,616.8,608.9,614.5,964233
2023-11-30,612.9,622.3,607.25,620.8,1424004
2023-12-01,620.0,630.35,616.4,628.1,1154908
2023-12-04,643.2,643.2,630.25,640.7,1794043
2023-12-05,640.7,645.1,629.9,638.5,1782971
2023-12-06,639.95,645.5,629.9,639.1,1233932
2023-12-07,639.9,677.65,634.65,673.9,3432629
2023-12-08,688.0,688.6,664.1,674.55,1696687
2023-12-11,677.1,677.1,668.45,675.7,765109
2023-12-12,680.0,694.25,677.6,684.5,1287959
2023-12-13,684.75,696.95,674.85,690.2,3260734
2023-12-14,692.75,703.2,684.2,700.6,1759665
2023-12-15,703.2,703.9,686.0,687.9,1476551
2023-12-18,688.35,698.95,681.75,695.5,1740503
2023-12-19,700.8,701.2,684.0,688.3,1608667
2023-12-20,695.9,700.75,657.7,664.5,1413534
2023-12-21,657.9,675.1,653.1,671.8,1066836
2023-12-22,668.75,673.35,659.4,665.9,1541803
2023-12-26,668.0,681.9,664.8,673.4,876297
2023-12-27,673.4,677.5,666.45,670.1,1122363
2023-12-28,673.2,689.15,670.4,685.5,1787246
2023-12-29,690.05,694.15,680.8,687.7,1071326
2024-01-01,688.0,699.05,683.3,688.95,759906
2024-01-02,691.6,706.15,676.0,703.7,1362479
2024-01-03,706.35,712.25,695.45,705.7,1965216
2024-01-04,708.0,746.15,708.0,730.65,4075191
2024-01-05,735.4,736.1,709.1,716.7,983472
2024-01-08,719.1,719.1,694.45,696.65,1078181
2024-01-09,704.0,716.8,703.35,708.75,1385563
2024-01-10,709.3,713.2,694.55,709.05,997946
2024-01-11,716.0,733.2,712.0,722.3,1960470
2024-01-12,730.35,730.35,705.2,711.75,1435565
2024-01-15,716.0,725.5,707.7,721.0,1027152
2024-01-16,723.15,723.15,698.6,706.15,1299501
2024-01-17,704.0,705.3,674.8,680.1,1856770
2024-01-18,680.0,680.0,651.1,674.9,2296029
2024-01-19,680.0,694.1,672.5,686.95,1564164
2024-01-20,694.4,715.7,691.65,698.7,1485117
2024-01-23,702.35,707.0,653.7,660.25,1482258
2024-01-24,662.4,674.7,653.3,672.9,1124950
2024-01-25,675.2,677.1,654.5,662.9,1772063
2024-01-29,664.8,694.3,652.15,688.3,6047472
2024-01-30,694.4,715.6,684.0,692.35,6244159
2024-01-31,697.2,713.6,692.0,710.0,2756554
2024-02-01,714.15,739.45,698.1,736.95,4773808
2024-02-02,749.65,750.3,732.1,736.05,3415920
2024-02-05,744.05,761.5,730.45,744.3,3238887
2024-02-06,748.7,752.35,736.0,748.6,1185651
2024-02-07,750.4,751.2,734.45,738.05,1022135
2024-02-08,742.4,771.2,736.15,760.7,3711989
2024-02-09,768.8,777.25,728.1,754.7,2799376
2024-02-12,761.55,761.55,725.2,730.9,2251407
2024-02-13,731.9,746.9,715.2,740.25,1624595
2024-02-14,736.7,754.0,730.4,751.7,1538122
2024-02-15,759.2,769.3,747.2,764.1,1713175
2024-02-16,765.6,789.6,760.95,784.65,3576995
2024-02-19,787.8,812.15,773.15,808.2,3354158
2024-02-20,801.2,811.0,792.0,799.85,3193542
2024-02-21,803.2,822.1,788.9,793.5,3854456
2024-02-22,802.2,819.2,788.55,810.95,2872499
2024-02-23,817.2,817.2,801.0,803.95,1290598
2024-02-26,803.95,804.25,783.0,789.65,3999562
2024-02-27,789.65,798.7,772.15,777.65,1540090
2024-02-28,784.15,788.75,760.95,765.8,1761906
2024-02-29,761.75,788.5,756.0,781.9,3664111
2024-03-01,787.05,791.1,777.9,782.45,627986
2024-03-02,780.15,789.35,778.1,785.1,73811
2024-03-04,781.65,792.6,777.6,788.9,1935494
2024-03-05,787.3,788.15,772.9,774.35,1258586
2024-03-06,772.0,780.0,759.45,777.35,1005912
2024-03-07,777.65,780.55,767.25,771.75,763240
2024-03-11,771.75,777.3,760.6,764.6,1674256
2024-03-12,764.0,771.2,737.35,740.0,817033
2024-03-13,734.5,742.95,682.5,689.95,3796016
2024-03-14,689.95,736.8,683.95,694.35,1997066
2024-03-15,694.45,697.9,676.0,692.6,2284557
2024-03-18,695.1,703.5,679.55,683.9,1604337
2024-03-19,683.2,686.3,662.1,665.35,1306629
2024-03-20,668.45,674.65,655.55,671.7,1182471
2024-03-21,680.8,702.05,677.05,698.55,2443904
2024-03-22,698.55,704.75,691.7,694.5,999736
2024-03-26,694.5,704.35,690.2,694.45,950457
2024-03-27,696.0,709.6,689.75,692.95,1643044
2024-03-28,695.2,713.35,691.7,705.7,1661176
2024-04-01,715.2,727.1,710.2,721.8,2133855
2024-04-02,723.2,737.75,717.7,733.7,1302199
2024-04-03,733.7,740.15,727.7,731.15,689633
2024-04-04,736.0,740.9,728.0,730.9,716188
2024-04-05,730.9,753.75,724.35,746.8,1816263
2024-04-08,747.2,749.35,713.6,729.1,2331541
2024-04-09,737.0,747.1,731.65,739.5,1117137
2024-04-10,742.15,779.8,740.5,776.55,4586719
2024-04-12,775.2,779.95,755.35,757.45,997938
2024-04-15,747.3,763.1,737.8,743.1,2887446
2024-04-16,736.0,767.9,733.7,757.5,2600963
2024-04-18,763.75,763.95,736.0,739.3,1614368
2024-04-19,732.8,747.15,718.7,741.5,1884184
2024-04-22,751.9,758.7,743.55,756.6,1124453
2024-04-23,756.8,766.75,751.95,758.7,1271123
2024-04-24,758.3,781.1,758.25,778.45,2166181
2024-04-25,785.3,809.6,774.55,803.85,3929729
2024-04-26,807.95,863.2,804.95,854.4,7642272
2024-04-29,866.4,867.1,829.1,839.65,3847372
2024-04-30,846.4,847.9,819.5,822.4,2814829
2024-05-02,827.0,844.45,822.9,840.4,1530017
2024-05-03,848.95,859.0,838.45,847.55,2723333
2024-05-06,855.2,855.2,822.2,825.9,1290298
2024-05-07,826.4,827.0,788.0,801.9,2022960
2024-05-08,803.95,825.6,800.4,815.25,1361317
2024-05-09,814.2,821.6,790.35,792.5,839141
2024-05-10,798.4,810.4,782.45,801.4,1407788
2024-05-13,807.6,814.95,794.5,810.55,2352890
2024-05-14,816.7,828.0,804.0,821.7,1129308
2024-05-15,823.9,830.9,817.05,821.75,1057905
2024-05-16,825.6,833.6,815.25,829.1,1069653
2024-05-17,828.0,892.85,798.9,869.65,12366085
2024-05-18,881.6,888.0,878.45,880.7,733169
2024-05-21,894.4,895.35,862.0,875.1,3637937
2024-05-22,876.8,880.0,856.05,865.45,1796314
2024-05-23,867.15,890.6,861.25,884.7,3765254
2024-05-24,887.9,895.9,876.75,882.3,2248991
2024-05-27,890.7,892.4,878.1,882.45,2770553
2024-05-28,884.8,889.05,856.25,864.55,2215982
2024-05-29,861.55,877.75,849.6,867.85,1886810
2024-05-30,862.4,869.35,850.75,852.85,841185
2024-05-31,858.4,864.5,837.25,859.9,2862392
2024-06-03,897.6,944.0,884.0,939.4,7777140
2024-06-04,944.0,944.0,704.55,759.0,11525081
2024-06-05,783.2,803.9,712.7,794.6,9725718
2024-06-06,811.2,859.45,804.1,842.2,4231087
2024-06-07,845.6,848.0,832.4,843.85,1823209
2024-06-10,849.1,859.1,833.9,843.95,3010024
2024-06-11,852.45,877.2,842.1,870.25,4660360
2024-06-12,876.8,921.6,871.7,913.1,7365867
2024-06-13,921.9,922.7,901.25,912.25,1696148
2024-06-14,912.0,917.3,899.6,911.9,2423581
2024-06-18,911.9,915.95,905.05,912.25,823281
2024-06-19,912.0,912.0,880.8,882.45,2279630
2024-06-20,880.05,890.85,869.7,876.75,1775105
2024-06-21,878.4,892.75,870.4,872.7,1650747
2024-06-24,864.05,865.2,831.5,839.5,5176051
2024-06-25,847.95,849.55,838.65,841.1,1670151
2024-06-26,841.1,849.55,835.2,837.85,1596944
2024-06-27,840.8,846.65,823.5,838.4,1175750
2024-06-28,836.1,843.6,827.75,833.9,1250197
2024-07-01,831.25,836.55,824.55,829.1,1207666
2024-07-02,828.05,833.25,813.6,821.85,1921959
2024-07-03,824.0,828.0,812.65,818.05,1809188
2024-07-04,820.55,837.05,819.25,826.05,2949896
2024-07-05,825.6,856.25,821.7,846.3,3546969
2024-07-08,851.15,851.75,827.05,834.5,2604978
2024-07-09,831.25,844.65,814.85,832.25,2654169
2024-07-10,838.3,838.75,812.0,835.2,2061836
2024-07-11,843.1,854.4,832.05,847.2,2250522
2024-07-12,853.45,853.55,833.25,845.95,2174424
2024-07-15,850.1,850.1,834.65,845.1,3021990
2024-07-16,856.8,860.0,836.2,838.3,5977405
2024-07-18,848.8,850.4,824.0,831.75,5805768
2024-07-19,829.6,832.4,805.75,808.75,1911619
2024-07-22,803.2,836.75,792.85,831.25,2528388
2024-07-23,843.95,844.0,790.95,824.2,3998368
2024-07-24,820.85,830.7,816.0,819.45,1943815
2024-07-25,812.0,823.2,806.7,811.9,2277785
2024-07-26,812.8,836.85,812.8,831.95,2483148
2024-07-29,839.95,846.5,829.7,831.95,2233424
2024-07-30,831.95,843.75,830.45,838.9,1740727
2024-07-31,847.35,847.35,830.4,832.35,1158486
2024-08-01,832.6,835.95,823.9,830.45,1198855
2024-08-02,823.3,831.85,816.45,824.1,1186188
2024-08-05,808.1,812.1,780.0,782.6,3400489
2024-08-06,795.2,808.05,782.7,786.0,1774810
2024-08-07,800.75,806.55,793.7,803.7,1618060
2024-08-08,807.2,810.95,794.4,798.3,1329610
2024-08-09,800.8,804.05,775.05,784.65,3717978
2024-08-12,780.0,786.85,764.6,784.1,3086835
2024-08-13,787.9,788.75,763.2,765.4,1767025
2024-08-14,768.8,770.4,753.75,761.1,1483608
2024-08-16,764.0,784.8,763.35,783.15,1098849
2024-08-19,791.85,791.85,767.55,774.65,2316816
2024-08-20,777.55,786.3,771.2,783.7,937965
2024-08-21,783.25,793.9,778.6,791.35,1436705
2024-08-22,792.8,797.5,788.0,791.1,1419281
2024-08-23,791.1,799.55,788.7,792.3,1843828
2024-08-26,793.6,801.0,791.7,794.25,1634061
2024-08-27,794.25,796.5,786.5,787.95,1151524
2024-08-28,788.0,789.5,776.4,777.55,1354925
2024-08-29,779.2,779.2,760.9,770.4,1775884
2024-08-30,775.15,780.2,770.1,772.1,1763647
2024-09-02,775.2,778.5,766.65,769.7,1766518
2024-09-03,770.8,783.6,769.0,779.9,1371843
2024-09-04,775.1,779.2,764.15,772.1,2112938
2024-09-05,774.4,776.9,766.4,768.25,2366186
2024-09-06,769.8,769.8,751.45,754.1,2648249
2024-09-09,753.6,760.8,745.25,757.55,2189268
2024-09-10,762.85,762.85,748.8,751.45,1606961
2024-09-11,752.95,757.6,744.8,749.65,1634827
2024-09-12,753.15,763.2,750.5,761.05,1274303
2024-09-13,764.25,773.3,762.5,769.1,1726021
2024-09-16,772.0,772.7,760.3,761.2,1006437
2024-09-17,761.2,763.85,752.05,756.1,779425
2024-09-18,756.0,758.3,737.5,742.05,950529
2024-09-19,742.45,748.45,721.25,730.5,2683503
2024-09-20,724.8,724.8,705.6,714.4,4834345
2024-09-23,718.4,719.1,701.1,709.95,3669159
2024-09-24,709.95,720.55,708.5,714.6,1574531
2024-09-25,714.4,715.15,708.1,711.45,1043855
2024-09-26,709.95,715.7,708.45,713.55,923418
2024-09-27,713.6,733.2,713.6,729.0,2453157
2024-09-30,729.0,739.15,724.8,734.65,2175799
2024-10-01,738.4,741.55,732.1,737.35,1205512
2024-10-03,723.8,733.75,708.4,712.4,1296415
2024-10-04,708.0,713.45,696.0,704.85,2388156
2024-10-07,708.7,711.8,686.4,694.65,2135446
2024-10-08,696.0,715.35,693.9,713.35,626929
2024-10-09,717.55,725.05,710.95,717.1,702284
2024-10-10,719.9,726.35,708.7,710.5,1131722
2024-10-11,713.15,719.3,706.1,715.1,839159
2024-10-14,708.0,711.6,696.4,704.65,1415657
2024-10-15,707.5,711.9,700.4,711.15,761379
2024-10-16,708.0,711.95,705.25,708.65,416589
2024-10-17,711.2,711.2,692.8,695.1,1052737
2024-10-18,691.25,700.8,683.65,698.1,1432195
2024-10-21,698.4,700.75,676.1,680.2,1116638
2024-10-22,680.8,682.35,669.6,675.5,1475743
2024-10-23,676.75,681.35,653.6,655.9,1729635
2024-10-24,660.0,665.6,649.4,651.05,921067
2024-10-25,654.35,655.85,624.45,636.25,1043417
2024-10-28,639.15,640.9,623.0,624.6,1753958
2024-10-29,629.5,649.6,625.9,647.2,1141795
2024-10-30,643.15,675.4,641.05,668.35,2829127
2024-10-31,668.75,682.4,668.75,677.7,1876152
2024-11-01,677.7,680.8,672.0,676.15,181775
2024-11-04,676.15,676.2,664.0,670.6,1332843
2024-11-05,664.5,672.0,648.05,669.5,2040055
2024-11-06,671.2,688.7,665.7,686.75,1067959
2024-11-07,690.9,694.4,677.45,679.0,765172
2024-11-08,682.0,682.0,657.6,661.9,1154194
2024-11-11,661.9,665.25,650.45,663.9,743364
2024-11-12,663.95,669.5,644.8,647.8,622501
2024-11-13,644.0,651.2,628.45,633.9,724162
2024-11-14,633.6,636.45,621.2,628.5,656637
2024-11-18,631.7,633.85,625.9,628.7,703483
2024-11-19,636.4,648.15,624.25,628.6,2035040
