Date,Open,High,Low,Close,Volume
2023-10-05,2108.1,2110.0,2081.0,2093.4,43856
2023-10-06,2095.05,2106.95,2088.0,2093.0,40001
2023-10-09,2052.0,2079.95,2031.55,2056.8,65113
2023-10-10,2069.95,2095.05,2054.25,2067.7,32389
2023-10-11,2084.95,2097.95,2066.85,2090.7,43950
2023-10-12,2089.95,2092.0,2058.3,2062.65,46030
2023-10-13,2050.0,2058.95,2022.55,2027.65,89647
2023-10-16,2005.6,2024.0,1974.6,1994.65,155320
2023-10-17,2066.45,2130.0,2056.1,2091.2,368211
2023-10-18,2115.0,2127.8,2065.0,2080.55,94606
2023-10-19,2091.0,2091.0,2045.0,2058.35,55151
2023-10-20,2066.95,2085.0,2019.25,2031.0,45634
2023-10-23,2030.0,2030.0,1912.0,1949.05,93956
2023-10-25,1949.05,1954.05,1810.0,1826.25,264194
2023-10-26,1826.0,1894.7,1735.0,1835.15,261383
2023-10-27,1874.9,1936.95,1852.9,1925.05,135598
2023-10-30,1937.65,1938.3,1870.1,1892.6,68118
2023-10-31,1901.0,1928.5,1854.1,1867.4,78540
2023-11-01,1878.95,1894.95,1840.0,1854.9,57981
2023-11-02,1880.0,1898.2,1845.0,1861.05,64237
2023-11-03,1874.0,1938.8,1874.0,1918.2,121336
2023-11-06,2000.0,2031.35,1937.55,1956.8,427944
2023-11-07,1962.65,1978.75,1950.1,1955.35,81191
2023-11-08,1973.65,1992.95,1950.8,1957.6,76874
2023-11-09,1961.0,1969.0,1875.0,1883.55,149861
2023-11-10,1883.0,1890.9,1815.0,1832.6,198305
2023-11-12,1872.0,1950.0,1860.0,1906.15,55915
2023-11-13,1905.05,1905.05,1858.0,1868.5,83680
2023-11-15,1877.5,1898.0,1850.0,1856.25,118424
2023-11-16,1856.25,1870.25,1845.0,1851.3,68795
2023-11-17,1850.0,1859.05,1823.25,1827.8,102230
2023-11-20,1828.75,1859.9,1828.75,1840.75,59169
2023-11-21,1859.4,1861.9,1840.0,1845.2,75914
2023-11-22,1856.85,1858.0,1825.8,1839.2,52813
2023-11-23,1845.25,1867.0,1838.3,1852.4,47311
2023-11-24,1859.9,1990.0,1855.35,1979.65,651391
2023-11-28,2006.65,2024.0,1933.9,1939.45,253130
2023-11-29,1949.15,2017.9,1947.05,1971.8,125111
2023-11-30,1978.0,2017.0,1970.0,2012.7,185308
2023-12-01,2025.0,2086.55,2022.0,2052.5,211808
2023-12-04,2094.8,2111.2,2051.05,2087.65,196054
2023-12-05,2090.0,2097.95,2025.05,2049.7,135025
2023-12-06,2049.7,2058.0,2007.0,2042.95,106266
2023-12-07,2042.0,2059.45,2015.75,2022.5,72967
2023-12-08,2022.0,2048.3,1983.05,2001.1,82156
2023-12-11,2008.65,2090.0,2008.65,2030.1,228686
2023-12-12,2033.0,2069.0,2014.5,2029.4,96208
2023-12-13,2029.95,2038.8,2003.05,2022.1,50993
2023-12-14,2026.5,2039.65,1990.0,2001.1,98317
2023-12-15,2005.3,2035.5,1992.6,2002.2,131010
2023-12-18,2003.4,2025.0,1996.25,2001.1,51892
2023-12-19,2005.0,2036.95,1978.0,1983.0,128653
2023-12-20,1983.0,2009.0,1911.55,1930.05,99808
2023-12-21,1915.0,1960.0,1901.25,1942.3,91390
2023-12-22,1954.75,1997.85,1940.05,1962.85,75188
2023-12-26,1962.85,1978.0,1920.05,1925.45,102068
2023-12-27,1931.95,1942.9,1878.5,1882.9,201347
2023-12-28,1902.15,1902.15,1874.0,1881.75,103122
2023-12-29,1882.95,1903.4,1855.0,1861.2,130340
2024-01-01,1862.0,1869.45,1830.0,1840.9,404794
2024-01-02,1849.65,1926.8,1849.65,1898.8,363749
2024-01-03,1911.4,1916.8,1849.5,1855.95,151537
2024-01-04,1874.65,1891.35,1866.05,1879.3,213136
2024-01-05,1900.0,1922.75,1877.0,1903.45,116200
2024-01-08,1903.5,1995.45,1890.3,1978.55,464287
2024-01-09,2000.0,2007.8,1945.0,1961.05,146932
2024-01-10,1964.95,2001.1,1934.05,1978.1,147756
2024-01-11,1994.0,1994.0,1958.95,1973.2,71143
2024-01-12,1980.8,2000.0,1970.0,1983.65,123598
2024-01-15,1999.65,1999.65,1955.0,1958.35,92887
2024-01-16,1959.0,1983.85,1902.0,1923.8,110536
2024-01-17,1905.0,1980.0,1881.7,1976.15,207091
2024-01-18,1971.75,1982.15,1900.0,1933.35,105851
2024-01-19,1958.65,1963.8,1912.3,1922.85,57018
2024-01-20,1929.55,1945.5,1869.2,1882.5,135974
2024-01-23,1889.95,1909.0,1832.9,1860.15,95697
2024-01-24,1859.0,1874.4,1811.1,1866.6,94735
2024-01-25,1876.6,1920.0,1852.1,1858.15,99093
2024-01-29,1868.95,1879.35,1851.05,1869.15,77080
2024-01-30,1875.0,1967.65,1875.0,1953.75,193352
2024-01-31,1956.6,1961.95,1880.1,1905.5,225263
2024-02-01,2050.0,2050.0,1919.05,1942.45,477814
2024-02-02,1956.0,1969.2,1905.1,1914.95,170748
2024-02-05,1935.95,1938.35,1882.1,1889.6,133091
2024-02-06,1905.0,1905.0,1867.9,1888.4,86253
2024-02-07,1900.0,1918.9,1886.6,1889.5,123639
2024-02-08,1905.0,1924.45,1892.55,1901.3,72153
2024-02-09,1912.0,1912.85,1852.8,1875.6,103426
2024-02-12,1879.95,1900.0,1836.0,1851.15,83399
2024-02-13,1840.05,1849.9,1777.25,1791.7,125897
2024-02-14,1751.05,1888.0,1751.0,1872.05,122411
2024-02-15,1877.4,1892.75,1851.0,1854.65,43034
2024-02-16,1905.0,2037.95,1905.0,2019.15,1536264
2024-02-19,2061.0,2161.0,2046.0,2058.65,1055425
2024-02-20,2053.95,2099.95,2018.0,2036.95,255189
2024-02-21,2036.95,2110.0,2018.2,2060.45,274446
2024-02-22,2101.95,2255.0,2045.45,2239.05,1648007
2024-02-23,2265.0,2419.0,2220.0,2362.15,2547512
2024-02-26,2350.0,2625.0,2350.0,2572.3,2464376
2024-02-27,2620.0,2679.95,2529.1,2549.35,2048941
2024-02-28,2564.0,2587.95,2430.0,2490.75,703132
2024-02-29,2488.0,2547.75,2405.0,2484.35,289201
2024-03-01,2495.05,2699.9,2471.3,2662.95,898910
2024-03-02,2704.0,2796.05,2703.0,2796.05,127552
2024-03-04,2800.0,3080.0,2799.0,2894.1,1880574
2024-03-05,2930.0,2939.85,2635.1,2669.9,694807
2024-03-06,2709.9,2799.0,2568.65,2634.4,410898
2024-03-07,2797.7,2797.7,2665.0,2698.1,312456
2024-03-11,2720.0,2722.85,2538.0,2555.45,265622
2024-03-12,2542.1,2555.0,2400.0,2423.85,277203
2024-03-13,2420.0,2463.6,2181.5,2183.25,619844
2024-03-14,2120.25,2401.55,2101.0,2379.2,537063
2024-03-15,2410.15,2436.0,2270.0,2363.85,354905
2024-03-18,2363.1,2446.95,2322.0,2338.4,215180
2024-03-19,2350.0,2351.0,2226.95,2245.2,214928
2024-03-20,2250.0,2283.95,2210.0,2254.6,151009
2024-03-21,2295.0,2386.6,2265.0,2352.1,245041
2024-03-22,2371.95,2371.95,2300.0,2328.35,139560
2024-03-26,2301.05,2389.4,2301.0,2347.45,154303
2024-03-27,2376.9,2487.45,2357.6,2456.05,432498
2024-03-28,2490.0,2495.1,2408.0,2422.0,153271
2024-04-01,2469.0,2610.0,2464.65,2563.55,253417
2024-04-02,2750.0,2814.7,2657.65,2713.3,978509
2024-04-03,2717.3,2780.0,2686.2,2739.0,283982
2024-04-04,2762.85,2781.95,2625.0,2692.9,395967
2024-04-05,2707.95,2721.1,2665.3,2694.9,148352
2024-04-08,2733.35,2734.0,2635.0,2653.6,113084
2024-04-09,2671.9,2719.95,2632.7,2688.3,155038
2024-04-10,2700.0,3043.95,2646.2,3007.0,2503203
2024-04-12,3006.0,3019.0,2920.65,2938.7,695653
2024-04-15,2835.0,2902.2,2767.7,2836.85,488505
2024-04-16,2841.95,2918.8,2792.0,2805.65,340391
2024-04-18,2840.0,2845.7,2718.0,2737.35,209903
2024-04-19,2724.95,2900.0,2640.0,2795.3,920556
2024-04-22,2820.5,2966.0,2815.3,2909.05,694556
2024-04-23,2919.95,2923.55,2856.0,2888.55,238442
2024-04-24,2900.0,3208.95,2898.0,3064.45,2349179
2024-04-25,3074.95,3157.1,3030.0,3083.1,469299
2024-04-26,3100.0,3137.0,3043.8,3105.05,307418
2024-04-29,3124.0,3133.0,2906.35,3011.55,548093
2024-04-30,3020.0,3036.8,2952.2,2969.95,232625
2024-05-02,2975.0,3002.5,2942.0,2948.1,154056
2024-05-03,2959.95,2978.75,2862.95,2892.9,221661
2024-05-06,2909.0,2909.0,2775.0,2820.65,288726
2024-05-07,2833.0,2875.0,2714.6,2736.7,267352
2024-05-08,2740.0,2860.0,2715.1,2796.35,296586
2024-05-09,2801.0,2934.0,2797.55,2848.65,842977
2024-05-10,2880.0,2889.85,2755.0,2812.75,289083
2024-05-13,2812.7,2839.95,2737.85,2768.55,188211
2024-05-14,2859.95,2984.0,2808.75,2959.55,674627
2024-05-15,2960.0,2996.1,2840.6,2865.65,217907
2024-05-16,2896.7,2975.4,2868.05,2966.25,369254
2024-05-17,2998.7,3200.0,2954.0,3188.8,1276483
2024-05-18,3201.0,3348.2,3199.95,3321.05,255937
2024-05-21,3400.0,3443.9,3170.0,3176.1,1047688
2024-05-22,3249.95,3259.55,3041.0,3050.55,665765
2024-05-23,3081.05,3215.0,3030.4,3095.65,797508
2024-05-24,3115.0,3178.0,3022.55,3039.75,640292
2024-05-27,3085.0,3085.5,2905.8,2919.1,617186
2024-05-28,2933.45,2966.5,2827.05,2834.1,417024
2024-05-29,2835.8,2943.9,2829.35,2868.4,390445
2024-05-30,2865.0,2932.0,2817.0,2843.25,325722
2024-05-31,2860.0,3000.0,2765.5,2962.4,1253026
2024-06-03,3098.0,3098.0,2960.0,2974.15,459103
2024-06-04,2974.15,2979.95,2379.35,2617.75,954722
2024-06-05,2635.0,2698.0,2425.0,2475.85,843110
2024-06-06,2587.0,2713.0,2554.35,2617.85,784340
2024-06-07,2649.8,2689.95,2619.1,2633.35,347845
2024-06-10,2680.2,2689.85,2626.0,2658.35,295830
2024-06-11,2669.6,2732.0,2650.25,2673.85,430848
2024-06-12,2691.4,2785.0,2683.0,2724.9,445791
2024-06-13,2748.6,2766.95,2701.1,2733.55,369905
2024-06-14,2750.0,2964.9,2741.0,2936.2,1636012
2024-06-18,2975.0,3158.0,2951.6,3088.1,1977723
2024-06-19,3115.05,3148.0,2961.0,2993.5,846140
2024-06-20,2992.95,3028.0,2931.15,2942.9,425450
2024-06-21,2963.8,3040.0,2863.0,2946.55,420948
2024-06-24,2934.05,3010.0,2898.0,2992.6,328116
2024-06-25,3006.8,3069.95,2950.0,2971.65,409230
2024-06-26,2982.0,3029.95,2952.2,2983.85,228986
2024-06-27,3015.0,3099.0,2961.8,3014.3,693922
2024-06-28,3043.7,3052.0,2982.55,3001.4,192617
2024-07-01,3001.05,3089.9,2984.0,3043.15,347764
2024-07-02,3047.8,3198.1,3001.0,3089.7,1497013
2024-07-03,3102.0,3210.0,3070.0,3175.05,544790
2024-07-04,3200.0,3224.95,3120.05,3179.7,623284
2024-07-05,3180.0,3655.0,3148.05,3390.4,5253914
2024-07-08,3438.0,3525.0,3305.0,3350.15,932704
2024-07-09,3365.1,3404.95,3176.25,3269.7,1031686
2024-07-10,3296.4,3320.0,3151.1,3204.8,526191
2024-07-11,3214.85,3450.0,3200.0,3395.2,1484096
2024-07-12,3424.8,3487.0,3322.4,3350.4,635592
2024-07-15,3364.1,3406.95,3301.0,3337.15,311983
2024-07-16,3340.45,3365.05,3266.35,3304.4,245823
2024-07-18,3306.95,3319.85,3135.25,3152.45,345290
2024-07-19,3150.0,3266.0,3132.45,3166.85,540706
2024-07-22,3149.0,3246.7,3064.95,3192.8,294663
2024-07-23,3203.55,3224.0,2900.05,3096.25,402124
2024-07-24,3105.0,3145.0,3061.0,3086.85,181036
2024-07-25,3065.5,3435.0,3042.9,3393.95,3101407
2024-07-26,3410.0,3440.95,3277.65,3296.8,488367
2024-07-29,3319.0,3410.95,3301.7,3352.45,426219
2024-07-30,3350.0,3373.2,3270.0,3283.55,470542
2024-07-31,3286.95,3303.2,3168.25,3188.4,305036
2024-08-01,3198.4,3228.15,3160.0,3166.5,208346
2024-08-02,3100.0,3199.0,3089.5,3162.55,241619
2024-08-05,3002.0,3079.45,2930.05,2962.9,451375
2024-08-06,2990.0,3095.95,2836.05,2853.45,344896
2024-08-07,2901.05,3010.55,2836.15,2991.1,281267
2024-08-08,2990.0,3034.0,2950.0,2959.6,139457
2024-08-09,2990.0,3019.9,2936.05,2960.65,165634
2024-08-12,2940.65,2949.95,2882.0,2912.7,153774
2024-08-13,2929.9,3096.9,2894.8,2996.85,817800
2024-08-14,2996.85,2996.85,2905.0,2923.5,190527
2024-08-16,2948.35,2991.45,2910.0,2920.35,217781
2024-08-19,2900.05,2918.85,2853.6,2867.9,333619
2024-08-20,2870.0,2889.05,2836.6,2859.55,152898
2024-08-21,2868.95,2929.4,2840.05,2880.5,215664
2024-08-22,2911.0,2911.0,2860.4,2870.4,131803
2024-08-23,2865.0,2895.0,2860.1,2881.3,112864
2024-08-26,2882.95,2906.5,2860.0,2865.55,104418
2024-08-27,2865.0,2889.65,2864.75,2873.1,70613
2024-08-28,2873.1,2899.9,2860.0,2871.85,82769
2024-08-29,2865.0,2868.3,2760.05,2777.15,161008
2024-08-30,2809.95,2849.95,2735.0,2804.35,329738
2024-09-02,2802.0,2809.95,2745.25,2751.5,141974
2024-09-03,2778.95,2833.85,2722.55,2737.1,240483
2024-09-04,2729.0,2834.0,2720.05,2771.9,257598
2024-09-05,2784.0,2818.6,2756.35,2792.8,89231
2024-09-06,2791.0,2817.0,2732.0,2738.2,99063
2024-09-09,2712.35,2783.2,2647.5,2726.5,160724
2024-09-10,2765.0,2791.0,2715.05,2735.8,145127
2024-09-11,2732.0,2732.0,2690.0,2696.2,83260
2024-09-12,2701.95,2723.95,2666.2,2687.05,161496
2024-09-13,2694.95,2707.95,2667.05,2684.95,82301
2024-09-16,2696.8,2775.0,2656.15,2749.8,197255
2024-09-17,2749.75,2749.75,2680.05,2697.25,94005
2024-09-18,2693.95,2715.0,2646.9,2655.05,92872
2024-09-19,2688.8,2688.8,2509.5,2526.9,279883
2024-09-20,2540.0,2592.0,2456.0,2530.3,502907
2024-09-23,2552.55,2639.9,2535.8,2559.45,347556
2024-09-24,2583.5,2583.5,2496.5,2502.75,217362
2024-09-25,2506.0,2542.2,2472.0,2503.25,216942
2024-09-26,2508.0,2518.8,2431.05,2444.0,194847
2024-09-27,2493.75,2496.0,2365.0,2383.2,373017
2024-09-30,2381.2,2381.2,2297.1,2315.7,448896
2024-10-01,2320.0,2351.5,2292.65,2302.3,325120
2024-10-03,2270.1,2395.0,2254.0,2279.35,448044
2024-10-04,2285.0,2357.85,2234.05,2330.25,354662
2024-10-07,2339.0,2364.0,2222.5,2238.15,248740
2024-10-08,2237.0,2388.7,2217.3,2377.15,321481
2024-10-09,2390.0,2445.0,2379.0,2398.05,247115
2024-10-10,2429.8,2525.0,2391.15,2497.05,509848
2024-10-11,2504.8,2513.65,2455.0,2474.5,197246
2024-10-14,2500.0,2509.85,2422.1,2436.45,116209
2024-10-15,2439.8,2519.95,2422.0,2513.0,255649
2024-10-16,2509.05,2547.0,2501.05,2531.05,170842
2024-10-17,2548.0,2548.0,2430.4,2447.85,159085
2024-10-18,2448.0,2481.0,2372.0,2450.75,136538
2024-10-21,2468.6,2479.45,2360.05,2371.4,122293
2024-10-22,2385.0,2410.0,2251.0,2268.9,178467
2024-10-23,2268.9,2278.0,2175.65,2237.1,219298
2024-10-24,2247.0,2315.95,2240.25,2258.75,125773
2024-10-25,2250.0,2276.95,2127.0,2157.9,238554
2024-10-28,2189.9,2229.0,2116.5,2191.9,158182
2024-10-29,2191.9,2239.15,2186.2,2203.75,129296
2024-10-30,2222.0,2519.0,2222.0,2478.5,3047651
2024-10-31,2465.0,2469.75,2385.05,2419.85,368497
2024-11-01,2440.0,2485.0,2413.2,2443.25,72806
2024-11-04,2437.85,2437.85,2348.3,2364.9,136761
2024-11-05,2355.0,2402.55,2324.8,2359.7,134602
2024-11-06,2385.0,2436.35,2377.1,2418.9,201980
2024-11-07,2425.0,2458.95,2380.15,2392.7,148479
2024-11-08,2396.85,2408.5,2300.0,2322.75,132134
2024-11-11,2150.0,2254.75,2150.0,2182.25,554522
2024-11-12,2280.0,2349.85,2213.05,2260.6,552146
2024-11-13,2260.0,2260.0,2165.0,2172.15,174635
2024-11-14,2172.15,2213.95,2146.95,2166.65,162032
2024-11-18,2170.0,2198.95,2145.05,2162.65,119899
2024-11-19,2177.4,2324.25,2172.95,2291.35,661682
2024-11-21,2280.0,2317.7,2241.35,2299.05,166565
2024-11-22,2323.0,2333.75,2265.05,2283.0,138354
2024-11-25,2313.05,2353.9,2300.0,2312.15,117506
2024-11-26,2320.0,2408.0,2313.0,2357.6,203764
2024-11-27,2374.75,2425.0,2352.25,2420.85,160791
