Date,Open,High,Low,Close,Volume
2023-10-05,5250.05,5256.3,5134.75,5148.1,313878
2023-10-06,5167.7,5178.0,5062.1,5128.75,455043
2023-10-09,5032.15,5162.9,5028.0,5104.65,189301
2023-10-10,5119.0,5197.0,5119.0,5170.45,309458
2023-10-11,5200.0,5274.85,5170.8,5254.7,321455
2023-10-12,5261.95,5320.0,5215.6,5290.3,392980
2023-10-13,5279.9,5364.8,5253.05,5339.95,437306
2023-10-16,5291.0,5408.95,5291.0,5388.85,356387
2023-10-17,5430.0,5486.95,5382.45,5474.35,421223
2023-10-18,5479.95,5508.65,5434.0,5475.3,300190
2023-10-19,5440.0,5575.0,5422.25,5501.8,457877
2023-10-20,5498.0,5534.95,5474.05,5520.9,279892
2023-10-23,5520.0,5607.1,5400.05,5418.0,458119
2023-10-25,5418.0,5518.0,5418.0,5445.6,577617
2023-10-26,5430.0,5447.5,5288.25,5340.95,433669
2023-10-27,5470.0,5514.8,5307.65,5374.75,1180350
2023-10-30,5379.9,5379.9,5076.0,5103.85,865009
2023-10-31,5155.0,5242.4,5089.35,5101.6,487039
2023-11-01,5125.0,5195.1,5100.95,5181.3,477939
2023-11-02,5220.0,5397.0,5212.5,5330.0,649934
2023-11-03,5383.3,5388.75,5236.55,5274.2,448087
2023-11-06,5317.9,5338.95,5241.0,5266.25,158948
2023-11-07,5279.8,5318.0,5235.6,5253.05,235667
2023-11-08,5278.0,5369.95,5261.0,5357.3,371736
2023-11-09,5365.0,5425.0,5300.0,5305.85,228318
2023-11-10,5282.05,5309.35,5223.25,5274.9,269973
2023-11-12,5315.6,5323.6,5250.95,5274.45,25152
2023-11-13,5274.45,5275.0,5206.6,5233.8,127499
2023-11-15,5250.0,5364.95,5244.15,5254.25,403413
2023-11-16,5273.9,5455.0,5213.1,5426.95,466866
2023-11-17,5395.95,5488.5,5395.75,5426.85,346263
2023-11-20,5475.0,5565.8,5431.0,5443.9,481733
