Date,Open,High,Low,Close,Volume
2023-10-05,527.0,532.8,523.95,525.0,2455475
2023-10-06,525.25,550.5,525.25,548.7,7397196
2023-10-09,547.05,547.45,536.55,540.85,3107088
2023-10-10,544.45,564.75,543.05,561.75,11366176
2023-10-11,562.6,569.0,560.65,565.3,4106418
2023-10-12,565.3,569.0,562.7,567.05,1860355
2023-10-13,561.65,576.75,561.65,568.4,6226867
2023-10-16,566.0,571.9,563.6,567.1,2132190
2023-10-17,570.0,571.55,565.3,567.15,1670432
2023-10-18,565.55,570.0,561.6,567.35,2695513
2023-10-19,565.1,565.9,555.45,560.1,2068643
2023-10-20,558.7,565.0,548.1,552.2,3274784
2023-10-23,552.1,555.65,531.25,532.95,2355807
2023-10-25,535.0,540.55,525.25,530.15,1695789
2023-10-26,528.15,528.15,513.5,522.3,4361390
2023-10-27,526.0,538.3,524.65,536.15,4062846
2023-10-30,537.0,557.95,531.25,554.45,8141820
2023-10-31,559.0,570.55,557.7,563.5,10712514
2023-11-01,565.0,586.8,565.0,574.85,11265190
2023-11-02,579.0,582.0,570.25,577.9,3649740
2023-11-03,579.0,600.05,578.35,595.85,7692738
2023-11-06,597.65,600.2,590.4,592.0,2917487
2023-11-07,592.35,596.9,586.5,592.45,2662819
2023-11-08,594.0,601.4,591.0,595.9,4003266
2023-11-09,597.9,605.6,596.95,600.7,5403880
2023-11-10,598.9,607.9,595.1,606.05,3378490
2023-11-12,610.7,611.45,606.75,610.35,818681
2023-11-13,611.4,611.4,604.35,608.4,1898672
2023-11-15,614.1,624.45,612.05,622.1,3886884
2023-11-16,621.95,633.3,620.25,630.25,3206517
2023-11-17,625.95,632.0,625.1,631.15,2412089
2023-11-20,632.0,634.25,623.55,626.25,3290059
2023-11-21,627.1,641.2,627.1,634.45,6052465
2023-11-22,633.85,635.5,623.5,632.55,2762713
2023-11-23,634.0,640.0,633.0,636.15,2516687
2023-11-24,637.2,641.1,628.35,629.35,3963603
2023-11-28,625.0,631.8,619.25,629.15,4535901
2023-11-29,632.9,641.75,629.1,637.65,5851523
2023-11-30,637.65,637.95,623.2,625.85,14874927
2023-12-01,631.9,634.3,625.55,629.25,3438389
2023-12-04,639.0,652.0,632.8,649.25,4588495
2023-12-05,652.9,654.25,639.9,650.1,3417071
2023-12-06,650.95,660.6,650.1,652.95,3264809
2023-12-07,653.1,654.55,647.3,648.6,1051759
2023-12-08,651.0,663.9,641.45,649.9,3937417
2023-12-11,654.45,673.6,653.3,667.1,5641806
2023-12-12,667.1,677.4,659.6,662.6,3998781
2023-12-13,666.8,675.0,664.2,673.75,3426758
2023-12-14,681.7,701.95,681.05,699.5,7464762
2023-12-15,700.0,709.0,695.0,705.3,4137143
2023-12-18,702.45,705.85,693.45,697.1,1906529
2023-12-19,699.0,702.1,691.95,698.05,1475227
2023-12-20,704.0,704.0,671.7,675.35,3091436
2023-12-21,680.0,694.9,670.2,692.9,5888251
2023-12-22,696.0,718.7,694.45,715.95,5899551
2023-12-26,719.55,722.2,711.65,714.85,2419374
2023-12-27,719.0,724.45,711.4,720.45,2233097
2023-12-28,721.9,729.9,715.1,728.65,5426028
2023-12-29,725.8,730.0,721.8,726.4,1995191
2024-01-01,727.2,731.0,721.45,723.6,1400824
2024-01-02,725.8,725.8,704.45,713.85,2394602
2024-01-03,715.25,720.85,706.7,715.65,1829817
2024-01-04,718.0,764.75,717.5,761.4,13312567
2024-01-05,760.0,770.0,747.85,752.95,5929704
2024-01-08,760.5,773.45,751.3,759.3,4448637
2024-01-09,772.0,793.0,762.5,789.6,9348457
2024-01-10,790.45,800.8,777.55,796.05,5169408
2024-01-11,797.5,804.9,794.35,797.45,5304485
2024-01-12,800.0,811.4,796.25,800.55,4158326
2024-01-15,802.0,815.75,798.5,805.4,4959825
2024-01-16,804.4,806.35,777.15,786.85,3800255
2024-01-17,780.0,790.0,771.05,775.3,6183356
2024-01-18,776.0,780.6,762.75,775.45,8727583
2024-01-19,780.7,788.0,777.7,785.55,3519988
2024-01-20,783.65,788.55,769.0,777.05,3960173
2024-01-23,790.0,791.9,733.95,739.3,19908675
2024-01-24,739.95,749.0,732.3,747.4,6963379
