Date,Open,High,Low,Close,Volume
2023-10-05,924.0,1024.5,908.05,1011.1,770675
2023-10-06,1019.0,1084.35,990.0,1073.9,665657
2023-10-09,1075.0,1075.0,1026.55,1045.6,191758
2023-10-10,1050.0,1074.5,1030.5,1043.15,149655
2023-10-11,1043.2,1125.0,1040.35,1084.0,552088
2023-10-12,1084.0,1089.0,1069.0,1077.05,151135
2023-10-13,1072.5,1099.45,1030.5,1045.3,135913
2023-10-16,1059.8,1072.15,1030.5,1036.9,78773
2023-10-17,1045.0,1052.45,1032.5,1036.75,31242
2023-10-18,1042.5,1043.85,1006.25,1026.65,35030
2023-10-19,1021.5,1035.0,1010.05,1026.6,43170
2023-10-20,1026.6,1032.5,1000.0,1008.5,24790
2023-10-23,1011.5,1011.5,932.75,968.4,186198
2023-10-25,985.0,985.0,939.1,968.15,113874
2023-10-26,959.35,967.0,935.5,949.9,92777
2023-10-27,959.9,987.4,955.1,974.8,52763
2023-10-30,971.0,1004.3,957.5,988.7,74961
2023-10-31,993.0,997.2,971.1,979.0,158002
2023-11-01,980.5,993.5,963.0,990.2,57973
2023-11-02,994.5,1001.3,970.5,988.4,52914
2023-11-03,989.3,1002.8,980.0,983.45,17424
2023-11-06,984.0,1031.9,981.5,1021.55,70924
2023-11-07,1022.3,1052.5,1007.5,1047.1,75596
2023-11-08,1055.0,1055.0,1028.75,1044.4,47014
2023-11-09,1049.9,1065.0,1001.0,1028.1,37257
2023-11-10,1083.95,1097.5,1055.0,1075.95,383952
2023-11-12,1090.0,1119.0,1080.1,1101.65,74400
2023-11-13,1110.0,1168.95,1101.1,1159.3,291130
2023-11-15,1172.0,1234.0,1140.4,1215.8,435202
2023-11-16,1220.0,1236.7,1175.5,1184.5,127291
2023-11-17,1190.75,1237.1,1188.8,1207.3,131102
2023-11-20,1210.0,1232.4,1187.45,1198.55,67287
2023-11-21,1192.5,1232.1,1156.6,1168.7,111919
2023-11-22,1172.95,1380.0,1168.7,1313.6,1350246
2023-11-23,1291.0,1337.5,1253.5,1325.15,389980
2023-11-24,1320.6,1330.45,1276.0,1294.6,225207
2023-11-28,1299.8,1306.9,1238.45,1245.5,128221
2023-11-29,1256.5,1317.7,1247.5,1304.3,194446
2023-11-30,1300.0,1364.4,1269.3,1338.45,209641
2023-12-01,1355.0,1355.0,1306.4,1316.45,100112
2023-12-04,1375.3,1378.0,1302.15,1314.1,73172
2023-12-05,1315.0,1332.95,1285.6,1296.3,62846
2023-12-06,1296.7,1308.25,1269.1,1279.4,37810
2023-12-07,1288.0,1312.5,1280.0,1306.15,40210
2023-12-08,1315.0,1315.0,1262.5,1271.7,34274
2023-12-11,1290.8,1305.0,1272.75,1286.8,37789
2023-12-12,1300.0,1302.95,1228.5,1238.85,75871
2023-12-13,1240.1,1287.5,1239.4,1248.65,71722
2023-12-14,1267.4,1292.45,1245.4,1261.1,120991
2023-12-15,1267.75,1300.5,1261.0,1271.3,141299
2023-12-18,1274.9,1278.4,1247.5,1256.35,63901
2023-12-19,1265.5,1279.95,1241.3,1267.2,108572
2023-12-20,1267.2,1312.4,1251.5,1272.3,155924
2023-12-21,1269.5,1279.95,1232.0,1264.3,81905
