Date,Open,High,Low,Close,Volume
2023-10-05,234.25,236.95,230.2,233.2,837681
2023-10-06,234.4,242.5,233.05,236.55,1996898
2023-10-09,236.15,236.15,226.35,228.65,764908
2023-10-10,229.45,234.65,229.45,232.65,617236
2023-10-11,233.55,235.05,229.1,231.15,610134
2023-10-12,232.2,235.0,230.15,232.5,460928
2023-10-13,231.5,233.9,230.0,230.2,366590
2023-10-16,230.9,231.5,228.0,229.0,450698
2023-10-17,229.45,232.5,228.05,229.05,399042
2023-10-18,230.45,230.45,225.3,229.1,615240
2023-10-19,228.55,228.55,224.15,225.55,377736
2023-10-20,225.55,226.7,222.1,223.2,393588
2023-10-23,223.1,223.8,213.65,216.85,788718
2023-10-25,216.85,218.15,209.55,213.8,572118
2023-10-26,211.95,215.55,205.55,213.15,733831
2023-10-27,213.8,216.0,209.5,211.35,641663
2023-10-30,211.35,229.8,210.25,227.9,3128929
2023-10-31,227.05,231.45,224.05,224.95,784524
2023-11-01,224.2,227.45,222.4,225.95,278553
2023-11-02,228.0,228.7,222.35,224.0,278498
2023-11-03,225.0,226.35,221.3,222.6,369213
2023-11-06,229.0,234.9,224.0,233.55,2546911
2023-11-07,235.15,240.4,232.0,238.05,2290815
2023-11-08,240.0,243.0,238.1,241.25,1498382
2023-11-09,241.3,241.9,232.3,233.1,538561
2023-11-10,232.2,235.3,229.1,230.85,552814
2023-11-12,233.8,235.0,233.05,234.6,118103
2023-11-13,235.7,235.7,229.15,231.35,451854
2023-11-15,234.7,236.85,232.4,234.85,492641
2023-11-16,234.85,235.35,230.85,232.05,382289
2023-11-17,233.0,234.15,229.55,232.5,878363
2023-11-20,242.0,248.95,240.0,243.3,4536324
2023-11-21,246.0,246.3,239.05,240.05,563030
2023-11-22,239.05,240.0,233.25,236.95,865671
2023-11-23,237.85,241.5,235.95,238.2,399225
2023-11-24,239.5,241.0,233.6,234.6,412207
2023-11-28,237.0,241.6,231.9,239.0,1141041
2023-11-29,240.0,240.6,234.0,235.45,627077
2023-11-30,237.0,239.0,233.9,237.9,660897
2023-12-01,236.45,238.2,234.55,236.2,854274
