Date,Open,High,Low,Close,Volume
2023-10-05,503.95,506.35,496.25,499.7,128872
2023-10-06,499.7,502.2,493.0,494.75,103438
2023-10-09,494.7,514.0,475.5,497.5,469615
2023-10-10,496.25,502.0,489.0,490.05,161785
2023-10-11,490.5,500.0,482.35,486.25,189789
2023-10-12,488.0,505.0,488.0,489.65,305924
2023-10-13,489.65,497.0,475.75,479.0,245864
2023-10-16,478.0,483.0,474.15,479.6,132176
2023-10-17,483.7,492.95,481.05,488.0,144075
2023-10-18,488.0,497.95,480.1,494.3,222968
2023-10-19,495.0,512.0,489.45,510.55,496438
2023-10-20,514.0,515.0,495.3,499.3,224928
2023-10-23,499.0,503.5,470.05,477.0,175217
2023-10-25,480.0,491.0,469.75,484.7,140012
2023-10-26,481.0,482.9,466.8,472.0,139824
2023-10-27,472.6,488.85,472.6,481.15,115241
2023-10-30,482.0,504.0,480.0,501.2,388240
2023-10-31,503.0,516.2,503.0,505.35,653354
2023-11-01,505.35,511.5,497.0,499.15,165155
2023-11-02,500.05,507.85,499.55,504.95,107264
2023-11-03,508.8,509.9,503.25,506.2,86898
2023-11-06,506.25,510.8,502.9,504.95,109227
2023-11-07,503.0,511.85,503.0,510.55,120365
2023-11-08,510.5,518.55,509.45,515.3,215302
2023-11-09,525.0,540.9,522.05,534.7,1360002
2023-11-10,534.55,537.05,524.0,529.75,233577
2023-11-12,534.65,534.65,523.0,527.7,45697
2023-11-13,524.85,532.45,504.0,513.4,318071
2023-11-15,514.35,523.9,509.0,521.2,323439
2023-11-16,521.2,522.25,502.6,509.05,192719
2023-11-17,506.95,514.9,503.5,508.85,197860
2023-11-20,509.0,527.9,508.5,519.9,438938
2023-11-21,522.2,524.75,515.05,517.3,253582
2023-11-22,518.45,522.95,516.3,519.45,94577
2023-11-23,520.45,529.15,519.0,524.1,253571
2023-11-24,529.3,530.2,516.05,522.85,190808
2023-11-28,522.85,527.65,515.05,520.95,131101
2023-11-29,521.1,523.9,515.75,518.7,147782
2023-11-30,520.0,532.7,515.05,531.15,306812
2023-12-01,535.0,535.15,524.95,526.55,142625
2023-12-04,531.0,534.7,518.45,521.55,148973
2023-12-05,521.55,525.35,514.5,518.45,164588
2023-12-06,517.3,522.75,514.35,517.25,111550
2023-12-07,517.3,523.8,515.45,519.55,87384
2023-12-08,520.2,549.65,518.5,536.4,1467862
2023-12-11,541.25,552.0,540.0,549.8,584965
2023-12-12,554.0,554.0,540.0,541.7,215197
2023-12-13,541.1,546.0,533.0,543.4,130186
2023-12-14,546.0,548.0,535.15,536.9,125930
2023-12-15,539.85,545.95,521.1,524.5,205805
2023-12-18,524.55,527.45,513.1,519.25,273129
2023-12-19,523.4,523.9,515.5,517.45,114652
2023-12-20,517.45,531.0,511.0,515.0,294422
2023-12-21,514.0,530.5,503.1,528.35,285172
2023-12-22,527.0,553.2,526.6,545.7,526185
2023-12-26,547.0,552.0,534.0,537.05,130878
2023-12-27,538.4,541.2,529.0,532.8,68971
2023-12-28,530.0,538.65,527.0,528.85,78478
2023-12-29,528.85,548.0,526.15,544.55,349568
2024-01-01,547.25,547.65,538.1,542.05,75856
2024-01-02,542.65,548.5,535.15,546.25,143968
2024-01-03,545.7,562.15,540.1,541.3,401666
2024-01-04,542.8,544.75,534.1,535.95,100014
2024-01-05,537.0,545.0,533.7,543.1,102631
2024-01-08,544.95,545.65,531.0,535.85,71948
2024-01-09,537.45,540.0,529.45,536.3,76178
2024-01-10,536.95,542.4,531.55,539.15,86381
2024-01-11,541.0,542.2,530.55,532.8,83565
2024-01-12,540.0,540.0,532.95,536.1,336909
2024-01-15,538.2,539.95,529.25,538.3,120053
2024-01-16,540.0,549.0,534.6,543.05,244279
2024-01-17,543.0,548.0,535.0,541.75,120498
2024-01-18,542.85,548.0,524.0,544.05,228197
2024-01-19,546.8,551.1,541.0,542.6,108945
2024-01-20,543.75,546.3,538.75,540.4,46436
2024-01-23,545.3,570.0,532.2,554.1,1574443
2024-01-24,556.0,578.85,551.9,575.05,821274
2024-01-25,578.5,587.5,576.0,580.55,555182
2024-01-29,584.0,602.45,580.45,595.45,884777
2024-01-30,599.6,615.5,591.4,607.4,681790
2024-01-31,612.25,617.0,607.4,614.9,278428
2024-02-01,611.8,617.45,608.05,614.5,167999
