Date,Open,High,Low,Close,Volume
2023-10-05,3195.5,3289.0,3171.3,3242.95,560109
2023-10-06,3260.0,3273.85,3184.1,3194.2,470533
2023-10-09,3148.0,3223.0,3145.0,3201.05,163067
2023-10-10,3245.95,3414.9,3232.25,3393.45,1746758
2023-10-11,3430.0,3440.15,3375.6,3399.95,555614
2023-10-12,3402.0,3431.6,3371.65,3413.75,236561
2023-10-13,3394.35,3423.95,3366.05,3378.8,295441
2023-10-16,3378.8,3399.65,3331.1,3365.65,241783
2023-10-17,3373.0,3380.4,3302.2,3340.0,272559
2023-10-18,3343.0,3403.2,3285.25,3297.75,323309
2023-10-19,3299.95,3333.0,3252.45,3315.6,216107
2023-10-20,3310.0,3312.6,3227.55,3236.8,180282
2023-10-23,3236.75,3240.0,3118.7,3134.2,288297
2023-10-25,3139.95,3190.0,3084.05,3106.95,190950
2023-10-26,3090.0,3143.05,3031.1,3133.55,364803
2023-10-27,3135.0,3183.0,3135.0,3146.3,197206
2023-10-30,3155.0,3184.1,3106.45,3164.25,215723
2023-10-31,3180.0,3195.15,3126.0,3132.5,135729
2023-11-01,3149.0,3149.0,3036.6,3058.3,294066
2023-11-02,3078.9,3095.0,3036.0,3054.8,201674
2023-11-03,3065.0,3098.1,3015.25,3076.45,447459
2023-11-06,3098.0,3114.95,3011.55,3079.8,409967
2023-11-07,3080.0,3174.8,3066.55,3125.4,630807
2023-11-08,3128.0,3169.6,3112.85,3146.3,231435
2023-11-09,3145.0,3159.2,3083.0,3093.05,132756
2023-11-10,3083.8,3174.35,3062.5,3166.9,535506
2023-11-12,3169.95,3188.4,3169.15,3172.8,28699
2023-11-13,3177.1,3205.6,3132.25,3137.65,220281
2023-11-15,3169.9,3175.0,3120.2,3138.85,138825
2023-11-16,3138.9,3204.9,3138.9,3186.75,231098
2023-11-17,3205.0,3273.4,3180.7,3239.25,300059
2023-11-20,3250.0,3253.9,3204.05,3220.2,144168
2023-11-21,3235.0,3293.15,3190.0,3261.6,406113
2023-11-22,3250.0,3255.0,3196.0,3206.8,146531
2023-11-23,3215.0,3262.0,3203.25,3222.35,183054
2023-11-24,3222.35,3252.4,3211.05,3229.45,177694
2023-11-28,3239.0,3249.0,3189.45,3196.2,163391
2023-11-29,3220.0,3224.95,3164.9,3173.3,183481
2023-11-30,3164.0,3206.85,3137.9,3150.3,1562279
2023-12-01,3179.95,3253.4,3145.1,3205.2,478524
2023-12-04,3250.0,3250.0,3174.2,3213.5,370026
2023-12-05,3220.1,3229.7,3161.15,3202.55,357718
2023-12-06,3220.0,3284.6,3200.0,3225.0,406476
2023-12-07,3234.0,3264.0,3206.6,3254.65,209690
2023-12-08,3255.0,3263.9,3110.65,3145.3,413007
2023-12-11,3164.0,3206.65,3140.15,3170.6,394308
2023-12-12,3180.0,3200.0,3106.1,3122.95,188620
2023-12-13,3130.0,3147.25,3088.3,3126.2,244497
2023-12-14,3132.2,3159.1,3125.25,3145.1,116647
2023-12-15,3145.0,3170.35,3111.25,3130.2,289700
2023-12-18,3130.2,3184.0,3113.05,3134.6,239831
2023-12-19,3140.0,3165.95,3095.0,3098.95,196649
2023-12-20,3104.75,3153.55,2960.0,2980.9,445775
2023-12-21,2957.05,3001.4,2924.5,2984.85,516226
2023-12-22,2985.0,3025.0,2960.35,2966.9,270911
2023-12-26,2988.0,2989.25,2951.3,2976.7,341072
2023-12-27,2980.45,3007.75,2943.1,2956.7,223734
2023-12-28,2969.5,2981.4,2940.0,2959.3,415223
2023-12-29,2970.0,3027.25,2931.0,2983.1,276647
2024-01-01,2996.0,3019.0,2956.0,2966.35,318161
2024-01-02,2968.0,2977.0,2875.0,2887.65,378020
2024-01-03,2871.0,2913.1,2860.0,2869.85,338355
2024-01-04,2875.0,2884.95,2794.95,2858.45,932890
2024-01-05,2858.45,2881.85,2800.0,2804.85,433569
2024-01-08,2805.0,2867.8,2804.85,2854.15,338266
2024-01-09,2874.0,2879.0,2790.0,2823.4,346390
2024-01-10,2824.9,2861.45,2815.0,2835.0,276966
