Date,Open,High,Low,Close,Volume
2023-10-05,102.6,107.7,102.35,105.4,140096809
2023-10-06,106.4,107.2,104.0,104.45,65041435
2023-10-09,103.8,105.25,101.0,103.9,53811658
2023-10-10,104.9,107.95,104.65,106.05,67712329
2023-10-11,106.8,109.8,106.55,109.0,93838782
2023-10-12,110.2,113.25,109.5,109.85,117710894
2023-10-13,109.85,111.8,109.1,111.0,55786063
2023-10-16,111.9,112.75,110.85,111.5,47455521
2023-10-17,112.5,114.2,111.5,113.85,55351894
2023-10-18,114.5,115.1,109.5,113.2,100553806
2023-10-19,112.0,113.15,110.65,111.65,43517012
2023-10-20,114.0,114.5,112.15,113.35,64427436
2023-10-23,113.8,113.9,106.8,108.9,70944550
2023-10-25,105.65,109.5,105.55,108.25,59685089
2023-10-26,107.5,108.0,101.25,106.45,108605538
2023-10-27,107.35,109.25,105.05,105.65,43738547
2023-10-30,106.2,108.6,105.7,107.7,48282252
2023-10-31,107.85,108.15,104.25,105.1,49382539
2023-11-01,105.6,107.15,103.25,103.7,47911258
2023-11-02,105.0,108.0,104.9,107.55,47086204
2023-11-03,108.8,119.9,108.7,116.5,238833377
2023-11-06,119.6,123.9,118.25,123.3,186288904
2023-11-07,123.55,126.35,120.5,121.3,120886007
2023-11-08,122.0,125.7,121.3,125.15,75041688
2023-11-09,125.25,125.55,121.35,121.85,50307832
2023-11-10,122.0,123.3,120.7,121.3,43388163
2023-11-12,123.25,123.95,122.0,123.25,10534365
2023-11-13,122.65,123.1,121.5,122.2,28348143
2023-11-15,123.3,125.2,119.75,120.25,60088818
2023-11-16,120.9,122.55,120.7,121.85,36895083
2023-11-17,122.0,125.0,121.5,122.2,43882213
2023-11-20,122.85,123.4,117.35,118.15,52784478
2023-11-21,118.55,119.0,116.05,116.5,45193553
2023-11-22,116.0,117.8,114.35,115.3,52799865
2023-11-23,113.6,115.75,112.5,112.95,56329090
2023-11-24,114.15,116.0,112.9,113.25,49980086
2023-11-28,114.9,116.9,113.5,113.8,61963724
2023-11-29,117.0,119.2,114.0,116.6,115274058
2023-11-30,118.8,120.7,116.15,118.55,225208168
2023-12-01,118.0,118.35,115.1,116.3,57261076
2023-12-04,118.75,119.0,116.25,117.4,66057180
2023-12-05,117.9,118.25,116.25,116.75,57483305
2023-12-06,117.15,119.7,116.6,118.9,48171753
2023-12-07,119.6,122.2,118.4,121.7,52483562
2023-12-08,123.0,123.9,119.3,119.95,44213196
2023-12-11,119.95,120.5,117.55,118.45,32372287
2023-12-12,119.0,119.3,114.15,116.75,40800538
2023-12-13,116.9,120.5,116.15,120.0,48092329
2023-12-14,121.0,124.95,120.5,124.15,74178495
2023-12-15,124.5,125.0,122.4,123.6,39542770
2023-12-18,123.4,129.2,121.55,128.55,89553155
2023-12-19,129.0,131.75,127.4,130.25,64117314
2023-12-20,130.35,131.0,123.15,124.75,49006056
2023-12-21,122.15,128.7,120.2,127.35,52326124
2023-12-22,130.55,131.0,125.3,128.5,63113800
2023-12-26,128.5,128.7,124.3,125.0,25499782
2023-12-27,125.7,127.6,125.55,127.05,21757560
2023-12-28,124.9,125.5,120.6,123.2,72865479
2023-12-29,124.0,125.55,123.25,123.7,27512604
2024-01-01,124.45,125.6,122.85,124.5,24228685
2024-01-02,127.0,129.45,125.5,128.7,69395959
2024-01-03,128.8,130.25,127.1,127.55,39101172
2024-01-04,128.4,130.9,126.45,129.75,45285624
2024-01-05,130.9,134.35,128.95,133.3,55608923
2024-01-08,133.65,133.65,130.0,132.85,38912423
2024-01-09,133.2,135.0,132.6,134.3,33803263
2024-01-10,134.25,136.15,132.25,134.65,29917881
2024-01-11,135.3,139.0,135.05,138.35,41809415
2024-01-12,140.0,141.5,136.8,139.55,45508277
2024-01-15,139.55,139.85,132.85,133.4,53570266
2024-01-16,135.0,135.3,131.0,133.55,47043428
2024-01-17,132.4,132.4,126.75,127.4,76780526
2024-01-18,128.05,129.8,121.6,129.45,111946831
2024-01-19,130.5,135.5,128.0,135.05,81155018
2024-01-20,135.4,136.95,132.0,133.1,25861344
2024-01-23,136.3,137.3,127.0,130.1,72520625
2024-01-24,131.45,136.9,129.8,136.2,54612769
2024-01-25,135.9,138.2,132.8,136.15,60682540
2024-01-29,136.9,137.7,132.35,135.55,55871017
2024-01-30,135.85,138.8,134.65,137.2,57612020
2024-01-31,140.0,142.0,138.0,139.55,89833027
2024-02-01,141.0,143.5,138.55,140.55,70252449
2024-02-02,141.8,145.0,141.45,143.8,78666454
2024-02-05,145.0,145.4,138.25,140.25,54189688
2024-02-06,140.4,141.8,138.05,139.95,46782951
2024-02-07,141.0,142.9,139.65,140.4,75083259
2024-02-08,142.5,147.5,139.0,144.1,184839649
2024-02-09,146.9,151.4,142.25,149.45,257918995
2024-02-12,151.0,158.8,149.5,153.8,155848102
2024-02-13,154.35,157.9,149.0,154.75,79935680
2024-02-14,152.95,153.75,150.1,152.25,38221083
2024-02-15,157.0,159.2,154.0,154.85,77367585
2024-02-16,156.9,160.0,155.35,156.7,61209337
2024-02-19,157.45,160.45,155.6,157.5,60218202
2024-02-20,159.7,163.8,158.7,161.05,85356675
2024-02-21,162.3,167.8,157.6,158.65,91140945
2024-02-22,159.55,163.0,156.6,162.1,67614848
2024-02-23,162.4,164.8,160.8,164.05,37200710
2024-02-26,165.2,168.5,163.15,164.2,33433566
2024-02-27,163.75,163.85,158.0,161.3,29921497
2024-02-28,161.9,161.95,155.35,159.35,41883110
2024-02-29,156.45,168.85,155.45,165.45,175785440
2024-03-01,168.0,173.5,165.6,166.5,42587331
2024-03-02,167.2,168.3,165.15,167.65,3028812
2024-03-04,168.0,175.6,168.0,169.8,55751426
2024-03-05,170.75,171.5,164.05,165.85,29313864
2024-03-06,164.4,164.4,157.5,161.55,95621548
2024-03-07,161.75,163.45,158.65,160.0,43685238
2024-03-11,161.0,163.2,149.0,154.85,51519591
2024-03-12,156.6,157.9,152.15,156.9,31159766
2024-03-13,157.45,158.25,147.5,148.65,53202095
2024-03-14,147.1,157.3,144.3,152.75,45708365
2024-03-15,152.85,161.7,152.45,160.05,95085427
2024-03-18,162.5,164.45,157.25,158.25,35382756
2024-03-19,158.6,161.45,156.5,157.95,24847687
2024-03-20,159.45,166.7,159.0,165.6,45544054
2024-03-21,168.0,171.0,166.4,169.65,42227967
2024-03-22,170.45,174.9,169.05,174.2,41776494
2024-03-26,173.4,183.65,172.2,182.6,64590292
2024-03-27,183.6,189.0,177.2,179.45,50528769
2024-03-28,179.8,184.7,176.0,182.1,42567446
2024-04-01,183.9,188.2,182.75,184.5,20789208
2024-04-02,185.0,185.0,180.75,183.1,36346394
2024-04-03,181.95,182.0,177.85,178.3,24268721
2024-04-04,180.5,188.15,180.25,187.0,52772054
2024-04-05,188.25,191.8,187.25,190.5,35235139
2024-04-08,191.6,194.0,190.55,191.8,23092887
2024-04-09,192.55,195.5,188.75,193.7,30824719
2024-04-10,195.0,199.6,194.05,196.9,35141522
2024-04-12,195.85,199.7,190.5,192.1,56543869
2024-04-15,188.0,192.4,184.5,188.3,48456568
2024-04-16,187.0,189.3,183.9,186.45,43273463
2024-04-18,188.5,189.25,183.0,185.2,35346377
2024-04-19,182.3,191.0,181.4,189.2,34112204
2024-04-22,193.0,197.7,190.8,193.35,28792292
2024-04-23,194.4,194.5,186.6,187.45,35740731
2024-04-24,189.0,189.1,183.15,184.4,32622315
