Date,Open,High,Low,Close,Volume
2023-10-05,89.0,90.85,86.95,88.55,115497
2023-10-06,89.8,89.8,88.55,88.8,75964
2023-10-09,88.0,88.6,84.85,86.1,90029
2023-10-10,86.2,89.0,86.2,88.65,101428
2023-10-11,88.9,90.65,88.2,88.7,110931
2023-10-12,89.05,90.45,88.6,88.95,65790
2023-10-13,88.5,89.6,87.1,87.65,58805
2023-10-16,87.7,95.0,87.5,91.7,315352
2023-10-17,93.7,95.3,91.7,93.5,139720
2023-10-18,95.0,95.0,90.05,90.65,150685
2023-10-19,91.0,92.8,89.05,90.35,71546
2023-10-20,90.35,91.25,87.8,88.95,93468
2023-10-23,89.35,91.4,85.5,86.05,92198
2023-10-25,87.8,87.8,82.55,83.8,93967
2023-10-26,83.6,84.5,78.75,83.15,186690
2023-10-27,83.05,86.35,83.05,85.05,80991
2023-10-30,85.0,85.4,82.65,84.35,48346
2023-10-31,85.0,85.75,84.05,84.6,32108
2023-11-01,84.0,85.25,83.5,84.5,27079
2023-11-02,85.6,88.0,84.55,85.35,48931
2023-11-03,88.0,98.9,86.45,93.7,1968693
2023-11-06,93.65,94.0,92.0,92.8,154965
2023-11-07,92.95,93.45,91.0,91.65,117610
2023-11-08,91.9,99.0,90.4,97.55,657295
2023-11-09,98.0,98.5,94.75,95.25,223726
2023-11-10,95.25,96.8,93.7,95.1,171556
2023-11-12,95.1,98.0,95.1,96.95,124957
2023-11-13,98.4,98.45,94.75,97.25,220859
2023-11-15,98.5,99.7,96.45,98.05,378098
2023-11-16,98.0,98.4,97.05,97.75,131893
2023-11-17,97.95,104.9,97.2,99.75,955669
2023-11-20,100.5,100.55,96.6,97.65,243861
2023-11-21,98.55,99.75,97.1,98.45,122506
2023-11-22,99.15,99.2,97.0,97.15,78159
2023-11-23,97.15,101.0,97.0,97.65,157980
2023-11-24,97.2,99.5,96.0,96.95,210080
2023-11-28,97.5,98.3,96.0,96.7,136729
2023-11-29,96.95,98.1,95.2,95.6,102198
2023-11-30,96.05,98.9,95.55,96.35,75250
2023-12-01,97.0,98.1,96.55,97.35,140055
2023-12-04,98.35,99.9,96.1,96.75,177596
2023-12-05,96.85,98.7,95.4,97.3,179775
2023-12-06,98.2,98.2,96.0,96.4,85679
2023-12-07,96.15,97.9,96.1,96.8,144099
2023-12-08,97.6,98.25,95.25,96.05,175945
2023-12-11,96.75,97.25,95.55,96.7,49575
2023-12-12,97.0,97.8,95.7,97.2,129737
2023-12-13,98.75,112.5,98.05,110.75,4024473
2023-12-14,113.5,119.6,110.0,114.75,1821161
2023-12-15,115.8,116.35,109.1,110.3,451906
2023-12-18,111.0,114.6,108.2,113.15,397544
2023-12-19,113.45,116.7,112.95,115.15,214647
2023-12-20,115.9,128.45,115.15,123.8,3329575
2023-12-21,123.5,133.0,117.4,131.6,2356801
2023-12-22,132.1,144.0,130.75,141.45,2915519
2023-12-26,144.6,169.7,142.5,169.7,2572425
2023-12-27,174.4,186.65,170.55,186.65,1369248
2023-12-28,194.0,200.0,171.05,182.45,3411169
2023-12-29,183.0,187.8,178.0,179.8,556651
2024-01-01,181.0,186.9,178.0,178.75,428884
2024-01-02,178.0,182.5,168.1,180.0,510210
2024-01-03,182.85,184.75,175.0,179.25,375651
2024-01-04,180.0,197.15,177.4,192.75,2386890
2024-01-05,194.7,201.55,182.0,184.9,975119
2024-01-08,188.3,195.0,188.0,193.3,736482
2024-01-09,194.0,203.0,192.3,193.65,435007
2024-01-10,195.0,198.4,185.75,190.8,476061
2024-01-11,197.0,197.0,187.25,189.0,373852
2024-01-12,190.4,191.6,184.0,184.75,315735
2024-01-15,184.5,184.7,175.35,177.7,485257
2024-01-16,178.75,183.9,175.0,180.05,361173
2024-01-17,183.05,185.7,174.75,175.9,431052
2024-01-18,176.25,178.3,170.0,175.45,187495
2024-01-19,180.0,182.5,177.2,179.4,210572
2024-01-20,180.0,190.5,178.75,186.55,435635
2024-01-23,187.1,190.0,175.0,176.55,337819
2024-01-24,178.4,186.45,174.1,183.6,333753
2024-01-25,184.5,187.8,179.25,180.4,220266
2024-01-29,186.95,197.0,185.1,194.5,832105
2024-01-30,196.35,199.95,187.9,194.4,500368
2024-01-31,194.5,194.7,188.0,191.8,243939
2024-02-01,193.5,210.95,193.5,210.95,1020246
2024-02-02,218.0,232.0,217.3,226.8,1150061
2024-02-05,232.1,236.4,215.5,215.5,635043
2024-02-06,215.5,219.0,204.75,216.85,508550
2024-02-07,221.5,225.0,212.0,214.45,116467
2024-02-08,219.0,222.45,209.6,212.0,128595
2024-02-09,206.1,215.0,202.0,208.05,105600
2024-02-12,212.7,212.7,197.65,197.65,200135
2024-02-13,188.1,197.0,187.8,193.5,198561
2024-02-14,184.5,203.15,184.5,203.15,109998
2024-02-15,211.95,213.3,205.05,213.3,213594
2024-02-16,223.95,223.95,218.0,223.95,253866
2024-02-19,235.1,235.1,225.5,230.15,254351
2024-02-20,233.95,234.0,225.35,225.85,102555
2024-02-21,226.0,226.0,221.0,221.65,80286
2024-02-22,221.25,225.0,220.0,222.55,60814
2024-02-23,221.1,227.0,219.0,220.85,83406
2024-02-26,216.15,224.65,216.15,219.55,53386
