Date,Open,High,Low,Close,Volume
2023-11-06,227.8,228.9,223.5,223.95,309068
2023-11-07,224.0,228.85,222.9,227.6,404783
2023-11-08,228.5,235.1,226.75,229.4,935958
2023-11-09,229.8,230.9,222.05,224.4,408882
2023-11-10,223.0,227.65,221.45,226.5,341129
2023-11-12,226.95,227.95,225.0,226.25,96815
2023-11-13,226.25,226.7,223.0,224.25,196838
2023-11-15,225.0,227.2,223.7,224.8,244719
2023-11-16,225.2,246.9,224.4,241.95,8700572
2023-11-17,243.0,260.45,241.8,259.0,6080431
2023-11-20,258.85,265.5,254.25,263.05,2516875
2023-11-21,263.05,271.8,259.15,265.95,2135462
2023-11-22,265.0,272.2,262.65,268.8,2595700
2023-11-23,271.2,271.2,262.25,263.7,692327
2023-11-24,263.7,316.0,263.7,307.1,24375853
2023-11-28,307.0,335.9,296.6,311.75,21569588
2023-11-29,309.0,315.5,301.35,304.45,5038297
2023-11-30,304.0,327.25,301.0,319.55,12070302
2023-12-01,321.0,322.7,305.0,306.9,3062169
2023-12-04,314.0,317.9,307.4,311.65,2577489
2023-12-05,311.5,317.4,304.65,306.95,2248637
2023-12-06,306.95,309.35,292.65,293.9,1652479
2023-12-07,296.65,316.8,295.25,310.85,5447785
2023-12-08,311.95,312.85,300.25,304.3,1038710
2023-12-11,305.9,312.3,302.5,304.95,830328
2023-12-12,309.0,335.4,309.0,312.4,10916914
2023-12-13,315.85,317.75,308.55,312.45,1824211
2023-12-14,315.9,317.0,309.3,313.0,881932
2023-12-15,317.0,325.95,311.9,318.3,1864658
2023-12-18,318.3,324.6,317.05,319.6,1538249
2023-12-19,323.0,334.95,320.35,323.05,3024998
2023-12-20,325.35,337.75,301.05,305.5,2952867
2023-12-21,302.85,312.0,295.55,310.6,1173019
2023-12-22,311.7,319.0,307.0,314.15,1406486
2023-12-26,315.0,316.45,311.05,312.35,389529
2023-12-27,313.95,323.5,310.5,313.7,961223
2023-12-28,314.25,318.0,311.0,313.95,823317
2023-12-29,314.7,316.9,307.05,308.05,777015
2024-01-01,308.95,315.9,307.05,311.95,837234
2024-01-02,311.95,315.9,307.3,309.6,661388
2024-01-03,309.6,314.1,307.25,310.65,907867
2024-01-04,311.65,324.8,311.45,316.6,2845106
2024-01-05,319.0,323.0,311.05,314.25,1156902
2024-01-08,314.9,315.65,308.65,311.1,643513
2024-01-09,313.75,314.95,308.05,309.9,541363
2024-01-10,309.55,310.65,303.7,304.75,620286
2024-01-11,305.0,308.2,302.1,303.7,411425
2024-01-12,304.4,306.8,302.8,305.45,482342
2024-01-15,308.4,316.85,304.8,311.2,952104
2024-01-16,313.95,325.45,307.1,310.3,2827378
2024-01-17,308.5,322.6,306.05,309.45,2229727
2024-01-18,309.85,312.4,297.1,305.7,884290
2024-01-19,307.5,363.95,307.5,356.05,14982293
2024-01-20,365.0,391.0,363.2,369.35,6552808
2024-01-23,367.0,367.0,331.0,334.15,3278620
2024-01-24,335.0,374.0,328.3,362.6,7470027
2024-01-25,362.35,368.7,350.2,352.65,2007544
2024-01-29,357.25,380.0,355.25,370.45,3949612
2024-01-30,371.65,388.5,365.5,374.8,3704194
2024-01-31,377.5,385.45,371.3,376.75,1554736
2024-02-01,380.0,380.5,363.45,368.85,1170549
2024-02-02,370.1,384.2,370.1,377.2,1401584
2024-02-05,378.65,438.0,376.05,408.65,15083123
2024-02-06,413.0,437.7,399.05,408.0,5277326
2024-02-07,411.45,420.8,401.0,403.95,2047717
2024-02-08,409.65,467.8,403.55,441.1,24243212
2024-02-09,446.95,453.5,401.1,405.0,6056893
2024-02-12,409.1,410.95,336.2,346.6,5040052
2024-02-13,348.0,366.95,334.5,360.85,4251176
2024-02-14,355.85,384.0,349.15,379.95,3702219
2024-02-15,382.7,395.55,377.25,385.35,2508887
2024-02-16,387.1,444.45,371.5,427.2,22169397
2024-02-19,427.0,443.9,417.55,424.45,5255764
2024-02-20,425.0,433.45,406.0,407.55,3618445
