Date,Open,High,Low,Close,Volume
2023-10-05,813.0,815.95,790.7,793.2,924422
2023-10-06,794.9,799.65,785.5,793.6,928077
2023-10-09,790.0,797.25,781.45,784.4,749063
2023-10-10,795.0,796.7,784.05,785.85,693597
2023-10-11,788.95,796.8,778.8,780.7,980950
2023-10-12,785.85,794.5,783.5,792.2,648967
2023-10-13,793.0,809.45,788.65,798.35,1034587
2023-10-16,798.3,803.95,792.05,797.8,493894
2023-10-17,800.0,811.75,797.9,801.65,569676
2023-10-18,804.5,815.0,798.0,799.8,664700
2023-10-19,795.1,799.75,789.55,793.15,277693
2023-10-20,793.0,793.0,775.6,781.15,462247
2023-10-23,780.0,791.15,756.1,759.9,423543
2023-10-25,755.15,762.0,741.7,750.8,832310
2023-10-26,745.25,756.4,731.5,749.1,884483
2023-10-27,746.25,754.5,740.05,743.15,514179
2023-10-30,739.6,754.85,734.6,750.15,567688
2023-10-31,754.1,761.85,744.0,747.75,361013
2023-11-01,750.0,751.35,741.05,746.1,333271
2023-11-02,748.0,760.95,748.0,750.9,472694
2023-11-03,751.5,759.35,745.2,746.6,371947
2023-11-06,752.4,762.5,749.0,755.45,742091
2023-11-07,760.35,772.0,755.45,759.15,713316
2023-11-08,761.45,788.75,761.0,785.95,1048266
2023-11-09,793.8,793.8,773.1,784.1,989686
2023-11-10,786.0,786.0,767.0,777.85,605913
2023-11-12,763.85,773.95,751.25,762.85,346917
2023-11-13,757.0,758.0,722.1,724.45,3656128
2023-11-15,730.05,754.5,730.05,751.05,2495889
2023-11-16,746.55,783.4,746.55,770.75,2439746
2023-11-17,770.75,780.0,767.9,775.95,723967
2023-11-20,775.95,796.45,775.95,785.2,1251772
2023-11-21,786.6,793.45,773.25,777.6,915318
2023-11-22,777.6,790.85,773.5,776.25,1072580
2023-11-23,777.9,781.5,761.0,775.35,1140665
2023-11-24,777.25,799.8,777.2,786.9,1799088
2023-11-28,786.9,790.95,769.9,771.0,719949
2023-11-29,777.4,777.4,764.5,770.1,726023
2023-11-30,771.0,788.45,771.0,779.95,1139226
2023-12-01,781.8,798.0,778.85,792.6,773301
2023-12-04,798.95,802.0,774.0,775.75,3228588
2023-12-05,782.55,785.8,772.4,779.05,545761
2023-12-06,780.0,819.0,778.8,806.5,1504305
2023-12-07,809.6,825.0,803.95,821.9,1573712
2023-12-08,825.0,827.0,787.1,795.95,2402310
2023-12-11,800.0,830.95,791.75,819.1,2857825
2023-12-12,822.8,825.0,790.4,797.35,1337480
2023-12-13,806.05,815.75,801.0,812.35,782180
2023-12-14,813.15,831.0,812.1,829.05,964081
2023-12-15,830.0,834.9,818.0,824.0,850025
2023-12-18,825.0,842.0,815.0,817.3,1178792
2023-12-19,817.65,831.6,810.3,823.55,791780
2023-12-20,823.4,835.25,785.0,789.85,1861903
2023-12-21,781.0,827.7,773.2,823.6,1541173
2023-12-22,823.6,850.0,822.2,839.3,2088247
2023-12-26,839.0,852.0,830.55,843.95,821945
2023-12-27,844.1,855.8,828.9,846.05,765258
2023-12-28,850.0,858.0,838.0,855.4,970942
2023-12-29,857.0,859.0,848.05,853.95,468147
2024-01-01,854.0,861.9,848.0,855.65,415165
2024-01-02,855.7,901.8,854.7,888.8,3980406
2024-01-03,896.0,903.4,883.0,897.9,1793431
2024-01-04,898.05,913.55,890.85,898.4,712492
2024-01-05,900.0,905.0,882.05,892.7,438207
2024-01-08,893.0,893.95,867.4,873.7,656367
2024-01-09,884.0,898.4,878.9,886.55,649347
2024-01-10,886.0,886.0,865.65,879.65,1456990
2024-01-11,876.0,890.9,871.5,879.95,972265
2024-01-12,879.95,880.2,866.8,868.95,591537
2024-01-15,869.05,916.35,863.65,910.45,2296912
2024-01-16,910.4,911.25,881.0,889.15,986057
2024-01-17,888.5,890.15,867.65,872.2,714859
2024-01-18,872.2,878.3,847.55,867.55,1540500
2024-01-19,877.0,888.2,867.3,879.15,906348
2024-01-20,884.9,887.0,870.45,875.25,279988
2024-01-23,875.25,892.9,853.05,858.15,885743
2024-01-24,856.0,893.5,854.15,890.2,862176
2024-01-25,890.9,913.5,883.55,891.1,1045465
2024-01-29,893.5,906.85,887.3,899.85,685206
2024-01-30,900.0,909.7,893.65,895.75,600740
2024-01-31,898.0,922.7,897.0,910.2,1399292
2024-02-01,920.1,920.1,865.0,890.5,1817051
2024-02-02,890.5,899.75,882.05,885.7,648664
2024-02-05,886.0,894.1,879.45,884.6,766933
2024-02-06,888.0,897.6,880.85,884.8,1057975
2024-02-07,887.15,890.95,868.05,877.25,446360
2024-02-08,880.0,883.4,853.35,858.55,1203539
2024-02-09,855.1,861.7,829.7,843.1,936078
2024-02-12,843.1,849.0,817.55,831.4,859065
2024-02-13,822.1,838.7,818.55,832.2,465748
