Date,Open,High,Low,Close,Volume
2023-10-05,300.55,307.55,300.55,304.5,292298
2023-10-06,306.45,306.85,302.55,305.55,326063
2023-10-09,308.0,314.5,302.8,311.8,1103868
2023-10-10,314.95,317.85,313.0,317.05,601029
2023-10-11,318.0,319.8,312.8,317.3,461120
2023-10-12,315.65,321.9,315.0,317.7,555523
2023-10-13,317.7,320.5,317.15,318.6,365388
2023-10-16,320.15,324.6,317.6,321.9,710371
2023-10-17,323.7,324.0,320.1,321.2,473925
2023-10-18,320.8,324.5,309.55,313.25,2046808
2023-10-19,310.0,315.0,310.0,314.4,205302
2023-10-20,314.6,315.8,300.3,308.6,1532582
2023-10-23,306.0,307.9,301.9,303.45,499171
2023-10-25,305.95,307.9,296.6,299.7,512926
2023-10-26,299.0,299.65,290.5,294.7,557107
2023-10-27,296.25,299.7,293.35,295.8,346211
2023-10-30,295.8,295.8,291.35,292.85,325580
2023-10-31,293.45,297.05,293.1,295.55,228054
2023-11-01,295.85,296.15,291.15,292.5,315882
2023-11-02,295.0,296.5,292.5,294.3,213238
2023-11-03,295.8,299.8,294.7,299.1,211812
2023-11-06,299.0,299.7,295.3,296.05,333777
2023-11-07,296.9,297.5,292.1,292.75,393766
2023-11-08,293.8,297.5,293.8,297.0,197817
2023-11-09,297.0,298.0,295.0,296.6,186227
2023-11-10,296.6,305.9,295.35,301.8,331948
2023-11-12,305.0,305.8,303.2,303.95,112621
2023-11-13,303.95,304.6,300.15,301.25,247756
2023-11-15,304.95,306.6,302.55,304.3,306698
2023-11-16,305.9,305.9,301.35,303.55,300970
2023-11-17,300.3,308.7,300.1,307.6,334149
2023-11-20,307.6,308.95,305.0,305.1,119971
2023-11-21,307.0,307.3,303.3,303.85,142123
2023-11-22,303.85,304.0,298.25,299.55,290073
2023-11-23,299.55,302.5,299.55,301.35,115557
2023-11-24,303.9,303.9,299.9,301.0,132414
2023-11-28,302.75,302.75,300.0,300.8,197865
2023-11-29,302.55,303.0,299.5,299.75,636251
2023-11-30,300.05,300.85,297.5,299.25,382853
2023-12-01,300.95,302.0,297.85,300.15,395237
2023-12-04,318.9,319.0,313.0,317.9,2209533
2023-12-05,320.95,327.0,320.0,325.0,1829812
2023-12-06,329.45,332.0,325.0,325.65,2934514
2023-12-07,327.0,327.6,323.0,324.15,861934
2023-12-08,324.15,325.9,320.2,322.65,676456
2023-12-11,324.0,326.8,323.55,325.35,565522
2023-12-12,325.25,326.75,324.2,324.9,453205
2023-12-13,324.9,326.0,323.6,325.5,879874
2023-12-14,325.1,325.1,318.0,319.1,846426
2023-12-15,320.0,320.0,314.5,316.35,778336
2023-12-18,316.0,316.35,311.05,315.3,401872
2023-12-19,314.2,314.9,310.5,311.95,541553
2023-12-20,312.1,314.0,305.75,306.9,681204
2023-12-21,304.0,307.55,302.7,306.5,472198
2023-12-22,305.05,312.0,305.05,309.9,480182
2023-12-26,311.05,312.9,310.0,311.7,311187
