Date,Open,High,Low,Close,Volume
2023-10-05,49.8,50.25,48.75,49.4,654301
2023-10-06,49.75,52.95,49.65,52.35,2175990
2023-10-09,51.9,53.95,51.55,52.1,1439590
2023-10-10,52.6,53.6,52.0,52.45,711415
2023-10-11,53.0,53.5,50.9,51.1,619303
2023-10-12,51.1,52.2,51.05,51.35,407846
2023-10-13,51.15,51.6,49.9,50.35,360512
2023-10-16,50.7,51.2,50.1,50.85,1150335
2023-10-17,51.1,56.95,51.1,54.85,4966113
2023-10-18,55.0,55.4,53.4,54.5,1729538
2023-10-19,54.75,55.4,52.75,53.65,1845289
2023-10-20,53.65,54.4,51.65,53.1,1647479
2023-10-23,52.65,54.0,49.5,50.75,1592659
2023-10-25,51.3,52.0,47.4,49.5,1597638
2023-10-26,48.8,52.95,47.4,52.4,1893654
2023-10-27,53.0,53.9,50.0,52.5,2539186
2023-10-30,53.0,56.75,51.95,55.9,6641514
2023-10-31,53.85,54.7,51.9,54.2,29316573
2023-11-01,54.7,54.9,52.5,52.85,3675679
2023-11-02,53.45,54.0,52.1,53.5,3297168
2023-11-03,53.75,54.4,53.25,53.65,2057425
2023-11-06,54.0,60.0,53.9,59.6,15737687
2023-11-07,60.85,61.5,58.0,60.0,6952661
2023-11-08,60.15,61.5,59.05,59.7,3033425
2023-11-09,60.0,60.6,58.25,59.75,1957606
2023-11-10,59.75,60.5,58.5,59.45,1616672
2023-11-12,60.05,63.35,59.5,62.1,2224444
2023-11-13,62.5,64.5,62.3,64.05,3740844
2023-11-15,64.75,66.1,63.75,64.85,2422338
2023-11-16,65.25,65.3,61.8,63.0,2234088
2023-11-17,63.0,64.5,62.05,62.95,1487579
2023-11-20,63.25,64.1,62.3,63.0,862853
2023-11-21,63.0,64.15,60.2,61.3,2241021
2023-11-22,61.6,66.95,61.5,65.7,6862889
2023-11-23,66.0,69.0,65.2,67.9,4608784
2023-11-24,68.0,68.25,66.4,66.65,1471669
2023-11-28,67.25,71.35,66.8,70.7,3122896
2023-11-29,71.25,71.25,69.0,69.65,1853139
2023-11-30,69.75,71.15,67.65,70.1,3748849
2023-12-01,70.55,74.55,70.0,71.95,3931411
2023-12-04,74.1,85.25,73.0,82.95,12159620
2023-12-05,83.5,83.5,78.85,81.55,4883980
2023-12-06,81.25,87.0,80.75,85.95,5716848
2023-12-07,86.75,91.25,86.75,89.05,6047582
2023-12-08,90.0,92.0,88.55,90.85,3424248
2023-12-11,90.85,100.0,90.75,98.5,9286316
2023-12-12,99.45,103.0,95.5,99.85,4408581
2023-12-13,100.8,101.75,97.5,100.9,2289423
2023-12-14,100.95,103.2,98.5,102.6,1645145
2023-12-15,102.75,105.0,100.6,101.95,1872807
2023-12-18,100.5,102.25,99.35,100.95,1329647
2023-12-19,100.95,105.3,99.0,102.7,2708402
2023-12-20,103.05,112.95,99.8,105.6,5648909
2023-12-21,105.0,116.0,101.85,113.9,2741788
2023-12-22,113.9,119.0,109.25,113.3,3140956
2023-12-26,113.75,120.0,113.6,116.55,2079036
2023-12-27,117.0,119.45,113.45,118.35,1534581
2023-12-28,118.75,122.25,114.75,121.35,1512170
2023-12-29,121.35,125.5,118.0,124.95,2437417
2024-01-01,126.0,134.0,126.0,131.1,2443885
2024-01-02,131.0,134.0,126.4,131.9,2070821
2024-01-03,131.45,135.05,126.3,128.55,2303164
2024-01-04,129.2,130.5,126.3,129.5,1550005
2024-01-05,129.65,131.45,126.35,127.55,1002160
2024-01-08,127.25,127.5,114.8,123.9,3821600
2024-01-09,125.0,128.25,117.25,118.6,1228449
2024-01-10,118.75,120.0,108.1,113.95,3302084
2024-01-11,116.15,117.2,111.5,113.0,750299
2024-01-12,112.5,114.5,107.6,110.0,1276835
2024-01-15,110.75,115.4,108.75,112.9,1164094
2024-01-16,113.0,114.85,108.5,109.6,677669
2024-01-17,109.6,111.25,106.0,106.7,507828
2024-01-18,106.7,113.25,102.5,111.2,1342595
2024-01-19,112.25,114.5,109.8,112.55,875445
2024-01-20,112.4,112.6,108.55,108.95,486436
2024-01-23,107.5,111.6,106.25,107.65,598618
2024-01-24,107.8,112.1,106.25,109.85,777195
2024-01-25,110.4,119.7,110.4,117.35,2049191
2024-01-29,118.5,123.5,118.25,122.6,1321822
2024-01-30,123.65,123.7,116.6,117.7,701614
2024-01-31,117.75,121.5,117.7,119.5,678196
2024-02-01,119.65,122.5,115.4,119.6,1644663
2024-02-02,120.0,129.95,120.0,127.2,3171589
2024-02-05,130.9,135.75,128.95,133.75,2703897
2024-02-06,135.25,136.7,128.75,132.2,1645621
2024-02-07,133.0,136.25,131.75,135.65,1125934
2024-02-08,142.5,144.7,135.85,138.05,2434869
2024-02-09,139.1,140.5,124.5,128.05,1708735
2024-02-12,132.75,135.5,121.25,122.95,2138279
2024-02-13,125.0,130.25,110.7,128.65,1649265
2024-02-14,125.0,133.0,125.0,131.3,4597085
2024-02-15,133.2,144.4,133.0,143.6,3724111
2024-02-16,145.0,150.5,144.5,147.75,3032378
2024-02-19,149.0,161.15,148.8,157.35,2561799
2024-02-20,159.0,160.85,150.85,155.9,1289889
2024-02-21,156.75,158.5,148.1,149.5,1173857
2024-02-22,150.5,151.75,142.8,148.05,765548
2024-02-23,151.0,155.45,150.3,152.9,1180826
2024-02-26,153.95,160.5,150.5,157.7,1020764
2024-02-27,158.45,162.0,155.3,156.95,995773
2024-02-28,157.0,157.4,149.1,150.95,961800
2024-02-29,150.95,153.75,144.55,150.7,2201413
2024-03-01,152.5,155.55,143.8,146.25,609712
2024-03-02,149.15,151.0,144.5,145.4,121732
2024-03-04,138.15,139.2,138.15,138.15,1365375
2024-03-05,131.25,131.25,131.25,131.25,391782
2024-03-06,124.7,124.7,124.7,124.7,140358
2024-03-07,118.75,130.9,118.75,130.9,3367272
2024-03-11,130.9,133.05,124.4,124.4,1390571
2024-03-12,124.5,129.55,118.2,118.6,1608356
2024-03-13,115.75,119.85,112.7,112.7,1892859
2024-03-14,108.3,115.25,107.05,112.95,1988421
2024-03-15,114.25,118.5,112.9,117.2,3169542
2024-03-18,117.85,118.5,111.35,116.6,833593
2024-03-19,115.25,118.2,112.75,114.0,387874
2024-03-20,114.7,117.1,110.1,111.6,357620
2024-03-21,113.1,117.15,113.1,117.15,185415
2024-03-22,118.0,123.0,117.0,120.2,1125124
2024-03-26,121.1,126.2,117.55,126.2,631206
2024-03-27,127.5,132.5,126.25,132.5,1177785
2024-03-28,133.0,138.2,127.25,130.4,1117813
2024-04-01,131.25,134.9,128.5,131.2,476500
2024-04-02,131.75,132.75,128.0,128.65,497195
2024-04-03,128.7,135.05,127.5,134.55,1063318
2024-04-04,137.5,139.75,131.9,135.1,768702
2024-04-05,136.25,137.4,131.05,132.3,754620
2024-04-08,135.7,144.7,134.5,138.3,1401361
2024-04-09,139.45,143.25,137.15,139.75,1250185
2024-04-10,139.4,139.95,134.1,135.45,632887
2024-04-12,135.45,141.5,134.4,139.6,817856
2024-04-15,135.0,139.7,132.5,135.5,893014
2024-04-16,134.5,141.75,133.8,137.2,916237
2024-04-18,136.9,143.0,135.0,136.05,1031067
2024-04-19,134.5,144.45,130.45,142.25,1820119
2024-04-22,145.7,149.75,142.25,148.1,1400058
2024-04-23,157.5,161.45,147.5,149.9,3493280
2024-04-24,152.45,153.0,149.25,150.7,1093931
2024-04-25,151.2,164.6,151.0,161.4,6839962
2024-04-26,164.15,165.75,159.25,160.15,2192565
2024-04-29,161.75,165.15,155.75,157.75,1079896
2024-04-30,159.0,161.2,156.0,156.9,718626
2024-05-02,157.9,160.6,155.9,156.9,693832
2024-05-03,158.5,159.05,149.0,153.9,1211355
2024-05-06,159.55,161.25,149.0,151.4,2569063
2024-05-07,152.8,153.55,138.3,142.5,2374636
2024-05-08,142.5,143.75,138.35,140.0,1569002
2024-05-09,140.5,142.15,138.5,138.8,972898
2024-05-10,142.0,142.2,134.65,135.7,770887
2024-05-13,135.25,139.0,131.25,138.45,1195677
2024-05-14,139.9,142.5,137.7,141.5,806455
