Date,Open,High,Low,Close,Volume
2023-10-05,536.1,544.95,529.05,530.2,2723043
2023-10-06,530.2,538.75,528.65,532.9,3273021
2023-10-09,530.1,539.95,525.65,536.9,2831589
2023-10-10,535.05,537.3,530.0,530.35,1309648
2023-10-11,530.5,535.9,529.25,531.5,3212636
2023-10-12,533.0,547.5,532.35,543.25,3254548
2023-10-13,540.55,545.8,536.95,538.15,1560155
2023-10-16,537.0,538.7,529.15,532.05,1771724
2023-10-17,533.3,537.5,531.5,535.8,1356261
2023-10-18,535.5,535.5,529.0,531.5,1728569
2023-10-19,530.0,533.55,522.6,529.75,2470527
2023-10-20,528.0,533.65,526.25,527.0,1556297
2023-10-23,527.2,531.65,522.7,524.85,2391683
2023-10-25,522.1,538.8,522.1,529.1,3244900
2023-10-26,510.0,519.9,495.25,506.05,10081408
2023-10-27,510.1,511.6,501.95,505.0,1511883
2023-10-30,503.0,503.0,491.25,494.55,2502645
2023-10-31,496.7,504.8,492.0,500.95,1351546
2023-11-01,499.1,503.65,495.7,498.75,758995
2023-11-02,500.95,503.75,498.15,501.4,546222
2023-11-03,505.05,509.8,503.05,506.8,1544652
2023-11-06,512.05,512.9,505.25,507.95,988215
2023-11-07,508.0,511.3,503.0,504.15,695190
2023-11-08,505.2,509.0,503.1,507.9,537059
2023-11-09,508.1,510.0,504.0,505.75,536401
2023-11-10,505.5,509.4,504.8,507.6,469008
2023-11-12,510.0,512.0,507.45,508.3,136164
2023-11-13,508.3,509.9,500.65,504.95,2099863
2023-11-15,508.0,517.5,506.1,515.75,2125442
2023-11-16,518.8,528.4,515.0,527.35,3415182
2023-11-17,527.0,531.85,525.0,528.05,875286
2023-11-20,528.0,534.75,518.55,521.25,1794031
2023-11-21,522.0,524.65,517.0,518.45,698524
2023-11-22,518.45,536.0,518.0,530.4,4769051
2023-11-23,529.45,543.55,527.45,537.55,4181883
2023-11-24,537.95,546.95,536.4,544.85,2629176
2023-11-28,544.85,549.75,539.8,544.7,2168765
2023-11-29,545.15,567.4,545.15,563.25,5940108
2023-11-30,563.0,566.8,558.05,560.85,3791559
2023-12-01,563.2,567.0,559.7,565.4,1946123
2023-12-04,567.0,576.1,560.8,561.45,2757190
2023-12-05,561.45,564.55,555.0,556.85,1548224
2023-12-06,557.45,561.95,555.0,555.85,966974
2023-12-07,551.2,566.0,551.2,561.0,1542794
2023-12-08,562.9,565.0,556.0,559.75,1459271
2023-12-11,558.0,564.5,557.05,560.55,1366986
2023-12-12,562.0,562.95,554.5,558.3,881316
2023-12-13,559.2,560.0,554.0,556.15,876304
2023-12-14,555.0,572.65,554.25,569.05,1964812
2023-12-15,577.95,577.95,562.55,565.45,1668246
2023-12-18,565.45,565.45,558.0,559.1,1537409
2023-12-19,561.4,573.8,559.2,564.95,2388964
2023-12-20,568.35,586.0,556.5,562.35,6426496
2023-12-21,555.0,567.0,552.65,565.5,1457094
2023-12-22,568.0,586.95,564.4,581.45,4247513
2023-12-26,585.0,585.0,569.05,570.2,2245311
2023-12-27,572.75,576.5,566.0,567.5,1781474
2023-12-28,567.5,576.5,563.45,570.15,1992873
2023-12-29,570.0,572.75,561.0,565.05,1252152
