Date,Open,High,Low,Close,Volume
2023-10-05,322.15,326.4,312.0,313.4,504395
2023-10-06,315.7,322.45,310.0,314.2,521798
2023-10-09,302.25,306.9,298.5,298.5,698161
2023-10-10,305.8,305.8,295.0,297.1,617065
2023-10-11,300.35,311.95,298.95,311.95,244893
2023-10-12,327.5,327.5,313.3,317.95,2602966
2023-10-13,315.0,323.05,308.55,311.95,1053634
2023-10-16,315.0,315.0,303.3,304.7,559229
2023-10-17,307.95,319.9,306.0,308.75,1100184
2023-10-18,310.9,312.8,297.35,305.1,503133
2023-10-19,302.0,318.0,302.0,311.7,696453
2023-10-20,310.9,314.7,308.6,310.45,377792
2023-10-23,315.0,315.95,294.95,295.3,632767
2023-10-25,292.0,300.8,280.55,280.8,731108
2023-10-26,279.05,294.8,266.8,294.8,1676552
2023-10-27,309.5,309.5,303.9,309.5,753321
2023-10-30,324.95,324.95,313.15,316.95,2199581
2023-10-31,319.25,322.0,307.0,312.6,494856
2023-11-01,314.9,317.35,305.05,306.0,355240
2023-11-02,312.0,313.7,303.2,305.7,298152
2023-11-03,307.9,310.95,306.0,307.5,235281
2023-11-06,308.8,319.8,307.6,311.7,598772
2023-11-07,313.95,315.25,306.0,306.9,277124
2023-11-08,310.45,322.2,309.0,311.3,1126788
2023-11-09,319.0,322.0,313.3,319.4,738471
2023-11-10,318.95,326.5,315.6,319.9,560899
2023-11-12,323.4,324.3,318.35,320.9,156907
2023-11-13,321.8,323.0,316.8,318.05,316510
2023-11-15,321.95,323.0,315.0,315.45,296143
2023-11-16,322.0,322.0,312.9,313.7,339446
2023-11-17,314.8,329.35,314.1,329.35,1392618
2023-11-20,335.0,345.8,334.35,345.8,1873541
2023-11-21,363.05,363.05,332.75,339.0,2530540
2023-11-22,344.7,344.7,330.0,335.3,740443
2023-11-23,340.0,343.9,323.6,326.65,570477
2023-11-24,330.95,342.95,330.95,339.2,1304247
2023-11-28,339.8,341.75,331.0,333.1,505263
2023-11-29,333.85,342.0,331.0,339.15,808173
2023-11-30,338.0,350.0,324.4,347.85,1707728
2023-12-01,356.0,359.3,338.8,341.85,740729
2023-12-04,346.05,350.4,339.05,340.1,641069
2023-12-05,349.4,352.0,340.15,346.15,1134218
2023-12-06,347.85,349.45,339.0,340.1,529872
2023-12-07,335.0,335.0,323.1,323.1,1311492
2023-12-08,310.0,319.75,307.95,311.5,4008428
2023-12-11,317.85,319.0,309.5,316.5,2271146
2023-12-12,320.0,320.7,313.0,314.05,794209
2023-12-13,314.95,318.0,311.25,314.9,654893
2023-12-14,317.0,330.6,315.55,328.55,5148742
2023-12-15,339.0,343.4,330.3,335.9,2775982
2023-12-18,339.9,339.9,328.0,328.95,1236074
2023-12-19,332.0,332.0,321.95,327.95,1008109
2023-12-20,329.75,330.65,311.55,311.7,1088712
2023-12-21,307.95,327.25,305.4,325.85,940490
2023-12-22,324.0,329.4,317.1,323.7,1028879
2023-12-26,325.0,332.8,318.65,320.3,4217799
2023-12-27,324.9,326.0,315.0,321.1,670011
