Date,Open,High,Low,Close,Volume
2023-10-05,1347.0,1348.55,1325.55,1328.45,45735
2023-10-06,1335.4,1336.5,1316.65,1319.4,63499
2023-10-09,1305.0,1310.0,1275.0,1279.75,95950
2023-10-10,1286.6,1295.9,1267.0,1278.2,230737
2023-10-11,1284.9,1293.25,1273.9,1287.5,128804
2023-10-12,1296.55,1322.0,1288.0,1302.4,63894
2023-10-13,1302.95,1312.75,1275.55,1284.55,55515
2023-10-16,1274.0,1312.5,1274.0,1293.95,125577
2023-10-17,1299.0,1309.5,1286.05,1288.95,42488
2023-10-18,1300.0,1302.75,1255.0,1267.45,275609
2023-10-19,1283.0,1283.0,1251.75,1259.75,91020
2023-10-20,1259.0,1268.9,1212.0,1230.15,459183
2023-10-23,1245.9,1256.3,1206.5,1222.0,441233
2023-10-25,1232.0,1236.9,1202.1,1207.05,210153
2023-10-26,1213.05,1233.0,1168.0,1220.4,292645
2023-10-27,1235.95,1294.4,1227.15,1284.9,190784
2023-10-30,1290.0,1295.0,1266.0,1271.0,86082
2023-10-31,1277.7,1280.0,1252.05,1261.35,143196
2023-11-01,1267.7,1284.0,1257.55,1272.2,61981
2023-11-02,1269.95,1288.3,1260.0,1264.4,112773
2023-11-03,1271.1,1279.8,1251.3,1255.35,76715
2023-11-06,1262.0,1270.7,1236.35,1266.4,319905
2023-11-07,1268.0,1307.15,1268.0,1273.6,198939
2023-11-08,1280.0,1288.8,1258.5,1267.8,58229
2023-11-09,1274.1,1318.1,1274.1,1283.9,178238
2023-11-10,1288.0,1290.65,1266.95,1275.75,41871
2023-11-12,1291.85,1305.0,1290.7,1295.8,16936
2023-11-13,1299.55,1299.6,1281.7,1289.55,36788
2023-11-15,1290.0,1299.0,1275.9,1279.5,68912
2023-11-16,1284.0,1294.95,1278.15,1288.15,78485
2023-11-17,1287.05,1287.05,1275.0,1280.55,37513
2023-11-20,1287.3,1295.85,1252.5,1258.15,147721
2023-11-21,1264.45,1272.0,1260.45,1268.7,91970
2023-11-22,1275.4,1279.95,1253.45,1260.8,128156
2023-11-23,1267.4,1308.85,1264.4,1294.7,156038
2023-11-24,1300.0,1318.9,1290.0,1313.1,222996
2023-11-28,1317.0,1327.9,1304.0,1310.65,278358
2023-11-29,1317.5,1319.95,1286.3,1306.95,162572
2023-11-30,1313.8,1340.15,1308.75,1338.0,204511
2023-12-01,1349.75,1369.0,1343.2,1366.25,183235
2023-12-04,1385.95,1389.9,1372.1,1383.1,168371
2023-12-05,1385.0,1397.8,1376.6,1389.45,77357
2023-12-06,1390.0,1396.35,1376.8,1384.1,56746
2023-12-07,1382.8,1394.45,1367.25,1378.4,194934
2023-12-08,1378.4,1387.3,1373.05,1385.5,114719
2023-12-11,1385.5,1408.0,1385.5,1392.75,130782
2023-12-12,1400.0,1402.75,1348.2,1354.7,168148
2023-12-13,1361.8,1402.3,1345.65,1368.5,373145
2023-12-14,1375.35,1377.3,1359.95,1366.65,135154
2023-12-15,1373.8,1380.0,1360.5,1372.8,123728
2023-12-18,1378.0,1385.95,1360.0,1365.65,75276
2023-12-19,1371.0,1433.3,1367.8,1419.0,521584
2023-12-20,1415.0,1442.0,1330.15,1348.6,230768
2023-12-21,1345.1,1382.95,1340.85,1367.2,441815
2023-12-22,1359.1,1398.7,1359.1,1383.1,188128
2023-12-26,1390.4,1399.65,1362.0,1365.4,39233
2023-12-27,1379.0,1379.0,1345.0,1348.4,155173
2023-12-28,1348.4,1354.05,1320.0,1324.3,166382
2023-12-29,1332.0,1340.6,1296.0,1301.7,198350
2024-01-01,1311.85,1320.1,1301.75,1308.5,121064
2024-01-02,1313.0,1315.0,1282.55,1297.45,655201
2024-01-03,1295.05,1309.15,1289.15,1299.2,346734
2024-01-04,1300.0,1310.0,1295.05,1302.4,505674
2024-01-05,1310.0,1346.7,1310.0,1343.45,345757
2024-01-08,1348.0,1393.2,1348.0,1371.95,476045
2024-01-09,1378.0,1388.0,1350.05,1374.5,339247
2024-01-10,1378.0,1389.0,1368.0,1375.95,299418
2024-01-11,1383.2,1395.0,1366.0,1372.9,181444
2024-01-12,1351.5,1404.0,1351.5,1399.75,196760
2024-01-15,1412.4,1421.15,1378.2,1406.45,176750
2024-01-16,1405.0,1433.1,1391.1,1398.8,190793
2024-01-17,1395.05,1412.75,1380.75,1396.3,254717
2024-01-18,1391.75,1410.95,1348.15,1393.35,238862
2024-01-19,1398.75,1417.0,1372.05,1389.6,263766
2024-01-20,1386.8,1393.95,1376.05,1379.9,18663
2024-01-23,1378.0,1403.9,1326.5,1336.15,182042
2024-01-24,1334.1,1343.9,1305.0,1332.15,183461
2024-01-25,1329.2,1353.85,1329.0,1339.4,49018
2024-01-29,1339.35,1355.0,1328.45,1348.75,82041
2024-01-30,1346.0,1399.0,1332.65,1350.75,128068
2024-01-31,1350.0,1406.0,1348.75,1384.0,714000
2024-02-01,1390.8,1412.6,1370.0,1377.6,529459
2024-02-02,1384.8,1390.4,1342.5,1344.8,130954
2024-02-05,1344.0,1344.0,1295.0,1305.65,159914
2024-02-06,1310.0,1334.95,1295.05,1298.8,454826
2024-02-07,1310.0,1324.8,1290.0,1300.15,327368
2024-02-08,1300.0,1309.7,1272.65,1279.65,133920
2024-02-09,1280.0,1280.0,1221.3,1248.0,157116
2024-02-12,1249.1,1254.6,1190.2,1195.3,131606
2024-02-13,1195.3,1264.6,1186.4,1218.7,1040255
2024-02-14,1218.7,1242.0,1213.45,1237.5,433614
2024-02-15,1240.0,1267.0,1231.25,1261.35,125779
2024-02-16,1270.0,1281.4,1251.45,1259.5,190896
2024-02-19,1270.0,1289.85,1262.1,1269.95,75518
2024-02-20,1269.95,1270.0,1242.1,1246.5,62727
2024-02-21,1259.0,1259.95,1241.55,1247.7,76773
2024-02-22,1250.5,1256.45,1231.0,1245.25,95718
2024-02-23,1245.0,1260.0,1241.3,1252.3,221824
2024-02-26,1258.95,1262.0,1235.0,1258.65,99854
2024-02-27,1264.95,1275.0,1256.0,1272.45,95529
2024-02-28,1272.45,1287.6,1262.2,1269.75,315393
2024-02-29,1269.75,1288.0,1235.2,1276.35,350761
2024-03-01,1292.0,1292.55,1266.25,1272.85,254308
2024-03-02,1279.0,1296.0,1260.0,1282.0,5491
2024-03-04,1290.0,1296.0,1272.25,1284.85,302514
2024-03-05,1285.05,1293.35,1268.0,1276.55,117122
2024-03-06,1282.3,1288.75,1264.9,1279.05,207991
2024-03-07,1273.8,1282.25,1223.0,1234.7,114881
2024-03-11,1234.25,1254.2,1214.4,1229.75,290004
2024-03-12,1239.75,1239.75,1211.0,1227.45,199133
2024-03-13,1239.4,1241.9,1186.55,1202.2,216866
2024-03-14,1200.05,1221.1,1181.05,1188.95,145574
2024-03-15,1189.0,1202.7,1151.3,1177.25,183547
2024-03-18,1183.05,1206.0,1178.0,1198.85,526559
2024-03-19,1199.05,1222.0,1183.0,1189.65,193764
2024-03-20,1188.05,1204.5,1188.0,1190.5,165416
2024-03-21,1196.0,1204.7,1181.0,1194.45,73343
2024-03-22,1194.45,1200.0,1184.5,1188.8,63322
2024-03-26,1197.0,1197.0,1138.0,1145.65,191064
2024-03-27,1145.65,1152.0,1110.35,1146.9,435716
2024-03-28,1146.9,1172.65,1139.55,1154.85,270312
2024-04-01,1180.0,1229.8,1172.5,1226.1,560703
2024-04-02,1228.9,1290.0,1227.75,1270.25,267227
2024-04-03,1261.2,1290.0,1261.2,1272.55,140029
2024-04-04,1275.0,1281.0,1229.7,1240.1,354861
2024-04-05,1242.1,1259.4,1235.95,1254.9,278953
2024-04-08,1264.0,1278.95,1247.9,1253.35,98985
2024-04-09,1250.0,1269.95,1241.7,1256.55,300272
2024-04-10,1245.0,1259.45,1214.1,1234.45,679810
2024-04-12,1241.75,1250.0,1219.0,1225.2,292897
2024-04-15,1200.0,1228.35,1195.2,1212.2,65232
2024-04-16,1208.0,1251.0,1205.55,1226.75,328638
2024-04-18,1232.8,1255.95,1215.0,1226.9,610946
2024-04-19,1218.05,1218.05,1190.0,1194.1,138348
2024-04-22,1200.1,1206.35,1185.15,1187.6,173690
2024-04-23,1192.85,1213.0,1189.15,1201.45,495144
2024-04-24,1215.0,1232.0,1210.55,1220.5,211714
2024-04-25,1222.0,1224.0,1209.8,1212.85,74263
2024-04-26,1220.0,1239.35,1195.65,1205.5,452608
2024-04-29,1208.0,1226.35,1202.05,1207.45,125770
2024-04-30,1205.0,1218.0,1199.1,1204.45,74137
2024-05-02,1210.0,1211.45,1185.0,1196.05,135291
2024-05-03,1198.0,1202.05,1173.5,1184.3,237129
2024-05-06,1189.0,1191.55,1156.0,1171.2,120241
2024-05-07,1175.0,1210.05,1160.1,1187.55,539417
2024-05-08,1183.0,1190.5,1132.4,1155.8,1639210
2024-05-09,1164.75,1200.4,1156.5,1181.8,899874
2024-05-10,1194.0,1194.0,1160.1,1180.5,642169
2024-05-13,1182.4,1190.0,1145.35,1160.2,317021
2024-05-14,1160.2,1194.0,1157.0,1190.8,87877
2024-05-15,1194.0,1218.9,1185.0,1205.25,665718
2024-05-16,1211.0,1262.1,1207.0,1240.15,860071
2024-05-17,1242.65,1277.0,1240.0,1272.15,498269
2024-05-18,1280.0,1285.0,1260.55,1273.15,22325
2024-05-21,1284.25,1323.0,1252.35,1296.85,543887
2024-05-22,1294.0,1319.4,1276.0,1305.35,273129
2024-05-23,1305.0,1305.25,1265.85,1271.05,82544
2024-05-24,1270.55,1284.95,1260.1,1274.05,62223
2024-05-27,1290.15,1316.7,1286.7,1301.55,312868
2024-05-28,1304.85,1314.3,1278.1,1284.2,299686
2024-05-29,1258.0,1283.75,1255.0,1269.6,171117
2024-05-30,1270.05,1272.35,1215.5,1247.1,1030330
2024-05-31,1253.7,1253.7,1190.9,1205.3,148200
2024-06-03,1255.0,1264.45,1200.1,1215.65,125848
2024-06-04,1216.05,1231.25,1125.05,1149.2,173253
2024-06-05,1191.4,1191.7,1122.85,1181.95,159746
2024-06-06,1189.95,1217.95,1189.95,1209.9,83301
2024-06-07,1224.4,1276.95,1219.0,1241.45,267580
2024-06-10,1259.9,1262.0,1224.4,1238.55,550394
2024-06-11,1254.05,1305.0,1234.5,1295.45,387756
2024-06-12,1295.45,1340.0,1295.45,1317.4,437031
2024-06-13,1320.0,1329.4,1292.0,1294.1,102760
2024-06-14,1300.6,1303.45,1275.0,1284.4,234629
2024-06-18,1284.4,1378.0,1263.15,1362.5,1526616
2024-06-19,1379.0,1382.5,1325.0,1336.4,366140
2024-06-20,1345.0,1375.0,1329.2,1346.35,303113
2024-06-21,1348.25,1371.5,1341.25,1351.5,248279
2024-06-24,1361.7,1412.0,1361.7,1399.75,856104
2024-06-25,1413.9,1445.0,1400.1,1437.45,532093
2024-06-26,1437.65,1443.2,1390.1,1418.1,277228
2024-06-27,1418.0,1474.25,1414.45,1425.1,605984
2024-06-28,1425.95,1438.0,1403.6,1408.15,161928
2024-07-01,1409.65,1512.1,1409.5,1496.25,615384
2024-07-02,1511.0,1512.25,1466.05,1479.55,203838
2024-07-03,1491.95,1495.0,1459.45,1484.3,147609
2024-07-04,1495.0,1520.0,1466.3,1514.0,323031
2024-07-05,1510.0,1514.0,1468.0,1476.25,230492
2024-07-08,1476.25,1482.9,1423.0,1439.55,138040
2024-07-09,1440.0,1495.75,1432.5,1442.15,490222
2024-07-10,1447.8,1455.0,1410.15,1428.45,110422
2024-07-11,1422.0,1435.95,1391.0,1406.65,156266
2024-07-12,1406.65,1415.2,1384.5,1389.8,145806
2024-07-15,1393.8,1393.8,1350.0,1369.7,483958
2024-07-16,1373.55,1390.0,1369.25,1379.8,155823
2024-07-18,1380.0,1408.0,1356.4,1365.2,548954
2024-07-19,1355.0,1385.0,1340.45,1373.8,153748
2024-07-22,1379.0,1394.9,1341.05,1389.4,383175
2024-07-23,1395.0,1480.0,1359.0,1442.3,379116
2024-07-24,1457.5,1479.0,1410.0,1468.8,398016
2024-07-25,1442.0,1460.0,1423.15,1443.7,158320
2024-07-26,1443.7,1464.4,1427.0,1438.2,145764
2024-07-29,1500.0,1500.0,1450.0,1458.05,167807
2024-07-30,1458.05,1545.0,1446.2,1514.6,521878
2024-07-31,1514.6,1516.5,1474.05,1481.8,185421
2024-08-01,1483.25,1499.15,1460.0,1468.4,81996
2024-08-02,1468.0,1474.3,1451.15,1460.6,62788
2024-08-05,1430.0,1431.4,1376.15,1395.85,119189
2024-08-06,1395.85,1425.8,1380.1,1389.85,58539
2024-08-07,1399.0,1477.0,1385.1,1459.3,87179
2024-08-08,1457.0,1485.95,1444.0,1471.1,94199
2024-08-09,1471.1,1476.4,1435.0,1447.75,36946
2024-08-12,1435.0,1462.3,1405.3,1414.5,120002
2024-08-13,1410.0,1419.9,1372.4,1410.8,132352
2024-08-14,1410.85,1412.65,1373.65,1382.2,128086
2024-08-16,1389.15,1392.55,1375.05,1380.3,105582
2024-08-19,1382.7,1393.5,1365.15,1374.4,85436
