Date,Open,High,Low,Close,Volume
2023-10-05,319.55,321.0,318.25,318.9,396155
2023-10-06,319.0,323.0,319.0,322.2,626615
2023-10-09,319.6,319.6,315.05,317.65,718556
2023-10-10,317.7,320.5,317.35,317.75,481417
2023-10-11,319.05,321.0,318.3,318.7,653919
2023-10-12,319.0,322.1,318.1,318.65,1325826
2023-10-13,318.0,319.5,317.0,317.3,615655
2023-10-16,317.3,320.35,317.3,318.55,1139234
2023-10-17,319.7,325.9,319.6,324.6,1103994
2023-10-18,324.6,325.5,317.25,318.3,875559
2023-10-19,317.25,320.5,316.3,317.35,657460
2023-10-20,317.2,318.9,316.9,317.5,654219
2023-10-23,317.5,318.35,307.55,308.7,1105408
2023-10-25,310.0,311.8,304.25,305.5,1094888
2023-10-26,304.9,306.25,298.7,302.5,1084441
2023-10-27,304.0,306.4,303.05,303.3,617526
2023-10-30,303.3,304.55,301.3,302.1,465617
2023-10-31,303.25,304.75,300.1,301.1,536471
2023-11-01,301.9,303.9,299.5,300.0,549716
2023-11-02,301.9,304.5,301.15,303.1,741948
2023-11-03,304.0,305.15,303.5,304.0,418848
2023-11-06,304.95,306.95,304.75,305.7,580132
2023-11-07,306.0,306.95,305.05,305.4,453744
2023-11-08,306.0,307.75,305.5,306.7,744275
2023-11-09,307.0,308.6,306.7,307.4,393625
2023-11-10,307.1,309.8,304.05,305.1,671906
2023-11-12,304.75,305.0,303.5,303.9,455277
2023-11-13,302.5,303.25,299.1,302.75,1079051
2023-11-15,303.6,305.5,303.05,303.4,840602
2023-11-16,303.9,306.45,302.1,304.65,1367472
2023-11-17,304.65,309.4,304.4,307.3,1177051
2023-11-20,307.3,307.9,305.0,306.0,502409
2023-11-21,306.5,307.85,305.0,305.45,718571
2023-11-22,305.5,306.55,303.85,304.4,600947
2023-11-23,304.6,314.0,304.0,308.85,736051
2023-11-24,310.5,341.0,310.25,338.8,18997036
2023-11-28,340.5,347.25,335.55,337.15,8034353
2023-11-29,338.5,346.0,336.0,340.45,3497491
2023-11-30,341.0,349.5,338.5,339.75,4305902
2023-12-01,342.5,343.7,333.55,335.45,1616633
2023-12-04,340.0,363.85,340.0,359.5,13408726
2023-12-05,360.0,363.45,351.3,357.0,5078973
2023-12-06,360.0,375.4,357.0,373.0,9601936
2023-12-07,373.95,400.0,368.45,392.7,15595341
2023-12-08,395.0,401.7,385.0,386.2,6927164
2023-12-11,387.5,391.8,384.0,385.5,2160731
2023-12-12,385.0,399.5,385.0,395.9,5822501
2023-12-13,397.75,405.4,397.75,402.5,5973611
2023-12-14,405.5,410.0,403.6,407.6,4007659
2023-12-15,408.0,409.45,396.0,398.05,2964146
2023-12-18,399.0,405.45,396.7,400.8,2171792
2023-12-19,401.6,403.35,396.0,397.0,1396214
