Date,Open,High,Low,Close,Volume
2023-10-05,290.0,293.05,284.35,286.1,3614937
2023-10-06,287.55,293.45,286.95,288.9,4882078
2023-10-09,286.0,289.35,282.55,285.65,2928535
2023-10-10,287.0,291.35,287.0,290.15,2874286
2023-10-11,291.8,294.9,289.2,290.55,1766132
2023-10-12,292.0,292.9,286.4,286.85,2326605
2023-10-13,286.0,288.75,284.6,287.15,1428548
2023-10-16,287.15,288.95,283.85,285.3,2945115
2023-10-17,287.0,289.9,283.95,284.85,2596527
2023-10-18,286.0,286.4,279.3,281.35,3563149
2023-10-19,280.0,284.2,277.15,282.4,1975394
2023-10-20,281.6,282.2,274.55,277.85,2248638
2023-10-23,278.0,279.7,271.3,272.8,2735303
2023-10-25,273.9,276.75,269.2,273.6,1710365
2023-10-26,271.0,272.0,267.6,269.8,3237026
2023-10-27,272.0,282.55,272.0,277.3,2478528
2023-10-30,258.0,258.5,237.35,245.5,29974283
2023-10-31,248.0,251.9,243.3,245.35,9906043
2023-11-01,246.8,249.9,244.55,246.9,4427690
2023-11-02,248.8,252.35,246.95,250.95,3535001
2023-11-03,253.0,259.5,250.0,258.25,5127702
2023-11-06,259.35,263.45,258.35,262.7,2273658
2023-11-07,262.7,264.9,258.9,263.95,2482499
2023-11-08,265.0,267.65,263.45,267.05,2278821
2023-11-09,267.05,273.5,266.0,271.9,1670535
2023-11-10,271.85,272.3,267.6,271.55,1966572
2023-11-12,273.6,273.6,271.0,272.05,147237
2023-11-13,272.05,273.55,269.45,272.1,1347990
2023-11-15,273.35,279.6,273.35,276.4,1908423
2023-11-16,277.0,278.95,274.55,275.45,1036155
2023-11-17,270.0,274.75,268.7,273.8,2236153
2023-11-20,274.5,275.9,272.1,275.45,1084769
2023-11-21,276.6,277.05,272.4,275.15,2054954
2023-11-22,275.0,276.2,272.8,274.55,1750195
2023-11-23,274.1,275.9,270.85,272.15,1443556
2023-11-24,272.15,273.9,263.5,263.9,3227707
2023-11-28,264.85,271.35,262.6,270.45,1693274
2023-11-29,272.0,275.7,269.8,274.6,2702991
2023-11-30,275.0,277.0,273.0,274.3,2492370
2023-12-01,276.0,277.35,270.8,273.65,3273302
2023-12-04,276.8,281.35,275.15,277.7,2760664
2023-12-05,278.0,278.5,269.5,270.1,9295703
2023-12-06,271.8,275.0,269.75,272.6,5235707
2023-12-07,273.35,278.0,270.9,274.15,4582260
2023-12-08,274.95,276.65,270.55,273.25,3313929
2023-12-11,273.25,275.1,270.2,270.75,2703789
2023-12-12,270.55,272.6,267.45,270.8,3679797
2023-12-13,272.35,272.35,268.0,271.7,2805321
2023-12-14,273.7,291.8,273.1,289.35,9835137
2023-12-15,294.5,296.0,286.0,286.7,5650900
2023-12-18,286.9,286.9,281.15,282.1,5002750
2023-12-19,282.85,283.4,278.35,279.9,2540996
2023-12-20,280.6,282.4,267.0,268.8,3506772
2023-12-21,266.0,272.55,261.9,269.9,4257610
2023-12-22,272.0,274.95,265.7,267.4,3991212
2023-12-26,268.5,271.15,267.4,270.6,3009729
2023-12-27,271.0,279.5,271.0,276.8,4077166
2023-12-28,277.85,281.35,271.25,273.25,7544550
2023-12-29,274.9,281.55,273.05,276.7,6291299
2024-01-01,277.65,279.2,274.15,275.2,2472769
2024-01-02,276.0,278.0,268.6,274.7,4986465
2024-01-03,274.0,280.7,272.0,275.65,7622772
2024-01-04,276.05,279.65,275.65,278.0,2474932
2024-01-05,279.7,283.8,275.75,277.05,6485221
2024-01-08,279.0,280.75,273.8,275.6,3205946
2024-01-09,277.45,278.6,272.6,274.0,2948829
