Date,Open,High,Low,Close,Volume
2023-10-05,223.05,235.5,222.7,233.8,325314
2023-10-06,233.8,237.1,229.4,231.15,257954
2023-10-09,229.75,230.0,222.5,224.6,142780
2023-10-10,227.25,230.9,225.3,227.3,77569
2023-10-11,226.3,233.5,226.3,232.5,153097
2023-10-12,235.0,256.4,233.5,250.95,1256558
2023-10-13,250.0,253.0,244.65,246.0,288097
2023-10-16,245.75,249.8,243.3,246.5,183386
2023-10-17,247.8,259.9,247.8,254.85,385399
2023-10-18,254.45,256.25,248.0,250.25,202643
2023-10-19,248.75,252.5,247.1,250.05,130080
2023-10-20,249.75,253.3,244.3,245.25,122646
2023-10-23,244.3,247.75,229.25,230.4,271080
2023-10-25,241.9,241.9,225.5,237.45,562894
2023-10-26,237.45,237.45,226.25,231.7,197391
2023-10-27,231.9,243.75,231.9,242.45,184249
2023-10-30,242.9,256.75,241.75,253.75,350637
2023-10-31,252.5,266.7,250.75,259.5,820832
2023-11-01,262.25,273.5,247.55,253.45,1875293
2023-11-02,254.5,259.25,241.0,245.45,677429
2023-11-03,248.75,256.05,245.5,252.5,288554
2023-11-06,252.5,255.6,247.65,249.8,243538
2023-11-07,249.5,261.35,249.5,258.0,356902
2023-11-08,258.25,264.85,251.25,252.95,236771
2023-11-09,255.0,262.35,253.75,258.0,221558
2023-11-10,257.5,262.1,254.7,256.7,147327
2023-11-12,260.0,262.75,257.0,261.6,78880
2023-11-13,262.65,287.0,258.25,282.65,1561314
2023-11-15,289.5,309.5,285.55,305.95,1729568
2023-11-16,307.4,316.25,294.05,309.0,1168830
2023-11-17,305.0,311.0,300.6,304.25,389418
2023-11-20,306.95,307.4,297.55,298.7,253697
2023-11-21,301.2,302.15,293.0,299.95,181668
2023-11-22,300.0,300.0,277.3,281.2,505147
2023-11-23,283.3,289.5,280.0,281.8,289539
2023-11-24,282.8,284.65,280.25,282.4,106490
2023-11-28,283.75,290.75,282.15,287.25,296222
2023-11-29,288.75,291.0,285.25,288.8,225305
2023-11-30,290.25,302.55,290.0,300.25,412705
2023-12-01,303.3,305.95,295.5,297.5,184355
2023-12-04,305.0,305.0,293.65,297.05,167935
2023-12-05,299.0,305.9,297.75,302.05,192497
2023-12-06,302.5,307.5,299.0,303.7,276723
2023-12-07,305.0,309.95,299.5,304.05,259931
2023-12-08,304.2,306.95,292.5,299.1,174297
2023-12-11,300.0,303.0,294.75,299.0,168907
2023-12-12,300.75,308.6,299.0,304.3,270903
2023-12-13,307.5,321.55,301.0,306.2,664658
2023-12-14,308.0,320.25,306.25,317.85,467146
2023-12-15,317.5,318.05,301.25,303.2,326145
2023-12-18,303.2,312.7,299.75,310.15,273225
2023-12-19,308.75,322.75,307.7,320.6,514567
2023-12-20,322.5,324.6,305.55,308.0,409233
2023-12-21,303.75,318.5,301.9,317.15,218544
2023-12-22,320.0,321.05,315.25,316.6,124633
2023-12-26,319.25,319.7,308.75,313.7,295493
2023-12-27,315.05,317.4,297.65,302.7,315322
2023-12-28,306.25,307.25,303.0,304.05,210827
2023-12-29,304.3,310.8,304.3,310.2,263399
2024-01-01,310.2,315.6,306.5,315.0,169397
2024-01-02,315.0,316.6,306.5,309.95,160712
2024-01-03,310.0,313.25,308.35,310.6,114018
2024-01-04,313.0,331.95,312.75,321.9,866683
2024-01-05,326.25,331.25,320.65,325.5,242986
2024-01-08,325.5,337.5,325.1,332.2,366031
2024-01-09,335.65,350.0,335.65,344.75,617642
2024-01-10,347.5,354.75,339.05,351.6,371669
2024-01-11,351.6,386.75,351.6,381.15,1412059
2024-01-12,381.75,397.25,377.25,389.3,937770
2024-01-15,389.25,400.5,381.6,385.4,332681
2024-01-16,385.0,386.75,362.5,371.3,502044
2024-01-17,368.1,381.75,363.8,376.35,278356
2024-01-18,373.75,387.0,345.35,380.9,445173
2024-01-19,382.65,406.25,381.9,397.55,642749
2024-01-20,400.75,406.25,390.25,393.1,145934
2024-01-23,400.65,405.7,380.9,387.6,293175
2024-01-24,386.0,465.15,380.55,428.1,1901553
2024-01-25,437.5,446.2,428.3,433.0,1081048
2024-01-29,436.25,444.5,423.25,439.2,351016
2024-01-30,440.0,446.5,434.0,436.2,271676
2024-01-31,440.0,448.5,433.65,447.1,278018
2024-02-01,457.0,459.9,443.6,452.1,255458
2024-02-02,453.7,458.5,440.25,442.45,146282
2024-02-05,444.5,450.0,435.0,438.35,128719
2024-02-06,437.5,450.0,433.5,442.65,159599
2024-02-07,442.65,457.9,440.6,447.0,192185
2024-02-08,449.4,484.55,449.05,476.1,419927
2024-02-09,479.0,482.2,450.0,466.5,207369
2024-02-12,466.25,477.0,445.85,453.95,132164
2024-02-13,458.0,458.0,426.3,442.6,155960
2024-02-14,442.5,456.95,437.75,450.3,131080
2024-02-15,453.75,465.0,450.5,452.3,92132
2024-02-16,456.4,468.75,455.75,459.65,89813
2024-02-19,457.5,457.5,437.5,438.85,208287
2024-02-20,440.5,443.6,432.75,439.3,79877
2024-02-21,441.2,443.25,416.6,420.1,168925
2024-02-22,421.35,422.4,410.1,414.6,112969
2024-02-23,418.35,422.5,412.75,417.9,75983
2024-02-26,417.9,426.75,411.75,413.8,108708
2024-02-27,413.8,439.75,413.1,434.35,196420
2024-02-28,439.6,441.45,403.0,406.15,224423
2024-02-29,407.0,412.2,395.45,403.75,247259
2024-03-01,407.45,416.75,407.45,413.8,89977
2024-03-02,416.0,422.5,416.0,418.15,13121
2024-03-04,418.4,433.75,410.4,429.7,114791
2024-03-05,433.75,435.5,422.6,426.0,73921
2024-03-06,424.75,424.75,401.5,407.3,226732
2024-03-07,407.8,411.5,390.0,395.0,247685
2024-03-11,399.0,400.9,378.75,380.3,159007
2024-03-12,382.75,388.2,375.0,380.25,164594
2024-03-13,380.4,386.0,346.75,350.2,232318
2024-03-14,348.1,377.25,345.35,371.2,169615
2024-03-15,369.45,373.75,355.25,370.1,188330
2024-03-18,370.1,374.75,356.25,364.95,124795
2024-03-19,365.75,377.5,364.8,374.45,123990
2024-03-20,374.25,403.8,364.1,395.25,283678
2024-03-21,399.5,413.7,393.0,401.45,187269
2024-03-22,403.4,420.7,403.4,418.05,123537
2024-03-26,414.8,423.6,414.0,416.7,110488
2024-03-27,421.35,423.5,413.1,420.4,119287
2024-03-28,421.5,425.3,414.0,416.7,141812
2024-04-01,420.25,443.5,420.25,438.2,155280
2024-04-02,440.5,451.25,431.25,447.3,192192
2024-04-03,447.0,457.5,442.3,456.3,88315
2024-04-04,461.1,462.5,448.2,458.3,98079
2024-04-05,458.5,463.25,446.0,458.0,70566
2024-04-08,461.9,477.75,459.75,472.2,127851
2024-04-09,473.75,530.6,470.5,524.35,862285
2024-04-10,522.5,522.5,499.0,513.5,427920
2024-04-12,509.5,519.0,502.5,514.4,227740
2024-04-15,514.35,514.35,489.0,497.4,254061
2024-04-16,495.0,511.95,489.75,506.65,328671
2024-04-18,513.75,529.0,510.25,521.4,385716
2024-04-19,511.25,567.4,506.35,558.0,917222
2024-04-22,573.75,589.7,568.95,582.0,600502
2024-04-23,586.1,590.0,573.15,577.75,246575
2024-04-24,585.0,598.4,567.25,588.25,302913
