Date,Open,High,Low,Close,Volume
2023-10-05,42.15,42.35,41.2,41.3,3771260
2023-10-06,41.35,41.45,41.15,41.25,1613896
2023-10-09,40.75,41.35,39.85,41.0,4278772
2023-10-10,41.0,42.55,41.0,42.25,4109781
2023-10-11,42.6,42.6,41.65,41.85,3543087
2023-10-12,41.85,42.05,41.25,41.3,1965958
2023-10-13,41.25,41.55,41.05,41.35,4066271
2023-10-16,41.6,41.95,41.25,41.85,4075682
2023-10-17,42.05,42.4,41.9,41.95,1747310
2023-10-18,42.0,42.0,41.3,41.6,1976611
2023-10-19,41.35,42.8,41.15,42.55,3475293
2023-10-20,42.7,43.05,41.65,42.05,2397164
2023-10-23,42.3,42.4,40.55,40.95,3147765
2023-10-25,41.25,41.45,39.6,40.0,5088000
2023-10-26,39.7,40.25,38.95,39.65,6719084
2023-10-27,39.75,41.85,39.75,40.8,5162113
2023-10-30,40.9,40.95,39.45,40.05,2713026
2023-10-31,40.35,40.85,39.6,39.95,3159920
2023-11-01,41.0,41.25,39.2,39.4,6232371
2023-11-02,39.4,39.85,38.95,39.1,5209857
2023-11-03,39.4,39.5,38.8,38.85,8280632
2023-11-06,39.5,39.5,38.55,39.2,8388984
2023-11-07,39.35,40.6,39.15,39.95,5706514
2023-11-08,40.15,40.3,39.35,39.7,3066826
2023-11-09,39.7,39.95,38.65,38.75,6294981
2023-11-10,38.75,39.4,38.65,39.15,3211831
2023-11-12,39.6,39.85,39.45,39.75,869568
2023-11-13,39.8,39.8,39.15,39.25,3640519
2023-11-15,39.4,40.5,39.4,40.15,4886971
2023-11-16,40.25,40.3,39.85,39.95,2118735
2023-11-17,39.95,40.05,39.6,39.65,2779875
2023-11-20,39.85,40.65,39.55,40.45,8487909
2023-11-21,40.65,40.65,40.05,40.25,2046618
2023-11-22,40.25,40.55,39.35,39.4,2946611
2023-11-23,39.55,40.85,39.55,40.25,4481366
2023-11-24,40.35,40.55,40.0,40.1,1747406
2023-11-28,40.25,40.85,40.0,40.45,3085483
2023-11-29,40.6,41.05,40.25,40.45,3157618
2023-11-30,40.45,41.3,40.2,41.05,7002497
2023-12-01,41.35,41.55,40.65,40.9,7074229
2023-12-04,41.65,41.8,40.65,41.15,7644292
2023-12-05,41.45,41.75,40.6,40.75,5701692
2023-12-06,41.0,41.45,39.95,40.25,7123107
2023-12-07,40.65,41.15,40.15,40.75,3478124
2023-12-08,41.0,41.45,40.5,41.25,6619525
2023-12-11,41.65,41.75,41.05,41.2,6977193
2023-12-12,41.55,42.1,40.7,40.95,5386822
2023-12-13,41.2,41.4,39.95,40.2,6694344
2023-12-14,40.55,40.75,39.95,40.2,7924596
2023-12-15,40.5,40.8,40.35,40.55,4619985
2023-12-18,40.75,41.25,40.35,41.05,6181944
2023-12-19,41.25,41.45,40.85,41.15,11188544
2023-12-20,41.35,41.75,39.6,40.05,9809175
2023-12-21,39.95,40.45,39.4,40.15,10121658
2023-12-22,40.2,41.35,40.15,40.95,5859591
2023-12-26,41.25,41.3,40.45,40.5,4688059
2023-12-27,40.65,40.95,40.0,40.65,5512070
2023-12-28,40.75,41.15,40.05,40.75,7466337
2023-12-29,40.9,42.4,40.65,41.15,14976917
2024-01-01,41.5,42.2,41.15,41.45,8090211
2024-01-02,41.55,42.05,40.8,41.05,12295620
2024-01-03,41.2,41.75,40.65,41.0,20314444
2024-01-04,41.1,41.6,41.1,41.35,4766000
2024-01-05,41.8,44.0,41.4,43.75,41498481
2024-01-08,44.35,44.5,42.95,43.1,13686834
2024-01-09,43.45,43.85,43.15,43.25,6651332
2024-01-10,43.3,43.6,42.55,42.85,6123191
2024-01-11,43.95,43.95,42.25,42.4,9374264
2024-01-12,42.65,42.95,41.85,42.05,6504992
2024-01-15,42.35,42.65,42.1,42.35,4641928
2024-01-16,42.65,42.75,41.4,41.95,4022216
2024-01-17,41.65,42.0,41.05,41.25,6129243
2024-01-18,41.05,41.5,40.3,41.05,6630691
2024-01-19,41.35,41.75,40.8,41.05,5790031
2024-01-20,41.05,41.8,40.9,41.75,2426350
2024-01-23,41.85,42.0,40.85,40.95,5397988
2024-01-24,40.95,41.25,40.25,41.15,3471056
2024-01-25,41.15,41.8,40.15,40.65,6365883
2024-01-29,41.0,41.3,40.9,41.15,4795514
2024-01-30,41.45,43.65,41.35,42.35,17952800
2024-01-31,43.0,43.85,42.25,43.35,17288754
2024-02-01,44.25,47.65,44.15,46.65,65055289
2024-02-02,47.45,48.15,46.0,46.25,22935135
2024-02-05,46.55,49.25,46.2,47.3,26921460
2024-02-06,48.35,49.85,47.8,48.6,23309947
2024-02-07,48.85,49.25,46.8,47.0,11851314
2024-02-08,47.95,48.45,46.55,47.85,17287587
2024-02-09,48.0,48.05,45.25,45.95,12601579
2024-02-12,46.25,46.55,44.0,44.35,8050300
2024-02-13,44.35,46.25,43.05,45.0,10542174
2024-02-14,44.95,46.65,44.25,46.55,10625115
2024-02-15,46.9,47.35,46.15,47.05,7412758
2024-02-16,46.75,49.85,46.75,48.25,21335722
2024-02-19,48.55,49.15,48.4,48.75,5880072
2024-02-20,48.85,48.85,47.55,47.85,5139753
2024-02-21,48.0,48.1,46.45,46.65,5355085
2024-02-22,46.75,47.6,45.9,47.45,5420500
2024-02-23,47.7,47.7,46.65,46.85,4342821
2024-02-26,47.35,48.55,47.05,48.3,8385228
2024-02-27,48.65,49.15,47.65,48.0,8458136
2024-02-28,48.15,48.7,46.7,47.35,6408974
2024-02-29,47.15,47.15,45.8,46.75,6245432
2024-03-01,46.9,47.85,46.4,46.65,7044064
2024-03-02,46.85,47.8,46.75,47.65,838558
2024-03-04,47.8,47.8,46.45,46.65,7378249
2024-03-05,47.0,47.55,46.35,46.95,6887156
