Date,Open,High,Low,Close,Volume
2023-10-05,94.85,95.5,94.15,94.4,3856960
2023-10-06,95.25,95.45,94.45,94.95,5802195
2023-10-09,94.35,94.9,92.5,93.6,5455408
2023-10-10,94.1,97.3,94.0,97.0,7106610
2023-10-11,97.55,97.8,95.6,95.8,10688385
2023-10-12,96.45,100.9,96.35,99.75,32901759
2023-10-13,98.8,100.5,98.25,99.0,11189414
2023-10-16,99.25,101.5,98.4,100.4,9487296
2023-10-17,100.95,101.65,99.45,99.6,6165187
2023-10-18,100.25,102.25,98.1,98.5,13579682
2023-10-19,97.9,98.35,95.8,97.95,7937694
2023-10-20,97.0,98.2,94.4,94.65,7689327
2023-10-23,94.95,95.0,89.2,89.7,12825736
2023-10-25,90.5,92.55,89.85,91.65,8121107
2023-10-26,91.0,91.0,88.6,90.1,6405032
2023-10-27,91.1,91.9,90.65,91.2,4813748
2023-10-30,92.05,92.4,90.9,92.05,4576393
2023-10-31,92.95,94.05,91.95,92.25,3785896
2023-11-01,92.3,92.95,91.25,91.75,3354448
2023-11-02,92.15,93.65,92.05,93.4,3847604
2023-11-03,94.25,94.4,92.85,93.05,3598184
2023-11-06,93.85,95.3,93.1,94.95,9475512
2023-11-07,95.0,95.25,93.4,93.7,5261052
2023-11-08,94.3,94.65,93.35,94.0,5370537
2023-11-09,94.05,94.35,89.25,90.4,11900597
2023-11-10,90.4,92.05,90.0,91.3,5415351
2023-11-12,92.25,92.95,92.0,92.65,1299074
2023-11-13,92.85,92.85,90.8,92.1,6250696
2023-11-15,93.5,95.25,93.25,93.85,12275928
2023-11-16,93.55,94.2,92.8,93.55,6370701
2023-11-17,93.15,93.95,92.5,92.75,6630371
2023-11-20,93.0,94.35,92.4,92.6,12966464
2023-11-21,93.3,94.65,93.2,93.7,8195390
2023-11-22,93.3,93.35,90.7,91.4,7740924
2023-11-23,91.4,91.5,90.1,90.95,8839234
2023-11-24,91.05,92.3,90.9,91.05,6747951
2023-11-28,91.65,92.4,91.1,92.0,6389749
2023-11-29,92.5,92.9,91.55,92.05,9340433
2023-11-30,92.0,92.7,91.25,92.0,10206560
2023-12-01,92.95,94.15,92.35,93.75,11700120
2023-12-04,95.1,97.75,94.55,96.95,25325753
2023-12-05,97.0,98.25,95.6,96.25,13183869
2023-12-06,96.5,100.7,95.75,99.25,25632937
2023-12-07,99.5,100.15,97.55,99.05,10912530
2023-12-08,99.1,100.1,95.3,97.45,24783460
2023-12-11,97.9,98.7,97.2,98.0,8751714
2023-12-12,98.45,99.25,96.5,96.95,9850152
2023-12-13,97.2,99.25,96.4,98.95,9617428
2023-12-14,100.5,105.15,99.5,104.25,62388957
2023-12-15,107.0,113.7,106.7,110.7,109966812
2023-12-18,110.85,120.15,108.7,115.5,76529017
2023-12-19,116.0,116.5,111.5,112.65,22097019
2023-12-20,113.5,114.5,102.8,104.3,31181286
2023-12-21,104.3,111.9,102.3,110.4,37356676
2023-12-22,112.45,117.8,112.45,115.1,71397320
2023-12-26,116.5,117.55,114.7,115.35,19681322
2023-12-27,116.05,118.8,115.7,117.85,37717475
2023-12-28,119.55,129.6,119.05,128.6,107273076
2023-12-29,130.5,135.7,126.1,131.95,92188515
2024-01-01,132.7,138.85,132.15,136.15,43783940
2024-01-02,136.6,139.85,131.8,139.05,51857420
2024-01-03,138.5,138.5,129.3,129.85,59450714
2024-01-04,131.0,132.9,129.65,130.5,22117963
2024-01-05,131.45,132.8,127.2,128.1,21198368
2024-01-08,128.95,129.5,123.05,123.75,18668735
2024-01-09,125.0,129.7,123.05,128.45,27422652
2024-01-10,130.7,133.25,127.0,130.7,44056844
2024-01-11,131.1,131.7,128.8,130.4,13675789
2024-01-12,131.9,133.45,130.8,131.45,17384204
2024-01-15,132.6,135.7,129.3,135.3,31549703
2024-01-16,139.35,144.0,136.1,138.9,95230075
2024-01-17,136.75,137.75,133.0,133.6,35627473
2024-01-18,133.0,133.45,125.4,131.25,28294930
2024-01-19,132.8,136.65,132.2,133.65,22244546
2024-01-20,134.6,139.7,133.15,135.35,24783250
2024-01-23,136.5,137.7,121.85,126.75,26838107
2024-01-24,128.0,137.8,127.2,135.6,37870264
2024-01-25,136.5,142.4,133.7,141.1,74915630
2024-01-29,144.9,148.4,141.5,145.35,53160333
2024-01-30,146.8,149.25,144.5,145.6,33529564
2024-01-31,146.9,150.0,146.25,148.85,31011594
2024-02-01,150.5,151.35,146.0,147.05,29473167
2024-02-02,148.5,157.0,146.65,153.0,54463864
2024-02-05,153.9,161.1,152.35,155.75,59800188
2024-02-06,156.7,163.8,154.15,162.75,46564944
2024-02-07,165.0,165.55,158.35,161.15,27684612
2024-02-08,162.55,164.4,157.6,160.9,20015275
2024-02-09,160.85,161.5,147.05,157.5,40678846
2024-02-12,158.0,160.85,141.75,143.2,48639405
2024-02-13,142.15,144.5,137.35,141.95,31538855
2024-02-14,146.0,159.9,144.3,155.9,99788791
2024-02-15,159.0,160.35,153.3,157.25,40649183
2024-02-16,158.75,169.3,158.1,162.75,83551233
2024-02-19,164.0,165.2,159.6,160.6,24682133
2024-02-20,162.0,164.0,159.35,160.25,15672506
2024-02-21,161.5,165.2,155.85,157.3,27206179
2024-02-22,158.7,162.25,152.75,161.6,23247393
2024-02-23,162.3,162.9,158.4,159.0,16443079
2024-02-26,159.65,162.2,154.8,156.9,24275011
2024-02-27,156.75,158.7,154.4,155.4,15315735
2024-02-28,156.0,158.45,151.45,152.25,18501552
2024-02-29,152.6,157.0,151.35,155.95,19254314
2024-03-01,157.5,161.8,157.5,160.8,24049226
2024-03-02,160.8,166.5,160.5,165.8,9839419
2024-03-04,166.5,170.45,162.25,166.75,36939883
2024-03-05,166.95,168.8,165.05,166.15,17623544
