Date,Open,High,Low,Close,Volume
2023-10-05,38.6,39.0,38.35,38.5,9595015
2023-10-06,38.65,41.25,38.4,40.7,42155584
2023-10-09,39.8,39.9,38.35,38.55,20170634
2023-10-10,38.95,42.05,38.75,41.25,59244840
2023-10-11,41.55,43.1,41.45,41.75,55587276
2023-10-12,41.95,43.55,41.45,42.5,48261594
2023-10-13,42.4,43.35,41.85,42.0,21878988
2023-10-16,42.65,44.15,42.5,42.65,33174077
2023-10-17,43.15,43.65,42.15,43.15,25450460
2023-10-18,43.35,44.95,42.75,43.05,52791721
2023-10-19,44.4,48.25,43.75,47.15,175138159
2023-10-20,48.15,49.55,45.35,45.65,158772161
2023-10-23,45.85,46.35,41.15,41.6,77959784
2023-10-25,42.05,43.55,40.8,42.35,68858472
2023-10-26,42.0,43.0,40.5,42.55,51346194
2023-10-27,43.0,43.75,42.35,42.85,32446451
2023-10-30,43.0,45.65,42.1,44.75,55216321
2023-10-31,44.95,45.1,43.5,43.75,26461903
2023-11-01,44.0,45.1,43.75,43.95,23932165
2023-11-02,44.6,45.55,43.95,44.9,19362467
2023-11-03,45.6,45.6,44.55,44.65,17675248
2023-11-06,45.1,45.4,44.65,44.95,12056333
2023-11-07,45.05,45.9,44.4,45.35,19756138
2023-11-08,45.55,45.95,45.05,45.5,13266819
2023-11-09,45.6,45.65,44.25,44.65,11765703
2023-11-10,44.05,44.3,43.1,43.85,17890122
2023-11-12,44.25,44.95,44.15,44.75,4636451
2023-11-13,44.6,46.9,44.2,45.45,30300465
2023-11-15,46.0,46.25,45.25,45.45,9503528
2023-11-16,45.6,45.6,44.7,44.85,9883744
2023-11-17,44.8,45.3,44.25,44.7,10359123
2023-11-20,44.95,45.9,44.65,44.9,9809973
2023-11-21,45.1,45.6,44.4,44.85,14237220
2023-11-22,45.05,45.05,43.85,43.95,8529552
2023-11-23,44.05,44.35,43.25,43.4,6948472
2023-11-24,43.4,43.7,42.7,42.85,8554234
2023-11-28,43.0,45.6,42.55,45.35,32899699
2023-11-29,45.65,47.05,45.65,46.65,42265882
2023-11-30,46.85,51.0,46.75,50.75,108216222
2023-12-01,51.35,52.0,49.55,49.75,43296875
2023-12-04,51.35,53.0,50.95,52.4,49453119
2023-12-05,52.35,52.45,50.6,51.4,22701429
2023-12-06,51.75,52.55,51.45,52.05,16169829
2023-12-07,52.3,54.3,51.1,54.05,42103048
2023-12-08,54.35,55.05,51.6,52.55,26904594
2023-12-11,52.8,55.2,52.55,53.3,27422511
2023-12-12,53.65,54.75,53.1,53.6,26764745
2023-12-13,53.75,53.95,53.05,53.45,11135352
2023-12-14,55.8,56.5,54.8,55.0,50685738
2023-12-15,55.5,57.25,54.35,54.75,34913238
2023-12-18,54.8,55.8,53.85,55.2,17895635
2023-12-19,55.35,55.75,54.65,54.95,9765887
2023-12-20,55.25,55.3,48.65,50.25,25217566
2023-12-21,49.3,52.4,48.35,52.15,26177171
2023-12-22,52.45,52.55,51.2,52.25,10217786
2023-12-26,52.35,52.75,52.0,52.2,6184108
2023-12-27,52.6,54.25,52.45,53.3,25753924
2023-12-28,53.6,56.45,53.05,55.25,66789947
2023-12-29,55.55,55.55,54.1,54.35,17553965
2024-01-01,54.65,55.4,54.4,54.55,10161058
2024-01-02,54.75,54.8,52.65,53.75,13866797
2024-01-03,53.75,59.05,53.15,58.65,125974979
2024-01-04,59.05,59.9,57.95,58.4,49933311
2024-01-05,58.65,59.65,57.15,57.75,21657363
2024-01-08,58.05,58.55,56.35,56.7,15437731
2024-01-09,57.05,61.65,56.6,60.9,95883121
2024-01-10,60.9,62.45,59.95,61.65,62876795
2024-01-11,62.05,62.4,61.2,61.55,18778293
2024-01-12,61.85,62.9,60.7,60.95,44639440
2024-01-15,61.25,61.5,60.05,61.15,28513900
2024-01-16,61.45,61.95,58.95,60.0,30327902
2024-01-17,59.3,61.15,58.0,58.65,26156102
2024-01-18,58.65,59.75,56.4,58.15,23686936
2024-01-19,58.65,63.95,58.6,63.05,108553148
2024-01-20,63.55,69.25,63.35,67.85,102050869
2024-01-23,69.35,73.0,64.65,65.75,124517276
2024-01-24,66.3,70.6,64.35,70.15,89103485
2024-01-25,70.8,79.6,69.65,76.45,230345265
2024-01-29,78.0,85.65,77.8,84.65,127680948
2024-01-30,87.55,90.85,82.45,84.7,99835445
2024-01-31,85.05,87.05,83.05,86.3,60425165
2024-02-01,87.35,96.65,86.55,94.45,169438889
2024-02-02,100.0,113.3,100.0,112.45,238781006
2024-02-05,116.3,117.9,107.55,110.75,109368172
2024-02-06,111.8,111.8,100.75,104.95,49106787
2024-02-07,106.9,109.9,102.45,105.35,33877779
2024-02-08,106.0,106.25,102.2,102.6,21484102
2024-02-09,103.1,103.1,93.1,98.65,35453544
2024-02-12,97.85,97.85,88.75,88.75,27263338
2024-02-13,82.9,88.55,80.5,82.95,57656532
2024-02-14,84.6,87.05,84.0,87.05,7730529
2024-02-15,91.4,91.4,91.4,91.4,1328284
2024-02-16,91.65,95.95,89.05,89.75,38293465
2024-02-19,91.0,94.2,89.9,94.2,8339135
2024-02-20,95.35,98.25,94.65,95.05,27898133
2024-02-21,96.2,97.1,92.0,92.8,13997273
