Date,Open,High,Low,Close,Volume
2023-10-05,134.35,138.0,133.1,137.05,755373
2023-10-06,138.0,141.25,136.85,139.45,1152064
2023-10-09,137.0,138.95,134.25,135.6,538607
2023-10-10,136.7,138.7,136.1,137.95,373698
2023-10-11,138.6,140.7,136.25,137.15,537705
2023-10-12,138.25,139.15,135.65,137.8,464426
2023-10-13,136.8,138.95,136.05,136.65,235831
2023-10-16,136.6,142.95,136.6,142.3,1247657
2023-10-17,144.1,147.0,141.6,142.55,2179146
2023-10-18,142.65,144.4,138.75,143.55,942691
2023-10-19,143.35,149.65,141.0,143.6,3917534
2023-10-20,144.5,154.65,143.6,149.15,8417902
2023-10-23,150.2,152.7,137.1,138.55,2430220
2023-10-25,139.65,144.7,134.55,136.5,1026184
2023-10-26,136.4,138.7,130.1,135.55,1355864
2023-10-27,134.9,139.15,134.7,136.75,627073
2023-10-30,136.8,138.2,135.0,136.15,371587
2023-10-31,137.5,142.95,136.85,138.85,1216305
2023-11-01,139.15,140.0,136.6,137.05,382615
2023-11-02,137.95,141.65,136.75,138.1,484719
2023-11-03,138.9,142.2,136.75,138.3,718605
2023-11-06,139.05,142.2,138.8,141.15,559632
2023-11-07,141.9,144.5,141.4,143.2,683207
2023-11-08,144.3,147.05,143.5,144.75,893492
2023-11-09,136.2,138.95,133.0,137.45,1990390
2023-11-10,138.6,138.95,136.3,138.05,472788
2023-11-12,139.9,144.25,139.35,142.25,629338
2023-11-13,141.5,142.5,140.4,141.1,400315
2023-11-15,142.6,145.75,140.7,143.35,816044
2023-11-16,143.35,151.85,143.05,148.5,4047602
2023-11-17,148.95,155.2,147.5,151.95,3555936
2023-11-20,151.1,156.0,149.0,155.0,2264225
2023-11-21,156.25,166.5,156.2,164.9,6705888
2023-11-22,165.0,177.85,164.05,176.45,14490879
2023-11-23,176.8,176.8,169.25,174.2,3013181
2023-11-24,176.0,209.0,175.0,209.0,34862627
2023-11-28,213.1,237.3,203.7,226.1,50665997
2023-11-29,228.0,234.0,223.0,232.0,11176875
2023-11-30,227.95,255.2,227.0,255.2,11577826
2023-12-01,261.9,261.9,229.7,231.25,9486945
2023-12-04,236.8,245.0,229.7,241.9,5614362
2023-12-05,241.9,247.45,230.5,232.1,4998735
2023-12-06,233.95,236.6,224.4,228.2,2873141
2023-12-07,228.05,241.2,226.3,236.7,4048849
2023-12-08,235.45,236.45,226.45,228.15,1686202
2023-12-11,228.5,232.3,227.5,228.15,847753
2023-12-12,229.95,244.4,229.9,236.8,6108711
2023-12-13,238.5,238.6,231.9,235.0,1006148
