Date,Open,High,Low,Close,Volume
2023-10-05,371.0,374.05,364.1,367.2,274248
2023-10-06,368.05,371.95,367.6,369.55,185395
2023-10-09,364.0,364.6,355.0,357.3,145181
2023-10-10,359.0,366.8,354.0,354.8,217359
2023-10-11,357.1,366.5,357.1,365.65,161994
2023-10-12,366.85,368.75,362.35,363.0,83091
2023-10-13,361.1,373.5,361.1,365.0,162603
2023-10-16,363.9,372.7,363.9,369.0,243492
2023-10-17,369.85,371.0,365.0,365.75,209960
2023-10-18,364.0,367.0,362.55,363.05,104775
2023-10-19,362.6,362.9,358.95,359.7,198794
2023-10-20,359.65,362.0,350.1,351.75,254212
2023-10-23,352.0,359.5,350.9,351.25,242694
2023-10-25,352.6,357.0,346.3,347.8,117155
2023-10-26,347.0,347.05,339.4,343.3,78847
2023-10-27,344.9,347.95,340.15,341.6,89819
2023-10-30,342.25,346.4,335.6,344.7,86578
2023-10-31,345.0,348.35,339.0,340.45,78349
2023-11-01,340.8,345.0,335.1,338.35,191875
2023-11-02,339.8,342.6,330.25,336.75,373276
2023-11-03,335.6,343.0,334.0,342.0,1331898
2023-11-06,345.5,349.0,340.4,346.1,200718
2023-11-07,346.35,347.0,339.2,344.0,170222
2023-11-08,344.0,345.45,339.4,345.05,209090
2023-11-09,346.0,349.5,340.4,341.8,97176
2023-11-10,341.0,348.4,341.0,343.5,135559
2023-11-12,347.0,352.85,346.85,348.95,35173
2023-11-13,348.95,348.95,344.1,345.2,113827
2023-11-15,348.0,348.15,343.85,347.1,133455
2023-11-16,347.0,356.4,343.45,353.05,351439
2023-11-17,353.1,357.5,349.1,351.3,459052
2023-11-20,351.3,354.5,348.45,350.5,94734
2023-11-21,354.0,354.0,349.8,352.15,381546
2023-11-22,352.0,353.05,349.0,351.45,135786
2023-11-23,351.4,353.3,347.0,350.4,101379
2023-11-24,350.4,371.8,350.4,361.75,658128
2023-11-28,362.6,369.7,359.95,363.55,197154
2023-11-29,363.65,366.8,355.55,356.25,116869
2023-11-30,356.8,369.9,356.8,364.85,385408
2023-12-01,367.85,372.5,364.3,370.0,337595
2023-12-04,376.95,377.4,369.65,371.6,416331
2023-12-05,372.0,377.8,369.35,373.2,407701
2023-12-06,373.2,383.2,373.2,379.7,571923
2023-12-07,379.6,384.95,374.0,376.5,274514
2023-12-08,376.55,379.3,365.25,367.25,305396
2023-12-11,368.45,371.9,366.05,368.15,83119
2023-12-12,369.4,379.2,367.8,368.75,219798
2023-12-13,370.0,374.0,367.05,371.0,119340
2023-12-14,373.4,374.0,366.0,368.95,246879
2023-12-15,370.0,375.9,367.8,372.75,230107
2023-12-18,372.55,375.3,369.25,370.65,122850
2023-12-19,371.85,383.95,370.8,374.7,1922379
2023-12-20,375.0,383.0,359.0,364.95,381852
2023-12-21,360.1,381.35,360.1,377.35,711793
2023-12-22,378.0,387.7,372.55,374.9,472261
2023-12-26,375.4,378.25,371.05,373.3,125591
2023-12-27,398.0,398.0,383.0,388.75,1819013
2023-12-28,393.4,396.8,381.75,383.55,343801
2023-12-29,386.5,390.85,380.1,382.5,274542
2024-01-01,383.0,386.1,376.55,377.2,276052
2024-01-02,379.85,379.85,371.0,372.25,253608
2024-01-03,373.9,377.85,364.0,364.7,514031
2024-01-04,365.95,371.9,364.7,370.15,270931
2024-01-05,371.95,372.8,363.05,367.1,203717
2024-01-08,368.0,369.45,359.0,360.35,183902
2024-01-09,362.9,365.4,356.75,358.05,192256
2024-01-10,359.7,362.75,353.25,354.2,172622
2024-01-11,356.0,357.4,350.0,351.35,184727
2024-01-12,352.95,354.75,346.25,348.85,307420
2024-01-15,350.6,353.9,349.0,349.85,203579
2024-01-16,351.35,352.0,341.95,344.4,286151
2024-01-17,343.0,346.2,340.35,342.45,222451
2024-01-18,340.3,348.5,337.25,340.0,399018
2024-01-19,341.7,346.9,340.0,341.2,297705
