Date,Open,High,Low,Close,Volume
2023-10-05,2864.5,2890.0,2847.5,2869.7,235078
2023-10-06,2890.0,2899.5,2845.0,2874.0,185406
2023-10-09,2867.45,2895.5,2788.4,2797.9,448744
2023-10-10,2809.0,2899.45,2800.0,2878.55,447686
2023-10-11,2902.45,2942.5,2872.7,2880.45,437015
2023-10-12,2892.0,2922.5,2856.3,2885.7,315465
2023-10-13,2860.0,2902.5,2842.5,2882.7,422662
2023-10-16,2892.4,2903.5,2857.6,2880.45,427991
2023-10-17,2902.5,2907.45,2850.65,2855.8,344974
2023-10-18,2857.35,2895.0,2812.9,2857.9,492320
2023-10-19,2875.0,2974.45,2852.5,2924.45,782282
2023-10-20,2924.45,2972.5,2903.4,2953.65,409833
2023-10-23,2953.0,2969.9,2887.9,2903.1,470853
2023-10-25,2917.1,2967.5,2910.95,2949.3,531909
2023-10-26,2920.0,2947.5,2840.0,2933.3,459145
2023-10-27,2950.0,3072.75,2935.0,3041.9,948305
2023-10-30,3068.7,3069.0,3020.6,3033.95,409498
2023-10-31,3050.0,3100.0,3034.1,3080.1,452711
2023-11-01,3087.5,3129.0,3065.3,3105.5,394463
2023-11-02,3130.0,3140.0,3087.05,3112.7,264762
2023-11-03,3125.0,3159.0,3115.45,3143.05,492689
2023-11-06,3152.5,3173.25,3110.0,3123.0,354427
2023-11-07,3123.0,3129.95,3063.8,3113.05,275087
2023-11-08,3143.95,3149.9,3110.25,3144.2,178373
2023-11-09,3157.45,3164.5,3128.55,3159.85,184010
2023-11-10,3149.5,3155.0,3115.7,3123.05,170878
2023-11-12,3155.0,3165.0,3114.3,3131.35,22849
2023-11-13,3123.0,3143.7,3071.45,3118.05,378039
2023-11-15,3169.3,3198.4,3119.55,3131.9,781902
2023-11-16,3144.95,3205.5,3131.15,3198.1,423673
2023-11-17,3219.0,3240.2,3181.5,3193.4,335498
2023-11-20,3204.5,3249.95,3194.3,3240.25,479401
2023-11-21,3250.0,3288.0,3216.5,3232.8,471699
2023-11-22,3226.95,3307.5,3212.5,3297.0,403953
2023-11-23,3307.4,3312.3,3183.0,3189.4,559477
2023-11-24,3205.0,3236.95,3163.35,3195.2,514807
2023-11-28,3212.5,3220.0,3138.0,3159.55,570088
2023-11-29,3187.45,3237.5,3183.0,3221.35,437669
2023-11-30,3243.5,3255.0,3165.15,3199.95,7264052
2023-12-01,3222.5,3241.7,3195.0,3216.65,207847
2023-12-04,3250.5,3262.5,3198.35,3220.7,396407
2023-12-05,3235.0,3249.5,3135.4,3189.95,352814
2023-12-06,3207.45,3242.5,3161.0,3167.9,223890
2023-12-07,3185.0,3186.8,3144.65,3154.4,210255
2023-12-08,3175.0,3268.0,3157.2,3232.25,511246
2023-12-11,3250.0,3270.0,3231.0,3263.5,318228
2023-12-12,3275.0,3332.5,3250.0,3263.7,442046
2023-12-13,3277.0,3284.8,3213.1,3260.85,166972
2023-12-14,3298.0,3448.55,3290.85,3429.65,757543
2023-12-15,3449.5,3700.1,3432.9,3612.4,1461431
2023-12-18,3612.4,3623.2,3537.85,3573.3,398884
