Date,Open,High,Low,Close,Volume
2023-10-05,728.8,730.45,703.85,707.85,546425
2023-10-06,710.8,742.0,708.25,720.4,1180066
2023-10-09,714.0,733.2,697.85,711.0,549023
2023-10-10,714.4,733.45,713.3,726.95,486083
2023-10-11,729.85,739.5,721.15,725.35,426096
2023-10-12,726.8,744.4,717.4,741.4,495084
2023-10-13,738.0,743.95,723.0,726.2,444032
2023-10-16,729.75,729.8,719.5,720.7,154160
2023-10-17,724.45,752.5,721.35,746.6,447093
2023-10-18,746.4,772.0,736.6,761.45,972493
2023-10-19,759.95,784.9,752.0,772.9,622517
2023-10-20,765.7,780.5,742.65,747.2,496254
2023-10-23,748.3,760.8,699.25,715.05,635022
2023-10-25,726.0,731.95,693.7,711.55,947961
2023-10-26,714.25,720.75,680.0,713.4,395691
2023-10-27,730.0,757.0,720.05,736.85,689104
2023-10-30,735.0,735.0,701.15,716.7,338438
2023-10-31,719.95,759.0,719.95,736.4,1210210
2023-11-01,733.0,740.0,710.0,713.5,441543
2023-11-02,722.8,734.9,718.65,731.1,227904
2023-11-03,734.8,748.0,725.3,730.25,252192
2023-11-06,733.95,749.9,733.95,746.8,327045
2023-11-07,743.0,745.0,730.9,734.8,196642
2023-11-08,737.5,743.95,732.5,735.8,135885
2023-11-09,739.6,754.7,735.8,745.25,254378
2023-11-10,745.25,750.8,736.8,743.6,108799
2023-11-12,753.0,753.0,744.35,747.85,44151
2023-11-13,746.05,779.3,742.5,775.35,522209
2023-11-15,777.0,804.0,775.5,790.7,805473
2023-11-16,795.0,800.0,771.2,776.1,316743
2023-11-17,777.1,815.75,777.1,808.55,639830
2023-11-20,804.05,824.8,801.2,819.95,711851
2023-11-21,819.1,821.1,802.0,809.35,301017
2023-11-22,809.25,824.75,803.4,809.0,231443
2023-11-23,810.0,816.45,794.0,798.75,145659
2023-11-24,797.0,804.85,781.55,783.2,158086
2023-11-28,791.75,795.2,779.0,781.3,220131
2023-11-29,784.7,805.95,782.5,799.0,335228
2023-11-30,802.0,819.8,767.0,773.6,941339
2023-12-01,784.0,790.0,777.0,779.15,352372
2023-12-04,795.0,812.85,793.7,797.1,513058
2023-12-05,804.0,809.0,791.95,795.9,308875
2023-12-06,800.0,804.5,778.65,784.5,318697
2023-12-07,786.05,805.1,780.5,792.15,438909
2023-12-08,792.0,823.2,651.1,781.05,945092
2023-12-11,790.4,802.25,783.9,786.55,282643
2023-12-12,786.55,796.5,773.0,777.75,297223
2023-12-13,780.05,793.95,774.35,788.65,326559
2023-12-14,794.65,798.8,779.65,784.3,199098
2023-12-15,787.0,815.0,786.0,803.4,342524
2023-12-18,802.5,818.7,794.1,812.95,335501
2023-12-19,814.0,833.0,802.35,807.55,401817
2023-12-20,816.8,823.0,775.0,782.0,310524
2023-12-21,775.0,789.7,766.35,771.1,334328
2023-12-22,775.2,786.85,770.0,775.35,178348
2023-12-26,776.8,789.5,769.35,786.1,179313
2023-12-27,787.45,794.6,781.0,785.85,137240
2023-12-28,788.0,791.95,773.1,777.8,251047
2023-12-29,778.0,785.4,774.0,780.75,216364
2024-01-01,781.9,794.9,780.9,785.3,144151
2024-01-02,785.9,792.9,776.0,778.5,223333
2024-01-03,785.1,803.95,785.1,788.15,347062
2024-01-04,793.0,798.85,787.95,796.45,135541
2024-01-05,802.0,807.0,788.3,800.65,184904
2024-01-08,800.0,804.35,786.0,788.65,116591
2024-01-09,793.0,796.3,787.0,788.0,95539
2024-01-10,789.0,793.85,775.1,782.95,145993
2024-01-11,783.0,803.45,772.6,779.45,281577
2024-01-12,778.7,807.0,778.3,799.45,310049
2024-01-15,804.8,808.0,787.05,797.2,205530
2024-01-16,792.95,894.7,789.45,848.0,5808372
2024-01-17,839.0,858.95,824.1,827.55,890526
2024-01-18,828.0,905.5,810.55,856.2,4190153
2024-01-19,864.7,888.0,848.5,876.9,852386
2024-01-20,875.05,888.4,868.0,872.25,255128
2024-01-23,894.05,906.45,851.0,863.6,838140
2024-01-24,863.0,863.0,842.55,859.8,336373
2024-01-25,830.0,913.7,806.0,820.9,5908270
2024-01-29,826.8,834.4,783.35,791.25,1085733
2024-01-30,795.25,802.9,758.0,763.15,752715
2024-01-31,770.0,797.8,766.85,784.6,1114473
2024-02-01,785.95,825.8,783.75,820.1,1437043
2024-02-02,829.0,839.9,792.0,800.9,987425
2024-02-05,806.5,821.7,785.0,791.7,418736
2024-02-06,799.65,814.0,796.0,806.55,287970
2024-02-07,817.9,845.6,811.05,821.3,915164
2024-02-08,828.0,832.95,805.05,808.55,388707
2024-02-09,814.5,835.0,804.65,825.85,548583
2024-02-12,829.8,844.4,782.1,787.35,606281
2024-02-13,800.0,801.4,774.0,777.7,460021
2024-02-14,773.0,787.35,766.0,783.95,235047
2024-02-15,787.8,793.8,778.7,781.85,221032
2024-02-16,788.0,791.0,763.8,768.8,546443
2024-02-19,760.6,781.75,743.35,747.2,621984
2024-02-20,749.85,761.4,741.0,742.7,383116
2024-02-21,745.2,755.0,722.0,726.75,405819
2024-02-22,730.1,738.85,712.0,716.75,399739
2024-02-23,722.8,729.85,697.4,702.75,762342
2024-02-26,712.4,748.1,710.0,723.95,1511972
2024-02-27,723.95,728.7,709.0,715.1,332979
2024-02-28,718.9,721.5,698.0,701.75,306449
2024-02-29,700.85,704.95,683.2,694.25,469003
2024-03-01,700.0,729.8,693.35,725.45,645012
2024-03-02,729.45,738.0,720.0,732.55,60499
2024-03-04,735.8,735.8,716.5,719.85,279683
2024-03-05,715.0,719.9,690.9,693.15,855259
2024-03-06,694.9,696.95,665.15,676.15,473863
2024-03-07,679.0,708.0,679.0,702.8,905055
2024-03-11,702.05,704.7,674.0,678.05,260725
2024-03-12,681.85,681.85,658.0,661.1,372296
2024-03-13,663.0,664.5,604.0,611.85,431935
2024-03-14,610.0,651.95,607.65,646.7,439848
2024-03-15,646.7,648.45,621.3,627.2,381903
2024-03-18,627.8,644.7,620.0,624.7,431101
2024-03-19,624.85,640.85,621.3,626.8,386363
2024-03-20,626.8,634.0,610.0,613.25,513138
2024-03-21,623.0,645.4,623.0,642.5,355268
2024-03-22,639.5,653.5,635.3,640.15,318661
2024-03-26,640.0,647.7,625.0,628.6,322057
2024-03-27,631.0,645.9,624.45,630.35,619023
2024-03-28,633.55,639.3,625.45,629.85,271310
2024-04-01,651.0,755.8,651.0,749.3,9716605
2024-04-02,745.2,747.85,721.0,724.05,2358853
2024-04-03,720.0,743.0,717.65,735.0,1229166
2024-04-04,735.0,794.0,735.0,769.65,4485487
2024-04-05,767.9,778.25,758.3,772.3,740149
2024-04-08,773.9,774.0,759.0,763.9,543094
2024-04-09,766.8,794.6,760.55,764.5,1116656
2024-04-10,765.1,772.35,758.9,769.0,268151
2024-04-12,766.1,780.45,760.2,762.85,440294
2024-04-15,753.0,761.8,723.0,738.15,465969
2024-04-16,737.05,759.6,735.0,748.45,283274
