Date,Open,High,Low,Close,Volume
2023-10-05,253.7,256.7,241.2,242.3,12371832
2023-10-06,243.55,249.0,242.25,247.5,10576574
2023-10-09,243.95,250.7,238.25,243.85,9546705
2023-10-10,245.9,249.9,245.1,248.55,4915461
2023-10-11,249.7,250.9,244.05,245.9,5840769
2023-10-12,245.9,249.2,245.65,246.7,4684923
2023-10-13,246.6,249.0,245.0,246.35,3894789
2023-10-16,245.6,247.45,242.05,243.7,4246256
2023-10-17,245.05,247.55,244.0,245.7,2721400
2023-10-18,245.3,246.8,240.55,241.55,3383237
2023-10-19,241.55,251.0,238.25,245.65,10168187
2023-10-20,244.4,247.5,240.4,244.4,4990017
2023-10-23,247.0,255.0,228.55,230.5,26092500
2023-10-25,233.7,237.55,224.0,225.45,12910828
2023-10-26,224.95,224.95,209.7,216.35,27537994
2023-10-27,217.95,230.85,217.5,226.2,19601412
2023-10-30,226.2,226.4,217.65,222.95,7781448
2023-10-31,224.5,225.85,219.75,220.45,7021940
2023-11-01,221.4,223.5,217.6,218.2,5287696
2023-11-02,221.05,226.7,220.25,221.95,10651336
2023-11-03,224.4,233.3,223.9,228.75,16395387
2023-11-06,230.85,231.25,227.55,230.45,4952285
2023-11-07,230.5,234.2,228.6,232.65,6292508
2023-11-08,234.0,240.9,233.55,240.15,8250740
2023-11-09,240.15,244.45,238.7,239.6,5509408
2023-11-10,238.9,240.8,236.8,239.85,5675622
2023-11-12,241.95,242.5,239.25,239.95,501098
2023-11-13,240.0,247.9,239.25,245.8,7207740
2023-11-15,248.0,255.0,248.0,252.6,10468414
2023-11-16,252.1,257.75,251.3,254.55,7726854
2023-11-17,239.4,239.8,230.2,234.8,31623785
2023-11-20,235.85,237.75,226.75,229.1,13146557
2023-11-21,231.45,237.0,230.35,236.15,7063539
2023-11-22,235.25,236.9,232.4,234.1,4666314
2023-11-23,234.5,240.8,234.05,238.85,6342574
2023-11-24,239.5,240.45,233.25,234.5,6815419
2023-11-28,236.9,239.9,233.3,237.75,9922808
2023-11-29,239.4,242.0,236.55,237.7,8054013
2023-11-30,238.7,238.95,233.6,234.6,8506803
2023-12-01,236.75,238.7,232.4,233.1,7549259
2023-12-04,236.95,244.0,235.95,242.45,12274492
2023-12-05,243.85,249.6,241.9,246.6,14543913
2023-12-06,245.0,256.0,245.0,253.0,15773246
2023-12-07,253.0,263.0,251.25,256.15,17307303
2023-12-08,257.55,276.5,257.1,267.7,40462807
2023-12-11,268.8,280.6,268.3,276.7,19390679
2023-12-12,277.85,281.5,271.7,273.8,12775858
2023-12-13,275.0,282.45,270.3,278.5,10089000
2023-12-14,281.0,285.5,278.0,282.1,8114234
2023-12-15,283.85,293.7,280.35,292.45,11420263
2023-12-18,293.2,293.2,286.7,287.35,7250468
2023-12-19,287.5,292.0,282.8,286.25,8244384
2023-12-20,286.7,288.1,264.0,267.9,9506205
2023-12-21,265.0,277.0,262.95,275.5,10718202
2023-12-22,278.95,280.45,263.7,272.45,16625215
2023-12-26,278.5,278.7,259.75,260.55,26558301
2023-12-27,263.15,264.95,262.0,262.75,10386707
2023-12-28,264.5,270.05,263.5,268.9,15068099
2023-12-29,271.3,284.2,271.3,279.3,27309804
2024-01-01,280.5,287.7,278.75,284.6,8540993
2024-01-02,284.7,291.95,280.05,280.9,14347750
2024-01-03,280.9,287.3,278.3,284.9,6215850
2024-01-04,284.9,287.75,282.7,286.2,6818298
2024-01-05,292.0,292.6,283.0,287.5,9606918
2024-01-08,287.5,289.0,280.95,284.5,6148827
2024-01-09,286.9,291.8,280.0,281.1,7644834
2024-01-10,280.0,286.5,273.05,283.55,6721457
2024-01-11,284.6,300.7,284.55,295.0,13928878
2024-01-12,297.05,297.95,290.6,292.1,9221059
2024-01-15,292.9,295.25,287.5,292.7,5206543
2024-01-16,292.15,294.9,285.1,293.7,5789129
