Date,Open,High,Low,Close,Volume
2023-10-05,89.65,90.1,88.5,88.65,9372979
2023-10-06,89.6,90.3,88.7,88.85,12869247
2023-10-09,88.0,88.25,86.0,86.35,12795052
2023-10-10,86.9,89.1,86.5,88.8,12762654
2023-10-11,89.2,89.65,88.4,88.6,15503178
2023-10-12,89.25,90.45,88.9,89.35,12154040
2023-10-13,88.75,89.85,88.2,88.9,11546230
2023-10-16,89.0,89.5,88.4,89.2,10487993
2023-10-17,89.7,90.6,89.25,89.5,10121691
2023-10-18,89.6,90.4,87.45,87.75,15854654
2023-10-19,87.35,88.7,86.8,88.5,8686749
2023-10-20,87.95,88.85,86.55,86.9,11025391
2023-10-23,86.7,86.85,83.0,83.35,16394075
2023-10-25,84.0,85.35,83.1,84.15,14344290
2023-10-26,83.5,83.7,81.8,83.25,11702863
2023-10-27,84.0,84.5,83.4,83.95,7823423
2023-10-30,84.45,84.65,83.4,83.85,10725366
2023-10-31,84.45,84.95,83.7,83.85,9635615
2023-11-01,84.0,84.15,82.6,82.9,6612710
2023-11-02,83.9,85.4,83.35,85.05,11759902
2023-11-03,85.8,85.85,84.6,84.9,7685817
2023-11-06,86.0,87.5,85.25,86.85,11705948
2023-11-07,85.95,86.0,84.4,85.3,17638494
2023-11-08,85.7,86.55,84.95,85.95,18334392
2023-11-09,86.1,87.5,86.0,87.15,14898986
2023-11-10,87.15,88.65,86.6,88.1,14776717
2023-11-12,90.2,90.2,88.1,89.5,12720021
2023-11-13,89.3,89.65,87.55,88.2,20080996
2023-11-15,89.45,89.75,88.25,88.4,16145878
2023-11-16,88.65,88.75,87.8,88.0,9828235
2023-11-17,88.4,89.55,88.1,89.3,15173874
2023-11-20,89.7,91.5,89.55,90.35,30213668
2023-11-21,90.85,91.5,90.5,90.65,13384773
2023-11-22,91.0,91.0,88.75,89.25,11701214
2023-11-23,89.5,90.3,88.15,89.85,13092010
2023-11-24,89.6,90.65,89.0,89.2,9598262
2023-11-28,89.55,91.4,89.4,90.95,19252753
2023-11-29,91.5,92.2,90.9,91.2,22993584
2023-11-30,91.5,92.5,90.65,92.3,26327767
2023-12-01,93.0,94.2,92.2,93.15,28208739
2023-12-04,94.95,95.5,93.8,94.0,30750546
2023-12-05,94.1,96.85,93.4,95.75,34837108
2023-12-06,96.6,101.1,95.5,99.35,74817529
2023-12-07,99.8,100.35,98.15,98.95,22413672
2023-12-08,99.15,100.35,96.3,98.1,25014086
2023-12-11,98.1,100.95,97.75,100.8,29721883
2023-12-12,101.2,102.5,99.0,100.0,40788275
2023-12-13,100.7,103.65,100.55,103.25,42797594
2023-12-14,105.1,112.25,105.1,110.95,177834487
2023-12-15,111.25,113.35,109.4,111.45,69403738
2023-12-18,112.0,117.15,110.75,115.45,78649010
2023-12-19,115.45,116.55,110.2,111.05,35413677
2023-12-20,112.35,112.95,102.65,103.7,41617472
2023-12-21,103.85,109.9,102.15,109.0,52112170
2023-12-22,110.5,113.5,109.5,112.75,56223938
2023-12-26,113.65,114.9,111.3,113.55,37093574
2023-12-27,115.15,118.2,115.0,115.45,87756029
2023-12-28,116.4,123.85,116.1,122.85,112886813
