Date,Open,High,Low,Close,Volume
2023-10-05,218.8,221.2,212.5,216.05,218035
2023-10-06,218.6,220.35,215.1,215.95,132023
2023-10-09,214.8,217.55,208.1,212.1,340440
2023-10-10,213.9,223.4,212.85,221.25,299842
2023-10-11,219.7,223.6,219.0,221.55,174851
2023-10-12,221.0,223.1,214.35,219.9,221578
2023-10-13,218.4,219.7,213.8,215.4,178289
2023-10-16,217.0,219.85,213.7,215.65,156238
2023-10-17,216.95,232.0,214.55,228.65,532784
2023-10-18,232.45,234.8,223.1,226.25,383525
2023-10-19,226.25,226.9,219.4,220.5,148541
2023-10-20,220.4,222.7,215.1,216.6,110206
2023-10-23,216.45,219.4,201.5,204.65,331481
2023-10-25,205.0,213.75,193.15,209.8,391395
2023-10-26,207.6,209.95,197.0,204.05,337603
2023-10-27,203.1,217.0,203.1,214.15,253026
2023-10-30,200.0,207.9,193.05,205.25,587042
2023-10-31,208.0,208.3,200.0,203.1,244198
2023-11-01,203.1,204.0,199.55,201.55,222809
2023-11-02,201.6,204.45,199.0,200.85,173018
2023-11-03,202.95,223.4,202.9,215.65,569408
2023-11-06,216.05,218.05,209.0,210.2,213960
2023-11-07,211.0,213.4,206.45,208.55,288997
2023-11-08,210.9,220.0,210.15,217.45,270731
2023-11-09,217.4,217.45,211.0,214.25,137649
2023-11-10,216.0,223.5,210.05,215.5,221728
2023-11-12,213.25,219.2,213.25,215.85,47402
2023-11-13,215.85,218.0,206.8,214.8,187939
2023-11-15,221.7,222.3,212.95,220.55,276961
2023-11-16,219.45,234.05,215.45,231.1,533808
2023-11-17,231.0,241.0,226.0,233.3,681625
2023-11-20,233.3,242.65,229.3,240.45,483234
2023-11-21,241.0,248.15,236.6,238.15,310222
2023-11-22,241.45,242.8,227.0,233.15,243288
2023-11-23,233.15,236.35,229.55,232.6,159000
2023-11-24,231.3,237.15,230.5,235.25,94948
2023-11-28,233.6,241.85,229.4,237.55,162515
2023-11-29,236.9,244.0,234.25,238.45,274514
2023-11-30,239.25,244.0,234.0,239.6,311568
2023-12-01,241.5,247.75,240.0,244.35,295740
2023-12-04,255.0,255.4,245.95,252.1,414460
2023-12-05,254.8,256.5,245.65,254.4,307342
2023-12-06,256.7,260.0,248.0,258.35,295675
2023-12-07,257.95,263.85,250.1,257.35,358876
2023-12-08,261.0,264.0,247.25,249.45,375355
2023-12-11,250.95,258.9,249.45,256.25,185696
2023-12-12,257.25,257.25,241.1,243.3,380641
2023-12-13,244.5,264.8,240.9,259.6,444558
2023-12-14,259.95,262.0,252.35,258.5,358024
2023-12-15,258.0,265.0,253.95,259.85,455773
2023-12-18,256.2,262.0,249.55,257.25,355871
2023-12-19,258.0,261.95,251.5,257.7,337988
2023-12-20,257.1,259.0,236.0,240.75,511310
2023-12-21,238.0,250.8,234.0,248.6,321358
2023-12-22,249.7,259.0,245.0,250.5,863634
2023-12-26,250.35,252.6,243.45,245.15,327117
2023-12-27,246.55,252.5,244.4,250.5,688766
2023-12-28,251.9,255.5,244.6,249.25,558220
2023-12-29,245.0,254.5,244.15,253.25,443088
2024-01-01,251.8,257.0,250.2,254.85,275334
2024-01-02,253.95,255.35,245.85,250.2,287102
2024-01-03,250.5,252.5,247.25,249.2,172060
2024-01-04,249.9,256.0,249.15,252.05,349268
2024-01-05,253.8,255.0,248.0,251.15,247534
2024-01-08,252.0,253.0,247.1,250.3,186225
2024-01-09,250.8,253.9,243.5,245.55,287908
2024-01-10,246.0,249.8,244.0,245.8,330184
2024-01-11,246.45,255.9,245.8,253.75,414378
2024-01-12,254.6,263.4,246.0,247.45,798035
2024-01-15,249.95,250.0,243.3,248.65,347284
2024-01-16,253.95,262.2,248.0,252.4,1115084
2024-01-17,249.1,256.75,247.3,248.8,402174
2024-01-18,249.2,254.5,242.55,244.7,482853
2024-01-19,246.9,258.0,245.0,255.85,701605
2024-01-20,256.0,257.0,249.95,252.05,228529
2024-01-23,252.25,255.0,235.55,238.65,495920
2024-01-24,240.95,243.15,229.4,236.75,583511
2024-01-25,236.8,239.95,229.7,231.75,424953
2024-01-29,233.35,245.0,233.35,243.7,556015
2024-01-30,245.0,247.45,239.75,243.55,533313
2024-01-31,244.6,252.8,244.55,250.4,670485
2024-02-01,250.9,253.25,241.4,244.55,417021
2024-02-02,246.7,253.0,238.65,247.3,1191782
2024-02-05,243.4,244.0,231.6,236.2,1062009
2024-02-06,237.35,238.95,230.05,232.5,556905
2024-02-07,234.1,238.9,231.0,232.85,560350
2024-02-08,233.95,235.1,226.05,227.5,447689
2024-02-09,228.95,228.95,215.3,220.65,627437
2024-02-12,222.15,222.25,213.7,216.35,315960
2024-02-13,218.15,222.25,209.75,219.4,525211
