Date,Open,High,Low,Close,Volume
2023-10-05,797.8,798.7,784.0,789.95,1335351
2023-10-06,794.95,801.85,788.3,798.15,1445403
2023-10-09,793.5,795.0,782.0,783.15,1207012
2023-10-10,780.55,795.25,773.7,791.4,2436105
2023-10-11,794.95,802.2,793.05,800.7,596545
2023-10-12,804.45,806.55,799.0,801.05,517665
2023-10-13,801.0,803.7,786.0,789.9,1030263
2023-10-16,794.8,803.85,790.25,799.95,1004989
2023-10-17,803.7,808.45,798.55,805.05,643695
2023-10-18,807.75,811.85,797.0,799.1,652362
2023-10-19,799.0,799.0,789.35,790.65,576153
2023-10-20,790.3,794.05,784.5,785.9,490858
2023-10-23,788.0,789.0,770.4,774.9,1041269
2023-10-25,776.4,781.95,768.25,777.6,891012
2023-10-26,775.0,776.95,767.25,772.5,692713
2023-10-27,782.0,796.5,773.3,790.4,604104
2023-10-30,783.15,783.15,731.25,750.35,7239819
2023-10-31,759.9,763.7,744.0,746.15,2268047
2023-11-01,753.9,761.95,743.65,744.8,1463292
2023-11-02,752.8,752.8,741.1,744.05,1205604
2023-11-03,750.0,752.65,745.95,747.2,946847
2023-11-06,754.8,755.8,747.95,753.9,1373751
2023-11-07,756.0,758.5,745.9,753.25,1317743
2023-11-08,750.55,754.9,746.7,748.45,899849
2023-11-09,750.0,753.95,748.6,750.25,606163
2023-11-10,750.25,756.0,748.1,753.45,730509
2023-11-12,761.8,762.0,755.75,759.95,294337
2023-11-13,760.0,760.8,749.5,752.95,1182457
2023-11-15,760.0,771.8,756.35,766.6,1588218
2023-11-16,767.75,775.75,762.65,772.55,1138172
2023-11-17,733.0,734.95,720.8,732.85,10087996
2023-11-20,738.9,750.6,730.05,742.9,4081166
2023-11-21,745.5,745.5,733.85,734.75,1949001
2023-11-22,735.0,739.9,730.0,731.7,1528078
2023-11-23,735.2,742.0,735.2,738.95,840389
2023-11-24,740.0,744.35,735.55,739.15,930896
2023-11-28,744.7,744.7,732.2,733.75,2366981
2023-11-29,737.0,740.0,736.05,737.2,1603465
2023-11-30,738.05,741.95,735.5,739.15,2464705
2023-12-01,743.0,747.5,739.0,739.95,1185861
2023-12-04,750.0,756.0,746.0,751.7,2611075
2023-12-05,755.0,756.95,746.1,748.1,2521921
2023-12-06,749.0,753.7,747.35,748.1,1747993
2023-12-07,752.0,782.35,744.0,767.5,5722975
2023-12-08,773.7,779.95,752.55,759.95,2668741
2023-12-11,765.1,767.0,754.2,755.8,1949464
2023-12-12,758.9,762.75,753.85,755.95,1262660
2023-12-13,760.0,762.0,746.0,749.95,1476097
2023-12-14,757.0,773.75,755.25,767.8,2641527
2023-12-15,776.0,779.9,770.0,776.35,2201691
2023-12-18,778.4,788.8,775.45,781.2,1673309
2023-12-19,782.0,785.45,771.2,776.8,1297167
2023-12-20,781.0,782.35,755.8,759.8,1969218
2023-12-21,758.45,767.2,751.6,765.2,1240258
2023-12-22,769.0,778.0,766.65,773.15,1847748
2023-12-26,777.0,777.8,766.35,768.1,1167036
2023-12-27,774.8,774.8,762.7,764.75,1591045
2023-12-28,766.0,767.95,753.05,760.25,2381444
2023-12-29,763.0,767.45,757.95,759.65,1796866
2024-01-01,764.0,771.75,761.25,766.35,1091156
2024-01-02,766.35,775.9,762.0,773.15,1493730
2024-01-03,775.65,780.95,768.15,769.85,1390145
2024-01-04,772.4,776.1,765.4,770.1,1580391
2024-01-05,772.5,779.95,768.0,771.6,1546574
2024-01-08,772.95,775.7,764.2,767.65,1183984
2024-01-09,770.0,773.0,758.0,762.05,2051681
2024-01-10,762.2,769.5,756.95,765.45,1720978
2024-01-11,768.0,770.0,758.25,762.35,2420685
2024-01-12,767.45,770.0,763.3,766.7,1173186
2024-01-15,768.95,774.65,762.0,768.05,1075144
2024-01-16,768.05,774.0,762.25,767.3,1288356
2024-01-17,764.0,766.5,750.0,752.2,1779825
2024-01-18,752.0,753.8,738.55,750.25,1465911
2024-01-19,755.5,755.7,747.05,749.2,1284550
2024-01-20,751.05,752.65,741.15,744.75,487882
2024-01-23,746.0,749.7,723.5,729.9,2495585
2024-01-24,735.0,749.9,726.0,746.95,1203579
2024-01-25,746.75,763.0,733.0,759.85,2201724
2024-01-29,716.55,734.4,710.1,715.55,8841578
2024-01-30,720.05,721.95,711.0,712.55,4124185
2024-01-31,714.7,720.5,705.6,715.35,3886982
2024-02-01,718.9,720.4,709.6,711.95,1163723
2024-02-02,711.0,720.65,710.1,711.25,1745972
2024-02-05,712.8,714.95,700.0,703.15,2180351
2024-02-06,705.0,710.0,699.0,708.6,1491932
2024-02-07,712.0,726.0,711.0,725.15,1490461
2024-02-08,729.95,732.0,718.1,721.45,1907311
2024-02-09,724.85,725.0,710.1,718.4,958307
2024-02-12,720.0,720.0,709.15,712.85,1096335
2024-02-13,718.8,724.5,709.2,721.0,1726759
2024-02-14,716.0,721.7,708.65,719.15,1366033
2024-02-15,723.5,724.35,712.05,713.55,911905
2024-02-16,716.0,720.55,711.0,718.05,975869
2024-02-19,719.5,744.9,718.1,728.4,2550695
2024-02-20,731.9,741.35,723.05,739.75,1731698
2024-02-21,740.0,744.8,731.55,739.25,1383857
2024-02-22,739.25,743.2,732.6,740.75,631233
2024-02-23,742.5,751.6,736.6,739.05,1294462
2024-02-26,738.9,738.9,728.25,729.9,1315344
2024-02-27,729.0,735.5,726.3,731.8,1919189
2024-02-28,732.1,734.0,726.45,729.45,2271357
2024-02-29,730.05,732.9,715.55,719.65,3043100
2024-03-01,724.35,724.55,714.3,717.9,1444844
2024-03-02,722.8,725.0,718.05,721.3,83111
2024-03-04,721.45,723.85,715.0,716.9,1102727
2024-03-05,717.0,721.1,711.65,716.05,1035298
2024-03-06,712.6,714.9,698.0,702.2,1772444
2024-03-07,708.5,709.45,704.05,707.5,1335533
2024-03-11,709.8,709.8,700.2,704.8,1329626
2024-03-12,704.8,709.85,693.25,700.55,1652036
2024-03-13,701.5,703.5,683.0,685.3,1518868
2024-03-14,685.0,704.65,678.9,702.35,1809163
2024-03-15,702.0,704.65,696.0,699.3,1003378
2024-03-18,699.95,703.0,694.0,701.5,981919
2024-03-19,701.5,706.85,695.55,698.5,1582478
2024-03-20,694.3,701.0,689.35,692.3,999111
2024-03-21,695.05,704.45,695.0,702.65,2707401
2024-03-22,702.0,710.6,701.65,704.1,811372
2024-03-26,699.95,709.0,695.0,696.85,3756858
2024-03-27,698.95,702.4,691.0,692.55,2204657
2024-03-28,692.55,696.0,679.95,682.55,2613193
2024-04-01,692.2,692.5,685.7,688.05,1518452
2024-04-02,688.0,698.85,687.5,692.35,1515418
2024-04-03,694.4,697.7,691.55,695.2,1578369
2024-04-04,702.8,702.8,693.05,694.15,1046989
2024-04-05,694.8,731.85,693.1,730.35,4409255
2024-04-08,742.5,742.85,722.45,723.3,2116826
2024-04-09,728.0,753.9,724.25,752.1,4242049
2024-04-10,756.95,756.95,743.75,748.0,3404987
2024-04-12,747.0,750.05,735.2,737.65,1438789
2024-04-15,722.9,732.35,716.5,721.4,924924
2024-04-16,714.0,731.35,712.5,725.8,1013260
2024-04-18,734.0,741.6,723.25,726.0,1170098
2024-04-19,720.0,733.95,714.75,732.1,2012194
2024-04-22,736.0,744.8,732.1,739.7,1066150
2024-04-23,742.95,751.45,734.4,747.6,1406042
2024-04-24,752.35,759.8,745.25,749.45,1556168
2024-04-25,758.0,764.9,751.45,758.4,1788745
2024-04-26,764.9,765.0,741.0,750.45,2054729
2024-04-29,735.0,743.0,718.05,724.1,7563261
2024-04-30,726.5,735.0,724.0,728.3,2318223
2024-05-02,728.3,735.8,725.55,729.4,923194
2024-05-03,730.05,734.95,719.85,722.25,867523
2024-05-06,723.0,727.75,716.85,718.0,684213
2024-05-07,718.0,724.45,708.7,715.55,1365824
2024-05-08,713.4,719.7,709.1,711.9,656698
2024-05-09,712.35,718.0,708.0,710.4,1030970
2024-05-10,714.0,722.1,709.7,720.4,838295
2024-05-13,719.7,722.0,706.0,720.75,866281
2024-05-14,720.75,723.55,713.7,718.4,528743
2024-05-15,721.8,723.1,712.6,713.45,596597
2024-05-16,715.0,717.25,708.6,713.75,452022
2024-05-17,714.75,718.4,712.55,714.9,647454
2024-05-18,716.95,717.5,712.8,714.75,70656
2024-05-21,714.65,717.45,708.0,709.85,990078
2024-05-22,709.85,713.3,706.2,708.05,657014
2024-05-23,710.0,715.1,707.4,710.6,1014823
2024-05-24,712.5,713.0,708.6,709.55,612037
2024-05-27,710.0,711.4,701.6,702.8,1070659
2024-05-28,703.0,706.85,699.3,705.45,1280415
2024-05-29,704.0,705.35,696.1,697.3,665926
2024-05-30,696.8,702.5,690.0,694.05,1821007
2024-05-31,695.25,699.9,689.0,692.1,1641581
2024-06-03,705.0,709.65,698.2,705.2,1747460
2024-06-04,707.0,707.0,647.95,677.4,3672395
2024-06-05,682.1,701.75,680.25,699.65,1126462
2024-06-06,703.0,707.0,699.45,703.7,755105
2024-06-07,706.0,723.6,704.35,715.55,1956654
2024-06-10,719.8,720.55,712.0,717.1,1235522
2024-06-11,718.5,719.05,710.95,712.8,1119119
2024-06-12,712.85,719.0,712.85,717.45,561824
2024-06-13,720.0,731.6,719.05,727.05,1990427
2024-06-14,730.0,733.25,720.8,728.35,1219385
2024-06-18,729.0,732.2,723.0,726.35,1023807
2024-06-19,730.0,732.0,721.15,730.0,968431
2024-06-20,730.0,738.5,728.65,732.5,886197
2024-06-21,734.9,735.9,723.95,725.35,758059
2024-06-24,726.0,733.0,721.05,729.95,1095490
2024-06-25,729.95,733.4,724.1,732.0,1355431
2024-06-26,732.0,733.4,725.75,732.0,912110
2024-06-27,732.0,739.65,728.0,730.35,1229089
2024-06-28,735.0,735.0,721.0,724.6,1225536
2024-07-01,724.0,729.7,722.1,723.0,1189555
2024-07-02,725.0,727.85,708.75,711.15,2596663
2024-07-03,713.0,717.6,711.15,715.25,589709
2024-07-04,716.0,724.55,712.3,718.9,1120401
2024-07-05,718.9,724.0,714.35,721.95,546703
2024-07-08,723.25,740.0,714.35,735.65,2067366
