Date,Open,High,Low,Close,Volume
2023-10-05,359.2,362.35,349.0,351.05,364917
2023-10-06,353.8,357.0,349.05,354.65,262394
2023-10-09,326.15,352.6,326.15,348.55,661468
2023-10-10,352.0,354.5,344.35,346.05,238664
2023-10-11,349.5,357.3,348.0,354.25,310417
2023-10-12,355.9,355.9,350.8,351.7,172366
2023-10-13,349.8,354.4,342.0,344.05,377645
2023-10-16,346.5,346.8,338.55,341.7,286996
2023-10-17,343.7,351.4,342.7,346.1,298419
2023-10-18,349.2,353.8,341.5,344.25,331431
2023-10-19,342.8,344.5,340.0,342.45,160605
2023-10-20,342.5,349.75,340.25,342.65,219053
2023-10-23,342.0,343.0,310.0,312.35,960068
2023-10-25,322.35,324.8,306.25,313.9,497317
2023-10-26,313.9,313.9,300.0,310.55,510335
2023-10-27,312.95,323.9,312.95,322.15,315064
2023-10-30,324.7,324.95,315.15,318.6,208408
2023-10-31,321.25,329.4,317.7,320.4,410748
2023-11-01,320.55,325.5,317.3,320.55,158439
2023-11-02,324.0,327.0,321.1,325.8,215518
2023-11-03,327.0,330.9,324.7,328.9,222711
2023-11-06,332.0,340.0,331.15,338.8,333110
2023-11-07,340.1,346.2,334.65,344.4,408735
2023-11-08,360.25,366.65,340.25,342.75,1588370
2023-11-09,345.25,350.3,330.0,331.6,624507
2023-11-10,331.95,343.25,327.8,332.05,658927
2023-11-12,334.9,341.45,334.85,339.95,169319
2023-11-13,342.3,342.35,331.0,333.1,279032
2023-11-15,337.0,338.4,332.3,333.3,356000
2023-11-16,334.7,335.9,325.55,326.85,414910
2023-11-17,326.85,338.0,326.85,332.3,466831
2023-11-20,334.0,352.3,333.2,344.7,1038280
2023-11-21,347.2,349.3,336.55,338.4,385029
2023-11-22,340.1,340.25,332.55,334.7,247578
2023-11-23,336.4,336.65,327.0,331.6,237925
2023-11-24,332.8,337.5,332.0,334.4,231492
2023-11-28,334.4,339.6,333.3,334.9,433441
2023-11-29,337.0,344.6,332.15,334.05,439416
2023-11-30,335.0,337.2,331.1,332.5,214698
2023-12-01,335.0,343.3,334.55,339.85,444265
2023-12-04,342.9,348.35,339.85,341.8,447555
2023-12-05,340.0,348.05,337.3,341.0,341615
2023-12-06,341.4,346.2,338.0,339.55,303756
2023-12-07,339.55,345.2,338.15,340.6,355652
2023-12-08,344.0,383.2,344.0,371.35,6690394
2023-12-11,371.5,394.4,368.05,390.6,3104819
2023-12-12,392.95,399.25,384.75,389.2,1256875
2023-12-13,389.85,445.95,389.85,437.5,6267976
2023-12-14,443.9,443.95,423.7,426.8,1812668
2023-12-15,429.8,433.9,413.55,424.95,692491
2023-12-18,426.1,445.2,414.6,418.8,1366488
2023-12-19,421.95,422.6,402.55,407.0,435859
2023-12-20,410.3,420.8,381.55,388.0,677300
2023-12-21,387.9,410.95,381.3,407.6,537395
2023-12-22,408.0,414.0,396.0,402.5,267048
2023-12-26,405.0,411.0,398.8,406.25,247073
2023-12-27,406.9,423.15,406.25,413.9,458519
2023-12-28,414.0,414.9,402.5,404.1,217860
2023-12-29,407.45,411.5,400.0,409.2,190394
2024-01-01,412.0,412.5,402.55,403.85,163037
2024-01-02,404.0,406.15,395.95,399.4,204156
2024-01-03,401.0,403.3,394.35,400.8,178537
2024-01-04,402.0,409.55,402.0,407.95,209462
2024-01-05,411.0,418.0,408.8,414.15,355939
2024-01-08,410.0,419.95,408.8,411.65,267183
2024-01-09,415.45,422.7,405.35,409.1,364412
2024-01-10,414.05,438.7,411.75,436.9,1133364
2024-01-11,440.15,445.05,431.05,435.25,545368
2024-01-12,435.5,449.0,431.05,435.95,457386
2024-01-15,440.0,441.25,426.0,433.0,272385
2024-01-16,433.0,435.7,427.55,430.6,236426
2024-01-17,424.5,431.0,419.55,426.5,298854
2024-01-18,426.5,435.0,411.2,431.8,318527
2024-01-19,434.0,440.8,431.9,435.6,345118
2024-01-20,439.0,439.0,427.45,430.5,208411
2024-01-23,439.9,457.0,410.9,424.6,1091071
2024-01-24,425.05,438.0,418.8,435.25,302615
2024-01-25,435.4,470.2,435.35,464.1,1130285
2024-01-29,468.0,495.0,468.0,471.8,1097425
2024-01-30,477.8,477.8,465.1,470.15,336667
2024-01-31,470.95,479.95,463.2,472.0,357368
2024-02-01,471.0,477.95,461.1,472.15,283114
2024-02-02,476.0,488.0,453.3,462.85,353090
2024-02-05,460.9,478.6,454.05,475.3,504175
2024-02-06,479.1,522.0,475.7,516.85,1593756
2024-02-07,523.0,547.7,516.0,534.95,1376715
2024-02-08,535.0,559.7,535.0,551.9,856620
2024-02-09,620.0,642.65,577.5,594.8,2906835
2024-02-12,597.9,597.9,555.2,562.35,833345
2024-02-13,560.35,568.0,540.05,552.3,350803
2024-02-14,548.0,567.0,525.1,557.0,518666
2024-02-15,566.5,589.0,565.0,578.3,271128
2024-02-16,580.0,580.0,552.6,558.5,193670
2024-02-19,568.0,571.25,545.7,563.85,105980
2024-02-20,566.9,566.9,536.6,548.45,243798
2024-02-21,548.65,565.0,548.45,555.65,159829
2024-02-22,560.0,567.8,540.1,560.85,112396
2024-02-23,564.8,588.0,559.25,571.85,135882
2024-02-26,575.0,590.0,570.4,582.25,132315
2024-02-27,589.0,595.0,576.05,589.05,120679
2024-02-28,590.0,618.5,577.0,616.1,286460
2024-02-29,616.1,642.0,585.3,637.2,288526
2024-03-01,645.0,650.0,611.0,622.75,122442
2024-03-02,622.75,639.95,613.6,629.0,14998
2024-03-04,649.0,660.45,629.05,659.6,208310
2024-03-05,675.0,692.55,660.1,692.55,263771
2024-03-06,692.55,724.5,667.5,705.5,270857
2024-03-07,725.0,725.0,690.0,705.95,118250
2024-03-11,719.0,730.0,672.0,678.2,122834
