Date,Open,High,Low,Close,Volume
2023-10-05,141.05,155.7,141.0,150.15,19625347
2023-10-06,151.25,152.4,146.0,147.3,4000538
2023-10-09,144.0,145.9,140.1,144.3,3743589
2023-10-10,150.0,153.3,146.4,147.05,7510995
2023-10-11,147.65,149.1,146.05,146.85,2174224
2023-10-12,147.5,150.55,146.0,147.65,2163993
2023-10-13,146.5,150.8,146.5,147.15,1947301
2023-10-16,147.5,159.5,147.5,156.7,17711811
2023-10-17,159.9,162.4,156.5,157.7,11352082
2023-10-18,158.4,158.85,152.2,152.8,4067366
2023-10-19,152.3,154.5,150.45,152.6,2799516
2023-10-20,152.5,153.9,147.5,148.65,1931306
2023-10-23,149.65,149.65,135.65,138.3,3463777
2023-10-25,140.25,142.85,132.5,135.2,2518490
2023-10-26,133.85,136.65,128.5,135.0,3183724
2023-10-27,137.0,143.15,136.4,140.8,2745903
2023-10-30,141.9,143.0,138.8,139.3,1414380
2023-10-31,140.0,142.35,138.6,139.25,1069418
2023-11-01,140.0,140.0,136.6,137.55,1025910
2023-11-02,138.8,140.3,138.05,139.25,751045
2023-11-03,140.45,140.8,138.4,139.0,803099
2023-11-06,131.0,135.0,131.0,132.1,3452295
2023-11-07,133.0,135.0,132.5,133.4,1774213
2023-11-08,134.7,136.8,132.75,133.25,2183595
2023-11-09,134.15,134.4,131.15,131.65,1052810
2023-11-10,131.9,133.6,130.75,131.65,1237621
2023-11-12,132.7,133.35,132.0,132.7,342925
2023-11-13,132.1,136.45,131.5,135.25,1670450
2023-11-15,135.5,139.75,134.6,138.55,3859037
2023-11-16,138.65,139.0,135.2,136.1,1173744
2023-11-17,136.15,137.4,133.95,134.4,1239642
2023-11-20,134.8,135.15,132.25,132.75,1422920
2023-11-21,133.5,139.25,133.15,134.9,3088044
2023-11-22,134.25,135.15,131.7,132.05,2457702
2023-11-23,132.65,137.4,132.3,133.3,2106741
2023-11-24,133.9,137.95,133.45,134.1,3057901
2023-11-28,134.65,140.5,134.05,138.75,5074112
2023-11-29,139.4,145.4,137.35,140.95,6877665
2023-11-30,142.0,148.6,142.0,143.7,7587290
2023-12-01,144.55,149.0,144.2,146.75,4628424
2023-12-04,151.0,157.9,148.3,155.95,9924677
2023-12-05,157.05,159.7,153.05,154.6,5473163
2023-12-06,155.7,158.5,153.05,155.7,3450629
2023-12-07,156.0,165.0,155.55,159.0,12843060
2023-12-08,160.1,164.4,158.2,161.05,5422123
2023-12-11,162.0,167.55,160.6,161.3,4392200
2023-12-12,162.3,162.6,156.5,158.1,2809662
2023-12-13,158.9,158.9,155.75,157.0,1746292
2023-12-14,158.5,161.4,155.9,156.5,3194866
2023-12-15,158.0,165.9,157.55,158.65,5535670
2023-12-18,159.8,168.2,157.6,166.15,15278739
2023-12-19,171.0,173.0,168.2,169.05,17388296
2023-12-20,170.7,175.0,155.0,159.3,12631842
2023-12-21,156.05,165.5,154.55,164.2,6145402
2023-12-22,165.05,167.6,161.6,164.05,3870616
2023-12-26,164.5,170.2,164.05,166.25,4793996
2023-12-27,167.3,171.0,164.15,165.55,4605403
2023-12-28,166.4,167.5,163.6,165.15,2369841
2023-12-29,166.25,166.25,162.5,162.9,2249245
2024-01-01,163.4,165.9,159.5,163.9,5380004
2024-01-02,164.0,175.95,163.1,174.0,20579003
2024-01-03,175.4,178.95,172.5,174.3,8786144
2024-01-04,175.65,177.1,172.6,173.0,4426508
2024-01-05,173.75,174.15,168.4,170.85,3165454
2024-01-08,171.85,175.8,166.7,167.85,4967662
2024-01-09,169.45,175.95,169.45,173.3,6538209
2024-01-10,173.5,174.05,169.0,170.7,2965362
2024-01-11,171.5,174.5,170.55,171.35,2407192
2024-01-12,172.5,177.95,171.55,172.5,6152146
2024-01-15,173.8,177.2,170.6,174.0,6601510
2024-01-16,174.9,179.6,169.15,171.55,6912470
2024-01-17,170.7,174.25,168.9,170.35,3137957
2024-01-18,170.8,172.0,162.65,168.55,3203783
2024-01-19,170.2,171.75,169.5,170.9,2435723
2024-01-20,172.0,186.5,171.15,183.6,21759588
2024-01-23,187.6,202.35,181.6,185.6,30842873
2024-01-24,188.05,196.25,186.05,190.0,10653438
2024-01-25,191.35,214.4,191.0,209.25,35022024
2024-01-29,211.5,214.35,206.1,207.15,9300712
2024-01-30,208.8,212.65,204.0,207.7,7443673
2024-01-31,208.5,219.7,207.55,211.7,12064197
2024-02-01,217.4,239.4,216.7,230.95,37765128
2024-02-02,235.15,270.0,231.75,265.2,48697945
2024-02-05,271.75,290.75,264.55,277.7,40078618
2024-02-06,280.2,280.3,255.6,264.75,12447936
2024-02-07,265.0,267.7,252.55,253.9,6432894
2024-02-08,255.8,259.9,245.65,250.65,7668146
2024-02-09,250.0,250.5,226.35,233.55,7393483
2024-02-12,234.5,237.8,210.2,212.35,8385590
2024-02-13,212.85,220.0,204.5,218.05,6618207
2024-02-14,217.0,225.9,212.3,222.95,4697752
2024-02-15,227.9,232.55,223.55,229.45,5387937
2024-02-16,231.0,233.9,227.0,227.95,2520357
2024-02-19,230.0,239.3,229.6,239.3,1715040
2024-02-20,239.3,251.25,237.7,251.25,6922925
2024-02-21,254.0,258.7,240.35,242.4,5781257
2024-02-22,245.95,250.65,234.05,249.0,3324580
2024-02-23,251.0,251.8,244.0,245.45,1662440
2024-02-26,246.0,247.8,237.1,237.8,1397468
2024-02-27,237.4,238.5,226.85,227.45,2462959
2024-02-28,229.8,238.0,224.55,227.75,3197267
2024-02-29,228.85,239.1,222.0,236.6,2790826
2024-03-01,241.85,242.7,232.1,233.2,1600541
2024-03-02,235.4,236.8,232.0,234.3,293022
2024-03-04,234.45,242.1,234.45,236.5,2079622
2024-03-05,237.5,239.15,232.2,234.55,1378596
2024-03-06,231.55,235.15,224.8,226.45,1739857
2024-03-07,228.4,232.75,225.55,226.5,1102940
2024-03-11,226.5,226.5,217.0,217.9,1562364
2024-03-12,218.1,218.6,208.1,209.75,1962652
2024-03-13,210.0,212.0,199.3,199.3,1620097
2024-03-14,189.55,207.0,189.55,203.25,3379647
2024-03-15,202.5,206.3,193.1,198.35,1911425
2024-03-18,203.0,208.25,200.0,202.55,1899943
2024-03-19,203.9,205.95,194.0,194.65,1624019
2024-03-20,197.4,197.85,190.0,193.1,1525099
2024-03-21,195.8,202.75,195.4,200.45,1752874
2024-03-22,201.0,204.0,196.5,196.95,1591460
2024-03-26,197.9,197.9,191.85,192.35,1650901
2024-03-27,193.0,201.95,193.0,201.95,3215418
2024-03-28,201.95,212.0,199.1,208.8,4851003
2024-04-01,210.5,218.3,208.8,217.1,2960006
2024-04-02,217.65,220.95,215.55,217.25,2554377
2024-04-03,217.0,228.0,215.1,225.0,4298338
2024-04-04,226.85,229.1,219.95,225.05,2823144
2024-04-05,225.9,234.0,219.35,230.1,8558909
2024-04-08,231.75,234.0,224.05,225.1,3407698
2024-04-09,226.8,226.8,215.65,217.1,2424224
2024-04-10,218.4,224.95,216.7,223.4,2567773
2024-04-12,221.55,226.8,219.85,220.35,1812584
2024-04-15,210.1,216.3,205.3,210.75,2704031
2024-04-16,209.7,215.5,208.7,213.4,1275461
2024-04-18,214.5,216.8,210.0,210.65,1351823
2024-04-19,205.35,211.0,203.05,209.35,1383091
2024-04-22,211.5,215.2,210.15,211.25,891520
2024-04-23,212.75,224.1,210.7,220.3,4846230
2024-04-24,221.5,224.9,220.3,221.25,2010420
2024-04-25,221.25,235.7,220.6,232.85,10792266
2024-04-26,234.25,235.1,228.3,232.25,3220442
2024-04-29,233.9,235.5,230.6,232.7,1742113
2024-04-30,233.4,234.0,225.55,227.25,1642688
2024-05-02,228.0,231.9,225.15,227.85,1786480
2024-05-03,229.2,230.35,220.45,221.4,2829220
2024-05-06,223.0,223.05,213.1,215.4,1890598
2024-05-07,215.7,217.8,206.15,209.75,1838112
2024-05-08,210.25,214.8,207.6,211.9,1312978
2024-05-09,212.6,213.6,205.55,206.45,1071924
2024-05-10,207.9,208.95,200.55,205.85,1782808
2024-05-13,206.7,206.85,198.3,202.85,1433016
2024-05-14,204.0,212.8,204.0,208.5,3339196
2024-05-15,210.1,227.5,210.0,224.5,7922750
2024-05-16,225.7,234.8,222.05,233.5,9050193
2024-05-17,234.0,237.1,228.55,234.7,6453926
