Date,Open,High,Low,Close,Volume
2023-10-05,80.6,86.8,80.6,85.9,1636341
2023-10-06,87.8,89.3,85.65,86.4,1575129
2023-10-09,85.55,85.55,81.8,83.05,804802
2023-10-10,84.0,84.95,83.55,84.45,438009
2023-10-11,85.0,87.1,84.0,84.3,515532
2023-10-12,84.7,89.05,83.6,87.6,1020361
2023-10-13,86.7,89.15,86.15,87.15,1223892
2023-10-16,86.8,87.3,84.4,85.6,524924
2023-10-17,86.0,87.6,85.0,85.4,463049
2023-10-18,85.45,86.9,81.6,83.25,571234
2023-10-19,82.45,84.45,82.1,82.65,354014
2023-10-20,83.4,83.6,79.5,80.15,416810
2023-10-23,80.0,80.35,72.6,74.3,804996
2023-10-25,75.45,76.65,71.55,74.95,696035
2023-10-26,74.45,79.75,71.0,78.6,866545
2023-10-27,79.45,82.45,79.45,81.25,617400
2023-10-30,82.0,87.6,81.9,85.35,1560523
2023-10-31,85.65,86.1,83.1,84.45,386290
2023-11-01,84.0,84.45,80.0,80.55,544401
2023-11-02,82.2,83.0,81.45,81.95,313281
2023-11-03,83.2,94.95,81.05,89.55,8853013
2023-11-06,89.2,93.95,87.9,92.25,1582039
2023-11-07,92.5,93.2,89.5,90.1,615086
2023-11-08,90.7,91.95,88.15,89.1,621388
2023-11-09,89.85,90.1,87.0,87.9,312287
2023-11-10,87.25,89.95,86.5,87.1,432968
2023-11-12,87.95,89.9,87.55,89.0,248974
2023-11-13,90.0,96.9,89.9,94.65,1764586
2023-11-15,96.0,97.5,95.0,97.1,838742
2023-11-16,97.15,99.1,94.5,98.15,897461
2023-11-17,97.45,99.0,96.2,97.6,478649
2023-11-20,98.85,102.0,97.4,101.4,1179883
2023-11-21,102.2,103.0,100.0,101.0,522461
2023-11-22,101.1,102.9,98.1,99.3,568621
2023-11-23,99.5,101.9,98.2,98.8,375098
2023-11-24,98.7,99.7,96.6,97.15,217342
2023-11-28,99.15,100.45,95.6,97.3,250944
2023-11-29,97.5,97.7,92.85,94.2,304787
2023-11-30,94.9,96.0,88.8,92.1,1011305
2023-12-01,92.9,94.95,91.95,93.25,409985
