Date,Open,High,Low,Close,Volume
2023-11-06,118.5,119.65,117.5,119.4,27883152
2023-11-07,119.3,120.2,118.4,119.65,25818033
2023-11-08,119.75,120.5,118.55,119.05,22552386
2023-11-09,119.2,120.5,118.85,119.65,22979112
2023-11-10,119.5,120.45,118.8,120.05,23584510
2023-11-12,121.6,121.6,120.6,120.85,3984034
2023-11-13,120.85,121.25,119.9,121.0,17951775
2023-11-15,121.7,124.4,121.5,124.05,38344393
2023-11-16,124.0,125.25,123.0,124.7,30836413
2023-11-17,124.7,125.75,124.3,125.2,23319439
2023-11-20,125.05,125.65,124.05,124.35,18780290
2023-11-21,125.05,126.4,124.95,126.25,29643312
2023-11-22,126.4,126.9,125.5,126.1,19588063
2023-11-23,126.35,127.4,125.9,126.7,30736851
2023-11-24,126.7,127.0,125.55,125.95,14719450
2023-11-28,127.0,127.0,126.0,126.85,18377843
2023-11-29,127.15,128.15,126.7,127.75,23092165
2023-11-30,127.8,128.85,126.5,127.9,40165104
2023-12-01,128.9,130.3,128.05,130.0,31192397
2023-12-04,132.2,132.35,130.4,131.0,41230928
2023-12-05,131.0,132.45,130.0,131.6,35192149
2023-12-06,132.5,133.4,130.8,131.85,40753593
2023-12-07,131.7,132.2,129.8,130.0,34686333
2023-12-08,130.15,131.4,127.95,129.2,34393711
2023-12-11,129.85,130.5,128.75,130.05,24038059
2023-12-12,130.05,132.15,129.7,130.1,30696410
2023-12-13,130.55,131.5,129.15,131.4,22767972
2023-12-14,132.3,133.25,131.5,132.0,43372143
2023-12-15,133.4,136.75,133.0,136.45,77377446
2023-12-18,136.85,137.6,135.1,136.6,38461877
2023-12-19,136.65,137.6,134.8,135.4,27726431
2023-12-20,135.9,136.15,128.75,129.75,39495961
2023-12-21,128.7,131.45,127.85,131.0,34914399
2023-12-22,132.4,134.75,131.75,133.55,37357334
2023-12-26,134.7,136.1,134.45,135.2,25936447
2023-12-27,135.85,138.9,135.5,137.2,48101400
2023-12-28,138.15,138.75,136.85,138.15,34661176
2023-12-29,138.6,141.25,137.15,139.6,49202910
2024-01-01,140.0,140.95,139.05,139.85,21186105
2024-01-02,140.5,140.6,137.05,139.6,27764060
2024-01-03,139.5,139.6,134.35,135.35,45176618
2024-01-04,136.0,136.35,134.0,134.25,43913498
2024-01-05,135.0,135.95,132.85,133.65,71330190
2024-01-08,135.3,135.95,131.75,132.0,39559717
