Date,Open,High,Low,Close,Volume
2023-10-05,424.1,426.75,419.3,421.25,296966
2023-10-06,422.85,422.85,412.75,414.7,316226
2023-10-09,412.55,412.6,400.35,401.95,288850
2023-10-10,393.0,398.0,378.55,384.8,2401774
2023-10-11,389.0,391.0,383.0,384.9,928533
2023-10-12,385.0,388.0,380.1,381.4,487238
2023-10-13,381.3,384.15,374.0,375.2,455509
2023-10-16,374.0,376.9,366.0,367.5,848334
2023-10-17,371.05,375.0,369.15,372.55,453759
2023-10-18,375.05,379.9,369.05,370.55,521287
2023-10-19,370.0,373.55,365.3,366.95,318432
2023-10-20,367.0,373.95,363.9,365.75,328656
2023-10-23,366.0,369.85,318.2,346.15,428288
2023-10-25,346.9,360.0,326.1,329.1,1038303
2023-10-26,327.0,333.75,312.0,316.0,1454179
2023-10-27,318.2,340.5,318.2,337.45,808456
2023-10-30,339.7,343.85,331.0,338.7,792498
2023-10-31,338.95,364.4,338.7,359.2,2477941
2023-11-01,361.9,365.0,352.15,358.85,579847
2023-11-02,364.9,395.65,358.0,391.7,3198708
2023-11-03,391.75,402.45,381.8,392.5,1656812
2023-11-06,391.55,393.75,375.15,377.35,587148
2023-11-07,378.95,393.9,372.35,391.7,953314
2023-11-08,392.55,394.65,384.0,386.65,329326
2023-11-09,387.55,407.0,387.55,404.25,1682098
2023-11-10,403.9,412.5,401.15,403.25,689133
2023-11-12,406.5,408.8,398.15,406.0,127237
2023-11-13,405.9,406.5,401.55,403.45,205921
2023-11-15,405.95,408.75,402.45,403.1,213220
2023-11-16,405.75,411.9,403.15,404.45,360381
2023-11-17,405.05,410.4,402.8,408.7,449855
2023-11-20,408.75,426.45,404.8,424.0,893599
2023-11-21,424.0,425.0,415.8,420.4,756683
2023-11-22,420.95,420.95,406.5,414.0,595405
2023-11-23,415.25,419.5,409.7,418.15,363761
2023-11-24,419.15,423.0,413.1,414.85,189002
2023-11-28,414.0,419.5,410.25,411.55,183107
2023-11-29,411.95,414.9,406.55,407.7,139048
2023-11-30,409.7,440.8,404.6,430.85,970224
2023-12-01,437.5,438.5,421.65,430.15,665159
2023-12-04,436.05,439.1,425.55,432.55,2427189
2023-12-05,433.0,440.0,428.05,434.8,740229
2023-12-06,434.8,436.9,421.1,422.95,358484
2023-12-07,422.95,426.5,413.45,416.3,250213
2023-12-08,417.0,420.9,411.55,417.1,230742
2023-12-11,417.15,419.4,410.0,411.25,209245
2023-12-12,413.95,413.95,395.55,403.0,878558
2023-12-13,405.0,412.0,399.1,405.25,391861
2023-12-14,410.3,422.5,408.05,415.2,668996
2023-12-15,419.95,419.95,412.6,414.2,349807
2023-12-18,415.45,416.2,405.55,406.25,339875
2023-12-19,407.95,408.3,402.35,404.35,235757
2023-12-20,407.9,411.8,398.15,404.2,724352
2023-12-21,399.0,410.85,391.2,403.8,713570
2023-12-22,406.3,408.0,400.5,401.9,216412
2023-12-26,404.9,409.75,401.45,408.35,307464
2023-12-27,407.2,417.0,405.3,414.5,435529
2023-12-28,414.6,425.0,409.45,422.4,529649
2023-12-29,422.4,428.0,416.0,424.15,478348
2024-01-01,424.15,426.75,417.55,420.15,148288
2024-01-02,419.7,423.3,412.75,421.1,171802
2024-01-03,421.9,427.8,418.55,420.6,272045
2024-01-04,420.6,425.1,418.1,421.4,221318
2024-01-05,424.7,436.85,411.1,412.85,615565
2024-01-08,412.95,414.6,404.35,407.4,420296
2024-01-09,410.0,411.1,400.0,401.55,473243
2024-01-10,402.7,404.7,391.2,392.65,460845
2024-01-11,395.3,402.9,395.05,398.0,265957
2024-01-12,398.0,405.9,396.0,403.4,263706
2024-01-15,403.4,419.65,403.4,417.4,728571
2024-01-16,418.1,418.7,408.0,410.15,271604
2024-01-17,407.5,408.5,402.85,405.3,150207
