Date,Open,High,Low,Close,Volume
2023-11-06,383.5,386.3,375.05,378.25,3596930
2023-11-07,379.95,399.4,378.95,396.5,4915974
2023-11-08,403.4,409.6,398.85,403.55,2631091
2023-11-09,406.0,406.0,398.7,401.0,1256722
2023-11-10,401.5,405.7,397.5,403.6,1218861
2023-11-12,408.65,409.2,402.2,404.85,286132
2023-11-13,404.8,406.5,400.95,403.5,1299695
2023-11-15,405.2,407.6,399.2,405.7,2353248
2023-11-16,406.6,420.4,406.25,417.8,3074266
2023-11-17,417.8,418.9,408.6,417.4,1843610
2023-11-20,416.8,424.15,411.2,418.95,1052356
2023-11-21,422.0,422.9,409.1,415.1,2046220
2023-11-22,416.15,416.4,406.5,412.55,1370191
2023-11-23,414.05,430.0,410.0,421.85,2439087
2023-11-24,424.0,429.1,422.9,427.25,1515670
2023-11-28,430.0,430.0,421.55,424.0,1563201
2023-11-29,428.0,429.85,421.8,424.35,734545
2023-11-30,426.4,451.9,423.75,442.0,5190698
2023-12-01,444.0,450.4,434.25,435.6,1371021
2023-12-04,444.4,445.0,426.0,428.2,1900286
2023-12-05,432.0,433.95,422.2,424.75,1129042
2023-12-06,424.0,431.15,422.5,429.4,1100798
2023-12-07,432.0,432.8,426.95,430.8,758520
2023-12-08,431.3,433.05,424.0,426.8,1260433
2023-12-11,429.55,443.6,428.4,441.7,2160526
2023-12-12,441.7,443.2,430.4,432.05,1579857
2023-12-13,434.7,438.0,429.1,437.1,1155820
2023-12-14,441.6,445.8,437.7,441.7,1232073
2023-12-15,443.5,447.9,438.0,439.6,1160389
2023-12-18,439.6,457.6,437.6,452.8,1830640
2023-12-19,457.3,471.2,454.2,468.65,2653390
2023-12-20,538.0,552.0,494.25,501.35,13090036
2023-12-21,498.0,520.0,472.8,516.5,4779722
2023-12-22,516.5,516.5,490.2,495.45,6445595
2023-12-26,502.8,503.1,493.2,500.0,1695813
2023-12-27,498.4,500.8,494.0,494.8,2397414
2023-12-28,495.2,499.0,488.8,495.1,1480983
2023-12-29,497.5,497.5,490.25,494.75,1149608
2024-01-01,496.7,501.6,494.8,497.0,789487
2024-01-02,500.0,500.0,492.9,494.45,982195
2024-01-03,490.05,495.9,482.45,490.3,1631101
2024-01-04,498.4,510.95,493.6,504.0,2387192
2024-01-05,504.0,513.2,497.7,511.65,2029763
2024-01-08,511.65,517.6,504.0,507.8,1654957
2024-01-09,509.1,524.0,508.4,519.0,1773125
2024-01-10,518.8,522.0,504.0,507.5,1530973
2024-01-11,512.95,514.9,506.8,511.25,923775
2024-01-12,508.45,511.2,503.4,506.0,2631987
2024-01-15,510.4,512.0,504.55,508.7,1502401
2024-01-16,509.5,510.4,502.4,506.45,1320740
2024-01-17,502.4,505.45,492.05,499.4,2159125
2024-01-18,497.6,499.8,478.55,492.05,1854390
2024-01-19,495.55,512.95,491.2,506.95,2841357
2024-01-20,514.0,514.15,503.2,504.15,370668
2024-01-23,504.4,511.9,497.3,508.7,1907173
2024-01-24,504.4,509.9,501.2,506.55,3071911
2024-01-25,505.4,506.0,488.4,502.95,3331395
2024-01-29,500.0,511.15,499.6,507.8,1829987
2024-01-30,510.0,513.5,496.5,500.5,2786643
2024-01-31,492.4,514.0,492.4,512.15,2199936
2024-02-01,513.1,515.55,506.55,513.8,1228164
2024-02-02,508.45,521.4,508.4,514.3,2161744
2024-02-05,515.8,528.0,504.0,521.0,4202812
2024-02-06,528.4,540.0,523.3,538.85,4157457
2024-02-07,542.4,545.8,531.4,538.1,1802321
2024-02-08,539.8,565.45,538.0,550.15,3303671
2024-02-09,551.6,563.95,544.0,548.0,2525432
2024-02-12,551.6,557.9,546.8,555.75,1289333
2024-02-13,556.0,563.6,551.6,557.8,1277737
2024-02-14,557.85,576.8,553.6,572.3,1372833
2024-02-15,576.0,582.4,568.0,570.1,1957092
2024-02-16,568.0,573.6,560.8,569.2,1531369
2024-02-19,571.5,577.0,568.8,575.3,498288
2024-02-20,580.95,580.95,572.0,575.0,1158305
2024-02-21,580.75,589.4,577.1,585.7,955888
2024-02-22,589.8,600.0,585.0,598.9,1061910
2024-02-23,605.0,610.0,596.65,605.8,1154934
2024-02-26,605.8,624.8,602.9,614.5,1267312
2024-02-27,612.0,612.55,581.2,586.8,2480974
2024-02-28,590.8,591.05,556.0,559.15,5032223
2024-02-29,556.0,567.85,538.0,563.4,5574977
2024-03-01,571.2,571.3,557.0,567.15,2094046
2024-03-02,570.0,582.4,568.9,579.5,188373
2024-03-04,580.0,580.7,561.45,573.65,1802706
2024-03-05,578.0,578.0,548.15,551.8,4441898
2024-03-06,548.4,579.1,544.8,573.55,2948329
