Date,Open,High,Low,Close,Volume
2023-11-06,459.9,460.0,446.05,449.5,755052
2023-11-07,447.6,460.9,447.6,452.3,774077
2023-11-08,454.8,464.7,452.45,456.95,916579
2023-11-09,480.0,496.45,473.25,479.8,10098156
2023-11-10,481.7,489.7,478.3,487.85,2009269
2023-11-12,493.7,535.0,490.1,529.2,4444778
2023-11-13,531.0,546.3,518.0,523.8,4226034
2023-11-15,530.15,537.55,516.0,521.35,2193693
2023-11-16,524.1,549.9,522.8,548.0,3970254
2023-11-17,548.7,557.5,542.1,546.55,2323915
2023-11-20,548.8,551.5,532.75,535.25,1190124
2023-11-21,538.95,562.95,538.5,549.85,2604631
2023-11-22,552.8,553.45,533.1,537.9,1950003
2023-11-23,542.4,547.95,521.15,526.35,1404702
2023-11-24,526.35,530.6,512.2,517.2,743686
2023-11-28,525.75,532.1,515.95,519.35,584244
2023-11-29,522.0,534.95,516.0,530.1,584338
2023-11-30,528.0,533.8,526.75,530.35,461373
2023-12-01,530.8,541.45,528.0,532.1,522054
2023-12-04,537.4,542.8,530.05,532.75,373710
2023-12-05,534.7,568.0,534.0,561.2,2244243
2023-12-06,565.0,569.4,553.05,554.9,856464
2023-12-07,554.9,556.3,531.5,533.1,1014016
2023-12-08,535.75,547.5,532.1,538.95,1420670
2023-12-11,541.1,541.6,525.1,533.2,1011322
2023-12-12,531.0,549.45,528.25,546.3,879663
2023-12-13,548.1,550.0,535.0,535.8,314467
2023-12-14,540.0,541.25,531.8,533.35,349272
2023-12-15,535.75,543.45,527.55,532.5,446889
2023-12-18,534.0,536.2,523.2,532.55,459345
2023-12-19,534.05,548.75,532.7,538.3,677795
2023-12-20,542.3,542.3,500.0,515.05,832668
2023-12-21,510.0,518.9,498.05,515.2,699067
2023-12-22,519.05,532.5,513.5,530.55,772554
2023-12-26,530.55,548.0,520.3,545.1,1075875
2023-12-27,545.8,554.0,536.4,552.0,1085874
2023-12-28,552.0,555.5,538.55,545.45,1636270
2023-12-29,542.0,553.2,531.75,548.15,1083956
2024-01-01,548.0,579.3,543.85,570.8,1790229
2024-01-02,574.9,575.9,554.55,573.35,858090
2024-01-03,566.5,574.0,553.5,559.35,1072888
2024-01-04,559.3,571.0,554.35,558.05,1327008
2024-01-05,558.45,573.9,555.35,557.7,624647
2024-01-08,560.2,563.9,555.0,559.45,625112
2024-01-09,563.5,564.7,532.8,537.35,561009
2024-01-10,537.35,553.1,537.0,551.7,415663
2024-01-11,551.7,556.1,538.0,540.15,517251
2024-01-12,543.15,543.2,527.5,530.35,663903
2024-01-15,535.0,538.5,524.1,533.85,667493
2024-01-16,531.0,544.9,529.5,540.95,1717100
2024-01-17,539.0,575.0,532.05,570.35,2228965
2024-01-18,585.0,608.0,565.0,599.45,2760175
2024-01-19,605.2,607.8,583.45,599.85,998210
2024-01-20,602.1,604.6,583.55,587.45,448824
2024-01-23,593.0,613.0,585.6,588.95,935491
2024-01-24,589.9,598.65,585.1,589.15,466407
2024-01-25,590.95,595.2,570.05,578.8,666377
2024-01-29,584.95,590.0,577.2,579.6,899492
2024-01-30,583.85,589.0,575.1,581.15,329625
2024-01-31,585.2,597.25,572.6,587.4,2993167
2024-02-01,590.0,594.95,583.0,588.8,500725
2024-02-02,597.0,605.95,585.95,590.8,532653
2024-02-05,590.0,609.85,588.0,595.7,922243
2024-02-06,598.95,623.9,580.0,596.1,2725969
2024-02-07,605.2,611.7,584.0,587.0,983338
2024-02-08,590.65,593.45,574.85,577.55,580611
2024-02-09,579.0,580.3,541.6,558.0,1563683
2024-02-12,560.1,570.9,538.0,542.05,553032
2024-02-13,540.1,550.75,525.1,548.1,401389
2024-02-14,540.0,563.7,539.95,560.65,375649
2024-02-15,564.4,574.9,562.2,563.85,298607
2024-02-16,568.4,575.0,537.05,544.6,1263567
2024-02-19,548.4,560.6,546.55,549.25,357026
2024-02-20,550.0,554.35,539.0,542.2,336289
2024-02-21,542.2,548.85,527.8,529.45,617550
2024-02-22,530.1,545.95,512.5,543.45,1083557
2024-02-23,544.75,568.0,541.0,565.85,1156496
2024-02-26,562.05,571.8,557.5,567.0,527927
2024-02-27,562.0,572.7,554.6,558.15,472351
2024-02-28,555.0,559.65,523.3,528.5,891660
2024-02-29,525.0,530.0,507.05,510.25,1312973
2024-03-01,521.5,543.7,519.65,533.8,1087875
2024-03-02,534.8,543.5,534.8,540.6,97896
2024-03-04,543.0,551.0,534.45,545.5,800140
2024-03-05,540.1,553.7,540.1,549.65,325795
2024-03-06,537.3,554.0,527.2,537.95,519081
2024-03-07,542.65,551.0,537.05,547.85,344537
2024-03-11,547.85,547.85,528.15,542.8,340086
2024-03-12,542.0,548.85,515.7,524.9,526517
2024-03-13,528.45,530.2,491.25,494.8,1018203
2024-03-14,480.1,513.05,469.9,510.2,619176
2024-03-15,510.75,514.0,487.4,511.65,577742
2024-03-18,512.1,520.3,502.65,516.2,404461
2024-03-19,518.8,519.0,496.6,500.85,267392
2024-03-20,500.95,508.95,500.95,506.15,174352
2024-03-21,514.2,531.0,510.0,524.15,305555
2024-03-22,526.4,544.5,522.0,535.95,491887
2024-03-26,532.1,536.7,515.0,518.45,440770
2024-03-27,527.0,527.0,510.25,513.85,741289
