Date,Open,High,Low,Close,Volume
2023-10-05,2541.65,2558.35,2475.7,2515.05,9967
2023-10-06,2520.0,2526.15,2485.0,2503.05,6135
2023-10-09,2467.5,2506.95,2436.65,2495.35,4431
2023-10-10,2498.7,2525.0,2493.0,2511.15,5632
2023-10-11,2520.9,2574.95,2441.65,2545.25,3204
2023-10-12,2563.6,2591.65,2533.4,2570.6,2967
2023-10-13,2570.65,2748.85,2570.6,2679.55,8923
2023-10-16,2658.35,2698.05,2604.15,2627.1,4322
2023-10-17,2632.75,2653.0,2618.0,2621.85,1786
2023-10-18,2621.85,2719.65,2618.75,2696.85,3685
2023-10-19,2666.65,2684.7,2633.35,2639.8,2164
2023-10-20,2638.35,2663.85,2615.0,2627.6,1942
2023-10-23,2642.1,2654.55,2562.7,2571.15,3448
2023-10-25,2570.55,2580.65,2534.5,2548.2,2543
2023-10-26,2562.2,2599.8,2499.35,2572.75,4659
2023-10-27,2558.4,2766.65,2558.4,2651.35,10186
2023-10-30,2650.0,2683.35,2604.2,2622.6,2909
2023-10-31,2628.5,2642.45,2591.65,2617.45,2481
2023-11-01,2617.35,2618.1,2544.15,2575.4,4597
2023-11-02,2583.35,2664.65,2565.15,2649.7,3270
2023-11-03,2664.15,2678.1,2623.3,2656.05,3606
2023-11-06,2634.35,2689.75,2625.0,2678.95,3518
2023-11-07,2689.85,2724.0,2633.35,2715.8,7971
2023-11-08,2730.8,2776.5,2690.0,2748.0,4603
2023-11-09,2741.65,2758.0,2700.85,2719.6,2591
2023-11-10,2700.0,2770.35,2700.0,2731.2,8810
2023-11-12,2790.85,2816.65,2768.35,2806.6,1777
2023-11-13,2799.15,2824.15,2740.8,2760.65,4799
2023-11-15,2758.35,2780.85,2716.65,2740.05,6561
2023-11-16,2755.1,2755.1,2700.15,2715.8,3731
2023-11-17,2732.5,2738.6,2702.5,2714.35,2256
2023-11-20,2728.6,2775.0,2684.15,2753.6,5978
2023-11-21,2753.6,2765.65,2698.0,2716.3,2361
2023-11-22,2731.2,2735.1,2619.35,2639.6,5115
2023-11-23,2655.65,2697.5,2644.3,2692.9,3021
2023-11-24,2700.0,2709.6,2643.35,2650.05,1497
2023-11-28,2650.05,2655.85,2600.0,2614.35,2739
2023-11-29,2628.75,2628.75,2571.0,2582.25,2664
2023-11-30,2596.45,2670.5,2543.65,2650.2,32280
