Date,Open,High,Low,Close,Volume
2024-08-28,226.0292,227.9531,223.8078,224.6111,38052200
2024-08-29,228.1911,230.9877,226.9812,227.8837,51906300
2024-08-30,228.2804,228.4886,225.5929,227.1003,52990800
2024-09-03,226.654,227.1003,219.3352,220.922,50190600
2024-09-04,219.8212,219.9402,215.6758,219.0179,43840200
2024-09-05,219.7914,223.6095,219.6823,220.5352,36615400
2024-09-06,222.0922,223.3715,217.9469,218.9881,48423000
2024-09-09,218.9881,219.4344,214.9122,219.0774,67180000
2024-09-10,217.1039,219.6426,214.932,218.284,51591000
2024-09-11,219.6228,221.2393,216.0824,220.8129,44587100
2024-09-12,220.6542,221.6955,217.9964,220.922,37455600
2024-09-13,221.7252,222.1814,220.0691,220.6542,36766600
2024-09-16,214.7436,215.418,212.1454,214.5255,59357400
2024-09-17,213.9602,215.1006,212.7206,214.9916,45519300
2024-09-18,215.7452,220.8624,215.7353,218.8592,59894900
2024-09-19,223.1235,227.9135,222.7665,226.9713,66781300
2024-09-20,228.0622,231.1563,225.7317,226.3069,318679900
2024-09-23,225.4541,227.5466,223.9367,224.5913,54146000
2024-09-24,226.7531,227.4473,223.8574,225.4838,43556100
2024-09-25,223.064,225.4044,222.1616,224.4921,42308700
2024-09-26,225.4144,226.6044,223.5401,225.6326,36636700
2024-09-27,226.5647,227.6159,225.4144,225.9003,34026000
2024-09-30,228.1316,231.0671,227.7449,231.0671,54541900
2024-10-01,227.6159,227.7449,221.8839,224.3334,63285000
2024-10-02,224.0161,225.4838,221.1699,224.8987,32880600
2024-10-03,223.2723,224.9284,221.4674,223.7979,34044200
2024-10-04,226.0094,226.1085,222.2707,224.9185,37245100
2024-10-07,222.6376,223.8177,219.4939,219.8509,39505400
2024-10-08,222.4393,224.1053,221.398,223.8971,31855700
2024-10-09,223.3615,227.844,222.9648,227.6358,33591100
2024-10-10,225.8904,227.5961,225.2854,227.1399,28183500
2024-10-11,227.3978,227.5069,225.454,225.6623,31759200
2024-10-14,226.8027,229.8076,226.7036,229.3812,39882100
2024-10-15,231.672,235.5198,230.4423,231.91,64751400
2024-10-16,229.6787,230.1944,227.9333,229.8572,34082200
2024-10-17,231.4935,231.91,228.6077,230.2241,32993800
2024-10-18,234.2207,234.2207,232.0687,233.0505,46431500
2024-10-21,232.505,234.8851,232.505,234.5182,36254500
2024-10-22,231.9497,234.2604,230.6704,233.9034,38846600
2024-10-23,232.1381,233.1893,225.8706,228.8457,52287000
2024-10-24,228.0721,228.9051,226.5151,228.6572,31109500
2024-10-25,227.8341,231.2853,227.6655,229.4903,38802300
2024-10-28,231.3845,232.7827,230.6208,231.4638,36087100
