Date,Open,High,Low,Close,Volume
2024-08-21,183.9505,184.7933,183.2295,184.0348,4250400
2024-08-22,184.4843,184.9806,182.9298,183.885,3676700
2024-08-23,184.709,185.3926,183.7538,184.9899,4720300
2024-08-26,184.9993,185.3832,183.604,184.8869,4182300
2024-08-27,185.402,185.6923,182.7706,183.4636,2504500
2024-08-28,183.089,183.7538,181.6937,182.9766,3910200
2024-08-29,183.5385,183.9505,181.5252,182.7706,4538300
2024-08-30,182.8362,184.0067,181.8248,183.8288,3820800
2024-09-03,183.6696,187.2374,183.6321,185.121,4872400
2024-09-04,186.0481,187.1718,183.9505,184.4843,4214300
2024-09-05,184.4375,184.5967,179.9427,180.5981,5902800
2024-09-06,181.1693,182.3586,180.57,181.1038,4312600
2024-09-09,182.574,184.1097,181.6095,183.9318,3606900
2024-09-10,183.6509,186.7879,180.645,186.6755,6333300
2024-09-11,185.1117,185.1117,181.1225,182.2181,4909300
2024-09-12,182.3961,182.6676,179.1092,181.6844,4165200
2024-09-13,181.5346,182.2182,179.6149,181.8623,2718100
2024-09-16,183.3699,183.6883,182.0964,183.2856,3235700
2024-09-17,182.4148,183.6134,179.6243,181.1506,3534100
2024-09-18,180.851,183.1452,179.5868,180.673,3236800
2024-09-19,181.1319,181.8155,179.7554,181.3098,3929300
2024-09-20,180.7292,181.4971,179.9146,181.1694,11661200
2024-09-23,181.3847,181.9466,179.9801,181.5065,3178000
2024-09-24,180.6824,182.7987,179.4089,181.2068,4286500
2024-09-25,181.6657,182.1994,178.8189,179.0999,5589300
2024-09-26,178.0136,180.6075,177.5641,179.6992,6215700
2024-09-27,180.3547,183.6602,178.1728,182.4054,4891900
2024-09-30,182.4616,185.0555,182.0121,184.9244,4550200
2024-10-01,185.0836,186.3197,183.9318,184.4375,3924600
2024-10-02,183.2201,184.4749,182.087,184.3064,2946900
2024-10-03,184.3532,184.5217,182.3586,183.0235,3453800
2024-10-04,182.6957,183.2014,180.7761,181.9372,4749700
2024-10-07,182.059,182.6864,180.5794,181.3005,5033800
2024-10-08,181.984,182.6021,180.0269,180.7386,4419000
2024-10-09,180.5888,182.4991,179.746,182.368,4478900
2024-10-10,182.1713,182.4335,180.9914,181.9934,3562500
2024-10-11,182.6021,182.8268,181.2724,181.8436,2973000
2024-10-14,181.8904,183.8569,181.3473,183.2107,3623900
2024-10-15,183.8054,185.2401,180.4923,181.0964,6553500
2024-10-16,179.7655,180.3224,178.142,179.7749,5576000
2024-10-17,179.8505,180.8699,177.8872,177.991,4419000
2024-10-18,178.3685,179.0481,177.604,178.2647,5607900
2024-10-21,178.1231,178.7555,175.4613,176.0748,4496500
2024-10-22,175.8672,178.4913,175.7823,178.1703,4210400
2024-10-23,178.1137,178.6517,176.981,177.3397,4266700
2024-10-24,177.8588,179.7844,177.6134,179.0104,6741800
2024-10-25,179.0387,179.2275,176.6695,177.3114,4017400
2024-10-28,177.5379,179.4729,176.9999,179.0387,5383700
2024-10-29,179.8033,180.4357,177.9438,178.8216,6131500
2024-10-30,180.8699,190.9979,177.9721,190.1956,10396400
2024-10-31,190.6392,195.6891,190.1201,192.4326,8829300
2024-11-01,192.9046,193.2444,190.9696,192.1306,4493900
2024-11-04,192.3571,192.7819,188.9874,189.2234,3531800
2024-11-05,189.2423,191.064,187.2223,190.3655,5109300
2024-11-06,194.2449,194.5847,189.5821,189.9124,7194800
2024-11-07,190.6204,190.9696,188.0435,189.2611,4520200
2024-11-08,189.8747,190.5637,188.2889,188.3078,4596900
2024-11-11,168.552,168.552,163.0113,164.6443,20760300
2024-11-12,166.1356,166.7208,161.435,161.4916,10557000
2024-11-13,162.0391,162.9547,160.1324,160.7932,8483500
2024-11-14,160.4628,161.9919,159.1319,160.1135,8442500
2024-11-15,160.1136,160.1136,155.479,155.7339,11265400
2024-11-18,156.3285,157.3857,155.5545,156.9515,8336900
2024-11-19,155.9981,157.7255,154.62,157.2252,5246000
2024-11-20,157.5461,158.49,156.3568,158.3484,7135600
2024-11-21,159.1319,162.7848,157.5556,162.0957,6847700
2024-11-22,164.5593,168.8257,163.7664,167.0229,11328600
2024-11-25,167.0889,170.0811,166.8341,167.1267,12465000
2024-11-26,167.155,171.4592,166.7586,170.9778,6947500
