Date,Open,High,Low,Close,Volume
2024-08-12,103.9533,103.9533,102.7162,103.3779,4795900
2024-08-13,103.3779,104.1067,103.1861,103.7998,4920400
2024-08-14,103.6368,105.6602,103.2916,105.3821,5822900
2024-08-15,105.9383,106.7631,105.2575,106.3891,7458500
2024-08-16,106.7918,107.022,106.0342,106.4466,4643300
2024-08-19,106.4466,107.6453,106.2932,107.3097,3495800
2024-08-20,107.233,107.4919,105.8041,106.226,5822400
2024-08-21,106.4178,106.8781,106.1397,106.8206,4081400
2024-08-22,107.2042,107.5494,106.4946,107.5015,3690400
2024-08-23,107.7892,108.1536,107.3001,108.0673,4511600
2024-08-26,108.1152,108.6139,107.4631,108.0769,3212700
2024-08-27,108.4221,108.5276,107.5398,108.4605,2705300
2024-08-28,108.4605,108.7673,107.7604,108.2687,3836700
2024-08-29,108.6523,108.844,107.9042,108.1344,3375800
2024-08-30,108.3646,108.8153,107.3001,108.6235,4320100
2024-09-03,108.7098,110.1195,108.7098,109.9565,4436900
2024-09-04,109.9852,110.8483,108.9112,109.7071,3659200
2024-09-05,109.5729,109.7839,107.9042,108.4605,2928000
2024-09-06,108.9687,109.6496,108.3741,109.1893,3802200
2024-09-09,109.7647,111.9416,109.6304,111.6539,5101000
2024-09-10,111.3854,112.4402,110.6949,112.306,4963700
2024-09-11,111.6155,111.932,110.014,111.8169,6535600
2024-09-12,111.721,112.4978,110.8483,112.0374,4349300
2024-09-13,111.2607,112.2484,111.184,111.6251,3350100
2024-09-16,112.2005,112.8526,111.6443,112.8046,3637100
2024-09-17,112.9677,113.6773,112.4498,113.2841,4982500
2024-09-18,112.68,112.68,109.8222,110.1674,5990200
2024-09-19,110.7524,110.9154,108.6043,109.4674,8144100
2024-09-20,109.0838,109.477,108.5564,109.0359,8403400
2024-09-23,109.1222,110.1866,108.3262,110.1003,5005200
2024-09-24,109.5249,109.7167,108.5372,108.6906,5029800
2024-09-25,109.1509,109.5057,107.2617,107.9906,5159100
2024-09-26,107.7029,108.2974,107.5015,108.1056,3508700
2024-09-27,108.2974,108.729,107.7125,107.8179,3566400
2024-09-30,107.9522,109.4099,107.5015,109.3331,5035600
2024-10-01,109.5249,109.5345,108.1728,108.9016,4264000
2024-10-02,108.729,109.1222,107.4343,108.9783,3454000
2024-10-03,108.8536,108.8536,107.2042,107.6262,3472100
2024-10-04,107.5303,108.1248,107.0987,108.0193,4366300
2024-10-07,107.6933,108.9495,107.2138,108.7098,6912900
2024-10-08,109.0838,110.5702,109.0838,109.9277,4341500
2024-10-09,110.2633,111.5004,109.8606,111.1935,4256900
2024-10-10,111.4525,112.0566,110.7141,110.8771,4068300
2024-10-11,111.4429,112.469,111.1935,111.3566,3471300
2024-10-14,111.4908,112.7567,111.2223,112.4402,3674100
2024-10-15,112.4884,114.0396,111.5827,111.8139,6544900
2024-10-16,113.7024,115.1573,112.3824,113.5193,7356200
2024-10-17,114.3768,114.425,112.9123,113.5868,5046900
2024-10-18,113.5964,115.4752,113.3748,115.032,6741800
2024-10-21,114.5503,114.5792,112.3439,112.7196,8303300
2024-10-22,112.604,112.922,111.6116,111.8814,5360000
2024-10-23,111.9199,112.8738,111.6983,112.7389,3655600
2024-10-24,112.9316,113.1243,111.9681,112.2861,3768000
2024-10-25,111.9103,112.1415,109.068,110.0507,5989600
2024-10-28,110.5807,110.6385,109.4052,109.9062,4104700
2024-10-29,109.9737,110.5518,109.2125,109.2607,4543600
2024-10-30,108.5284,110.5518,108.3935,110.2724,5188000
2024-10-31,109.4245,110.2916,109.1354,109.2318,5323200
2024-11-01,115.3789,115.5427,112.816,114.2709,10149300
2024-11-04,115.2344,116.1689,113.1917,113.3555,5604000
2024-11-05,113.2977,113.9336,112.0837,113.4326,4059200
2024-11-06,116.5833,116.5833,111.284,112.5366,5256100
2024-11-07,113.2014,113.2014,110.3591,111.0913,5519000
2024-11-08,111.1202,112.9701,110.5036,112.3342,5685700
2024-11-11,112.6715,113.5386,112.0837,112.5366,5301100
2024-11-12,112.421,113.0183,112.1704,112.1897,4598900
2024-11-13,111.8429,112.5462,111.3322,111.5153,4760800
2024-11-14,111.7465,111.8525,110.7348,110.8312,3812300
2024-11-15,110.677,112.103,110.2531,111.6694,6898600
