Date,Open,High,Low,Close,Volume
2024-08-19,252.2483,253.4398,250.5801,252.2673,998100
2024-08-20,251.5238,252.6009,251.0949,252.1625,913300
2024-08-21,253.354,255.5654,252.3436,255.3176,1305100
2024-08-22,256.347,256.9666,254.7457,256.776,1137600
2024-08-23,257.939,258.3107,255.6513,256.9858,1206700
2024-08-26,257.8913,259.1495,257.4719,258.6539,792600
2024-08-27,258.5871,262.2284,258.0819,261.828,1260000
2024-08-28,262.8861,263.8203,259.0923,259.9216,1369500
2024-08-29,261.6946,262.3905,258.9684,260.5698,850400
2024-08-30,261.056,263.7917,259.5594,263.0005,1548100
2024-09-03,260.2266,265.0118,260.2266,262.6573,1589900
2024-09-04,263.0862,265.231,260.8748,262.3427,1374400
2024-09-05,261.9425,262.0759,256.4329,257.5291,1856300
2024-09-06,258.3584,258.7874,255.2605,256.9477,2814500
2024-09-09,257.0811,263.2102,257.0811,262.6955,1784400
2024-09-10,264.0872,266.4988,262.5811,266.1938,1354300
2024-09-11,264.335,264.8498,258.0438,264.4971,1556000
2024-09-12,264.5924,265.9555,261.0845,265.374,1499000
2024-09-13,265.1632,266.9835,264.2531,265.8626,1183100
2024-09-16,267.3188,268.0373,265.3453,266.9069,1699400
2024-09-17,266.3991,269.7234,266.3991,267.6828,2163300
2024-09-18,267.7212,269.3403,263.8699,264.3298,1521100
2024-09-19,267.702,267.9702,264.9046,266.035,1559300
2024-09-20,265.1632,266.3416,262.7873,264.8088,3271500
2024-09-23,265.2591,266.1788,263.7166,265.9297,1435000
2024-09-24,265.8146,266.2937,263.4579,265.0291,1436900
2024-09-25,264.7609,265.3644,263.4196,263.6975,1076300
2024-09-26,264.3393,265.1441,262.1454,262.9118,1333800
2024-09-27,263.2663,264.6172,261.2641,261.4269,1581300
2024-09-30,262.0305,265.4123,260.7563,265.1154,1987800
2024-10-01,266.5045,269.3785,261.973,268.3247,1909900
2024-10-02,268.3247,271.8503,266.9835,271.6491,1297900
2024-10-03,270.921,273.6801,270.2695,272.6742,1489500
2024-10-04,273.7089,274.2837,270.8061,273.1916,1076700
2024-10-07,271.6586,272.9616,269.4648,270.2791,1443300
2024-10-08,271.1701,274.1016,270.1546,273.4406,1176000
2024-10-09,273.8334,276.1998,272.6455,275.692,1253300
2024-10-10,275.4333,275.5195,273.728,274.8681,864500
2024-10-11,274.8968,276.3913,274.6285,276.2572,952200
2024-10-14,276.8608,279.5241,276.3243,278.7864,969700
2024-10-15,279.4571,281.833,277.723,277.8667,1532000
2024-10-16,276.9757,278.9397,275.7111,278.499,1242100
2024-10-17,279.7827,280.5396,277.8188,279.7061,2299200
2024-10-18,280.2905,280.4725,278.0583,280.0222,2738200
2024-10-21,279.4858,279.7349,277.0428,278.7002,1044300
2024-10-22,277.9721,279.5337,276.3147,279.1121,983100
2024-10-23,277.5602,280.166,277.2152,277.8667,1183700
2024-10-24,277.8667,279.0163,276.6404,277.2823,1261700
2024-10-25,278.1828,278.6427,275.5291,275.874,1691500
2024-10-28,276.4009,277.0523,274.0345,274.4178,1591800
2024-10-29,273.4597,277.5026,272.4538,275.8644,2583000
2024-10-30,274.1879,280.5779,273.6131,280.4917,2012600
2024-10-31,279.275,280.2618,276.8129,277.1003,2215700
2024-11-01,275.9219,277.2248,273.9867,276.0847,2037000
2024-11-04,277.8283,279.9839,276.8511,277.6942,1184300
2024-11-05,277.426,279.4666,276.3338,278.9588,897600
2024-11-06,287.0159,293.8371,284.2855,292.3713,2869300
2024-11-07,292.1988,293.3388,290.3306,292.0551,1299400
2024-11-08,292.8311,294.0383,291.3654,291.9402,1552200
2024-11-11,292.9461,295.5902,292.3233,293.9041,1340200
2024-11-12,294.4597,296.2321,293.9519,294.9866,1711200
2024-11-13,293.8275,296.3854,293.7988,294.5939,1637800
2024-11-14,294.2202,294.8046,288.7499,289.3151,1505800
2024-11-15,289.2577,289.2768,284.6017,285.1477,1457700
2024-11-18,285.1477,287.2554,284.4867,285.3872,1075900
2024-11-19,283.9406,286.5368,282.676,285.0519,1741700
2024-11-20,284.0364,288.0026,282.7622,286.0578,2159300
2024-11-21,287.4087,292.1605,286.2686,291.7869,1810600
2024-11-22,292.5245,295.092,291.5378,292.3425,1312000
2024-11-25,292.4958,293.1185,289.0086,291.8827,3078700
2024-11-26,292.7736,295.3699,291.9689,295.0442,1048400
2024-11-27,296.6249,296.6345,293.8562,294.0382,1515400
2024-11-29,293.8562,295.0058,293.3963,294.0478,805000
2024-12-02,294.7568,294.7568,291.7677,293.1856,1279300
2024-12-03,293.3676,294.8142,289.4397,290.8288,2059800
2024-12-04,292.1413,292.7736,289.5259,290.7522,1374300
2024-12-05,290.4744,290.5319,287.4279,289.1331,3169100
2024-12-06,288.8074,292.7832,288.8074,291.7773,2621900
2024-12-09,291.1833,291.9593,283.2125,285.071,2266200
2024-12-10,284.5346,290.0624,283.3083,289.5451,1672500
2024-12-11,290.0624,291.7677,287.9451,288.1272,1952200
2024-12-12,288.3092,289.3247,284.9944,286.2111,1172600
2024-12-13,285.4407,287.1452,284.7474,285.7778,1880600
2024-12-16,286.9719,287.4148,284.9881,285.8259,2579900
2024-12-17,285.0555,286.9815,284.0155,284.6318,2625300
2024-12-18,283.9577,284.8918,277.7175,277.8235,2262400
2024-12-19,276.9856,283.091,276.9856,280.5487,1787100
2024-12-20,279.3739,284.2273,279.2198,283.1392,4165800
2024-12-23,282.9947,284.0829,280.1346,283.2643,1388800
2024-12-24,282.3495,286.0763,282.1762,285.4889,956000
2024-12-26,285.3637,287.28,284.4681,286.2304,1403700
2024-12-27,285.0074,287.2512,284.1888,285.2192,1332000
2024-12-30,281.7429,283.6014,280.0383,282.1281,1161800
2024-12-31,283.1296,283.3222,280.7799,281.8969,980600
2025-01-02,282.9562,284.2274,277.8716,278.9309,1025300
2025-01-03,279.9709,281.7235,279.0657,280.8954,1044200
2025-01-06,278.4494,279.5761,275.2812,276.5042,1529100
2025-01-07,276.6197,279.2679,276.6197,277.7271,1451800
2025-01-08,277.8331,281.242,277.8331,281.088,1513000
2025-01-10,279.451,282.0125,276.0901,276.2346,2292500
2025-01-13,275.1174,279.7301,274.9152,279.4605,1809400
2025-01-14,279.5568,281.0687,276.8316,280.8954,2321600
2025-01-15,283.1392,284.2851,281.5406,282.5132,1764400
2025-01-16,281.0398,286.5963,281.011,285.2674,1667500
2025-01-17,289.9475,289.9475,285.0074,285.2192,2408400
2025-01-21,285.4697,288.0312,285.4697,287.1164,1652300
2025-01-22,286.7119,287.6267,285.2577,285.3925,1627800
2025-01-23,285.277,286.1822,282.8118,284.8533,1102000
2025-01-24,282.8503,287.2608,282.3881,286.1052,1206000
2025-01-27,283.794,289.9379,283.794,289.0423,1635900
2025-01-28,288.8593,291.3535,284.7281,287.2704,2469600
2025-01-29,292.8847,300.136,289.3023,289.4468,2764100
2025-01-30,292.2876,296.4478,289.8994,292.0373,1367100
2025-01-31,290.6216,293.8091,290.0342,291.7965,2237700
2025-02-03,292.0757,296.544,291.5075,295.947,2169100
2025-02-04,292.8847,294.3195,291.7869,293.3951,1256700
2025-02-05,294.3195,296.7944,292.6728,296.7462,1633600
2025-02-06,297.5648,298.7782,296.13,297.5359,1740400
2025-02-07,298.8359,298.8841,294.5025,294.6469,1387900
2025-02-10,296.8329,296.9485,295.1381,295.5714,902800
2025-02-11,296.1781,296.1781,293.1061,294.464,1151000
2025-02-12,292.8847,295.3981,291.6039,295.3018,1559000
2025-02-13,294.6758,299.0863,293.7128,298.7397,1197800
2025-02-14,298.5278,300.0589,296.727,296.7462,1100900
2025-02-18,298.7974,299.9434,296.3803,298.4796,1313200
2025-02-19,299.2019,302.1101,298.0463,301.6286,1407700
2025-02-20,300.4249,301.3109,298.2967,300.4249,1304500
2025-02-21,300.2419,300.8004,295.947,299.2597,1600300
2025-02-24,299.1248,302.4375,298.6434,300.6464,1311900
2025-02-25,301.4071,303.0539,298.9515,301.7731,1880000
2025-02-26,301.1664,303.622,299.5293,299.8567,1442900
2025-02-27,300.4345,302.4953,298.7589,299.7797,1489900
2025-02-28,303.0442,304.7487,299.616,303.5161,3289100
2025-03-03,304.3154,308.6392,304.0169,306.8481,1515400
2025-03-04,310.8926,310.8926,296.6018,301.8405,2388400
2025-03-05,299.8567,302.2835,297.9404,298.9419,3471000
2025-03-06,297.0833,298.0078,288.166,291.2668,2975100
2025-03-07,291.2668,295.9181,291.2668,295.1092,2293500
2025-03-10,294.8684,297.8922,290.4194,291.7772,2991400
2025-03-11,292.8557,293.2121,281.2228,281.6176,2923400
2025-03-12,281.945,283.871,279.3642,283.2932,1959700
2025-03-13,283.2451,283.3029,278.7383,279.7976,2062500
2025-03-14,279.9815,283.2344,279.9815,282.4599,1429200
2025-03-17,282.7697,288.4042,281.9371,287.1263,1818300
2025-03-18,286.4195,287.0294,283.6604,286.4969,1181000
