Date,Open,High,Low,Close,Volume
2024-08-05,79.5312,79.6445,75.6528,75.6717,1708700
2024-08-06,75.7377,76.7569,75.4263,76.0208,1455800
2024-08-07,76.0208,77.0211,75.8604,75.9548,1695600
2024-08-08,75.4358,76.3511,75.0677,75.6811,1458500
2024-08-09,75.6056,76.0491,74.4638,75.7849,1351600
2024-08-12,75.6245,75.8604,75.3131,75.7944,1084700
2024-08-13,76.1812,76.8984,75.5018,76.7191,1438500
2024-08-14,76.4455,77.1532,76.1529,76.6814,827500
2024-08-15,76.2379,76.9928,76.0303,76.7569,1015900
2024-08-16,77.3042,77.7949,76.7474,77.4741,1463800
2024-08-19,77.5212,78.1724,77.4363,77.861,924100
2024-08-20,77.8798,78.229,77.3419,77.5873,772200
2024-08-21,77.5967,77.9176,77.4269,77.71,749200
2024-08-22,77.776,78.0025,77.3231,77.6534,977100
2024-08-23,77.9364,77.9364,77.3419,77.4269,765100
2024-08-26,77.6817,78.2856,77.3797,77.9176,1100700
2024-08-27,77.8704,77.8893,76.9551,77.0494,966400
2024-08-28,77.3231,78.0402,76.9079,77.7005,1414700
2024-08-29,77.7855,78.078,76.7286,77.6439,1233700
2024-08-30,77.7194,78.2384,77.3042,77.861,1168000
2024-09-03,77.9648,79.0594,77.4929,78.5876,2240400
2024-09-04,78.9839,79.7483,78.5687,79.0971,1447300
2024-09-05,79.786,79.8332,78.814,79.0216,1235900
2024-09-06,79.2104,79.2953,78.4177,78.4743,1076000
2024-09-09,78.5026,79.8898,78.2196,79.8238,2181900
2024-09-10,79.7671,80.7485,79.72,80.1257,1480300
2024-09-11,79.945,80.0401,78.7465,79.6501,1153200
2024-09-12,79.6597,80.0401,79.089,79.4219,1404500
2024-09-13,79.4599,80.0306,79.4029,79.8879,989100
2024-09-16,81.0008,81.6381,80.5347,81.2957,1158600
2024-09-17,81.191,81.4478,80.6298,80.8676,1695400
2024-09-18,80.782,81.0674,79.9355,80.4872,921600
2024-09-19,79.907,80.3635,78.8987,79.536,1194000
2024-09-20,80.2208,81.6571,79.8118,81.4383,3814200
2024-09-23,81.7807,81.9424,81.2291,81.4574,1034300
2024-09-24,81.0674,82.2754,80.6298,81.2386,923500
2024-09-25,81.7046,82.1517,80.8296,82.1232,1860200
2024-09-26,81.5905,82.846,81.5905,81.8568,1357200
2024-09-27,82.2563,82.808,81.8568,82.2658,1107900
2024-09-30,82.5131,83.3311,81.9425,83.1885,1617500
2024-10-01,83.3407,83.7021,82.5417,83.2265,1014600
2024-10-02,82.7129,83.3977,82.2563,83.1314,1235400
2024-10-03,83.4548,83.8067,82.846,83.7211,1360000
2024-10-04,82.6653,83.6355,82.4656,83.4548,1182100
2024-10-07,83.4453,83.5309,82.7224,82.8841,2431200
2024-10-08,83.2646,83.3597,82.3324,82.5131,2021800
2024-10-09,82.1422,82.808,81.6476,82.1612,2310300
2024-10-10,82.6178,82.8175,81.562,81.619,1192800
2024-10-11,81.8473,82.38,81.6286,82.2278,1011900
2024-10-14,82.3039,83.1219,82.2849,82.9887,798400
2024-10-15,83.5404,84.1967,83.0838,83.6355,1288000
2024-10-16,83.8353,84.5581,83.5879,84.3964,866300
2024-10-17,84.2538,84.5391,83.3311,83.9969,1995300
2024-10-18,83.8828,84.5676,83.2646,84.5011,952300
2024-10-21,84.6342,84.7293,83.645,83.9209,1208500
2024-10-22,83.4453,83.7306,82.9507,83.4738,884300
2024-10-23,83.7592,84.853,83.664,84.8435,937300
2024-10-24,84.9766,85.1669,84.4916,84.6628,945300
2024-10-25,85.0813,85.1193,83.4167,83.5119,772300
2024-10-28,83.9018,84.2252,83.7211,83.8162,693600
2024-10-29,83.2646,83.2646,81.7427,81.8093,1137200
2024-10-30,82.3609,82.5512,81.8093,82.38,1088300
2024-10-31,82.5131,83.8448,82.418,82.8556,1663900
2024-11-01,82.789,83.1029,81.2671,81.6856,1884600
2024-11-04,81.3147,81.971,81.1054,81.8188,1808200
2024-11-05,81.7998,83.3882,81.5049,83.3787,1391700
2024-11-06,82.6463,84.2252,82.5702,83.4833,1799700
2024-11-07,82.6178,84.1587,81.5144,82.3229,2920500
2024-11-08,82.827,86.1656,82.4561,85.7851,2268900
2024-11-11,85.7946,88.163,85.3952,87.7921,2202700
2024-11-12,87.6399,88.2391,87.1548,87.5353,1633200
2024-11-13,88.0584,88.0584,86.3749,86.9265,2798800
2024-11-14,86.8409,86.9836,85.281,85.3381,1890500
2024-11-15,85.1669,86.8219,85.1669,86.7648,1447500
2024-11-18,86.5366,88.0489,86.4319,87.8396,1564000
2024-11-19,87.5923,87.7921,86.8124,87.6209,1097000
2024-11-20,87.6494,88.0584,87.2309,87.735,1000400
2024-11-21,87.8491,89.6088,87.4592,89.3805,1426400
2024-11-22,89.4566,89.8466,89.0001,89.2283,1108500
2024-11-25,89.4091,89.9988,88.7527,88.962,1512000
2024-11-26,89.2949,89.8466,89.0381,89.6659,803500
