Date,Open,High,Low,Close,Volume
2024-08-05,97.3789,97.5378,91.5216,91.6057,3951200
2024-08-06,90.877,92.8762,90.821,91.8206,4524600
2024-08-07,92.3437,93.9879,91.886,93.0163,4490000
2024-08-08,92.5773,93.362,91.4282,91.5871,3077700
2024-08-09,91.8415,92.3317,90.5973,91.9358,3029600
2024-08-12,91.8981,91.8981,91.078,91.5682,3130000
2024-08-13,91.9358,92.7276,91.8887,92.5014,2764000
2024-08-14,91.7755,92.6616,91.4833,91.6624,3292800
2024-08-15,91.4174,91.6059,90.6538,91.0214,3008700
2024-08-16,90.8895,91.5965,90.4464,91.3797,2978600
2024-08-19,91.6059,92.1338,91.1817,91.9452,1903900
2024-08-20,91.8133,92.2846,91.7284,92.0395,1802100
2024-08-21,92.3694,93.0764,92.0395,92.3883,2220000
2024-08-22,92.0678,92.737,92.0489,92.6522,1974700
2024-08-23,92.9067,93.5194,92.4071,92.6145,3530600
2024-08-26,92.9444,94.085,92.8502,93.3403,1720900
2024-08-27,93.3403,93.7174,92.5674,92.8879,2447200
2024-08-28,93.2744,94.1133,92.8502,92.8879,3245000
2024-08-29,93.0104,94.0662,92.4637,94.0285,2749600
2024-08-30,94.2076,95.1879,93.9436,94.5281,2892100
2024-09-03,94.4432,96.14,94.2641,95.7441,3379900
2024-09-04,96.1023,97.1863,95.7346,96.5547,2843900
2024-09-05,97.1298,97.4691,95.5933,97.1863,3209300
2024-09-06,97.5445,97.6105,96.1211,96.1965,3659200
2024-09-09,96.7621,97.9027,96.1965,97.7142,2538300
2024-09-10,98.1289,98.4212,96.8375,97.3089,2932000
2024-09-11,97.2052,97.3466,95.8478,97.1392,2429400
2024-09-12,96.8753,97.4691,96.3945,97.0826,2098100
2024-09-13,97.29,98.2232,96.6867,98.1949,1425900
2024-09-16,98.3363,99.147,98.0724,98.9302,2171900
2024-09-17,98.704,98.9208,97.9593,98.2327,1724200
2024-09-18,98.1761,98.374,96.6679,97.2994,1890100
2024-09-19,96.4039,96.9412,95.4707,95.9043,4300400
