Date,Open,High,Low,Close,Volume
2024-08-07,68.8549,69.4574,67.4205,67.497,4821200
2024-08-08,67.7169,69.467,67.4396,68.9888,4444600
2024-08-09,68.9219,69.1514,68.3768,68.9123,3541200
2024-08-12,69.1897,69.5435,68.2716,68.482,3998000
2024-08-13,68.7784,68.7784,67.8412,68.5011,3076700
2024-08-14,68.7019,70.0121,68.4533,69.7252,2362600
2024-08-15,70.6528,71.1119,69.8782,70.2129,3019300
2024-08-16,70.4042,70.7389,69.9834,70.3468,6155400
2024-08-19,70.1747,71.2744,70.0695,71.1788,2307800
2024-08-20,71.0067,71.2075,70.5476,70.6528,2672300
2024-08-21,70.7102,71.1692,70.2894,71.1023,2823300
2024-08-22,71.2457,71.7813,71.1597,71.4944,2726400
2024-08-23,72.1064,72.2786,71.3796,72.0299,2387700
2024-08-26,72.2499,72.642,71.284,71.3509,2552800
2024-08-27,71.7048,71.7813,71.1214,71.1788,2628400
2024-08-28,71.0066,72.4602,70.9684,72.2212,2386200
2024-08-29,72.5655,73.2062,71.7908,72.795,2435100
2024-08-30,73.034,73.7417,72.5846,73.6843,4385400
2024-09-03,73.3975,73.9712,72.2881,72.7089,3440600
2024-09-04,73.0532,73.4261,72.7185,73.3401,3128500
2024-09-05,73.866,73.866,70.3181,70.6146,5059400
2024-09-06,70.4902,71.4752,68.1568,68.7689,7205400
2024-09-09,69.3427,70.0312,68.788,69.6391,5544500
2024-09-10,69.8782,69.9069,67.9082,69.1514,4717000
2024-09-11,69.0175,69.1227,67.9464,69.0079,3441500
2024-09-12,69.2566,70.0025,68.7019,69.9834,2814300
2024-09-13,70.2798,70.5954,69.1705,69.9165,3661600
2024-09-16,70.4838,70.9069,69.9741,70.1953,4081500
2024-09-17,70.2338,71.1761,70.1953,70.7723,2675900
2024-09-18,70.878,71.2627,70.2722,70.4838,3648100
2024-09-19,71.4454,71.7819,70.3203,71.0511,5346600
2024-09-20,70.628,71.0992,70.2626,70.9261,15499800
2024-09-23,71.1281,71.6569,70.8107,71.4454,3770500
2024-09-24,71.003,71.3877,70.4838,70.5992,4821100
2024-09-25,71.1665,71.5704,70.1761,70.2145,2789800
2024-09-26,70.2242,70.7915,70.0511,70.3107,2578900
2024-09-27,70.4165,71.2338,70.0222,70.5222,2851700
2024-09-30,70.4934,70.503,69.4068,70.4165,3475400
2024-10-01,70.1568,70.3588,69.4164,69.9261,3619800
2024-10-02,69.878,70.2145,69.3972,69.6664,3004400
2024-10-03,69.5414,69.7722,68.7241,69.5607,3303800
2024-10-04,70.3107,73.2435,69.9934,73.1281,4192600
2024-10-07,72.4646,72.7627,70.5896,70.8107,5018900
2024-10-08,71.08,72.1281,70.9261,71.7627,3551700
2024-10-09,71.5607,72.9454,71.5223,72.6954,2499100
2024-10-10,74.4167,74.4743,73.1474,73.5897,3434200
2024-10-11,73.6185,74.8974,73.6185,74.2628,4322900
2024-10-14,74.4936,74.9359,74.2724,74.6378,2624000
2024-10-15,74.3109,74.9936,73.6762,74.0224,3340300
2024-10-16,74.2339,74.7147,73.7339,74.1763,3144900
2024-10-17,75.484,76.2052,74.7244,76.1475,5200600
2024-10-18,76.436,76.7052,75.1571,75.5321,2658700
2024-10-21,75.5321,75.7821,74.3878,74.5705,2291200
2024-10-22,73.8589,74.3974,73.3589,74.0705,2872500
2024-10-23,74.0416,74.5993,73.7628,74.4551,2485500
2024-10-24,74.8397,74.9071,74.0032,74.6955,2025200
2024-10-25,75.0128,75.0224,73.3589,73.8685,3148000
2024-10-28,74.4647,75.0224,74.3589,74.5032,3389900
2024-10-29,74.4359,74.7532,73.6859,73.7147,2772500
2024-10-30,74.032,74.9936,73.8012,73.8878,2763500
2024-10-31,73.7243,74.3878,72.9551,72.9647,3509200
2024-11-01,72.9454,74.032,72.7339,72.8108,3416300
2024-11-04,72.9262,73.6666,72.5993,73.3974,4528400
2024-11-05,72.83,74.0608,71.33,72.4935,6643000
2024-11-06,75.7532,76.2436,72.4166,74.0609,7202900
2024-11-07,73.5897,74.157,72.9454,73.6474,5037500
2024-11-08,74.2243,74.2243,72.2435,72.6762,6826100
2024-11-11,73.2916,74.3397,72.4262,72.4839,4795400
2024-11-12,72.3493,72.7916,71.8396,71.9839,3900000
2024-11-13,71.9454,73.2916,71.8396,73.1666,4302300
2024-11-14,73.3205,73.4935,72.5223,72.8397,3285900
2024-11-15,72.9743,73.907,72.4839,72.8589,5524200
2024-11-18,72.6762,73.5993,72.5223,73.3781,3277400
2024-11-19,72.4935,72.7723,71.9069,72.407,3145100
2024-11-20,72.6377,72.7435,71.6761,71.7915,3998300
2024-11-21,71.7915,73.3108,71.6665,73.0608,4108000
2024-11-22,72.8877,73.9647,72.7243,73.1377,2853100
2024-11-25,73.7916,74.3013,72.8781,73.032,6513200
2024-11-26,73.0031,73.4455,72.5031,73.3685,3640900
2024-11-27,73.532,74.609,73.4647,74.1763,2461600
2024-11-29,74.0609,74.7244,73.8878,73.9262,1939700
2024-12-02,73.9839,74.2436,73.032,73.0897,3544000
2024-12-03,73.4455,73.4647,72.1954,72.2146,3456600
2024-12-04,72.3012,73.0801,71.9262,73.0416,3234100
2024-12-05,73.2339,73.9647,72.9647,73.2147,4392700
2024-12-06,73.1954,73.5031,71.7723,72.657,4292800
2024-12-09,72.6473,73.2435,71.0896,71.2338,4950500
2024-12-10,71.2338,71.4069,69.9357,70.1953,4323400
2024-12-11,70.5511,70.8588,69.753,70.8107,4579300
2024-12-12,71.128,71.3107,69.5895,69.676,4692600
2024-12-13,70.0607,70.6857,69.6761,70.0703,3613000
2024-12-16,70.0123,70.6311,69.5869,69.7029,5695100
2024-12-17,68.91,69.3935,68.5716,68.8617,6070700
2024-12-18,68.8617,69.2775,67.6531,67.6821,5767800
2024-12-19,68.1945,69.5772,68.1752,68.736,6352400
2024-12-20,68.6006,70.9985,68.3106,70.283,12134100
2024-12-23,69.7319,70.167,69.5579,70.0703,2768900
