Date,Open,High,Low,Close,Volume
2024-08-19,181.284,184.1663,181.284,183.1764,345400
2024-08-20,183.2055,185.1853,182.7494,184.1857,443400
2024-08-21,185.1271,185.1853,182.1089,184.2245,369900
2024-08-22,182.4486,184.6224,181.6237,184.1469,236900
2024-08-23,185.1756,187.9706,184.176,187.3106,291000
2024-08-26,187.8541,188.9993,186.7186,187.068,227400
2024-08-27,187.1845,188.7663,186.3013,188.3684,236800
2024-08-28,188.5334,189.7271,186.3693,188.2714,407700
2024-08-29,188.7663,191.4448,187.4465,189.5912,249400
2024-08-30,189.795,190.9499,188.8537,190.552,508100
2024-09-03,191.2825,192.5488,190.8345,191.6819,339700
2024-09-04,192.4027,194.3216,191.6429,192.0618,340300
2024-09-05,192.7533,192.7533,188.6526,189.802,501700
2024-09-06,189.5293,191.2826,187.0844,187.5812,365500
2024-09-09,188.7305,190.854,187.6299,188.2435,551200
2024-09-10,188.6916,189.1299,186.2857,186.7922,256500
2024-09-11,185.448,186.6753,181.7954,184.4058,362300
2024-09-12,184.1233,186.9286,183.7532,186.3441,243500
2024-09-13,186.9286,187.9416,186.1396,187.25,350300
2024-09-16,188.4676,189.8117,187.6104,187.9124,256400
2024-09-17,188.2143,190.7079,187.6688,190.6592,249700
2024-09-18,191.078,191.8767,188.7403,188.789,197200
2024-09-19,190.0358,190.4838,187.3766,188.9838,322400
2024-09-20,189.0617,190.3767,188.1656,189.2273,771200
2024-09-23,189.9384,193.4644,189.5682,192.9579,382100
2024-09-24,192.4222,193.328,190.7663,192.1884,317500
2024-09-25,192.7631,192.8313,191.0975,191.4384,236500
2024-09-26,191.3702,194.8086,191.302,193.8345,287000
2024-09-27,194.3216,196.3183,193.3475,194.7599,367000
2024-09-30,195.0618,195.8508,190.9903,193.6982,409100
2024-10-01,193.367,194.8378,192.2761,194.0488,322000
2024-10-02,193.5715,195.4222,192.5975,194.4774,298900
2024-10-03,194.4774,194.4774,191.039,191.3702,388700
2024-10-04,191.9059,193.1624,191.3702,192.4027,262300
2024-10-07,191.0975,192.0423,181.4057,181.7564,544800
2024-10-08,182.3798,185.4188,182.0973,184.6591,333500
2024-10-09,184.6104,186.6364,183.8896,185.6234,303500
2024-10-10,187.552,188.6429,184.9221,185.3896,271300
2024-10-11,188.4968,189.9384,186.1688,186.9091,379100
2024-10-14,186.8701,188.1753,185.2629,187.8636,207900
2024-10-15,188.5552,192.2663,187.8929,189.7338,286200
2024-10-16,189.6169,192.5585,189.539,191.7501,283200
2024-10-17,191.8085,193.6105,191.1657,193.0164,359800
2024-10-18,193.5521,193.6397,191.8767,192.3735,294800
2024-10-21,191.7793,191.9546,189.2176,189.3247,208400
2024-10-22,188.526,189.0812,185.3993,188.7111,224600
2024-10-23,188.6624,189.5974,187.1818,188.6818,188300
2024-10-24,189.9286,190.2013,187.9903,189.6754,243400
2024-10-25,189.9481,190.4936,186.1104,186.7922,209300
2024-10-28,188.1948,189.9286,187.7176,189.1884,223000
2024-10-29,188.8571,189.7143,187.8539,188.526,327100
2024-10-30,189.1104,191.6332,188.4773,190.0065,304100
2024-10-31,189.5,191.6429,186.6656,186.724,314900
2024-11-01,186.8799,189.5974,186.5779,186.7825,244400
2024-11-04,186.5584,187.5812,185.1266,186.2273,243800
2024-11-05,185.7792,188.3215,184.4837,188.0779,390000
2024-11-06,191.7306,201.8606,189.8215,201.0132,692500
2024-11-07,201.9191,203.2535,199.4937,200.497,310600
2024-11-08,202.3087,204.286,199.971,203.9548,303600
2024-11-11,206.7503,209.2439,204.8217,205.26,339100
2024-11-12,205.2016,207.2861,203.8672,206.7796,290300
2024-11-13,206.2341,208.9322,205.5133,207.7049,552300
2024-11-14,207.4419,210.2666,206.5653,209.8867,876700
2024-11-15,210.442,213.3738,209.9355,213.1401,488400
2024-11-18,212.5264,216.1791,212.1368,215.8479,502200
2024-11-19,213.7635,214.7375,211.5621,213.481,360100
2024-11-20,215.4388,216.8901,213.3154,215.1174,529900
2024-11-21,215.6239,219.6174,214.9907,219.3739,295800
2024-11-22,219.2765,221.2636,218.6434,220.2798,352400
2024-11-25,221.5266,224.5656,220.3772,221.5363,1260500
2024-11-26,221.887,223.1338,220.2409,222.7441,330800
2024-11-27,222.1889,223.4844,220.2895,221.1564,487600
2024-11-29,221.5168,222.6857,220.2116,221.2051,231200
2024-12-02,221.9357,221.9357,218.6726,219.8707,298400
2024-12-03,220.8155,223.2896,218.4681,221.4389,371200
2024-12-04,220.9324,221.624,217.533,218.5557,303500
2024-12-05,218.8382,220.5136,218.4096,219.52,248900
2024-12-06,218.9356,219.8512,217.533,218.3999,247500
2024-12-09,217.872,218.1359,213.2776,213.7175,254400
2024-12-10,212.8573,214.0694,207.7839,211.4496,314300
2024-12-11,213.0137,213.0137,210.7361,212.0557,274800
2024-12-12,213.4927,215.653,212.5836,212.7302,249000
2024-12-13,213.9521,214.7244,212.2219,212.9355,258400
2024-12-16,213.1506,213.8641,211.5963,212.4467,441100
2024-12-17,210.2669,211.4203,207.9696,208.3313,367700
2024-12-18,208.0087,209.9443,202.7301,202.9745,335700
2024-12-19,203.9813,206.0732,203.385,203.7565,316600
2024-12-20,203.1113,208.0087,203.1113,207.5004,923800
2024-12-23,205.8386,208.1358,205.4183,206.65,376000
2024-12-24,207.3343,211.4399,206.3665,210.5894,191900
2024-12-26,210.0909,212.8573,209.8856,212.3099,224900
2024-12-27,211.1466,212.8475,209.6803,210.218,251700
2024-12-30,208.0479,208.7321,205.7995,207.5004,217600
2024-12-31,208.0478,209.2306,207.9794,208.4291,234100
2025-01-02,209.1916,209.6412,206.2003,206.6598,219300
2025-01-03,207.8426,208.6539,206.2101,207.0899,250900
2025-01-06,205.9071,207.3538,202.691,202.994,337100
2025-01-07,204.3332,205.4672,201.4789,202.3489,379800
2025-01-08,201.6352,202.3391,198.7417,200.8043,306400
2025-01-10,197.9402,199.4163,193.0623,194.4504,374000
2025-01-13,193.1503,195.8971,192.8472,195.379,333400
2025-01-14,195.9362,200.8239,194.8316,200.1396,231100
2025-01-15,203.3948,204.5483,202.3195,204.3235,264300
2025-01-16,204.8318,207.2658,204.3235,206.9237,210400
2025-01-17,206.7868,208.8494,206.0537,206.8357,345500
2025-01-21,208.2727,209.9345,204.431,204.91,316000
2025-01-22,205.3499,205.3499,201.9969,202.5639,387200
2025-01-23,202.2707,203.9813,202.0752,202.7399,420200
2025-01-24,202.0947,206.4642,202.0947,206.1612,317500
2025-01-27,207.3929,210.8631,206.5229,210.7556,316900
2025-01-28,210.2082,212.0557,209.7488,210.8631,321400
2025-01-29,209.5435,214.5484,209.5435,212.0362,311500
2025-01-30,213.395,216.4155,212.3392,213.7566,430400
2025-01-31,212.9844,215.1252,210.1984,210.3548,1279500
2025-02-03,208.0294,210.2665,202.4171,208.4415,429100
2025-02-04,207.4996,210.7179,207.3622,208.206,292600
2025-02-05,210.1978,212.2191,208.7653,210.7767,224400
2025-02-06,212.5036,212.5821,208.2943,210.7571,387500
2025-02-07,210.0212,211.2673,208.3434,211.1103,291800
2025-02-10,211.3753,211.3753,208.2944,208.5298,459400
2025-02-11,208.206,209.9722,207.0973,208.7948,462900
2025-02-12,207.0286,214.4758,203.1039,203.4473,553400
2025-02-13,203.2118,204.2813,200.1015,204.1047,433900
2025-02-14,203.2609,204.0066,198.6592,199.14,400400
2025-02-18,199.709,201.4653,196.8931,197.7467,770600
2025-02-19,198.198,200.5528,195.2152,196.373,317100
2025-02-20,198.7377,199.0222,195.9806,197.1972,412500
2025-02-21,197.3542,198.198,195.1073,196.2651,1094800
2025-02-24,197.0108,200.1211,195.7745,198.983,453900
2025-02-25,200.6411,203.2707,198.2078,202.9077,593400
2025-02-26,202.2895,204.458,202.1522,202.3975,477700
2025-02-27,203.5749,207.637,202.0835,207.0679,561700
2025-02-28,207.8626,209.4227,200.7491,203.9771,860000
2025-03-03,204.7033,208.6868,203.4571,205.969,621400
2025-03-04,204.6248,205.3606,201.8284,202.2601,666600
2025-03-05,201.7008,204.0066,200.0524,200.7295,498600
2025-03-06,199.7581,200.4744,196.9912,197.4818,437000
2025-03-07,197.5308,202.319,197.2757,200.7295,489400
2025-03-10,199.6404,203.2511,199.6404,201.4359,442700
2025-03-11,201.4653,202.054,197.835,200.2192,448000
2025-03-12,200.7981,201.3574,195.5488,197.7859,431100
2025-03-13,198.875,200.7393,198.0901,200.1996,434300
2025-03-14,201.5242,207.7547,200.8276,207.2249,428000
2025-03-17,206.4301,211.3556,205.8218,210.6492,354600
2025-03-18,210.1193,213.7889,207.7056,208.5985,349400
2025-03-19,208.834,210.4333,207.8724,209.6778,323600
2025-03-20,208.8831,211.7873,207.8136,208.0589,364800
2025-03-21,206.1554,208.0098,202.0344,202.9469,1361800
2025-03-24,204.4089,206.1652,200.8374,205.498,358900
2025-03-25,205.5863,207.637,204.3402,206.8618,305400
2025-03-26,208.6083,210.2665,207.0483,208.314,251000
2025-03-27,209.9231,209.9231,206.4203,207.5388,336400
2025-03-28,208.1962,208.1962,200.5823,202.4269,384900
2025-03-31,202.2895,207.7253,202.2699,205.8022,530400
2025-04-01,206.2829,208.0883,204.3892,207.5781,328300
2025-04-02,205.2233,207.3524,204.8798,206.803,301800
2025-04-03,200.8276,203.8006,198.8554,199.5913,577400
2025-04-04,195.0681,196.5987,183.4215,183.4902,867100
2025-04-07,179.487,184.2555,171.6768,177.9956,775700
2025-04-08,184.9227,187.2481,174.0807,176.3472,727200
2025-04-09,173.698,190.9471,173.3055,189.6029,932300
2025-04-10,188.6217,190.6135,184.4321,186.7379,551600
2025-04-11,184.6577,186.4239,179.9481,185.9921,493000
2025-04-14,188.867,192.8114,186.7869,191.3102,516000
2025-04-15,191.526,194.0574,189.5735,190.1524,329600
2025-04-16,191.5064,191.5358,185.3446,186.7379,435200
2025-04-17,187.9938,188.1115,185.0502,185.4133,432700
2025-04-21,184.9129,184.9129,178.3291,180.4092,381300
2025-04-22,183.4705,186.0805,182.823,185.3838,460900
2025-04-23,187.5522,190.4663,186.1099,187.4738,351900
2025-04-24,186.7477,189.9757,185.8941,189.5538,277200
2025-04-25,188.1115,188.396,185.8057,187.2383,305000
2025-04-28,188.1213,189.3969,186.3748,188.6708,347300
2025-04-29,189.2301,190.8392,186.365,190.4958,291400
2025-04-30,188.8474,189.5735,185.0797,189.1123,498400
2025-05-01,187.5228,189.2595,186.3944,188.0232,281700
2025-05-02,189.9757,194.0378,188.7297,193.3118,307100
2025-05-05,191.683,193.0861,188.8376,192.7819,316000
2025-05-06,191.8792,195.1367,191.2611,194.0967,650600
2025-05-07,199.2381,201.8971,192.2913,193.351,751300
2025-05-08,194.0672,194.862,189.1123,191.2022,580200
2025-05-09,191.2022,192.046,189.9856,192.0264,329300
2025-05-12,195.1662,198.5218,191.8007,198.2667,475300
2025-05-13,199.2577,200.6608,197.7172,198.6395,527400
2025-05-14,198.2471,198.2863,192.3404,192.5955,634800
2025-05-15,193.0959,195.7941,192.311,195.7254,434800
2025-05-16,195.2643,198.9928,194.6658,198.5218,1065400
2025-05-19,197.7957,200.4547,196.2455,199.6109,429600
2025-05-20,199.2969,199.6698,196.0983,196.8734,499400
2025-05-21,195.6568,195.6568,188.4647,189.0044,822100
2025-05-22,189.1614,190.5056,186.9047,189.387,465200
2025-05-23,187.6504,193.037,186.5907,192.8212,625300
2025-05-27,192.8212,197.7957,191.4181,197.2168,721200
2025-05-28,196.3436,197.4131,193.6748,194.2144,892600
2025-05-29,194.9797,196.1964,193.5865,196.1964,903400
2025-05-30,195.1564,200.4057,194.1654,199.1596,5103900
2025-06-02,197.1187,200.4253,195.8922,200.386,547200
2025-06-03,200.3272,202.8488,197.0402,201.9461,658200
2025-06-04,201.9265,202.6035,200.131,200.131,592400
2025-06-05,199.8464,202.4367,197.0304,197.6191,506500
2025-06-06,199.6109,200.4645,198.4531,199.6404,390300
2025-06-09,199.9654,200.2215,193.3459,195.71,355900
2025-06-10,195.779,195.8381,192.1244,193.0011,320700
2025-06-11,193.2966,194.8136,192.2623,193.602,353000
2025-06-12,192.8829,196.301,192.2032,196.2222,334200
2025-06-13,194.1536,196.9807,192.9124,195.2076,461200
2025-06-16,196.567,199.2168,196.5079,197.0201,352600
2025-06-17,196.0942,196.4291,194.0649,195.3061,303400
2025-06-18,195.7001,195.9562,192.4298,192.4396,711600
2025-06-20,193.2474,195.7691,192.3707,193.2178,598300
2025-06-23,193.5133,196.7443,191.7796,196.695,390400
2025-06-24,197.1876,197.1876,194.4787,195.0599,290000
2025-06-25,194.7742,195.0402,191.4841,191.691,324800
2025-06-26,192.3805,193.8679,191.0408,193.2769,360100
2025-06-27,193.1292,195.3455,191.7402,193.8975,484400
2025-06-30,194.0551,195.1387,193.1883,194.5378,419300
2025-07-01,194.1733,197.1186,193.6414,194.7052,417600
2025-07-02,194.4491,195.976,187.7902,188.9131,553200
2025-07-03,190.4006,191.2083,189.583,190.5779,264300
2025-07-07,189.711,192.5775,187.3371,188.6767,462600
2025-07-08,187.672,189.8391,186.6574,187.4159,397600
2025-07-09,187.869,188.3221,186.5096,187.6523,295100
2025-07-10,186.3422,187.672,185.4556,187.0908,248200
2025-07-11,186.1254,186.4998,184.3622,184.7562,256900
2025-07-14,184.6971,188.3615,184.6971,188.2138,377500
2025-07-15,186.8347,188.5585,182.5005,182.5694,327200
2025-07-16,182.8945,184.2539,181.21,182.9634,493200
2025-07-17,182.4413,185.8398,182.1458,185.2684,440200
2025-07-18,186.1944,187.1795,185.0813,185.2586,366000
2025-07-21,184.9532,186.6475,183.0718,183.3181,442400
2025-07-22,184.0864,185.8004,182.7861,185.4064,215800
2025-07-23,185.8299,186.2929,182.993,184.8055,425800
2025-07-24,184.1553,184.313,181.8996,181.9488,335100
2025-07-25,182.7172,184.7365,182.7172,183.4954,271700
2025-07-28,182.8847,183.4166,181.5745,182.0868,315000
2025-07-29,183.2195,183.781,181.9488,182.4118,350700
2025-07-30,182.4709,183.0816,180.6486,181.8011,301000
2025-07-31,181.3972,186.3421,181.3972,184.5001,573400
2025-08-01,183.6431,184.7267,182.2739,183.6924,421700
2025-08-04,184.9532,186.2338,184.1849,186.0565,348300
2025-08-05,186.5195,187.1598,185.1897,186.0072,432600
2025-08-06,192.6465,208.5354,192.6465,206.9002,1072700
2025-08-07,206.3978,206.3978,197.621,198.7932,591800
2025-08-08,200.4186,203.4131,198.941,200.2314,402900
2025-08-11,200.9406,202.694,200.123,202.6349,429100
2025-08-12,205.0581,206.4175,203.7184,206.2894,404200
2025-08-13,206.2106,211.0571,205.4719,210.3971,472900
2025-08-14,210.072,210.4956,206.6342,209.747,537400
2025-08-15,211.7762,211.7762,209.1165,209.3234,578300
2025-08-18,208.5846,208.5846,205.9742,206.0136,471000
2025-08-19,205.8757,210.6237,205.0089,210.5449,372200
2025-08-20,211.5792,212.5642,210.5646,212.1801,436600
2025-08-21,211.1753,213.2932,210.929,211.589,305300
2025-08-22,212.3278,214.3472,211.3231,212.6923,393000
2025-08-25,211.5004,212.1801,210.4562,210.7222,260900
2025-08-26,209.944,211.658,209.9341,211.0374,438100
2025-08-27,210.998,213.3424,209.7864,212.909,382700
2025-08-28,213.1947,215.48,211.7171,215.4209,631000
2025-08-29,216.3567,217.2432,211.9239,212.3869,625400
2025-09-02,211.6948,212.5056,210.192,212.1496,508700
2025-09-03,209.9349,212.8318,209.9349,212.466,358400
2025-09-04,214.1369,214.8983,212.9109,214.0677,351700
2025-09-05,213.9293,215.0565,208.2541,208.788,417200
2025-09-08,208.3925,209.925,205.1989,209.3614,370400
2025-09-09,209.1538,209.9546,208.521,208.7188,269600
2025-09-10,207.5521,208.8868,206.1778,207.0379,205100
2025-09-11,207.6411,211.062,206.8204,210.9038,256200
2025-09-12,209.7174,211.5564,209.7174,210.6072,246500
2025-09-15,211.329,211.7838,205.8712,206.1382,273700
2025-09-16,206.2569,206.2667,202.6975,203.1226,331700
2025-09-17,203.2413,208.9659,202.9743,207.1368,439500
2025-09-18,205.9009,208.7385,205.7229,206.7117,352000
2025-09-19,206.7216,207.8586,205.4758,207.2357,561700
2025-09-22,206.8896,209.3516,205.2681,208.8078,382800
2025-09-23,208.4221,211.2103,208.1354,210.103,371500
2025-09-24,209.6086,212.8318,209.6086,212.7626,441300
2025-09-25,212.9604,214.1271,209.7075,213.5635,480400
2025-09-26,215.0564,216.233,212.8417,213.1878,362800
2025-09-29,213.2372,213.4152,210.805,212.031,224000
2025-09-30,211.7739,214.572,211.7739,214.1567,254700
2025-10-01,212.7132,216.5494,212.7132,215.0268,360700
2025-10-02,213.8996,216.9449,213.3361,215.8969,244800
2025-10-03,215.5409,219.2783,215.0762,217.5184,260800
2025-10-06,218.1215,219.4464,217.1526,219.1893,261300
2025-10-07,219.1992,221.1272,213.7316,213.8502,365100
2025-10-08,215.3135,217.2316,214.1666,216.7867,226500
2025-10-09,217.5184,217.5184,214.0677,215.9858,198200
2025-10-10,217.6073,218.4379,214.8983,214.918,298900
2025-10-13,215.3531,216.8757,212.99,214.9675,262100
2025-10-14,215.1553,220.5834,215.096,219.3079,206400
2025-10-15,218.4181,218.4181,211.7442,212.4265,355100
2025-10-16,210.2019,211.1411,205.0902,205.3571,319300
2025-10-17,205.5944,207.3049,204.665,206.7512,277600
2025-10-20,207.2456,207.5323,205.5054,206.7908,279800
2025-10-21,206.8006,209.5295,206.2865,208.4617,172400
2025-10-22,208.2837,209.9052,206.6721,207.7992,269400
2025-10-23,209.3515,209.9547,206.7907,209.1933,252000
2025-10-24,209.8657,210.7456,209.3614,209.4702,196300
2025-10-27,209.6383,210.9632,207.6213,209.7965,246600
2025-10-28,209.1142,209.3021,205.4164,205.545,213800
2025-10-29,204.5266,206.9292,203.7059,205.7625,277600
2025-10-30,206.6523,210.6369,206.2568,210.0337,319100
2025-10-31,208.61,210.9928,207.2851,209.3318,728900
2025-11-03,208.4716,210.1623,205.4362,209.7174,297400
2025-11-04,210.5875,212.8318,209.5592,212.1793,369100
2025-11-05,218.1413,222.462,215.4124,215.8474,433500
2025-11-06,215.8771,217.7161,213.8304,214.3643,305600
2025-11-07,215.8276,223.2826,213.7118,221.7896,452000
2025-11-10,220.6922,225.5567,218.4576,223.5594,308000
2025-11-11,224.6371,225.5863,221.7501,222.9761,217600
2025-11-12,222.4323,225.7841,222.4323,223.9253,261300
2025-11-13,224.2021,226.0609,223.7868,224.4888,228400
2025-11-14,225.7346,229.4028,224.7756,226.0115,368000
2025-11-17,225.5962,226.3674,221.3151,222.2939,261800
2025-11-18,222.2346,224.7163,221.7897,223.4013,213800
2025-11-19,222.7882,223.7671,220.702,222.0862,185000
2025-11-20,225.6753,227.4055,221.76,223.5001,260100
2025-11-21,224.3306,227.3166,223.6979,224.2614,293800
2025-11-24,224.0933,224.3801,222.1555,223.4705,291600
2025-11-25,225.4578,227.1386,223.4507,225.5962,260600
