Date,Open,High,Low,Close,Volume
2024-09-03,436.4667,437.4319,428.901,430.8899,387700
2024-09-04,431.8746,435.2187,428.7645,431.8161,311700
2024-09-05,433.3273,435.3942,424.8745,428.5403,537500
2024-09-06,427.8675,431.0849,416.2071,419.3952,561900
2024-09-09,423.4803,427.7798,419.678,425.4205,477100
2024-09-10,426.8341,427.3704,418.0986,423.1878,347800
2024-09-11,421.9789,425.3327,411.9758,424.8549,317500
2024-09-12,425.1767,425.4789,420.7796,424.4747,255900
2024-09-13,426.9024,430.9094,426.8244,429.3593,321400
2024-09-16,432.0306,435.0335,429.9637,433.9903,260200
2024-09-17,434.9555,442.6283,434.9555,440.9027,286700
2024-09-18,441.0392,446.7524,437.9486,440.0252,371500
2024-09-19,444.8219,452.8361,440.6784,452.1243,423800
2024-09-20,452.4461,454.1523,447.1228,449.0728,1061000
2024-09-23,451.4127,453.4698,448.4391,450.4962,515000
2024-09-24,451.3639,452.9238,448.985,451.7734,262800
2024-09-25,453.1383,455.3027,449.9405,451.4906,350200
2024-09-26,451.3249,457.6329,449.9892,455.8,608500
2024-09-27,455.8682,459.7583,455.0883,456.8822,603800
2024-09-30,456.4727,458.5201,451.4907,458.0424,446100
2024-10-01,457.4574,464.2528,454.3278,461.2889,565700
2024-10-02,463.0731,470.1513,462.6149,468.3086,485300
2024-10-03,468.2306,469.5272,462.7708,467.5286,441500
2024-10-04,472.9981,477.9606,471.1944,474.7432,451900
2024-10-07,473.8951,477.0929,467.8114,468.5133,354000
2024-10-08,469.1763,472.7057,468.3476,471.6234,302400
2024-10-09,471.6137,481.8604,471.6137,480.8854,331700
2024-10-10,481.4314,482.8451,477.5804,479.0623,255800
2024-10-11,480.827,490.3717,480.827,489.9135,369600
2024-10-14,490.9275,492.1754,486.3647,491.7172,252200
2024-10-15,496.6504,504.8497,496.6504,498.4248,489000
2024-10-16,497.9081,505.074,497.9081,504.606,468500
2024-10-17,507.3163,510.4849,505.035,508.3498,384500
2024-10-18,510.0171,511.7427,506.361,510.056,480100
2024-10-21,509.6661,510.758,506.595,509.5491,360400
2024-10-22,506.9752,508.6618,504.0016,506.5462,338600
2024-10-23,505.4153,510.3095,504.6256,507.4334,387800
2024-10-24,488.0027,494.0376,474.9285,491.5807,726500
2024-10-25,494.2521,494.3885,488.0514,491.8439,430000
2024-10-28,496.9527,502.2467,495.617,500.5406,347800
2024-10-29,500.9499,505.1812,500.0432,503.3776,365600
2024-10-30,503.1631,507.9989,500.9012,501.1644,380900
2024-10-31,503.2313,505.8345,497.4109,497.5181,396900
2024-11-01,498.2006,502.5392,493.1406,494.4763,550300
2024-11-04,494.0363,497.6346,490.0762,495.3466,369300
2024-11-05,493.0389,502.9637,493.0389,502.5432,311900
2024-11-06,541.499,556.8309,533.0996,554.8362,798300
2024-11-07,550.3775,553.8194,534.9575,535.4562,469100
2024-11-08,536.4535,542.0075,535.4562,539.739,384100
2024-11-11,548.5196,554.142,545.9089,551.4824,332600
2024-11-12,549.517,549.957,544.227,548.8521,519000
2024-11-13,550.1818,552.7242,547.2778,547.4636,501700
2024-11-14,549.0379,552.382,547.6006,549.077,526700
2024-11-15,549.732,554.885,546.8573,549.9569,730100
2024-11-18,549.253,555.5306,548.4219,552.4993,533800
2024-11-19,546.5934,551.7855,544.491,550.0743,338500
2024-11-20,550.8077,553.6042,544.9213,548.9401,311800
2024-11-21,553.9171,560.7129,550.6219,557.5546,412000
2024-11-22,559.6275,562.6,558.3759,559.3733,514000
2024-11-25,561.2604,564.1938,555.5305,557.5546,1144900
2024-11-26,557.6229,561.7883,552.9881,561.2701,377500
2024-11-27,562.2187,563.6756,558.4248,559.2168,245500
2024-11-29,562.0525,564.0277,560.7325,561.2311,214000
2024-12-02,562.5023,562.5023,551.3651,552.822,558700
2024-12-03,555.4425,555.9901,551.6975,553.1642,484800
2024-12-04,552.4309,554.3278,546.4858,548.9597,543500
2024-12-05,551.5509,556.4595,548.5784,552.6656,457900
2024-12-06,551.4726,556.8994,547.62,549.0867,331700
2024-12-09,550.9348,550.9348,537.9887,541.5381,597400
2024-12-10,541.5186,542.516,533.0997,534.2144,493500
2024-12-11,537.8029,539.6118,533.1094,538.5753,472100
2024-12-12,540.6385,543.7577,535.2117,535.6713,508000
2024-12-13,540.4431,540.4431,534.7229,537.5585,401800
2024-12-16,537.842,540.3354,535.2117,538.0278,426400
2024-12-17,533.5397,534.3513,526.5875,529.8338,554600
2024-12-18,530.5573,534.5859,510.1897,512.3017,735900
2024-12-19,517.5624,522.2754,512.2138,514.0912,493400
2024-12-20,509.6811,523.6735,509.4856,520.3099,1498700
2024-12-23,518.0316,522.5491,516.7312,522.3731,427100
2024-12-24,524.9643,527.9076,521.1118,526.8222,145100
2024-12-26,524.8274,530.968,524.8274,530.352,213700
2024-12-27,528.4452,531.7502,522.3437,524.0549,308300
2024-12-30,517.0537,521.5712,513.2305,518.7649,321000
2024-12-31,520.5055,522.5198,518.5695,520.613,269200
2025-01-02,523.6149,524.6318,514.4822,518.1979,511400
2025-01-03,520.9162,524.2505,515.0885,523.9474,275000
2025-01-06,523.8398,527.6337,518.3837,519.029,359600
2025-01-07,521.3367,522.9989,510.2875,517.093,372800
2025-01-08,517.7284,523.1259,516.0173,523.0575,568400
2025-01-10,516.5943,516.7605,502.9833,504.0392,437000
2025-01-13,500.6463,507.0803,496.696,506.1025,432800
2025-01-14,507.1975,515.2351,507.0313,514.9808,329800
2025-01-15,526.03,529.9022,523.654,525.326,549800
2025-01-16,526.0594,535.2214,522.9989,534.3023,461900
2025-01-17,537.3531,540.0812,532.0925,539.9345,942200
2025-01-21,542.3106,548.0698,542.3106,546.3391,469400
2025-01-22,546.3391,550.5926,543.8653,549.0672,511900
2025-01-23,547.8352,554.3376,547.8352,550.9055,296000
2025-01-24,547.8644,555.4033,546.9355,551.0717,367700
2025-01-27,546.5445,551.2281,540.9221,548.9205,380900
2025-01-28,550.0451,562.8445,547.8156,559.1484,529300
2025-01-29,556.8016,565.064,553.5943,562.3653,797900
2025-01-30,568.5059,569.1317,521.0042,535.681,1173800
2025-01-31,533.0702,534.9965,525.7856,531.3004,797700
2025-02-03,521.6594,526.5386,512.3214,525.199,570300
2025-02-04,525.1208,526.5484,519.2148,523.5172,573700
2025-02-05,525.3945,527.1057,520.2024,526.343,372000
2025-02-06,530.4987,531.8774,526.2257,529.6285,387000
2025-02-07,530.4302,535.9158,525.7466,526.6461,529800
2025-02-10,528.4012,529.3033,512.2328,518.861,613700
2025-02-11,517.2235,520.6258,511.3209,518.4883,480000
2025-02-12,515.3214,517.91,511.017,516.5862,665100
2025-02-13,519.214,531.6762,516.5372,529.2151,914800
2025-02-14,528.6562,537.2944,528.0091,535.2844,1097300
2025-02-18,535.8726,541.6576,531.9016,536.3923,618300
2025-02-19,533.0292,539.3044,528.2738,538.7259,447300
2025-02-20,537.0296,538.2159,525.2047,530.4602,356800
2025-02-21,531.6859,532.9507,516.9686,520.1356,690200
2025-02-24,523.9792,526.8814,517.5961,520.6749,339900
2025-02-25,522.1652,524.5871,506.3302,511.821,507100
2025-02-26,515.9783,519.7826,514.3409,515.0272,367600
2025-02-27,519.4983,525.9794,515.0076,515.8116,334900
2025-02-28,516.9588,527.46,516.9588,526.8226,517200
2025-03-03,530.4603,535.7158,516.9588,521.5475,443600
2025-03-04,516.3312,516.3312,484.1611,488.4557,853500
2025-03-05,489.4754,500.2413,485.0729,499.1627,766900
2025-03-06,490.3578,499.0647,485.3573,493.1425,623600
2025-03-07,488.4164,490.8775,477.5035,489.6028,450000
2025-03-10,477.6211,481.7686,466.0218,471.0027,568200
2025-03-11,471.3361,475.1307,466.1983,468.728,688000
2025-03-12,475.5229,478.1114,465.3943,471.091,564900
2025-03-13,473.052,474.9542,461.5899,463.0803,396900
2025-03-14,468.6594,478.8272,466.6984,476.3563,565000
2025-03-17,476.7681,485.5043,476.7681,483.1021,573600
2025-03-18,483.1904,483.2982,476.8073,479.3958,513100
2025-03-19,479.3959,492.4561,475.5621,489.2989,369100
2025-03-20,482.8472,487.4948,480.0822,483.4649,436200
2025-03-21,479.6018,485.1416,473.7285,483.0335,1409500
2025-03-24,490.8285,499.7118,486.1319,498.2411,448300
2025-03-25,499.1529,502.9768,497.9469,500.6139,433400
2025-03-26,502.7122,507.6244,494.9172,495.2603,348200
2025-03-27,492.2698,492.2698,484.1513,489.1126,337800
2025-03-28,486.2397,488.3674,468.3358,472.8167,460900
2025-03-31,465.8257,478.1114,459.629,474.6698,635600
2025-04-01,474.1894,480.6214,470.0909,479.1507,502500
2025-04-02,473.6795,486.6515,473.6795,484.7199,461000
2025-04-03,460.6193,462.8646,446.2942,446.9217,535200
2025-04-04,431.0474,431.0474,407.486,413.9573,828100
2025-04-07,402.9659,432.5868,388.4153,419.605,1146300
2025-04-08,431.7239,441.7152,411.4766,417.7126,661900
