Date,Open,High,Low,Close,Volume
2024-09-04,215.7775,220.1597,214.6867,216.7938,2261800
2024-09-05,218.5373,219.507,216.4302,217.8381,1990800
2024-09-06,218.1737,220.4487,216.8032,220.1877,2750000
2024-09-09,219.479,223.0407,219.1434,222.3974,1984000
2024-09-10,223.1619,227.0871,222.9754,226.4065,2016800
2024-09-11,223.9637,224.8495,220.7844,222.8076,2216500
2024-09-12,222.8356,223.3017,218.1178,221.1013,2003800
2024-09-13,221.6887,222.6304,219.4417,222.3694,1983400
2024-09-16,222.761,225.6047,222.761,224.0663,2255500
2024-09-17,223.9357,225.1292,222.9847,223.2551,1526000
2024-09-18,222.705,224.029,219.4417,219.9918,1828100
2024-09-19,218.1737,218.6958,212.2998,216.598,3434300
2024-09-20,215.992,219.4231,215.1342,219.162,3683000
2024-09-23,220.0664,220.8683,217.4185,220.2902,1762000
2024-09-24,218.3975,220.9895,217.9313,220.4767,1616100
2024-09-25,220.5792,222.2202,219.2553,219.6935,1447200
2024-09-26,217.3532,218.1924,214.6867,216.0946,2312500
2024-09-27,217.3439,217.7075,214.3697,214.7426,3051000
2024-09-30,214.5655,217.0362,213.2788,216.8311,2256400
2024-10-01,217.6982,218.6119,215.4699,216.3743,2279900
2024-10-02,215.3673,217.288,213.9967,216.1971,2229500
2024-10-03,215.936,216.0386,212.3091,213.7729,1590900
2024-10-04,210.5936,210.7148,206.5285,208.5331,1942500
2024-10-07,207.2464,208.4212,206.4073,208.2627,1658000
2024-10-08,208.4119,210.3605,208.0949,209.1111,1630900
2024-10-09,208.4913,209.1393,206.0589,207.3455,1574000
2024-10-10,206.2185,208.0405,203.3353,204.6408,1924300
2024-10-11,205.7302,206.3124,204.3496,205.9274,1613900
2024-10-14,204.4624,208.4819,203.8049,208.2096,1501800
2024-10-15,210.3696,215.7509,209.7779,215.4692,2310100
2024-10-16,214.3704,216.9906,213.0086,213.6754,1518100
2024-10-17,212.4357,213.6754,209.7028,210.5199,2021700
2024-10-18,212.1258,213.2434,210.548,212.5296,1441900
2024-10-21,211.3932,214.1262,206.8759,207.9935,1295700
2024-10-22,206.2373,208.9421,205.9086,207.9842,1971500
2024-10-23,208.0217,212.9617,208.0217,212.5015,2712800
2024-10-24,212.2479,214.8775,212.0601,212.1821,1618300
2024-10-25,211.9286,214.0417,208.388,209.2426,2054200
2024-10-28,211.6186,211.9098,208.341,208.6979,1935000
2024-10-29,202.0675,206.613,198.6772,199.9544,3591100
2024-10-30,200.593,203.8895,199.5036,200.4897,2437800
2024-10-31,198.4236,203.1287,196.9397,200.5461,1961500
2024-11-01,204.5093,205.5987,198.0855,198.4048,1989000
2024-11-04,200.0859,201.3913,196.9022,199.2031,2333800
2024-11-05,198.0949,200.9218,196.7519,200.8372,1302400
2024-11-06,188.5813,190.7883,182.5896,185.454,8133500
2024-11-07,187.3228,188.694,184.1109,185.8296,4924500
2024-11-08,187.0787,190.8541,186.1114,189.5205,3981600
2024-11-11,187.5577,189.8586,183.9325,184.1485,2699000
2024-11-12,183.2376,184.064,180.0726,181.9321,2953300
2024-11-13,184.2612,185.7545,183.153,183.2845,2354800
2024-11-14,183.0497,184.8341,181.7255,182.9182,2282800
2024-11-15,183.1342,184.7589,181.9603,184.496,2587300
2024-11-18,182.8055,186.9942,182.3172,186.7406,2374200
2024-11-19,187.1256,189.4923,186.1677,188.91,2514400
2024-11-20,187.83,189.2857,186.8157,188.6564,2243400
2024-11-21,188.1305,191.1264,186.6185,190.469,1961700
2024-11-22,190.7414,192.7042,190.4596,191.8777,2016000
2024-11-25,192.9671,195.3808,192.244,194.9206,3605900
2024-11-26,194.0002,196.1227,192.8732,195.3432,1791400
2024-11-27,195.3432,196.9116,195.1835,196.5641,1669400
2024-11-29,196.5641,197.0055,194.9018,196.2823,1610200
2024-12-02,194.9112,195.8221,193.1925,194.714,2374800
2024-12-03,195.747,196.6298,193.9626,195.1459,2551200
2024-12-04,193.9627,195.2869,192.2252,194.8736,2529200
2024-12-05,192.8075,196.5735,192.8075,196.4326,2291100
2024-12-06,196.827,197.8413,192.5445,194.4979,2677900
2024-12-09,194.1129,197.2685,193.5588,196.3199,2854200
2024-12-10,194.7233,195.3807,186.703,187.3886,2653300
2024-12-11,187.3792,188.3841,186.0268,187.4449,2356800
2024-12-12,187.4168,188.3841,185.3694,185.8108,1922600
2024-12-13,185.1816,186.4964,184.1861,185.1628,1995500
2024-12-16,184.5524,186.6467,181.7913,181.9415,2218800
2024-12-17,179.5655,184.7778,178.8236,181.5001,2637400
2024-12-18,180.1008,181.162,173.3107,173.6019,4186100
2024-12-19,172.2777,173.2732,168.1454,168.4835,4709800
2024-12-20,171.0004,175.1609,170.7656,172.55,5750200
2024-12-23,171.5264,173.3765,170.0237,173.1605,2594100
2024-12-24,171.5075,173.5079,171.4324,173.4704,788400
2024-12-26,173.1792,173.1792,171.4794,172.7848,1464600
2024-12-27,172.4437,174.6514,171.9794,172.3205,1640900
2024-12-30,172.3205,172.6616,170.4066,172.3679,1887000
2024-12-31,173.3438,174.3861,171.6762,173.7797,2115500
2025-01-02,174.424,174.9925,171.0888,171.5246,3142800
2025-01-03,171.7331,174.0829,170.6529,172.9743,1817300
2025-01-06,172.0363,173.846,170.4255,170.7951,2262400
2025-01-07,170.6719,171.4583,167.6115,167.8673,2096000
2025-01-08,167.2799,169.9044,165.6028,169.7812,2048300
2025-01-10,164.4469,167.2515,163.452,164.3521,3539200
2025-01-13,165.4891,167.8957,164.6553,167.6494,2409800
2025-01-14,167.5925,170.833,167.0051,169.4117,2124300
2025-01-15,174.3861,175.5704,170.615,170.8519,2230700
2025-01-16,171.4962,180.5258,170.9372,180.09,3544800
2025-01-17,180.7438,181.6818,179.4836,180.3932,2882500
2025-01-21,181.2649,183.5957,179.3888,179.9573,2460800
2025-01-22,178.5645,179.0477,174.007,175.5609,2753700
2025-01-23,176.0347,176.8211,173.7323,176.6032,1684000
2025-01-24,176.2337,177.1338,175.182,175.362,1218200
2025-01-27,180.0236,182.724,178.1002,181.9565,2862400
2025-01-28,180.2321,181.2649,176.3948,177.1149,1997200
2025-01-29,177.0296,177.9297,173.5049,173.9881,1735100
2025-01-30,176.4516,177.4749,174.3861,176.0631,1457000
