Date,Open,High,Low,Close,Volume
2024-08-07,320.7466,326.6211,320.4505,321.8623,873300
2024-08-08,320.4208,324.0936,320.4208,322.7903,1022800
2024-08-09,322.8496,326.5224,321.9907,325.2587,1460200
2024-08-12,325.2587,325.3376,322.0104,324.686,806700
2024-08-13,325.6239,326.394,322.1881,323.442,675300
2024-08-14,323.442,326.9963,322.1881,326.7988,654700
2024-08-15,327.411,329.5633,325.6042,327.253,1430200
2024-08-16,327.3518,330.4322,325.8116,327.8355,620600
2024-08-19,328.0034,330.5013,327.9343,330.136,909600
2024-08-20,330.7481,333.0781,330.1162,332.4561,944400
2024-08-21,332.7227,334.3616,330.7678,333.7791,575200
2024-08-22,333.8778,335.5858,333.0682,335.3292,476500
2024-08-23,335.6846,336.4744,329.504,332.545,449400
2024-08-26,333.5816,335.5266,331.9328,333.4434,395700
2024-08-27,334.1345,336.6028,332.9103,335.9413,542600
2024-08-28,335.3391,338.2615,335.0133,335.2403,1064800
2024-08-29,335.6846,341.174,334.4998,339.1007,943700
2024-08-30,339.3969,341.0457,335.6056,339.3574,1017700
2024-09-03,340.3546,345.3997,340.1374,341.9046,923100
2024-09-04,342.9018,345.4293,342.0231,344.1261,866000
2024-09-05,345.3898,345.3898,340.71,344.3729,663600
2024-09-06,344.9555,345.8341,342.1021,343.6127,954800
2024-09-09,344.5507,346.5647,342.8722,346.0415,723600
2024-09-10,346.5055,348.0161,344.4322,346.6042,656100
2024-09-11,346.4265,346.4265,334.9836,340.4236,1069700
2024-09-12,340.1275,344.8073,339.2586,343.8398,742200
2024-09-13,343.5831,345.2813,341.3518,343.435,478300
2024-09-16,345.5577,349.0528,345.2121,346.2389,524600
2024-09-17,346.1007,346.1007,342.0429,344.7679,518500
2024-09-18,345.3504,346.5647,342.9216,344.8764,569800
2024-09-19,345.2319,345.5577,339.624,342.5662,1154200
2024-09-20,342.6451,345.1529,340.5027,342.6254,1581600
2024-09-23,343.583,346.7326,342.0132,344.0964,852800
2024-09-24,342.112,343.5929,340.4533,343.0203,679100
2024-09-25,344.4717,344.7679,341.8553,342.5168,828000
2024-09-26,341.875,345.222,340.6804,342.734,471500
2024-09-27,342.112,345.4293,341.7269,343.2572,526500
2024-09-30,343.2573,343.2573,339.545,341.5986,1123200
2024-10-01,344.4519,346.9597,341.0457,344.0768,1038800
2024-10-02,343.4843,345.3405,341.3517,344.2939,673600
2024-10-03,345.5478,345.5478,341.8454,343.0894,745400
2024-10-04,342.9413,344.3828,341.6381,343.6522,568000
2024-10-07,342.7439,342.7439,337.5803,339.545,946100
2024-10-08,341.7072,350.6423,339.2488,349.4773,1236500
2024-10-09,348.7171,355.5887,348.1543,354.4731,1072700
2024-10-10,355.3123,356.3687,346.7918,349.1909,898200
2024-10-11,349.9512,352.38,348.7269,350.6423,584700
2024-10-14,351.3137,354.868,349.892,354.0287,725500
2024-10-15,354.2361,358.5112,351.8863,353.3476,1175800
2024-10-16,351.6198,355.1642,351.1557,353.8412,920700
2024-10-17,356.497,358.8468,353.1402,354.1966,756500
2024-10-18,355.3222,355.3222,351.9357,353.387,1529000
2024-10-21,352.2417,354.8088,351.5408,352.8934,776300
2024-10-22,351.5506,352.6367,347.6606,351.6198,1154700
2024-10-23,350.9089,355.648,350.9089,353.7425,777500
2024-10-24,353.4858,355.4308,351.7777,352.3207,1119500
2024-10-25,377.428,384.2701,370.0726,370.6748,2302000
2024-10-28,374.7326,375.8779,365.7876,366.9921,1020000
2024-10-29,366.2911,369.7862,365.837,366.2418,700600
2024-10-30,366.2418,368.4139,363.4477,364.7806,874800
2024-10-31,364.7806,367.5056,361.868,362.2136,1032200
2024-11-01,361.7042,364.5331,359.9534,360.4579,734500
2024-11-04,362.357,362.357,358.2125,361.6646,1137600
2024-11-05,360.2106,365.0078,359.627,364.6913,608800
2024-11-06,382.3076,384.5035,370.9327,377.1345,1677200
2024-11-07,377.1345,377.9061,374.4243,375.7399,1080900
2024-11-08,376.9466,382.7528,374.9189,379.6074,776800
2024-11-11,379.9634,384.2464,378.5984,379.2117,1055500
2024-11-12,380.8834,382.6638,378.1138,379.4887,1791100
2024-11-13,377.8764,383.7123,377.7973,382.7133,908700
2024-11-14,379.6865,380.4481,371.9911,372.2383,1372400
2024-11-15,372.4856,377.5895,372.4856,375.1662,1790400
2024-11-18,372.9011,376.8576,372.179,376.373,972000
2024-11-19,374.5134,377.1642,372.8912,375.0277,748400
2024-11-20,377.6984,377.6984,371.3976,375.9476,782000
2024-11-21,377.5401,379.2216,373.8606,378.46,758800
2024-11-22,379.1128,383.1583,379.0732,382.011,755600
2024-11-25,382.2582,386.4818,381.9417,385.4828,1910000
2024-11-26,385.7597,387.9952,379.2018,386.007,974600
2024-11-27,386.4224,391.0317,384.8695,389.0337,620300
2024-11-29,387.7281,390.2998,386.4027,387.283,463000
2024-12-02,387.738,388.0348,381.6648,383.4947,856800
2024-12-03,384.6618,385.6905,379.3106,381.368,2140800
2024-12-04,380.1019,381.9912,377.3719,377.8467,1190500
2024-12-05,378.3512,378.3809,374.365,375.6014,851300
2024-12-06,374.6024,377.6687,373.1484,373.8902,967100
2024-12-09,370.7745,372.367,362.9999,363.9001,2650500
2024-12-10,363.1681,363.1681,354.167,357.3619,1113800
2024-12-11,358.3807,359.1027,355.0572,358.6873,870000
2024-12-12,360.6853,361.6943,358.4104,358.7763,967500
2024-12-13,358.0642,358.717,354.4143,357.263,1082900
2024-12-16,358.5587,360.6755,356.264,357.8169,783900
2024-12-17,356.0562,356.5409,352.2778,354.9781,1072600
2024-12-18,354.9781,355.4826,348.529,348.7466,959800
2024-12-19,349.4489,352.4657,349.1423,349.9039,811200
2024-12-20,350.7941,359.1423,349.3005,354.5725,2109400
2024-12-23,352.3668,355.1265,350.8435,354.3846,674300
2024-12-24,355.3836,357.6982,352.8119,357.6784,282600
