Date,Open,High,Low,Close,Volume
2024-08-26,262.0815,265.7787,262.0815,264.9423,1058500
2024-08-27,265.0278,265.9402,261.2831,264.1344,1595300
2024-08-28,264.3625,265.8642,261.7489,263.07,670200
2024-08-29,263.8113,265.5886,261.9769,263.3646,506700
2024-08-30,264.1155,265.427,260.7794,265.0279,919000
2024-09-03,262.8228,264.6856,260.2851,261.5492,1600000
2024-09-04,262.167,265.1704,260.7889,261.0551,718500
2024-09-05,261.0265,261.7583,257.4434,259.9905,1008700
2024-09-06,259.3062,261.3782,254.0979,255.3905,1066100
2024-09-09,255.8467,260.3707,255.1528,260.2472,1244900
2024-09-10,260.7604,262.3001,258.4793,261.5872,771400
2024-09-11,263.279,264.6856,256.74,263.9443,914400
2024-09-12,263.6022,266.52,260.1901,266.1398,1400400
2024-09-13,267.0143,272.2891,265.8737,270.0461,1044800
2024-09-16,272.7738,275.5966,272.1276,274.5511,1311500
2024-09-17,275.2545,277.4024,274.7888,276.6991,1056300
2024-09-18,277.336,277.5071,272.4983,273.059,1016900
2024-09-19,275.8438,277.0888,273.2681,273.4582,958300
2024-09-20,272.5742,274.6177,271.5668,273.7053,4148400
2024-09-23,274.8078,278.562,273.9239,277.5735,1539100
2024-09-24,278.9422,282.7819,278.9422,280.9381,1294600
2024-09-25,282.4017,282.4017,278.9517,281.0616,1349400
2024-09-26,281.3658,285.5572,281.3467,284.6162,1798700
2024-09-27,286.0894,287.0588,283.7038,285.4716,1057100
2024-09-30,285.1294,286.6501,281.8885,282.9814,1031000
2024-10-01,282.7425,282.7425,278.3443,278.6407,1267400
2024-10-02,278.2296,279.5012,275.9541,277.2735,1347000
2024-10-03,276.5755,277.4073,272.4642,273.0474,982200
2024-10-04,273.4969,274.5486,271.5082,272.971,919000
2024-10-07,292.5713,299.2641,288.0776,298.9677,4243100
2024-10-08,295.6883,298.7191,292.3801,296.74,1556600
2024-10-09,297.8682,304.3507,296.5966,300.1916,2375200
2024-10-10,300.2011,309.6571,299.4362,300.8035,2574100
2024-10-11,301.8935,304.0256,301.6449,302.7635,775700
2024-10-14,302.9739,306.5402,302.142,306.282,1058000
2024-10-15,307.3146,310.2786,306.043,309.0452,2092400
2024-10-16,309.6667,314.2943,308.8922,312.3629,1886500
2024-10-17,312.3629,314.5907,310.269,314.3421,1182000
2024-10-18,315.4703,317.5929,313.6441,317.5259,1074100
2024-10-21,315.9197,317.8415,314.5429,317.0096,857800
2024-10-22,315.6041,316.0822,312.5732,315.8718,1246900
2024-10-23,315.2599,315.8718,310.7853,312.2864,1045100
2024-10-24,311.12,311.5024,306.3298,307.9648,1588200
2024-10-25,308.5862,308.5862,303.9395,304.0638,1294800
2024-10-28,305.9187,305.9187,301.6353,304.2933,1185600
2024-10-29,302.8783,303.1938,300.7748,301.4632,1579400
2024-10-30,301.7213,301.7213,298.2315,299.0442,1042900
2024-10-31,295.2007,300.5167,293.6518,296.9026,2280900
2024-11-01,296.2428,298.8817,295.3536,295.6405,794500
2024-11-04,296.9886,297.6388,291.7682,292.6574,1608000
2024-11-05,292.1315,294.9138,289.9133,292.925,1502800
2024-11-06,297.8682,297.8682,288.5748,293.2693,1871400
2024-11-07,296.1663,304.6471,289.2249,299.092,2141700
2024-11-08,297.3042,300.8131,294.9425,299.2546,2585100
2024-11-11,299.0538,301.2146,296.5296,300.1342,1940800
2024-11-12,300.4401,301.7978,295.8317,297.4666,1021000
2024-11-13,296.8739,299.3024,295.3058,299.159,955200
2024-11-14,298.8912,304.4272,297.4762,302.0178,1081200
2024-11-15,301.6257,303.4902,300.2776,303.1842,1113000
2024-11-18,306.5115,313.6919,305.5649,313.5007,1898400
2024-11-19,311.6172,313.6441,308.309,313.6059,1881500
2024-11-20,313.9118,316.1396,311.2347,313.4625,1694300
2024-11-21,312.5159,315.6997,311.6076,314.4472,1972000
2024-11-22,315.2599,318.09,314.5142,317.2678,2200200
2024-11-25,318.3864,321.6563,318.3864,319.3138,2640600
2024-11-26,319.2374,320.9488,315.8814,320.0883,1785000
2024-11-27,319.2565,321.4651,318.1761,318.5968,1293800
2024-11-29,318.2908,319.9354,316.7706,319.6581,769800
2024-12-02,321.1591,321.1591,316.8566,320.8914,766200
2024-12-03,321.9432,322.2109,314.7245,316.13,1441900
2024-12-04,315.4703,315.4703,311.3303,313.1087,974900
2024-12-05,300.6887,309.1694,298.8817,307.8405,1730000
2024-12-06,308.9592,310.1638,305.9952,306.0621,1020300
2024-12-09,308.2898,308.2898,302.0368,302.7253,1216000
2024-12-10,301.7787,302.4002,297.8108,301.3771,742100
2024-12-11,301.1573,302.209,297.8587,298.6522,858300
2024-12-12,298.4992,299.4171,296.6061,297.2467,653100
2024-12-13,297.2276,298.7001,293.9004,298.5949,1025300
2024-12-16,297.6579,298.3463,292.8678,293.2598,984800
2024-12-17,292.3514,293.623,290.4487,291.3379,924200
2024-12-18,291.3188,291.8351,281.7385,282.3504,1043200
2024-12-19,283.1536,284.7407,279.7785,280.3044,1041300
2024-12-20,280.0558,284.3009,279.6733,282.0445,2258700
2024-12-23,280.5434,282.0541,277.981,280.6677,797200
2024-12-24,280.2566,283.0293,279.4725,283.0293,296100
2024-12-26,281.9011,283.2014,281.2509,282.1305,418500
2024-12-27,280.3044,282.8477,278.6312,279.9602,457000
2024-12-30,279.1666,279.1666,275.2561,276.021,816100
2024-12-31,277.1874,278.1626,275.5333,277.3117,777900
2025-01-02,275.6667,279.178,272.1074,272.521,918100
2025-01-03,272.9828,276.5229,271.7803,273.1175,1581600
2025-01-06,273.5119,274.4066,271.2512,272.473,1458200
2025-01-07,274.9837,281.2655,274.2526,275.4454,1260200
2025-01-08,275.407,276.3497,273.4253,274.4065,1041700
2025-01-10,282.5546,283.9975,278.976,281.9389,2423500
2025-01-13,282.5834,290.5487,281.7946,290.2697,2290700
2025-01-14,294.6563,297.4749,292.8382,296.2532,1949300
2025-01-15,296.7342,299.4855,288.7882,295.2335,2212000
2025-01-16,297.4557,300.3321,294.6563,300.1974,1237800
2025-01-17,302.5446,305.9982,299.4951,305.7192,2315400
2025-01-21,306.7966,308.8071,306.152,307.6046,1975100
2025-01-22,308.4704,308.4704,302.6023,304.9399,1621300
2025-01-23,307.3931,311.8759,302.3426,311.6835,2269800
2025-01-24,313.694,317.3977,313.0495,316.7435,2052100
2025-01-27,313.3092,315.5699,308.2588,314.2039,2109300
2025-01-28,316.2144,316.2144,312.3954,314.5695,1699600
2025-01-29,314.9062,315.3872,311.8278,314.8677,1650100
2025-01-30,314.252,322.4866,313.2515,322.3615,1381400
2025-01-31,323.6218,325.1513,320.6588,322.5155,2367600
2025-02-03,318.302,326.2095,316.6762,325.2187,1789800
2025-02-04,324.4779,328.1719,322.3904,322.9099,2022100
2025-02-05,321.2072,323.2947,317.9172,320.4857,2117800
2025-02-06,317.3881,323.843,305.8827,315.6565,2662800
2025-02-07,307.7393,307.8932,295.8299,298.6389,2902800
2025-02-10,298.8891,299.4566,292.3668,298.7448,2782700
2025-02-11,297.6289,299.8992,295.8588,297.7251,1265900
2025-02-12,294.8583,299.5817,294.8583,298.5524,1372800
2025-02-13,300.3898,304.103,298.4562,303.1795,900300
2025-02-14,304.3724,306.306,303.0929,304.103,1171400
2025-02-18,303.9876,305.2863,299.8318,304.9496,1260200
2025-02-19,302.8525,305.1612,301.4961,304.9977,971500
2025-02-20,304.1511,305.623,301.5441,302.333,1073500
2025-02-21,302.1117,302.7947,294.8295,298.1099,1392900
2025-02-24,297.1286,299.4855,294.0695,297.6289,933100
2025-02-25,297.9752,306.1521,297.9752,305.2959,1257300
2025-02-26,305.2382,305.3152,301.1401,301.9193,950000
2025-02-27,300.8226,303.8914,299.4951,300.5341,1048100
2025-02-28,301.3613,304.6994,299.4181,304.1319,1375100
2025-03-03,306.9409,309.2497,297.6674,298.841,1222500
2025-03-04,299.4182,300.4667,293.0883,293.7425,1618600
2025-03-05,295.3875,302.9487,293.9541,299.7356,2285900
2025-03-06,298.7255,300.7649,296.2821,299.1392,1378200
2025-03-07,298.1868,306.5465,298.0329,304.382,1383800
2025-03-10,301.0439,304.3628,289.9714,292.1648,1591400
2025-03-11,292.0975,293.0498,285.6041,286.7488,1128400
2025-03-12,287.2394,287.73,281.5445,283.4492,859500
2025-03-13,283.4492,285.075,280.6402,281.7177,1081700
2025-03-14,282.7277,283.4299,279.0721,280.823,1143900
2025-03-17,280.6594,285.7291,278.9374,284.3823,1178800
2025-03-18,285.1327,285.1327,278.3892,280.7268,1356200
2025-03-19,280.7268,283.8532,279.5916,282.8239,1028500
2025-03-20,281.1789,283.2568,279.2261,281.785,860600
2025-03-21,279.7071,280.5921,276.4267,280.5632,2875100
2025-03-24,282.6411,283.7282,280.6306,282.2948,1023000
2025-03-25,283.3818,283.3818,280.0053,282.0158,791000
2025-03-26,282.2467,284.7382,281.1404,284.036,789000
2025-03-27,283.7378,286.1043,281.1885,283.9013,627800
2025-03-28,284.8152,285.7099,280.9865,281.1597,604700
2025-03-31,279.6397,285.1231,277.6196,283.709,1150100
2025-04-01,281.5119,285.1123,279.7988,284.0186,702100
2025-04-02,282.0345,285.8769,281.0183,285.4801,751400
2025-04-03,279.9537,282.0926,273.1012,274.0981,1067300
2025-04-04,269.7137,270.2557,254.2473,255.0022,1762300
2025-04-07,250.7242,258.5543,241.1037,250.7727,2081000
2025-04-08,258.1864,258.1864,235.8579,240.6198,1670700
2025-04-09,239.1873,262.2514,236.7677,261.5159,2285500
2025-04-10,259.164,260.0254,248.7982,253.6181,1854500
2025-04-11,255.2345,262.4934,251.9631,260.3641,1003100
2025-04-14,263.3258,265.6874,260.5674,263.8194,818000
2025-04-15,258.4381,262.2902,256.7153,256.7733,1305300
2025-04-16,257.3638,259.5221,250.6759,252.9213,1556800
2025-04-17,254.9538,257.1992,253.9278,254.4505,2233300
2025-04-21,252.989,254.4505,245.8752,249.3015,1082900
2025-04-22,251.5469,258.7962,250.7532,256.8314,1463900
2025-04-23,261.032,264.797,254.4699,256.2314,1001400
2025-04-24,257.3541,260.6738,254.6537,260.2093,813600
2025-04-25,258.08,259.9673,256.2314,258.5252,668500
2025-04-28,259.0575,261.3804,256.5895,260.79,916100
2025-04-29,261.4772,264.3033,259.8705,262.2224,1145900
2025-04-30,259.1156,263.3355,256.2507,262.3773,2560300
