Date,Open,High,Low,Close,Volume
2024-08-21,106.7647,106.8132,105.1623,106.1237,1667200
2024-08-22,106.1043,106.8132,104.939,105.3371,1773800
2024-08-23,106.0752,108.4933,105.5314,108.2893,1874500
2024-08-26,108.736,109.5421,108.2214,108.6584,1315900
2024-08-27,109.309,110.8822,108.8138,110.2996,2083400
2024-08-28,110.2316,111.3387,109.6489,110.115,1853900
2024-08-29,110.5812,111.3969,109.6295,109.9888,2741900
2024-08-30,110.6297,112.8633,109.4061,112.3875,2645000
2024-09-03,110.9599,111.4358,107.5124,108.1048,3076400
2024-09-04,107.7747,108.3865,104.8904,106.3665,2779300
2024-09-05,106.7841,106.9104,104.5117,105.7062,2490400
2024-09-06,106.0266,108.0077,103.3949,104.8807,4233200
2024-09-09,103.1424,105.7936,102.686,104.4826,4438800
2024-09-10,104.7933,105.2206,100.1902,103.6571,3774900
2024-09-11,105.7742,105.8421,101.3556,105.5314,2878800
2024-09-12,106.5122,109.2119,105.376,109.1245,2505700
2024-09-13,109.7363,112.3292,109.4741,111.0862,2917000
2024-09-16,111.4552,113.9704,110.5423,113.7762,2341200
2024-09-17,114.2714,114.9901,112.8342,114.388,2213600
2024-09-18,115.1163,115.9806,114.0092,114.1549,2505600
2024-09-19,117.0197,118.7968,115.9029,118.1073,2236900
2024-09-20,118.0588,121.6713,117.6218,120.8847,4562700
2024-09-23,121.6519,123.264,120.6128,121.6131,3157700
2024-09-24,121.2732,122.4288,120.7002,121.516,3173300
2024-09-25,122.6133,122.7784,120.3312,120.9333,2377200
2024-09-26,121.8753,122.1472,120.8945,121.8753,2409400
2024-09-27,122.3802,122.6619,121.2926,122.1763,2293300
2024-09-30,121.3897,121.9044,119.7194,121.3023,3685300
2024-10-01,122.3997,129.2072,120.8653,128.1973,5703900
2024-10-02,128.7799,131.3825,127.7505,128.8673,6003700
2024-10-03,129.1587,129.6054,124.7983,127.566,3591600
2024-10-04,130.2366,132.3245,129.7996,131.4214,3846900
2024-10-07,131.0717,131.5087,129.751,130.3434,2276600
2024-10-08,130.7707,132.2856,130.5182,132.1691,2851500
2024-10-09,131.9263,134.0822,131.1009,134.0337,2777700
2024-10-10,134.0531,136.2964,133.4995,133.9365,4116300
2024-10-11,134.1988,136.2478,134.0337,136.1604,2716500
2024-10-14,136.9956,137.5394,135.5972,137.2869,2113600
2024-10-15,137.4132,138.462,136.2381,137.4617,2520500
2024-10-16,138.5008,138.9087,137.4132,138.7242,2360300
2024-10-17,142.0454,142.5795,139.4331,140.9966,2548000
2024-10-18,140.8704,141.6667,139.6662,140.8218,2119700
2024-10-21,141.6569,141.6569,139.773,140.579,2143100
2024-10-22,139.1612,140.2682,138.7339,139.7827,1926600
2024-10-23,139.5205,140.7927,137.8016,139.3943,1652700
2024-10-24,140.4431,142.463,139.3942,142.0648,3174400
2024-10-25,140.5207,140.7441,137.821,138.9572,2354800
2024-10-28,139.8798,141.0063,139.1515,140.6567,1941700
2024-10-29,140.4333,141.9677,139.4428,141.8026,2368500
2024-10-30,141.4918,142.7931,141.3073,141.6472,2456100
2024-10-31,141.0451,141.9968,138.9669,139.1223,2845000
2024-11-01,140.0255,140.2586,136.6169,136.9276,3130600
2024-11-04,137.0441,138.0056,135.0339,135.403,3728500
2024-11-05,142.7543,147.4545,141.3267,144.9587,4864500
2024-11-06,155.6313,161.9048,155.6313,158.9429,8676700
2024-11-07,156.5442,157.5541,154.7087,155.204,3563700
2024-11-08,153.7085,157.4667,153.6308,157.3211,3093000
2024-11-11,159.3313,163.7984,158.5835,161.9339,4693300
2024-11-12,160.3024,161.6328,157.7775,159.0205,2810000
2024-11-13,159.0205,161.1181,158.6612,159.5935,2591300
2024-11-14,160.584,161.8465,158.6903,159.5643,3357500
2024-11-15,158.2631,159.1177,156.4956,158.904,2519000
2024-11-18,159.4523,160.7962,157.1247,160.0171,2977000
2024-11-19,160.2022,164.7307,159.6665,163.8542,4707100
2024-11-20,163.1141,163.6984,156.6865,158.6342,5836900
2024-11-21,160.2119,161.6143,158.0694,160.7086,5784000
2024-11-22,162.6661,165.1494,162.4908,163.1822,3970600
2024-11-25,167.8471,172.1321,167.5257,170.1357,6091900
2024-11-26,168.4996,171.3141,167.3407,171.0511,2733700
2024-11-27,170.4278,171.9568,169.2105,169.3079,1899500
2024-11-29,171.353,171.7912,169.6779,170.457,1429200
2024-12-02,171.4601,171.5088,167.4088,167.8373,2935700
2024-12-03,169.2105,169.6779,167.7399,168.4801,4156800
2024-12-04,168.4801,171.1193,167.5062,170.1649,4785700
2024-12-05,170.048,174.0798,169.5221,171.1387,3823300
2024-12-06,172.1516,173.4566,169.6195,173.2034,3969600
2024-12-09,184.3543,184.5393,167.1751,167.964,19351400
2024-12-10,168.6456,172.0639,168.2269,170.1454,7561800
2024-12-11,170.8272,174.7908,167.6134,173.9435,6023000
2024-12-12,173.8656,174.6837,170.6908,171.801,3547400
2024-12-13,171.801,172.882,170.311,171.8205,3166600
2024-12-16,171.6355,174.7324,171.2946,173.4956,5958900
2024-12-17,171.8887,173.0865,168.3827,171.7134,7018500
2024-12-18,172.0055,173.4566,162.1012,163.0654,7927900
2024-12-19,165.6072,169.0255,164.9449,165.1981,7908400
2024-12-20,163.1238,170.2818,163.0167,166.5616,91314300
2024-12-23,166.1817,168.2658,163.8834,167.1459,4447700
2024-12-24,168.0029,170.2818,167.3115,170.2818,1023900
2024-12-26,169.0936,170.5058,168.0029,169.8143,1348400
2024-12-27,168.1684,168.8794,165.2663,165.8311,2859000
2024-12-30,163.562,164.458,160.8644,162.1597,2597800
2024-12-31,162.6369,163.2212,160.6209,160.8449,2817000
2025-01-02,162.6271,162.6271,158.7901,161.5266,3079600
2025-01-03,161.7896,165.0034,160.8547,164.643,2491500
2025-01-06,166.3376,167.6133,164.6138,164.682,3233400
2025-01-07,165.5585,165.7046,157.0176,158.2057,4062800
2025-01-08,158.3615,158.868,155.2744,157.748,3283500
2025-01-10,155.8197,155.8197,150.5413,151.3302,4502700
2025-01-13,149.6746,150.9504,148.7397,150.7556,3441800
2025-01-14,152.5573,155.7418,151.5444,155.1673,3511900
2025-01-15,161.663,163.4939,159.3939,160.543,3852400
2025-01-16,161.215,162.1207,160.1048,161.5851,4209000
2025-01-17,162.8998,164.6041,161.6727,162.6271,3580300
2025-01-21,164.5457,167.4381,163.9808,164.8183,4107600
2025-01-22,165.5585,166.844,163.3186,164.4872,3202000
2025-01-23,163.8055,168.9573,163.7958,165.315,3264900
2025-01-24,165.0813,167.7594,164.8378,167.5646,2410600
2025-01-27,163.5523,164.8281,159.6178,162.8901,3299300
2025-01-28,163.8639,166.2402,161.1176,164.8865,3672300
2025-01-29,165.0326,167.6913,164.1951,166.6297,2735100
2025-01-30,168.2853,168.8599,164.4677,167.2725,2644700
